LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,SA2_MAINCODE,SA2_NAME
ABS10742,RIVERLEA,EXTRA LOCALITY,2620,ACT,801111140,ACT - South West
ABS11193,STROMLO,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ABS1376,CASTLE HILL,EXTRA LOCALITY,2620,ACT,801111140,ACT - South West
ABS14186,PADDYS RIVER,EXTRA LOCALITY,2620,ACT,801111140,ACT - South West
ABS384,BIBARINGA,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ABS4405,MOUNT ELIZA,EXTRA LOCALITY,2620,ACT,801111140,ACT - South West
ABS4531,MOUNT STROMLO,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ABS4620,OAKEY CREEK,EXTRA LOCALITY,2620,ACT,801111140,ACT - South West
ABS8335,SNOWY CORNER,EXTRA LOCALITY,2620,ACT,801111140,ACT - South West
ABS9026,URIARRA,EXTRA LOCALITY,2611,ACT,801111140,ACT - South West
ACT659,THARWA,GAZETTED LOCALITY,2620,ACT,801111140,ACT - South West
ACT927,COREE,ALIAS LOCALITY,2611,ACT,801111140,ACT - South West
ACT927,URIARRA VILLAGE,GAZETTED LOCALITY,2611,ACT,801111140,ACT - South West
ACT107,ACTON,GAZETTED LOCALITY,2601,ACT,801051049,Acton
ACT107,ANU,ALIAS LOCALITY,2601,ACT,801051049,Acton
ACT107,AUSTRALIAN NATIONAL UNIVERSITY,ALIAS LOCALITY,2601,ACT,801051049,Acton
ACT107,SPINNAKER ISLAND,ALIAS LOCALITY,2601,ACT,801051049,Acton
ACT107,SPRINGBANK ISLAND,ALIAS LOCALITY,2601,ACT,801051049,Acton
ACT104,AINSLIE,GAZETTED LOCALITY,2602,ACT,801051050,Ainslie
ACT104,CANBERRA CENTRAL,ALIAS LOCALITY,2602,ACT,801051050,Ainslie
ACT707,AMAROO,GAZETTED LOCALITY,2914,ACT,801041034,Amaroo
ACT556,ARANDA,GAZETTED LOCALITY,2614,ACT,801011001,Aranda
ACT614,BANKS,GAZETTED LOCALITY,2906,ACT,801071071,Banks
ACT214,BARTON,GAZETTED LOCALITY,2600,ACT,801061129,Barton
ACT214,MANUKA,ALIAS LOCALITY,2600,ACT,801061129,Barton
ACT559,BELCONNEN,GAZETTED LOCALITY,2617,ACT,801011002,Belconnen
ACT559,EMU BANK,ALIAS LOCALITY,2617,ACT,801011002,Belconnen
ACT559,EMU RIDGE,ALIAS LOCALITY,2617,ACT,801011002,Belconnen
ABS11999,BLACK MOUNTAIN,EXTRA LOCALITY,2601,ACT,801051123,Black Mountain
ABS195,ACTON PARK,EXTRA LOCALITY,2601,ACT,801051123,Black Mountain
ACT719,BONNER,GAZETTED LOCALITY,2914,ACT,801041035,Bonner
ACT619,BONYTHON,GAZETTED LOCALITY,2905,ACT,801071072,Bonython
ACT106,BRADDON,GAZETTED LOCALITY,2612,ACT,801051051,Braddon
ACT106,CANBERRA CENTRAL,ALIAS LOCALITY,2612,ACT,801051051,Braddon
ACT106,DEVONPORT,ALIAS LOCALITY,2612,ACT,801051051,Braddon
ACT106,FULLERTON,ALIAS LOCALITY,2612,ACT,801051051,Braddon
ACT555,ACACIA GARDENS,ALIAS LOCALITY,2617,ACT,801011003,Bruce
ACT555,BRUCE,GAZETTED LOCALITY,2617,ACT,801011003,Bruce
ACT555,CAPRICORN,ALIAS LOCALITY,2617,ACT,801011003,Bruce
ACT611,CALWELL,GAZETTED LOCALITY,2905,ACT,801071073,Calwell
ACT611,CONDER RIDGE,ALIAS LOCALITY,2905,ACT,801071073,Calwell
ACT611,MOUNTAIN VIEW,ALIAS LOCALITY,2905,ACT,801071073,Calwell
ACT110,CAMPBELL,GAZETTED LOCALITY,2612,ACT,801051124,Campbell
ACT110,DUNTROON,ALIAS LOCALITY,2612,ACT,801051124,Campbell
ACT931,CANBERRA AIRPORT,GAZETTED LOCALITY,2609,ACT,801031114,Canberra Airport
ACT931,CANBERRA INTERNATIONAL AIRPORT,ALIAS LOCALITY,2609,ACT,801031114,Canberra Airport
ACT931,MAJURA,ALIAS LOCALITY,2609,ACT,801031114,Canberra Airport
ABS14110,JERRABOMBERRA,EXTRA LOCALITY,2620,ACT,801031113,Canberra East
ABS14768,HARMAN,EXTRA LOCALITY,2600,ACT,801031113,Canberra East
