SA4_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
401,3,61,263,467,240,132,80,25,7,1281,0,4,6,25,33,51,46,29,9,200,0,3,18,56,40,22,19,8,0,164,32,271,353,1543,581,446,461,349,240,4273,158,396,623,1352,625,614,642,517,412,5341,6954,17195,19899,41376,20641,19746,17732,11090,5804,160429,0,0,37,126,25,24,5,0,0,212,13388,29453,29158,48658,28056,26286,20812,11298,4770,211871,6,80,61,290,63,17,6,4,0,520,0,0,3,59,29,38,9,7,3,159,3,40,17,400,46,14,11,0,0,532,5,13,29,95,43,19,22,9,3,238,13,59,78,250,121,122,80,20,10,759,3,4,10,76,28,15,14,6,0,145,63,706,2441,6143,1224,792,599,155,67,12185,0,4,0,43,33,73,82,71,37,338,0,34,35,109,43,32,41,54,13,366,48,438,806,1748,2077,3466,3034,1996,848,14468,0,3,7,45,29,31,23,17,3,162,3,34,29,207,77,67,47,21,12,499
402,6,75,216,1219,772,722,412,90,45,3559,0,9,13,31,34,92,89,73,21,357,0,23,41,116,39,29,14,3,0,258,49,564,1080,3077,1266,1021,830,564,273,8732,489,1034,1026,2476,1069,948,938,760,432,9182,13852,28986,27220,64887,27790,26664,21282,12799,5557,229035,43,544,1404,3401,1004,468,168,32,9,7068,27137,50890,41906,80481,36561,30530,22175,11445,3663,304793,12,90,86,580,107,36,12,6,3,933,0,4,16,223,98,138,88,36,4,606,0,11,17,122,13,13,10,0,0,181,18,84,146,860,494,401,278,74,20,2380,8,16,45,135,71,69,30,15,4,390,0,6,5,79,65,73,56,29,9,322,17,122,495,2454,620,555,401,129,31,4822,0,5,3,119,91,159,195,194,52,822,7,46,46,127,25,29,51,39,10,383,24,243,652,1808,2952,7719,5881,4567,2175,26023,6,24,32,201,124,99,41,17,3,542,0,0,6,45,28,52,23,17,11,186
403,0,23,67,224,122,72,59,5,4,581,0,18,38,75,82,92,69,53,28,465,0,8,20,64,43,40,19,4,3,190,40,269,346,1479,623,627,578,451,215,4625,222,554,611,1504,709,771,791,641,416,6223,9360,21190,21431,49090,24597,24956,22829,12801,6486,192742,4,24,19,71,21,7,4,0,0,150,18275,38718,35027,68071,33317,31507,28311,13837,5968,273027,4,39,30,194,47,17,4,0,0,340,0,0,0,89,49,79,61,16,7,305,0,34,23,491,37,14,4,0,0,605,3,5,10,60,47,40,33,7,5,211,19,48,49,280,141,122,88,32,4,780,0,6,0,50,29,30,21,16,0,157,17,205,519,2408,588,452,348,90,25,4667,0,0,6,39,35,78,110,101,54,430,3,28,27,112,35,47,76,50,24,413,64,857,2102,3731,4764,6689,5388,3955,1676,29221,0,4,17,93,49,52,53,22,4,291,7,23,21,136,78,82,46,27,11,433
404,14,109,381,1195,791,724,458,142,86,3904,0,0,11,25,10,35,22,13,5,127,0,3,5,36,20,14,4,0,0,75,29,248,465,1670,702,553,533,416,267,4879,195,341,413,1233,486,515,463,427,227,4305,6139,11861,14032,35468,15807,15794,12810,8146,4690,124756,0,41,81,245,64,28,15,3,0,479,11767,20626,21339,43378,21190,20335,14092,7229,3558,163514,6,30,36,233,53,0,9,0,0,369,0,5,9,345,211,250,167,71,29,1083,3,27,18,509,40,9,12,3,0,613,0,5,41,166,191,172,128,54,12,773,7,27,21,155,60,57,31,12,0,383,0,0,12,58,26,25,17,7,4,155,9,68,380,1574,388,363,249,142,76,3249,0,5,0,150,94,180,196,204,100,934,4,58,32,144,30,26,74,47,18,446,24,259,467,1290,1311,2256,1717,968,480,8778,0,6,16,57,37,24,21,6,3,167,5,20,12,123,36,38,20,10,7,268
405,0,0,4,21,8,0,0,0,0,44,0,0,3,9,8,10,10,11,4,51,0,0,4,5,5,3,0,3,0,24,0,5,15,106,44,57,75,50,19,383,125,357,292,712,505,598,581,399,204,3775,2680,6522,5185,11417,7307,8997,8383,4797,1977,57265,0,0,0,8,0,0,0,0,0,3,5211,12521,9965,19246,11937,14133,13144,6955,2441,95552,0,5,0,12,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,4,0,0,0,20,0,0,0,0,0,19,0,0,0,10,10,3,3,0,0,25,0,5,3,28,21,14,19,7,4,92,0,0,0,0,3,0,5,3,0,7,0,4,10,51,3,10,6,0,0,90,0,0,0,5,3,5,10,8,3,40,0,0,0,7,0,0,0,3,0,21,3,25,91,259,543,1644,1447,862,269,5148,0,0,0,5,3,7,3,0,0,22,0,0,0,14,5,12,16,10,0,66
406,3,10,8,25,5,7,0,0,0,46,0,0,0,6,13,14,12,3,0,43,0,0,8,23,7,7,0,0,0,42,3,7,22,153,64,56,62,46,22,434,147,378,295,774,433,425,341,241,119,3147,2398,5168,4157,10037,5303,5505,4329,2553,1032,40472,0,0,4,0,0,0,0,0,0,6,4481,9516,7715,16685,8704,8712,6616,3354,1159,66936,0,5,4,14,0,0,0,0,0,22,0,0,0,0,0,9,4,3,0,23,0,4,0,21,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,6,0,0,0,17,6,10,7,0,0,46,0,0,0,3,5,5,0,5,0,18,0,5,3,64,12,6,3,0,0,100,0,0,0,4,7,21,39,55,17,137,0,0,3,17,0,0,6,0,0,19,0,19,27,148,270,913,636,461,175,2647,0,0,0,26,8,11,0,0,0,43,0,0,3,16,3,8,11,4,8,51
407,4,13,9,90,28,15,9,0,0,165,0,7,3,10,15,35,27,26,3,130,0,0,10,17,17,18,11,0,0,81,0,49,65,262,104,127,154,105,68,934,212,582,545,1228,821,930,1007,704,384,6412,4435,10634,8928,19574,11996,14523,14571,8516,3549,96720,0,9,37,131,72,40,9,0,0,290,8500,19743,16453,31607,19395,22260,21857,11599,4008,155408,0,3,0,29,0,0,6,0,0,38,0,0,0,6,3,0,0,3,0,13,0,0,0,26,8,0,4,0,0,43,3,10,5,44,10,11,4,0,0,85,4,5,8,53,21,32,34,7,0,171,0,3,0,5,0,0,0,0,0,11,5,43,31,298,102,76,24,4,0,583,0,0,0,3,6,23,39,40,17,122,0,3,0,13,8,5,0,7,0,37,6,92,153,478,835,2158,2493,1948,657,8809,0,0,11,36,13,10,9,0,4,80,0,0,4,31,15,15,18,19,0,99
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,12,21,6,4,0,0,0,40,10,23,32,106,28,26,17,0,0,245,56,139,214,542,178,197,141,26,10,1506,0,0,0,0,0,0,0,0,0,6,104,202,271,758,327,324,222,40,3,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,0,0,0,19,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,9,27,25,48,34,10,5,154,0,0,0,0,0,0,0,0,0,4,0,0,3,9,6,0,0,0,0,11
501,0,8,14,86,23,15,11,0,0,154,0,3,3,21,26,44,27,25,7,164,0,7,42,125,82,77,46,16,3,386,14,65,66,493,214,254,170,88,41,1400,214,631,495,1302,737,757,695,488,229,5545,4976,12274,9152,22706,13035,13371,11586,5999,2381,95483,0,4,15,68,17,13,4,0,0,124,9625,22707,15935,31422,17982,17521,15588,7271,2457,140508,0,5,3,28,6,3,0,0,0,47,0,0,0,5,0,0,4,3,0,13,0,0,3,92,19,3,0,0,0,122,0,0,3,5,0,5,0,0,0,16,8,12,21,169,78,65,46,7,4,412,0,0,0,31,10,8,5,4,0,60,0,17,26,200,70,35,11,6,0,368,0,0,0,4,0,8,13,14,5,50,3,5,0,19,0,6,11,3,0,48,13,213,384,1545,1791,2956,2727,1888,546,12065,0,0,7,32,11,10,5,4,0,72,0,5,11,162,40,36,30,14,9,307
