SA4_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
101,5012,709,5776,35098,12853,1532,49484,133496,14582,197558
102,8346,2148,10545,57024,14682,1456,73157,193822,17262,284248
103,4843,609,5504,32221,11804,1505,45535,111971,14093,171594
104,3766,668,4473,20272,7992,1091,29356,82105,9831,121293
105,2313,526,2866,16007,6144,701,22849,58029,11797,92669
106,5063,818,5922,48237,16735,1956,66934,153299,14817,235041
107,6786,1387,8227,52079,15336,1321,68728,175934,13061,257723
108,7189,1296,8536,28628,11773,1389,41792,136824,14585,193195
109,2906,483,3413,17746,6966,844,25556,67262,8433,101262
110,3898,748,4669,25929,9414,1216,36568,97942,15553,150057
111,9091,1700,10881,62944,23463,2221,88636,217757,16505,322898
112,7012,1280,8337,36928,13513,1688,52123,144664,17448,214236
113,3611,602,4250,24491,9293,1053,34839,85693,11130,131660
114,4498,720,5266,22304,8537,980,31823,93821,9264,134907
115,4169,817,5023,53759,9638,651,64050,139116,7237,210397
116,3777,532,4339,78585,11269,1058,90919,198484,20512,309913
117,3153,688,3864,37680,5885,423,43992,233214,21317,298518
118,4993,1485,6538,42909,7375,486,50762,156000,14627,221391
119,12008,2702,14802,96809,14812,1058,112678,348702,34958,496332
120,5973,961,7002,50436,7347,496,58285,187096,13600,258984
121,9562,1209,10839,83594,12793,803,97196,238152,12501,347853
122,6239,951,7243,51282,9492,723,61493,144662,8673,214822
123,2876,793,3676,56234,10723,1192,68146,149409,13391,230946
124,4346,859,5235,59333,12723,1306,73362,175999,15904,265262
125,6621,1203,7867,83446,10646,796,94890,272358,31771,399020
126,4263,837,5131,37282,5778,323,43391,116631,7594,167614
127,5728,1408,7189,76051,11840,986,88885,261366,25187,375436
128,5333,1066,6432,42896,9691,569,53156,126829,7209,187196
197,0,0,0,0,0,0,0,0,0,0
199,33,16,49,818,332,37,1191,5556,3362,10112
201,3610,678,4317,27129,9362,1038,37532,95708,9614,142855
202,3700,788,4517,26651,9461,972,37079,90723,9901,137698
203,6833,1061,7951,55027,18306,1726,75060,177886,15734,268681
204,4327,635,4995,27080,9886,1067,38035,103832,11412,153276
205,6671,1213,7929,42224,16950,1847,61022,168957,19838,249821
206,8595,1176,9883,73533,19332,1481,94350,422174,33532,550062
207,11111,1056,12274,63279,16904,1003,81193,221232,12228,314649
208,11035,1192,12330,76657,19052,1543,97253,238247,13986,349489
209,9173,1248,10509,98133,23854,2047,124045,292106,21022,437166
210,6926,826,7813,74556,16485,1472,92512,224127,19587,336226
211,10254,1478,11817,92998,28296,2610,123901,285235,16862,425997
212,14223,1726,16090,152917,34788,3370,191080,459523,38339,688939
213,8959,1208,10261,160399,31087,3077,194560,428813,45374,668748
214,7514,1450,9042,50329,17879,1750,69959,169218,15703,254875
215,4169,732,4936,21324,8017,874,30216,86624,11699,128539
216,3352,599,3977,19748,7054,699,27499,75855,9386,112743
217,3249,523,3801,18627,7312,700,26647,72201,7416,106267
297,0,0,0,0,0,0,0,12,27,38
299,17,17,29,695,281,39,1013,3668,3262,7946
301,4289,1027,5357,42123,13528,1465,57118,129469,8767,195353
