SA4_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
101,25856,22754,7692,585,56896,17787,1662,76349,966,521,484,45,2011,2855,124,4994,723,468,313,33,1529,1371,144,3039,1690,983,797,76,3539,4221,268,8034,574,264,298,32,1169,2158,198,3525,142,75,48,8,284,436,55,767,210,123,59,17,404,535,43,981,20,7,7,0,35,40,3,82,20,20,14,4,57,56,7,121,965,493,429,56,1942,3231,303,5476,65,15,19,0,102,150,13,258,108,21,13,0,142,257,11,413,4,0,6,0,7,15,0,25,49,31,16,6,103,66,10,176,229,69,59,4,358,484,34,872,75,59,19,5,154,172,17,342,28813,24360,8990,728,62892,25903,2284,91076
102,28924,34716,14186,922,78751,21660,2816,103225,2356,703,1003,96,4151,5217,259,9627,1461,893,1015,69,3444,2462,211,6113,3821,1593,2017,169,7588,7675,472,15743,1291,592,747,66,2690,3578,203,6473,356,143,183,14,695,737,86,1519,744,224,239,37,1249,1067,157,2473,188,56,54,7,308,250,34,600,117,63,65,3,252,156,14,423,2698,1073,1297,125,5191,5798,498,11486,70,13,20,0,105,224,16,345,83,24,60,0,168,293,25,487,6,0,3,0,6,5,0,8,29,20,18,0,72,60,12,148,191,53,103,8,353,577,50,983,54,36,25,0,117,154,5,280,35678,37474,17619,1225,92003,35866,3845,131713
103,21521,20678,8490,695,51385,18186,1805,71378,827,371,415,50,1668,2856,169,4700,99,53,95,10,257,484,34,774,927,429,514,63,1923,3340,209,5467,294,100,114,16,523,1507,86,2119,8,0,6,0,17,70,13,94,0,0,0,0,4,0,0,4,0,3,0,0,3,0,0,3,15,5,3,0,29,27,0,56,318,111,128,18,572,1602,99,2273,27,3,5,5,44,107,8,153,21,3,6,0,27,81,0,107,3,4,3,0,5,3,0,15,89,103,26,3,224,109,16,354,141,113,39,8,303,303,22,627,63,69,20,6,160,124,10,293,22971,21393,9187,791,54344,23550,2146,80039
104,15146,12229,5750,426,33557,10244,1484,45287,643,271,374,19,1308,1610,115,3038,494,282,310,29,1112,795,112,2018,1133,555,684,49,2428,2405,228,5051,488,261,395,47,1184,1812,139,3136,102,43,66,7,212,235,23,480,76,12,11,3,106,171,12,286,47,3,6,0,60,53,4,115,30,17,8,0,58,68,9,133,750,333,490,50,1618,2342,185,4150,96,14,10,5,129,162,18,304,173,21,30,4,229,410,15,657,5,3,0,0,8,17,0,21,61,48,15,5,118,54,10,184,335,83,51,18,480,643,37,1162,58,33,29,0,118,109,7,235,17418,13234,6998,547,38194,15746,1943,55888
105,10470,9930,5047,478,25925,10063,1029,37014,418,167,163,23,773,1196,62,2023,19,17,11,0,42,46,5,94,439,183,172,25,820,1238,61,2120,251,140,82,11,476,1112,63,1650,4,0,0,0,3,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,0,17,4,3,29,260,145,89,11,503,1122,61,1690,24,11,4,0,36,70,3,112,10,0,0,0,13,18,5,29,54,10,12,0,80,127,17,220,27,21,13,0,59,37,4,97,110,46,26,3,187,251,19,462,80,83,31,3,199,206,17,420,11358,10389,5369,515,27631,12882,1193,41704
106,28330,30833,12052,842,72058,18774,2131,92959,1548,671,928,69,3217,3914,211,7346,787,364,464,30,1648,1380,112,3139,2334,1037,1393,101,4867,5293,320,10485,221,81,135,18,453,1060,58,1578,69,13,19,0,101,132,12,250,173,22,40,4,242,211,18,466,0,0,0,0,0,0,0,0,55,29,32,3,115,67,8,190,516,144,233,24,916,1474,96,2490,75,5,21,4,109,312,19,440,101,22,36,11,164,183,28,377,0,8,4,0,10,14,0,22,35,8,18,4,67,69,9,139,227,39,75,16,359,571,51,980,65,46,18,5,134,127,13,277,31474,32098,13773,987,78334,26243,2612,107191
107,23685,32224,10322,791,67020,14444,2220,83681,1378,691,807,78,2950,3019,203,6171,2100,1697,1348,102,5243,3119,451,8809,3475,2386,2151,176,8188,6139,654,14978,1298,695,745,94,2827,3697,429,6957,732,270,279,38,1317,1625,366,3305,1381,369,274,60,2081,1766,389,4236,775,219,94,14,1107,746,224,2075,110,88,49,3,256,139,16,411,4303,1636,1436,212,7587,7971,1418,16984,71,9,21,0,99,204,7,309,51,12,17,10,88,148,6,242,0,0,0,0,0,0,0,3,82,66,38,10,189,160,31,378,203,76,72,21,374,505,48,929,38,44,25,0,103,97,9,209,31709,36365,13998,1202,83273,29162,4347,116785
108,26404,18119,9092,719,54335,17780,2037,74159,1706,399,710,47,2858,3764,227,6850,506,207,283,19,1015,808,76,1908,2216,604,986,69,3873,4578,305,8754,702,188,412,44,1347,2699,174,4224,275,67,84,5,437,713,49,1202,396,69,95,5,563,742,64,1370,100,10,15,0,122,87,0,213,31,26,10,0,68,28,4,96,1506,365,608,58,2543,4271,295,7108,94,20,12,0,130,221,10,359,202,13,31,3,252,441,32,722,9,0,4,0,11,11,0,18,36,31,32,3,103,106,10,214,341,59,79,7,492,778,53,1322,77,35,18,4,136,168,14,317,30546,19190,10786,856,61375,27569,2714,91662
109,13311,11543,4378,339,29566,10398,1095,41057,896,315,434,57,1694,3269,197,5165,78,30,51,4,156,286,23,465,967,345,483,63,1858,3553,229,5636,71,22,22,3,115,262,12,385,11,13,0,0,26,43,12,75,11,0,3,0,14,13,0,32,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,10,92,32,23,3,147,321,28,501,32,3,0,0,38,67,6,112,34,0,3,0,36,62,0,100,6,4,0,0,11,0,3,12,26,13,5,0,47,20,4,74,96,23,14,0,131,156,8,295,62,26,9,0,102,96,12,206,14523,11961,4905,407,31800,14523,1362,47684
110,19004,16450,7583,694,43737,15906,1811,61453,727,373,357,56,1513,2843,176,4530,117,67,67,8,257,442,38,736,841,441,420,63,1769,3276,217,5263,159,76,85,13,337,867,45,1253,21,8,5,0,37,34,8,72,4,5,0,0,7,17,0,26,3,0,0,0,3,0,0,3,15,7,3,0,25,15,0,40,199,93,95,15,404,942,53,1395,49,5,4,0,63,128,6,195,22,6,9,0,33,95,8,137,8,4,5,0,11,22,0,37,28,22,11,3,63,48,4,111,102,37,21,3,166,288,27,478,70,37,16,3,127,153,19,303,20221,17056,8135,781,46201,20576,2114,68894
111,33489,39363,14638,1282,88778,24079,4397,117250,2202,739,1095,115,4147,5229,417,9796,2207,1228,1153,141,4726,3271,887,8885,4411,1966,2250,251,8880,8495,1310,18679,970,299,440,60,1769,3538,333,5651,626,164,167,25,981,1424,209,2618,838,166,153,25,1179,1261,170,2619,514,111,76,16,714,815,110,1638,117,65,54,6,247,201,43,488,3066,807,891,134,4888,7249,867,13011,22,3,7,0,39,52,9,98,51,5,17,0,72,158,7,243,3,0,0,0,5,0,0,8,52,31,31,8,122,146,42,312,133,39,59,7,241,362,56,653,57,26,17,0,104,145,13,257,41154,42200,17856,1681,102887,40325,6640,149852
112,22879,21400,9099,694,54066,16432,3093,73590,2068,961,1112,93,4238,4234,375,8849,1445,911,931,63,3342,2210,391,5947,3515,1871,2045,148,7578,6450,764,14791,703,283,510,47,1548,2478,232,4255,495,172,210,14,885,916,105,1909,279,43,40,4,364,303,27,693,223,40,28,3,295,229,22,552,90,49,35,0,178,154,16,349,1781,584,827,68,3267,4081,407,7760,110,21,21,4,156,319,20,487,275,31,69,16,384,807,35,1232,9,3,3,0,18,35,4,53,58,21,21,0,107,91,19,209,459,81,118,17,667,1247,70,1986,60,39,36,5,139,193,18,356,28694,23968,12120,932,65722,28401,4357,98479
113,15711,16154,6156,525,38551,12517,1433,52498,412,172,162,17,768,1369,77,2215,66,31,28,3,130,196,22,346,482,202,190,20,898,1567,100,2562,563,400,272,47,1284,2167,186,3639,26,7,0,0,40,118,9,164,11,0,0,0,12,30,0,40,0,0,0,0,3,0,0,3,10,9,0,0,20,21,0,43,611,421,276,53,1356,2341,197,3892,13,6,0,0,22,55,0,77,13,6,5,0,32,41,4,68,0,4,0,0,10,12,4,23,60,35,11,0,110,90,25,229,91,52,21,0,164,197,32,394,58,57,10,3,128,91,8,225,16951,16885,6652,603,41094,16705,1772,59571
114,19542,14696,6088,469,40788,13285,1348,55428,947,211,290,31,1476,1972,120,3568,306,86,129,17,533,611,36,1182,1249,296,419,46,2013,2584,157,4749,177,103,81,6,374,678,47,1094,13,3,0,0,18,27,5,50,0,0,0,0,4,3,0,11,0,0,0,0,0,0,0,0,52,23,19,0,98,68,9,174,251,135,100,7,495,779,54,1330,29,8,3,0,42,98,5,143,230,17,18,4,272,439,15,728,3,0,3,0,6,10,4,15,28,21,7,4,59,41,10,109,289,50,38,11,378,587,29,992,57,23,4,0,96,190,8,293,21388,15196,6651,538,43771,17421,1599,62790
115,17101,38044,5858,410,61408,6806,798,69009,377,206,73,4,660,622,12,1300,1104,2669,665,43,4476,1109,94,5674,1486,2873,734,44,5139,1736,106,6977,268,192,100,10,566,741,27,1333,315,325,137,20,797,349,28,1171,879,614,239,34,1766,852,94,2721,330,242,93,20,684,280,56,1024,66,96,22,0,181,86,6,278,1848,1462,593,82,3993,2315,216,6517,17,8,0,0,23,23,0,48,15,4,10,0,30,65,9,97,0,0,3,0,9,3,0,9,6,15,4,0,22,5,0,32,32,29,10,3,76,100,5,181,42,50,11,0,105,65,3,173,20511,42456,7211,543,70724,11011,1127,82862
116,19262,49252,13379,1372,83253,13218,2329,98799,810,1457,557,64,2883,1309,126,4312,1560,4902,1632,133,8229,1846,310,10384,2369,6362,2188,195,11109,3152,436,14701,130,138,80,7,355,749,36,1142,75,118,60,12,273,285,26,574,1510,1855,621,133,4116,1777,377,6271,68,66,21,13,158,43,22,224,170,211,76,14,475,193,45,706,1945,2397,856,177,5369,3041,505,8917,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,4,0,0,6,3,0,10,17,38,10,0,61,15,4,81,18,39,10,0,69,24,4,100,46,87,12,0,152,59,5,213,23639,58130,16451,1745,99966,19485,3277,122728
117,3477,5656,1702,247,11076,2360,1010,14445,3030,2520,849,158,6554,2593,1015,10160,4732,4026,1513,233,10504,4553,2781,17833,7761,6548,2362,392,17060,7139,3795,27999,1651,913,501,112,3177,3605,710,7489,3707,1629,1018,185,6545,7202,1284,15031,11912,4084,1530,496,18028,15875,3562,37465,13111,3857,1489,780,19240,15828,4971,40037,80,41,24,4,148,130,33,311,30462,10532,4565,1575,47130,42642,10562,100334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,267,130,80,32,517,509,253,1277,267,131,83,32,522,509,251,1282,111,50,18,8,185,331,43,556,42077,22910,8731,2252,75973,52977,15664,144616
118,5551,11488,2131,251,19423,3103,687,23204,1311,2511,595,55,4476,1459,312,6256,3145,5059,1298,125,9629,2447,702,12777,4456,7574,1895,178,14105,3906,1018,19029,2743,1948,952,146,5784,4120,1205,11107,7558,3654,1973,354,13532,10131,3103,26766,4554,2042,877,167,7643,6183,1335,15159,1878,795,380,74,3132,2564,529,6224,59,68,24,3,153,75,20,243,16787,8506,4203,743,30241,23063,6194,59501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,142,71,13,518,444,136,1097,294,142,71,13,518,444,136,1097,33,26,6,0,74,91,18,185,27123,27740,8308,1189,64362,30608,8049,103014
119,22227,46918,13454,1471,84063,15170,2463,101700,2007,2748,1202,119,6073,3148,271,9491,3713,8307,2887,219,15125,3613,424,19166,5718,11055,4086,341,21201,6759,695,28653,2506,3372,1527,324,7732,5536,1045,14316,3862,4822,2582,423,11689,6060,1072,18821,6084,5640,2449,505,14679,6863,1618,23160,3799,2452,777,290,7314,2748,1277,11339,297,423,166,23,905,360,69,1331,16545,16704,7508,1569,42324,21557,5086,68968,10,0,3,4,16,51,3,69,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,200,221,115,39,571,373,102,1043,208,221,120,41,584,420,105,1112,76,83,39,10,201,164,51,424,44773,74979,25207,3419,148377,44076,8398,200853
120,9681,17960,4082,490,32215,6167,1280,39660,2077,2716,758,87,5639,1879,360,7874,2862,3736,1113,114,7826,2133,481,10438,4941,6456,1871,201,13469,4011,839,18317,2810,1953,1077,188,6030,5188,876,12092,3989,2672,1209,377,8246,5821,1315,15385,6088,3870,1351,384,11689,6163,1762,19617,3427,1894,723,226,6264,2607,1179,10054,67,63,24,6,170,99,18,282,16373,10452,4384,1176,32390,19880,5149,57425,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,270,169,94,20,557,394,152,1103,270,169,94,20,563,394,154,1105,69,27,11,7,111,139,26,276,31340,35067,10446,1897,78753,30594,7442,116784
121,18323,38691,6322,527,63862,8768,992,73621,877,1241,340,27,2488,932,86,3509,2376,2958,834,70,6242,2050,227,8515,3253,4197,1175,95,8725,2982,319,12023,2668,1797,799,116,5380,3998,491,9870,5522,3601,1745,282,11145,8613,1112,20877,6948,5649,2153,286,15043,8612,992,24641,5278,3635,1216,227,10352,6570,834,17750,105,107,44,0,257,133,18,411,20520,14788,5956,911,42181,27930,3445,73552,0,0,0,0,0,0,0,0,8,0,0,0,10,10,0,24,0,0,0,0,0,0,0,0,119,78,42,7,236,133,31,402,122,81,38,7,254,141,31,428,50,37,17,0,102,113,11,228,42264,57797,13510,1542,115116,39932,4799,159847
