SA4_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
101,24,155,350,340,95,0,0,0,973,16,98,143,145,154,0,0,0,553,34,347,518,994,1346,1816,1111,568,6722,72,596,1017,1479,1601,1816,1111,568,8243,11345,11461,11162,12815,14728,12908,6186,1483,82078,954,1200,990,1126,1210,1030,614,282,7406,12371,13251,13167,15413,17535,15755,7909,2332,97725,29,87,149,113,26,0,0,0,402,4,33,57,54,46,0,0,0,191,18,83,186,316,358,228,68,48,1308,45,204,396,486,424,228,68,48,1900,10442,12406,12697,14678,16390,14316,7495,2923,91349,795,885,870,877,1024,968,692,468,6578,11289,13501,13960,16034,17838,15513,8257,3448,99836,60,243,502,454,121,0,0,0,1376,19,129,198,196,202,0,0,0,740,48,426,706,1312,1701,2041,1178,611,8031,122,801,1409,1962,2022,2041,1178,611,10145,21791,23861,23860,27489,31112,27227,13679,4411,173430,1755,2084,1858,1998,2236,1997,1306,754,13984,23664,26755,27123,31454,35370,31264,16162,5776,197558
102,34,34,40,25,14,0,0,0,149,21,55,45,30,24,0,0,0,183,64,339,393,727,972,1743,1583,968,6790,117,431,482,788,1007,1743,1583,968,7119,18796,17112,18404,19532,19332,16219,9394,2303,121090,994,1073,1031,1076,952,932,872,660,7580,19909,18615,19909,21395,21289,18898,11851,3929,135785,5,7,6,5,0,0,0,0,25,5,7,4,8,7,0,0,0,31,21,40,67,159,182,176,98,82,824,30,55,74,174,191,176,98,82,879,17920,18430,20338,21692,22502,20514,12435,5092,138922,909,1016,1028,929,902,1105,1329,1444,8653,18857,19505,21445,22793,23597,21797,13850,6619,148463,34,43,47,32,17,0,0,0,172,32,68,51,40,25,0,0,0,207,85,386,459,888,1156,1919,1676,1045,7615,153,486,555,961,1200,1919,1676,1045,7999,36717,35543,38742,41222,41828,36737,21825,7397,260016,1896,2091,2057,2000,1855,2028,2200,2107,16235,38764,38119,41358,44183,44882,40693,25702,10545,284248
103,3,8,12,10,10,0,0,0,39,15,37,34,19,17,0,0,0,117,38,169,338,473,680,1170,765,489,4123,56,216,383,497,704,1170,765,489,4286,11243,10738,10297,11285,12190,10342,5619,1375,73081,1193,1318,1265,1066,1023,876,585,221,7537,12486,12266,11940,12847,13916,12385,6972,2090,84902,0,4,0,0,0,0,0,0,8,9,5,7,3,4,0,0,0,23,10,35,53,106,126,92,44,41,513,19,39,66,114,130,92,44,41,550,10500,11716,11303,12414,13063,11430,6803,2963,80184,846,838,823,832,809,740,668,411,5960,11361,12591,12185,13355,14006,12259,7516,3417,86692,8,15,12,13,9,0,0,0,47,22,42,39,22,21,0,0,0,142,47,200,389,580,807,1256,811,536,4634,77,256,443,614,835,1256,811,536,4828,21742,22452,21595,23694,25253,21775,12417,4338,153275,2031,2153,2084,1897,1833,1617,1249,636,13498,23853,24861,24125,26203,27917,24652,14480,5504,171594
104,12,4,7,7,0,0,0,0,34,3,14,22,13,10,0,0,0,65,28,139,222,403,536,1076,823,471,3698,44,166,247,427,555,1076,823,471,3798,6687,6324,6646,7476,8970,8626,4237,1068,50045,650,929,826,734,678,539,405,219,4985,7392,7415,7727,8641,10197,10242,5462,1758,58824,0,4,0,4,3,0,0,0,18,3,0,10,0,3,0,0,0,16,10,27,42,89,103,120,60,34,478,13,32,49,96,108,120,60,34,514,6390,6975,7608,8818,10406,9724,5437,2238,57605,521,604,589,554,545,554,543,439,4346,6921,7617,8243,9471,11056,10399,6036,2718,62467,9,15,8,14,6,0,0,0,52,8,15,27,17,15,0,0,0,84,43,164,261,496,638,1197,873,506,4177,60,195,297,522,657,1197,873,506,4307,13078,13300,14260,16296,19377,18356,9676,3306,107653,1173,1533,1417,1288,1217,1094,943,659,9331,14313,15030,15975,18106,21252,20649,11492,4473,121293
105,10,6,3,4,0,0,0,0,24,5,10,7,11,3,0,0,0,39,17,87,128,222,345,552,357,216,1929,27,103,136,241,353,552,357,216,1987,5476,6325,5256,5542,6395,5207,2746,705,37640,946,1152,950,829,814,665,423,186,5959,6442,7578,6344,6613,7562,6418,3526,1104,45590,0,4,0,3,0,0,0,0,4,0,3,3,0,3,0,0,0,13,3,12,33,57,62,42,15,25,241,0,15,29,61,64,42,15,25,259,5347,7011,5785,6055,6872,5550,3414,1398,41441,733,880,820,733,726,611,541,344,5386,6079,7914,6641,6852,7663,6204,3973,1761,47084,10,9,3,7,5,0,0,0,27,3,17,5,13,11,0,0,0,48,15,101,164,278,408,597,376,237,2167,31,117,174,300,420,597,376,237,2244,10817,13339,11038,11598,13269,10757,6162,2104,79086,1673,2031,1769,1562,1538,1274,965,526,11340,12519,15489,12978,13463,15228,12627,7498,2866,92669
106,416,450,327,259,71,0,0,0,1512,20,95,101,86,113,0,0,0,414,65,408,648,924,1238,1977,1288,613,7167,495,951,1073,1273,1419,1977,1288,613,9091,15840,15582,14990,15359,15690,13257,6664,1356,98746,1188,1565,1356,1147,1021,842,649,286,8057,17527,18093,17424,17779,18133,16078,8597,2259,115891,59,121,67,50,8,0,0,0,306,4,12,20,26,12,0,0,0,75,30,83,153,269,271,201,79,39,1133,94,223,233,347,287,201,79,39,1509,15299,17327,16760,17362,17876,15634,8349,3082,111689,847,878,808,742,704,737,695,545,5952,16239,18420,17801,18448,18866,16575,9129,3668,119155,478,570,387,305,73,0,0,0,1823,22,109,116,114,123,0,0,0,487,98,491,796,1201,1512,2183,1363,651,8298,592,1176,1308,1620,1711,2183,1363,651,10601,31141,32904,31750,32724,33565,28891,15014,4443,210428,2033,2438,2167,1886,1732,1584,1347,832,14012,33766,36516,35227,36228,37003,32654,17724,5922,235041
107,38,143,95,42,15,0,0,0,336,25,68,41,33,37,0,0,0,220,58,308,412,561,771,1043,876,528,4560,119,519,558,641,829,1043,876,528,5114,19436,18410,17420,17676,17490,13772,7641,2151,113994,983,975,815,797,673,652,614,503,6011,20542,19903,18791,19114,18989,15471,9129,3187,125125,13,30,14,3,6,0,0,0,61,8,4,18,7,8,0,0,0,46,19,62,77,126,136,73,37,34,569,35,100,114,139,144,73,37,34,676,18963,19074,18868,19347,19415,16074,9795,4076,125604,915,914,794,672,600,693,784,932,6313,19911,20093,19780,20156,20163,16842,10615,5039,132598,51,170,115,50,17,0,0,0,402,34,78,66,44,42,0,0,0,263,74,367,496,689,908,1115,912,563,5129,156,619,674,784,970,1115,912,563,5799,38396,37484,36288,37026,36902,29848,17435,6226,239603,1897,1892,1607,1466,1276,1346,1394,1438,12321,40453,39997,38572,39273,39152,32307,19744,8227,257723
108,23,7,11,12,9,0,0,0,59,4,34,18,25,26,0,0,0,107,38,198,295,596,895,1981,1687,980,6662,65,238,318,633,930,1981,1687,980,6823,10007,8329,9081,11289,14441,15602,8483,2010,79244,1026,987,918,870,1030,1058,741,414,7036,11097,9552,10315,12794,16402,18637,10910,3396,93102,4,4,0,5,0,0,0,0,12,3,5,3,9,10,0,0,0,24,11,43,61,142,168,183,91,97,794,14,52,59,154,173,183,91,97,831,9666,9425,10514,13118,17328,17681,10554,4258,92544,778,749,735,742,892,1033,1008,783,6716,10470,10220,11306,14011,18396,18899,11656,5138,100094,23,10,7,16,6,0,0,0,73,7,39,23,31,29,0,0,0,130,49,239,351,734,1062,2162,1775,1073,7453,85,289,379,785,1101,2162,1775,1073,7653,19674,17754,19596,24407,31772,33278,19038,6268,171788,1803,1735,1651,1614,1921,2094,1744,1194,13754,21563,19774,21625,26807,34795,37531,22565,8536,193195
109,28,33,21,27,6,0,0,0,120,3,11,17,18,16,0,0,0,67,19,111,178,282,443,896,596,343,2858,51,160,212,323,463,896,596,343,3043,6101,6013,5768,6327,7212,6637,3438,847,42342,602,569,544,570,604,613,360,189,4055,6757,6738,6530,7224,8281,8142,4386,1382,49443,11,11,6,8,4,0,0,0,35,0,0,7,3,3,0,0,0,12,5,29,47,94,123,94,39,26,455,19,39,54,94,127,94,39,26,500,6017,6383,6482,7006,8053,7390,4337,1723,47397,521,523,511,479,554,531,512,286,3921,6560,6944,7048,7584,8737,8014,4889,2032,51818,40,39,35,33,8,0,0,0,155,5,20,20,17,18,0,0,0,77,25,139,222,374,560,991,627,370,3313,73,200,267,424,594,991,627,370,3545,12117,12392,12248,13339,15266,14032,7774,2570,89738,1127,1085,1059,1054,1158,1144,873,478,7977,13312,13683,13574,14812,17022,16158,9280,3413,101262
110,9,14,10,11,6,0,0,0,46,6,27,16,26,12,0,0,0,98,24,173,230,412,582,1099,620,442,3584,43,215,257,443,604,1099,620,442,3730,9577,9267,8559,9197,10363,8821,4938,1046,61773,1319,1159,1024,1083,1069,916,606,285,7470,10936,10649,9843,10734,12042,10835,6162,1773,72974,0,6,3,0,0,0,0,0,8,0,3,6,9,3,0,0,0,22,9,34,49,100,146,102,38,28,513,13,44,57,109,151,102,38,28,546,9500,10177,9451,10190,11408,9801,6180,2387,69104,1318,1089,971,996,987,835,759,482,7435,10828,11307,10485,11300,12547,10739,6981,2895,77085,9,19,14,11,11,0,0,0,56,13,31,29,35,16,0,0,0,124,36,213,278,515,725,1196,664,472,4099,56,258,321,557,751,1196,664,472,4273,19076,19445,18014,19396,21775,18620,11121,3436,130876,2639,2244,1999,2076,2063,1751,1365,766,14907,21767,21953,20328,22031,24586,21574,13144,4669,150057
