SA4_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101,41245,23664,26755,27123,31454,35370,31264,16162,5776,238810
102,62348,38764,38119,41358,44183,44882,40693,25702,10545,346596
103,41367,23853,24861,24125,26203,27917,24652,14480,5504,212962
104,24834,14313,15030,15975,18106,21252,20649,11492,4473,146127
105,22899,12519,15489,12978,13463,15228,12627,7498,2866,115566
106,56899,33766,36516,35227,36228,37003,32654,17724,5922,291946
107,56114,40453,39997,38572,39273,39152,32307,19744,8227,313842
108,35834,21563,19774,21625,26807,34795,37531,22565,8536,229035
109,22291,13312,13683,13574,14812,17022,16158,9280,3413,123552
110,35503,21767,21953,20328,22031,24586,21574,13144,4669,185560
111,67624,48868,51995,48540,48194,47431,41675,25316,10881,390519
112,42820,25007,25763,29993,33175,37504,35234,19222,8337,257061
113,31999,20495,20957,19057,19343,20423,17036,10095,4250,163656
114,26100,15312,15749,16449,19016,23275,24844,14997,5266,161006
115,53970,33968,25876,39217,37757,31141,24274,13127,5023,264371
116,91082,51193,60222,68328,47949,38101,27249,12543,4339,400997
117,32822,41325,95819,59167,38106,29296,20220,10722,3864,331340
118,40017,28513,50336,39986,34027,26890,21255,13846,6538,261410
119,108789,76399,96482,84427,74330,68740,50540,30611,14802,605118
120,45793,35983,57158,46480,39339,33603,25007,14410,7002,304771
121,76197,46590,52341,66457,60609,48514,38403,24095,10839,424045
122,48729,30004,28875,35504,40004,32479,24219,16501,7243,263554
123,66343,37850,41205,43295,36693,32242,24464,11516,3676,297292
124,66798,40996,45804,45750,42308,38760,31058,15357,5235,332056
125,94492,61222,92360,79837,55620,48592,34513,19004,7867,493515
126,34421,23284,32358,31980,24919,22731,17441,9771,5131,202038
127,98998,64803,68011,65464,59513,54724,37252,18477,7189,474430
128,42415,26918,26347,30496,31812,28471,22879,13841,6432,229604
197,0,0,0,0,0,0,0,0,0,0
199,1260,1357,2187,1859,1678,1648,1055,277,49,11371
201,31077,19625,20702,20511,22505,22951,21034,11207,4317,173937
202,30064,18181,19470,19900,21340,22501,20611,11184,4517,167764
203,59198,37910,43726,42274,40725,39586,36603,19915,7951,327878
204,31652,19268,19590,20571,23472,26908,24963,13515,4995,184935
205,51030,29655,32721,32526,36176,44190,43532,23088,7929,300848
206,66953,80744,165518,101098,72005,57113,40849,22859,9883,617018
207,58821,50778,48770,47868,50484,44690,35247,24535,12274,373472
208,73150,49514,52356,58144,62017,50866,40065,24201,12330,422639
209,103492,63637,79907,82221,70726,59510,45359,25301,10509,540664
210,88099,51930,66484,63605,52242,44310,31338,18511,7813,424328
211,92299,60902,63632,71380,71072,65046,52068,30085,11817,518301
212,171128,112253,135372,128149,105254,87733,65298,38777,16090,860060
213,184300,100641,143011,145115,103717,80576,57764,27656,10261,853054
214,53347,32838,33635,37531,41592,40137,37037,23071,9042,308226
215,27029,16235,19014,17096,18791,22053,19161,11254,4936,155568
216,24877,14995,15849,15095,17103,18610,16928,10196,3977,137618
217,21799,13297,13911,13918,16268,18691,17082,9292,3801,128069
297,0,0,6,16,3,14,4,0,0,38
299,1143,1131,1819,1736,1393,1074,613,152,29,9089
301,44465,27424,25213,31512,33944,31466,26149,14286,5357,239817
302,40142,26322,34804,34255,29413,24008,18455,11532,5665,224598
303,68221,49863,62651,58565,46177,36808,27025,15159,6553,371026
304,36334,28277,21274,26964,26684,19864,16295,9557,3973,189213
305,38449,46545,65488,45413,37922,27803,18169,8943,3515,292245
306,46982,27879,31475,32189,35054,34431,27588,13655,4493,253748
307,25000,13972,14203,13919,16348,17837,15512,8831,2990,128622
308,47327,27162,29341,29745,29532,29700,21026,10759,3660,228246
309,112670,77239,87681,86865,86348,75612,64273,37005,13071,640778
310,80856,47914,54131,51386,45864,39407,28192,14646,4732,367126
311,80232,47545,51304,48793,44589,38061,29951,14808,4487,359767
312,35571,20946,25239,24629,24580,23611,15993,7740,2586,180894
313,47955,30248,30033,31179,34059,33568,32966,18666,6077,264752
314,47481,27638,29186,32269,30394,22820,16960,8423,2531,217700
315,17679,10269,12397,10209,10021,9773,5970,2775,739,79827
316,67845,42362,41927,48364,54134,54274,50066,29199,10669,398840
317,31836,21303,21719,19577,19294,18465,16065,9907,3892,162059
318,44346,32464,32165,29457,30071,28512,22014,11404,3857,234283
319,49487,30381,28800,30385,37716,46806,48658,27252,8257,307745
397,0,16,49,64,45,5,3,0,0,183
399,1437,1495,2649,2077,1929,2468,2124,444,44,14670
401,49496,40250,41193,40315,40385,38099,33358,20042,9235,312377
402,88348,57005,67498,62792,55385,51867,40363,23332,9116,455707
403,62861,43524,46809,48951,48143,47464,42973,23747,10381,374859
404,36832,28569,38206,32592,31160,30976,24047,14441,7525,244347
405,19009,10949,10690,11731,14294,18061,17043,9401,3306,114487
406,15369,8747,10875,9685,10764,11494,8955,4997,1759,82646
407,30821,18888,19380,20059,24037,28670,29238,16630,5989,193709
497,0,0,0,3,5,0,0,0,0,12
499,409,394,627,534,478,513,359,64,11,3377
501,35689,18914,19963,24032,25548,25879,23091,11650,3986,188747
502,18829,11296,10886,11904,13147,14327,14903,9248,3095,107641
503,27405,23439,31226,26204,23348,20445,16415,9364,4406,182267
504,53519,32391,41245,40744,36289,32139,23530,12238,4488,276573
505,111561,68940,79404,84122,77506,65784,51388,27668,10928,577297
506,103171,66450,80825,80385,65525,56276,44457,23222,9154,529466
507,86762,53437,60317,63557,58745,51211,39261,21356,8752,443407
509,23900,13030,13823,15284,18137,21212,18757,9724,3308,137175
510,21036,10097,17080,15963,12321,9031,3443,949,204,90128
511,23139,13225,15956,15584,16262,15931,11367,5542,1749,118758
597,0,42,116,170,109,62,18,0,0,514
599,772,820,1512,1543,1313,1144,758,155,30,8055
601,41578,28141,39761,31656,29653,29934,26145,14594,5631,247086
602,25022,16722,19292,16981,18961,20938,18944,10599,3742,151195
603,6440,3817,4013,4662,5484,7233,6486,2862,733,41734
