SA4_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
206,1882,5795,7678,594,1454,2047,748,3350,4100,745,6017,6760,1759,9091,10850,1824,7054,8882,4251,6470,10712,4298,8573,12872,5667,11743,17410,7025,11340,18366,5691,11084,16784,6393,9581,15982,15597,19034,34635,13259,2841,16104,12809,5604,18411,9734,1506,11242,42696,10205,52894,6499,4041,10537,1055,2013,3074,142533,136801,279332
207,1948,1923,3878,673,652,1323,680,1184,1863,553,1946,2495,1463,4269,5725,1501,3328,4827,3792,2643,6433,3654,3089,6745,4792,3438,8235,5587,3006,8591,4260,2663,6923,4572,2235,6804,10170,4028,14193,8058,575,8635,7548,1149,8695,5464,292,5756,27911,2003,29914,5407,767,6170,868,923,1791,98901,40106,139003
208,1287,2023,3312,466,736,1210,483,1343,1820,425,2517,2943,1271,5979,7251,1324,4283,5613,3603,3272,6876,3683,3951,7639,4877,4509,9385,5740,3865,9604,4537,3537,8072,4879,2938,7823,11637,5138,16779,10033,589,10628,9790,1460,11252,7155,251,7409,34794,2358,37152,5843,612,6462,1117,1353,2472,112961,50723,163682
209,1799,1915,3713,613,579,1194,681,1481,2162,722,2882,3606,2133,6960,9095,2309,3903,6215,7007,3106,10114,6489,3832,10322,8164,4266,12434,9760,3738,13503,8066,3350,11414,8381,2538,10922,19000,4053,23057,15262,628,15895,12808,957,13767,8651,240,8893,22188,1075,23265,7374,809,8179,1675,1347,3019,143087,47670,190761
210,1485,1466,2951,463,401,862,572,1075,1644,632,2061,2694,1852,5144,7000,2182,2613,4797,5991,1969,7959,5674,2564,8236,6933,2792,9729,8071,2302,10371,6508,2138,8639,6641,1568,8205,14410,2644,17055,11212,404,11611,9102,573,9677,6058,176,6238,14070,770,14832,5635,480,6115,1476,1081,2556,108960,32228,141191
211,1532,1722,3254,608,619,1226,574,1314,1890,619,2615,3230,1911,7445,9360,2082,4725,6806,6454,3416,9874,6465,4046,10511,8190,4230,12423,9774,3242,13015,7501,2806,10305,7968,2145,10115,18514,3369,21887,15584,445,16026,13177,716,13891,8798,165,8966,22890,880,23772,7547,531,8074,1422,1468,2885,141613,45894,187508
212,3038,3038,6078,985,844,1830,1123,1907,3033,1187,3805,4994,3400,9651,13050,3696,5558,9253,11055,3917,14976,10863,5506,16368,13596,5909,19503,16651,4613,21262,13354,3832,17194,14309,2812,17120,31198,4224,35418,23610,1014,24626,17946,1158,19107,11255,502,11764,26251,1695,27944,12032,1282,13314,2523,1983,4502,218079,63269,281345
213,2863,2764,5625,845,714,1567,1116,1907,3026,1289,4149,5440,3411,8874,12285,3975,5032,9013,10670,3884,14555,10256,5347,15607,12491,6071,18563,15647,5225,20880,12878,4587,17462,13180,3483,16660,29768,5706,35476,22510,1003,23510,18344,1497,19839,11997,460,12458,29848,1905,31749,11322,1245,12566,2598,1982,4579,214999,65854,280854
214,824,1235,2057,355,446,801,358,1002,1362,345,2106,2452,1374,6073,7449,1410,4297,5708,4729,2684,7413,4461,3123,7587,5617,3194,8809,6251,2375,8623,4523,1946,6468,4926,1409,6338,10798,2040,12842,8540,218,8759,6680,449,7129,4249,73,4326,11021,756,11775,4825,339,5165,1179,1425,2603,82475,35200,117669
215,426,629,1054,181,272,458,202,734,937,257,1533,1790,936,4264,5200,954,2288,3241,3231,1510,4744,2773,1985,4762,3257,1779,5039,3609,1180,4791,2483,929,3412,2694,610,3308,5278,843,6116,3513,147,3666,2299,175,2474,1305,56,1364,2683,319,3000,2677,193,2868,845,1183,2027,39605,20645,60251
