SA4_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
111,3,11,8,31,10,3,6,0,0,82,0,37,24,125,70,54,55,36,8,393,0,6,9,45,22,57,129,129,105,502,4,13,15,31,9,4,10,0,0,87,0,20,36,169,40,22,4,4,0,295,0,7,0,11,6,12,13,0,0,61,0,7,57,132,60,59,48,23,6,388,0,0,0,5,0,19,43,27,6,97,0,0,5,11,4,10,12,6,0,47,0,3,4,17,7,5,0,4,0,39,0,8,69,302,15,3,0,0,0,395,0,8,5,32,27,36,117,104,42,368,12,106,163,623,450,424,313,148,39,2278,0,0,0,13,36,94,155,86,37,428,7,28,88,284,21,8,11,4,0,448,0,3,7,21,41,30,13,4,0,126,11,57,90,274,80,35,17,9,0,568,0,0,0,38,22,31,49,24,15,180,0,0,10,39,16,24,13,5,0,109,5,20,21,99,98,151,175,131,43,740
112,0,0,0,0,0,3,0,0,0,8,0,17,4,85,42,35,45,30,14,262,0,4,11,154,30,34,83,65,53,424,5,17,18,83,29,12,14,0,0,173,0,0,8,29,5,3,0,0,0,55,0,0,0,7,0,8,5,5,0,24,0,3,3,34,22,36,20,7,0,126,0,0,0,0,0,7,25,17,7,55,0,0,3,6,0,12,13,0,0,35,0,0,0,6,0,4,0,0,0,9,0,5,13,85,3,0,0,0,0,97,0,3,6,41,30,42,116,99,29,361,4,66,103,626,482,527,472,200,53,2518,0,0,0,3,3,3,3,4,0,14,0,0,4,18,4,3,3,0,0,38,0,0,6,27,61,39,15,5,0,158,0,51,46,131,27,14,6,0,0,273,0,0,0,17,5,12,19,8,4,67,0,0,0,6,5,0,0,0,0,16,0,4,9,41,63,91,130,101,33,470
113,10,96,101,120,44,13,9,3,0,399,0,11,5,30,20,11,13,12,4,88,0,6,6,42,9,57,166,169,101,555,0,0,3,4,5,0,0,0,0,16,0,3,4,34,0,4,0,0,0,48,0,0,0,7,9,3,4,0,0,21,7,48,33,177,48,40,7,0,0,358,0,0,0,3,0,5,9,3,0,11,0,0,0,7,0,0,0,0,0,13,0,7,8,81,17,6,0,0,0,128,0,0,16,104,9,3,0,0,0,128,0,0,4,3,3,16,42,33,13,112,11,55,87,247,127,117,101,29,7,780,0,0,0,0,0,4,0,0,0,7,0,16,30,99,36,14,5,0,0,203,0,0,7,17,8,9,0,0,0,44,4,75,70,273,90,24,5,0,0,536,0,0,0,7,0,3,6,3,0,23,0,4,22,56,20,23,10,0,0,135,0,0,3,22,12,32,36,24,6,133
114,0,0,0,13,0,9,6,0,0,25,0,3,0,32,30,43,39,44,5,192,0,0,11,26,30,43,110,82,33,324,0,0,5,7,4,4,9,0,0,22,0,8,8,36,10,3,0,0,0,60,0,0,0,10,12,10,8,7,0,48,0,3,4,18,8,25,9,3,0,71,0,0,0,0,0,30,67,39,13,154,0,0,0,5,0,10,19,11,5,46,0,0,0,5,0,3,3,0,0,13,0,4,23,257,5,0,0,0,0,298,0,0,0,8,15,27,112,87,26,280,0,26,41,165,196,205,250,131,16,1033,0,0,0,5,7,11,9,4,0,37,3,12,3,33,7,3,0,0,0,56,0,0,0,0,22,13,3,0,0,44,5,30,37,135,29,13,6,0,0,251,0,0,6,13,5,13,30,9,5,78,0,0,0,8,4,3,0,0,0,17,0,5,7,26,40,87,147,114,28,457
115,0,0,4,48,28,26,11,0,0,125,3,15,31,128,84,75,54,35,5,441,0,0,6,60,56,127,274,185,86,797,0,24,25,18,16,11,3,4,0,106,8,134,188,510,492,236,130,59,14,1778,0,0,17,104,143,173,123,75,15,653,3,69,105,321,216,213,247,123,19,1311,0,0,0,24,26,86,180,121,28,467,0,0,5,24,21,24,23,8,9,118,0,0,4,35,24,12,27,6,0,114,0,7,27,180,56,11,12,0,0,294,4,3,18,18,25,55,76,67,30,301,17,115,213,382,323,322,162,82,18,1640,0,0,0,4,6,6,9,3,0,37,9,139,86,471,134,107,46,18,8,1013,0,0,0,14,27,21,11,0,0,73,4,64,138,550,303,276,233,48,9,1623,0,4,0,48,39,60,87,17,9,255,0,0,0,18,10,3,0,0,0,38,0,16,22,48,71,74,92,57,25,408
116,3,63,141,417,210,158,77,20,6,1101,0,24,18,121,40,56,49,41,6,356,0,0,7,65,48,117,165,165,59,639,0,16,17,17,4,3,3,0,0,61,0,31,100,349,232,176,101,51,8,1048,3,24,24,289,210,229,200,82,11,1075,4,49,55,274,120,113,121,39,10,793,0,0,0,28,41,143,431,281,87,1021,0,5,15,65,39,70,63,36,9,299,0,10,22,152,113,84,57,23,5,471,0,53,206,1377,194,46,27,3,0,1908,0,7,6,19,18,37,73,51,23,228,53,429,790,1647,658,423,209,57,8,4272,0,0,3,20,24,16,25,16,4,105,35,386,352,1663,429,272,133,29,7,3304,0,9,15,22,17,13,7,0,0,78,50,421,1027,4059,2132,1969,1283,294,47,11287,0,4,4,55,49,70,110,42,33,377,6,59,129,302,244,232,140,40,4,1157,0,3,19,34,53,91,80,54,16,356
117,0,10,11,102,58,58,24,7,6,278,7,7,66,1723,230,132,58,28,7,2262,4,15,58,937,143,104,146,132,62,1597,4,24,77,354,163,64,24,8,7,718,4,20,95,782,130,45,27,17,0,1126,0,12,9,118,94,106,113,80,32,563,3,18,231,1058,250,182,150,52,8,1948,0,0,5,10,18,21,54,46,15,174,0,0,11,59,20,24,7,7,0,127,0,0,55,72,8,16,14,4,0,172,0,6,148,303,30,4,3,0,0,498,0,7,17,183,55,38,41,16,5,361,9,41,330,1980,849,754,437,104,28,4522,0,0,0,56,23,39,54,34,18,217,3,8,64,295,14,14,9,4,0,413,0,3,8,31,37,24,11,0,0,111,5,30,139,1109,289,164,76,28,5,1845,3,6,5,230,55,45,61,23,4,430,0,0,0,17,9,9,3,5,0,42,0,3,31,450,178,153,99,51,9,973
118,0,3,5,32,35,32,33,21,14,167,6,20,57,1754,273,130,69,36,16,2367,4,13,25,644,114,98,128,164,95,1286,4,25,21,93,53,34,20,3,4,263,3,8,37,107,37,28,14,7,0,259,0,3,3,50,46,77,46,30,21,278,6,12,141,235,136,128,155,69,17,890,0,0,0,6,8,13,55,50,20,146,0,0,0,39,8,18,14,9,0,86,0,0,17,18,6,12,0,5,3,57,0,8,52,89,3,3,0,0,0,161,5,16,7,128,40,33,30,33,18,309,25,52,155,1107,586,516,307,111,34,2889,0,0,0,20,11,9,11,0,3,61,0,8,23,90,11,9,7,3,0,144,0,3,4,14,38,20,7,4,0,99,4,22,66,376,133,68,26,14,3,721,0,0,7,150,48,44,134,37,40,467,0,0,0,8,6,15,3,0,0,32,0,11,10,322,144,128,93,62,17,786
119,0,40,76,374,232,188,71,20,5,1010,0,35,11,323,130,79,66,53,24,722,5,16,32,330,164,339,550,697,442,2575,3,15,21,98,73,35,22,8,0,279,3,31,89,460,257,317,190,136,57,1550,29,187,420,2878,2575,2840,2212,1184,272,12593,18,80,252,1334,426,295,277,95,22,2810,0,0,0,10,15,49,154,133,51,410,0,0,4,77,56,61,69,53,16,333,0,21,69,619,133,100,30,19,5,1011,17,91,3118,6216,318,60,28,4,0,9852,3,0,3,38,21,25,28,37,12,176,21,174,505,1231,648,606,289,82,15,3562,4,23,55,407,419,719,929,512,135,3190,44,217,559,2000,391,228,72,14,0,3532,0,0,7,27,31,29,11,11,5,116,21,178,336,1816,559,479,264,77,17,3737,0,3,7,176,58,59,81,40,30,448,3,3,21,95,67,82,45,11,3,320,0,13,8,67,52,89,87,51,30,392
120,0,4,3,43,28,21,8,4,0,111,0,18,16,503,227,149,79,44,9,1055,3,31,39,452,243,459,828,927,598,3593,3,13,30,103,55,32,13,11,0,265,3,82,218,1500,449,397,216,139,49,3052,0,9,20,211,229,287,286,198,54,1293,4,17,147,823,196,134,137,74,20,1540,0,0,0,9,13,20,43,54,20,154,0,0,9,47,13,28,22,0,3,116,0,0,13,56,22,40,12,19,7,171,3,25,2679,2683,92,16,6,0,0,5500,0,5,10,45,38,24,29,28,14,200,13,62,154,770,553,415,238,83,19,2314,0,0,0,31,22,18,15,10,5,101,8,37,43,238,46,35,17,7,0,428,0,0,0,15,31,16,14,4,4,97,11,68,109,859,215,129,136,24,3,1555,0,0,5,86,38,57,61,18,12,284,0,0,0,6,3,6,4,3,0,30,0,7,16,127,133,114,90,45,12,533
121,0,0,3,25,16,15,13,5,3,83,0,30,31,332,227,154,96,47,22,940,0,19,12,287,108,132,185,188,116,1042,43,169,129,448,323,179,97,41,9,1433,18,185,287,1090,646,336,209,117,25,2916,0,4,5,66,67,106,71,64,15,396,9,56,131,733,406,311,314,165,45,2172,0,0,0,5,5,10,19,15,4,64,4,0,3,45,24,27,12,9,5,127,0,0,7,32,25,20,18,10,13,124,0,16,392,967,78,11,4,5,0,1467,5,25,32,97,111,69,79,81,43,538,19,146,313,982,878,778,448,258,72,3898,0,5,0,25,13,21,10,12,7,95,4,47,20,265,58,35,30,9,3,465,0,3,6,32,109,101,55,41,12,361,13,125,142,975,326,165,98,40,5,1900,6,14,16,176,87,74,112,41,21,548,0,0,0,11,9,0,0,0,0,20,3,29,42,188,206,208,159,126,42,1001
122,0,0,0,7,6,13,3,5,6,38,5,36,33,243,226,126,63,55,17,805,0,9,24,259,98,160,283,253,114,1200,4,19,29,64,54,38,34,9,4,252,0,16,18,106,43,36,37,13,4,273,0,0,0,21,36,46,13,14,3,138,3,4,17,46,57,64,44,33,4,268,0,0,0,0,0,16,10,6,5,41,0,3,0,9,6,7,7,5,0,33,0,0,0,4,4,0,3,0,0,17,3,0,191,367,15,3,0,0,0,580,0,36,26,95,93,72,72,114,54,567,8,59,149,929,679,568,356,139,37,2931,0,0,0,7,5,11,6,7,0,42,0,3,7,29,17,8,3,0,0,69,0,0,0,19,43,33,22,3,3,117,4,32,58,260,101,78,49,14,0,607,0,11,3,75,40,33,49,17,7,228,0,0,4,5,9,0,3,0,0,20,0,29,43,180,206,179,146,102,36,923
123,0,24,101,380,169,115,47,20,9,863,0,19,10,106,66,64,60,39,8,375,0,0,9,43,53,119,171,119,62,579,0,4,12,8,6,5,5,0,0,41,0,7,10,48,16,9,11,3,0,108,6,11,22,283,228,206,128,51,12,950,4,8,10,90,41,50,55,20,0,288,0,0,0,16,14,34,122,71,15,274,0,0,9,42,38,70,65,29,0,264,0,0,0,35,13,11,9,0,5,76,11,60,217,1362,205,42,21,9,0,1920,4,0,0,12,17,31,97,37,17,214,12,258,430,1032,474,332,189,60,9,2799,0,0,3,34,36,49,38,11,4,163,7,110,125,506,161,112,32,6,0,1061,0,4,3,21,18,8,13,0,4,67,16,92,244,902,409,347,232,53,8,2304,0,0,5,66,52,50,92,30,10,300,0,44,99,275,196,239,113,31,0,999,4,12,19,52,84,134,195,100,24,623
