SA4_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
319,0,4,5,20,11,8,9,0,0,53,7,42,56,165,137,162,97,49,15,725,4,18,5,43,24,17,17,9,0,133,0,9,13,96,0,4,0,0,0,123,3,20,28,79,14,3,0,0,0,158,0,3,0,10,9,8,0,5,0,36,9,28,36,71,47,64,88,39,9,384,0,17,18,51,19,24,7,0,0,141,0,3,9,9,10,34,26,43,7,139,0,3,10,29,40,33,26,11,6,156,18,72,76,443,192,267,354,319,88,1832,422,1142,1059,2352,1554,1854,1824,1143,348,11706,6953,18656,15714,28506,18044,22370,24311,13708,3445,151711,0,0,0,0,0,0,0,0,0,3,6117,15733,12919,24199,15280,18443,17993,9571,3510,123770,0,3,4,7,3,0,0,0,0,19,0,0,0,0,0,5,0,0,0,11,0,4,0,13,8,7,3,0,0,42,0,3,0,17,6,5,0,0,0,37,0,10,7,68,39,57,62,11,4,256
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,67,29,3,0,0,0,109,0,0,4,91,42,3,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,4,0,0,0,0,0,4,6,0,4,17,3,6,8,4,0,49,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,14,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,7,3,0,0,35,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,6,0,0,11,0,6,21,121,14,24,23,7,0,217,37,63,162,602,259,226,173,37,5,1560,277,478,719,2497,1042,1297,1253,283,23,7861,0,0,0,0,0,0,0,0,0,0,182,360,477,1102,563,778,567,98,19,4153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,5,4,0,0,21
401,6,58,90,193,63,37,45,24,6,532,9,83,105,245,164,111,70,33,9,826,14,118,107,435,178,85,30,22,4,994,0,10,29,146,20,22,14,5,0,249,9,32,38,109,19,4,0,0,0,211,0,4,5,26,18,18,13,15,7,101,20,88,113,195,87,94,81,43,8,728,11,66,180,306,198,103,77,20,3,956,0,8,7,33,43,60,42,35,8,242,0,3,13,67,35,20,21,0,0,171,28,249,374,1320,534,480,416,316,142,3860,171,412,618,1618,740,708,587,423,224,5506,7353,17998,20354,40131,19748,18354,15626,8954,3430,151952,0,0,16,46,13,12,3,0,0,80,6487,14412,14478,24156,14397,13672,11146,6364,3127,108233,6,40,27,140,27,6,0,4,0,235,0,0,3,33,9,18,10,6,0,84,3,20,12,217,18,9,4,0,0,284,0,7,12,63,20,7,9,3,3,138,8,39,40,155,54,69,48,12,3,419
402,0,17,26,71,32,29,32,5,0,210,3,45,110,250,129,103,47,27,3,723,12,64,94,520,134,45,36,19,6,933,0,14,20,97,14,4,6,3,0,152,3,27,49,270,28,19,6,0,0,404,0,3,3,48,24,20,12,8,3,125,10,47,44,149,67,64,55,22,3,461,7,85,177,775,629,662,422,87,30,2886,0,5,15,33,49,100,80,43,37,359,4,18,28,81,52,32,14,0,0,227,58,606,1120,2777,1303,1042,829,475,194,8392,479,1100,1146,2857,1230,1046,896,596,291,9644,14898,30610,29783,65404,27595,25199,19080,10533,3569,226664,17,249,674,1477,415,169,65,14,3,3097,13061,24750,20266,39845,18366,15710,11904,6290,2347,152540,4,47,31,302,30,14,3,0,0,445,0,0,7,116,47,76,41,23,4,315,0,7,8,66,13,3,5,0,0,99,3,48,79,500,273,204,143,32,15,1301,3,7,23,75,30,37,19,11,3,205
403,3,34,50,105,52,27,39,9,6,313,0,147,173,385,292,145,95,42,4,1286,3,13,43,175,66,42,33,15,0,389,0,5,13,54,4,6,3,0,0,89,0,25,38,56,9,5,5,0,0,127,0,5,3,21,7,4,6,3,0,52,21,70,70,203,112,99,81,47,6,713,4,25,60,125,81,59,43,7,0,406,4,21,32,75,77,104,71,47,19,445,0,5,16,56,35,36,14,0,0,157,38,298,388,1216,577,525,509,401,151,4102,229,607,638,1730,867,843,745,528,263,6467,9811,22503,22094,46666,23546,22516,20143,10946,3897,182112,4,7,5,34,5,7,0,0,0,67,8910,18819,17265,34419,16977,16724,15135,7521,3845,139616,3,14,18,94,24,8,0,0,0,167,0,0,0,45,32,46,31,8,4,167,5,19,9,254,26,4,0,0,0,319,3,0,5,39,28,19,18,4,0,120,14,23,21,166,59,57,37,16,4,390
404,8,10,18,72,23,14,12,6,0,157,6,57,66,195,98,62,23,17,6,525,0,12,31,156,36,14,8,6,0,261,0,7,7,98,10,6,0,4,0,123,8,15,45,104,15,12,3,0,0,194,0,4,3,24,11,8,7,0,4,61,12,28,38,109,64,48,37,10,3,338,7,102,286,763,554,718,376,134,52,2992,0,4,5,43,19,32,18,13,3,144,0,0,13,27,21,9,0,0,0,77,25,266,474,1448,595,530,463,308,164,4273,158,398,485,1391,628,653,407,325,148,4587,6383,12449,14537,35334,15350,15181,11238,6287,2831,119593,0,9,51,94,30,15,7,0,0,208,5733,10089,10579,21503,10766,10374,7515,4083,2322,82961,3,18,16,112,15,0,0,0,0,177,0,0,0,163,111,138,86,46,16,566,0,11,13,267,22,6,7,0,0,322,0,3,17,109,83,88,74,27,11,417,4,15,9,88,32,29,16,9,0,209
405,0,0,0,3,0,4,0,0,0,5,0,12,8,43,30,23,8,5,0,124,0,6,0,15,0,3,9,0,0,31,0,0,0,12,0,0,0,0,0,11,0,3,3,5,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,10,0,19,14,14,14,4,0,82,0,3,0,7,3,5,4,3,0,26,0,0,0,6,7,8,13,11,4,45,0,0,0,11,5,7,0,0,0,30,5,12,18,107,38,84,106,57,30,449,120,378,330,789,547,659,609,411,147,3999,2806,6997,5766,10997,6985,9062,8663,4609,1332,57223,0,0,0,0,0,0,0,0,0,0,2543,6043,4687,9766,6070,6979,6432,3563,1494,47582,0,4,0,7,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,10,0,0,0,8,3,0,0,0,0,13,0,0,0,20,9,9,9,3,0,60
406,0,0,0,4,6,0,0,0,0,3,6,14,22,39,43,19,15,7,0,152,0,7,0,50,7,0,0,0,0,74,0,0,0,5,0,0,0,0,0,11,0,6,0,7,0,0,0,0,0,12,0,0,0,3,4,0,0,0,0,7,0,0,0,14,7,5,6,4,0,41,0,5,5,15,8,3,0,0,0,31,0,0,0,6,3,17,11,7,5,50,0,5,0,8,15,0,0,0,0,34,10,9,23,141,43,85,97,81,24,509,141,378,371,957,540,525,409,247,91,3665,2425,5387,4596,10528,5458,5990,4623,2443,723,42179,0,0,0,0,0,0,0,0,0,0,2232,4650,3677,8105,4291,4156,3185,1738,698,32738,0,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,9,0,4,0,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,15,3,4,4,0,0,33
407,0,0,0,3,3,3,0,0,0,19,5,31,33,89,58,52,29,15,0,314,0,4,0,48,9,3,0,3,0,73,0,0,0,21,0,0,0,0,0,22,3,39,59,40,12,0,0,0,0,149,0,0,0,9,11,11,12,4,0,46,6,14,12,40,31,33,41,24,3,195,0,20,7,66,29,17,11,0,0,149,0,0,0,10,10,21,29,14,8,98,0,3,11,29,19,15,17,6,0,94,10,44,94,348,117,154,206,140,49,1155,216,608,598,1378,927,1099,1049,677,268,6810,4609,11147,9955,19873,12035,14148,14666,8115,2432,96986,0,3,16,41,14,0,0,0,0,77,4162,9634,7785,15637,9640,11197,10855,5965,2407,77284,0,3,0,16,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,13,3,0,0,0,0,20,0,0,6,26,3,4,4,0,0,47,0,0,6,31,15,21,18,0,0,91
