SA4_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
101,23,79,237,520,1258,2734,3680,2323,750,11604,1840,1076,1088,1120,1150,1206,1153,542,174,9349,17,24,54,115,291,887,1557,1068,346,4359,0,3,5,7,21,41,164,363,278,882,45,87,138,303,779,1611,2205,1298,296,6762,27,47,73,147,466,1361,2503,1890,658,7172,31,21,30,61,141,259,492,398,162,1595,30,21,34,73,220,598,982,743,235,2936,628,1066,1255,1379,1706,1695,1160,480,181,9550,8,7,15,27,97,245,483,425,176,1483,1018,580,701,853,1346,1890,1747,804,363,9302,16130,8524,8904,8350,8712,7998,5333,1937,432,66320,2053,1302,1472,1340,1581,1643,1302,661,252,11606,21360,12371,13251,13167,15413,17535,15755,7909,2332,119093,14,109,362,846,1979,4067,5103,3513,1519,17512,1361,1125,1572,1633,1807,2018,1804,913,310,12543,10,21,88,208,522,1013,1338,830,328,4358,0,3,0,4,9,40,135,365,582,1138,41,84,175,305,616,1191,1573,1037,352,5374,18,43,57,106,305,662,1239,1203,728,4361
102,31,65,271,689,1470,3069,4407,3445,1157,14604,2912,1830,1764,1816,1695,1563,1378,876,241,14075,38,49,69,164,361,1047,1944,1711,551,5934,7,5,4,8,23,81,251,652,557,1588,52,114,174,456,1104,2193,3193,2390,580,10256,50,57,69,186,673,1853,3379,3101,1109,10477,50,25,43,88,164,302,623,649,277,2221,39,33,37,95,286,776,1242,1215,395,4118,1094,2011,2171,2285,2364,2270,1552,793,257,14797,15,11,26,46,160,378,722,737,314,2409,1920,1113,947,1234,1715,2365,2254,1304,532,13384,24151,13678,12560,12818,12557,9862,5988,2612,639,94865,2722,1795,1558,1646,1804,1588,1222,842,475,13652,32195,19909,18615,19909,21395,21289,18898,11851,3929,167990,36,117,420,943,2507,4954,7422,5911,2838,25148,2061,1963,2416,2551,2627,2803,2632,1567,593,19213,26,34,93,313,763,1480,2085,1608,610,7012,5,0,3,4,14,67,228,678,1118,2117,52,146,222,445,979,1764,2531,1823,681,8643,49,48,74,126,332,940,1872,2065,1425,6931
103,23,52,179,379,985,2252,2880,1954,648,9352,2031,1192,1127,1083,1046,1162,1036,536,134,9347,29,26,40,88,256,647,1231,984,275,3576,3,0,4,3,12,44,157,338,249,810,44,89,124,294,726,1450,2004,1277,304,6312,40,44,52,124,403,1124,1955,1594,600,5936,21,19,35,49,105,195,296,267,132,1119,41,25,35,86,192,564,864,693,208,2708,671,1173,1272,1275,1434,1424,937,420,147,8753,7,3,12,35,71,219,413,345,154,1259,1153,623,559,704,1050,1404,1216,677,253,7639,15655,8278,7870,7208,7091,6107,4055,1691,407,58362,2165,1538,1649,1634,1488,1424,1134,657,222,11911,21295,12486,12266,11940,12847,13916,12385,6972,2090,106197,24,89,254,549,1502,3051,4152,3164,1527,14312,1480,1304,1592,1540,1586,1769,1590,923,308,12092,18,18,73,151,445,794,1004,695,258,3456,0,0,0,4,12,31,109,381,505,1042,41,104,174,308,687,1146,1477,971,377,5285,28,29,61,80,246,616,1038,1119,747,3964
104,11,31,121,307,720,1736,2352,1569,583,7430,1062,597,558,627,608,700,729,349,104,5334,12,5,24,73,167,500,1082,846,279,2988,3,0,6,4,9,47,122,264,222,677,25,36,63,140,401,841,1349,931,252,4038,18,19,26,78,253,877,1699,1430,560,4960,19,13,15,47,73,142,260,313,159,1041,21,9,19,48,142,497,762,580,197,2275,367,721,790,987,1087,1214,914,391,126,6597,5,3,9,19,54,168,321,314,148,1041,666,414,368,494,748,1143,1156,567,213,5769,9459,4965,4727,4559,4741,4426,3501,1290,288,37956,1297,884,1116,1053,995,943,750,420,193,7651,12672,7392,7415,7727,8641,10197,10242,5462,1758,71506,19,55,170,437,1081,2380,3336,2592,1221,11291,750,668,799,945,985,1230,1132,706,230,7445,8,13,47,115,328,612,886,607,284,2900,0,0,0,4,12,24,121,301,446,908,13,39,82,168,385,670,939,758,258,3312,22,21,31,55,166,451,893,1031,714,3384
105,12,36,92,206,475,1181,1638,1003,353,4996,1203,605,609,572,513,621,542,268,82,5015,4,16,27,60,124,321,594,417,128,1691,0,0,4,4,8,24,75,171,109,395,11,36,85,181,492,905,1130,697,155,3692,23,20,43,79,268,733,1106,836,309,3417,11,11,17,23,61,133,210,156,67,689,18,11,34,36,105,302,497,317,124,1444,310,523,623,628,705,725,475,176,60,4225,0,0,4,26,64,130,208,186,72,690,528,273,306,373,534,763,612,291,124,3804,8017,4058,4796,3642,3386,3076,1869,801,192,29837,1857,1135,1323,1112,1044,1042,780,462,172,8927,11729,6442,7578,6344,6613,7562,6418,3526,1104,57316,15,37,132,301,760,1716,2077,1624,752,7414,845,697,983,801,843,1022,887,458,144,6680,21,16,42,90,207,420,528,386,128,1838,0,0,6,0,6,23,72,199,255,561,21,46,120,193,428,759,844,599,171,3181,16,29,44,71,179,455,665,618,381,2458
106,28,81,317,691,1420,3050,4185,2676,733,13181,3144,1657,1727,1640,1436,1343,1201,591,146,12885,22,36,72,167,334,937,1719,1230,340,4857,0,6,0,4,19,69,197,445,260,1000,56,112,238,453,1133,2140,2937,1714,335,9118,75,56,107,196,663,1721,2791,2199,692,8500,50,23,51,73,154,284,484,453,167,1739,41,35,41,110,270,687,1161,864,220,3429,1154,1924,2110,2140,2156,2014,1405,593,155,13651,14,15,17,50,130,296,532,513,182,1749,1847,894,931,1172,1496,1922,1754,890,307,11213,21164,11757,11500,10536,9727,7802,4967,1947,376,79776,2639,1798,2112,1902,1772,1607,1118,720,258,13926,29251,17527,18093,17424,17779,18133,16078,8597,2259,145141,29,122,489,1093,2370,4638,6157,4059,1747,20704,2315,1890,2538,2416,2381,2300,2225,1032,354,17451,32,27,119,222,620,1100,1478,940,334,4872,0,0,8,15,17,58,169,453,541,1261,65,115,278,468,999,1682,2074,1395,441,7517,55,65,82,153,377,958,1660,1541,891,5782
107,18,84,256,540,1264,2650,3396,2712,1014,11934,2561,1817,1604,1558,1286,1169,932,563,165,11655,28,45,91,158,339,866,1515,1205,424,4671,0,9,0,3,18,68,201,514,417,1230,50,99,170,400,940,1882,2599,1831,509,8480,49,54,75,165,541,1501,2531,2132,895,7943,37,36,50,80,142,310,471,468,249,1843,24,30,48,83,215,595,919,871,338,3123,658,1811,1935,1921,1951,1835,1096,512,247,11966,14,9,22,36,113,273,494,547,260,1768,1520,1007,980,1248,1630,2075,1895,1067,477,11899,22319,14680,14194,12562,11571,9272,5321,2144,489,92552,2259,1699,1466,1371,1447,1290,970,648,391,11541,28942,20542,19903,18791,19114,18989,15471,9129,3187,154068,38,152,379,874,2179,4304,5793,4783,2353,20855,1804,2006,2251,2214,2099,2015,1794,1120,398,15701,27,55,112,284,649,1207,1484,1166,473,5457,0,3,0,4,7,41,170,519,832,1576,45,125,256,378,833,1570,2006,1683,673,7569,40,39,71,106,309,734,1268,1599,1121,5287
108,19,63,169,420,1046,2700,4675,3249,1098,13439,1832,986,872,918,943,1228,1422,762,230,9193,12,32,39,74,255,849,2067,1607,537,5472,4,3,4,6,13,69,234,586,465,1384,32,69,105,243,652,1465,2803,1874,508,7751,39,45,56,120,419,1421,3024,2622,1003,8749,19,20,27,49,111,232,510,609,259,1836,21,19,31,70,272,779,1412,1063,349,4016,622,1225,1262,1325,1731,1969,1653,758,256,10801,5,7,21,49,101,306,665,652,294,2100,1038,597,530,691,1107,1919,2119,1110,470,9581,13047,7286,5866,6151,7101,7249,6149,2700,618,56167,2020,1329,1245,1234,1284,1431,1320,813,310,10986,18225,11097,9552,10315,12794,16402,18637,10910,3396,111328,15,78,210,586,1586,4131,6285,4879,2330,20100,1379,1115,1302,1441,1722,2186,2296,1436,476,13353,21,24,45,155,428,1056,1601,1238,492,5060,0,3,6,4,13,56,196,634,910,1822,28,81,137,269,615,1320,1879,1453,566,6348,30,33,62,83,246,761,1564,1688,1214,5681
109,11,25,107,208,475,1179,1807,1221,418,5451,1074,650,675,625,626,640,633,336,94,5353,9,23,33,69,124,407,810,629,201,2305,0,0,5,3,12,27,74,189,169,479,20,34,75,154,344,765,1229,781,182,3584,20,17,41,64,244,683,1321,1048,394,3832,17,18,19,31,48,109,188,214,78,722,5,14,25,51,98,269,524,373,137,1496,293,564,707,721,827,803,647,292,90,4944,3,4,6,20,51,116,280,237,97,814,562,317,330,388,551,761,738,396,185,4228,8445,4581,4417,4051,4038,3891,2769,1105,265,33562,1267,744,729,694,796,835,757,389,159,6370,11472,6757,6738,6530,7224,8281,8142,4386,1382,60912,13,40,124,331,835,1769,2546,1926,949,8533,702,785,909,890,924,1059,962,584,211,7026,13,19,28,83,243,474,646,517,177,2200,0,0,0,3,5,28,82,221,283,622,17,42,94,169,341,604,852,627,223,2969,18,14,36,51,136,370,686,754,507,2572
110,22,63,157,298,777,1783,2487,1717,532,7836,1806,1042,949,897,864,1064,834,492,126,8074,14,25,54,89,191,579,1080,802,241,3075,3,0,7,9,9,39,125,261,186,639,45,58,127,269,612,1221,1693,1100,247,5372,44,37,48,132,343,986,1720,1442,541,5293,23,29,30,54,96,192,288,277,115,1104,29,27,24,54,154,488,708,508,162,2154,474,871,977,1024,1128,1193,768,353,94,6882,11,8,10,28,92,209,330,361,155,1204,883,467,470,563,840,1233,1038,576,198,6268,13010,7158,6971,5952,5775,5138,3444,1461,277,49186,2406,1631,1408,1328,1444,1427,1147,673,273,11737,18287,10936,10649,9843,10734,12042,10835,6162,1773,91261,14,74,204,475,1214,2583,3399,2802,1275,12040,1266,1221,1346,1297,1375,1627,1443,840,273,10688,15,20,73,148,349,708,927,709,235,3184,0,0,5,10,9,34,106,294,432,890,24,72,168,303,562,1038,1258,885,304,4614,29,45,50,83,216,625,936,1024,629,3637
