SA4_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
315,6606,13080,182,997,594,2719,478,2479,4558,18254,5809,24451,216,880,332,970,1036,3262,1585,5116,7396,29568,66,374,183,699,300,1307,1919,5702,2467,8092,62,191,157,325,1079,2525,1296,3040,3763,11127,424,991,18193,54765
316,51023,101753,646,3548,4364,19615,1188,5310,23283,89981,29476,118458,1857,7627,3603,11877,7568,23744,13028,43249,42506,161700,168,738,1249,4118,555,1900,6496,16619,8470,23374,587,1825,1738,3786,6003,12889,8335,18506,16802,41883,1171,2411,111501,307754
317,17861,35482,401,2446,1861,9006,507,2348,9590,37881,12361,51678,650,2714,1251,4085,2687,8466,4588,15263,16946,66944,133,667,612,2163,316,1196,3078,8432,4141,12463,245,831,549,1184,2303,4972,3096,6992,7242,19453,685,1438,42730,123315
318,24899,49086,421,2488,2407,11047,775,3596,13125,50614,16737,67739,887,3631,1837,5919,3949,12151,6676,21703,23405,89438,175,865,834,2976,524,1958,4898,13277,6432,19072,352,1111,871,1885,3386,7321,4610,10319,11043,29390,1071,2255,60417,170172
319,42372,84469,544,3117,2679,12555,1169,5503,13201,52012,17596,73184,936,3852,1816,5857,5835,18179,8594,27889,26193,101071,241,1135,1004,3598,739,2787,6044,16976,8037,24495,343,1079,986,2154,5317,11500,6650,14729,14690,39224,1171,2450,84422,227214
397,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,34773,69195,367,1998,3895,17454,458,1969,19408,74097,24123,95518,1995,8368,4442,15554,5991,19251,12431,43182,36557,138693,87,392,816,2628,189,614,3701,8979,4800,12613,518,1626,1664,3645,3904,8311,6088,13587,10888,26192,1312,2730,83532,236813
402,42573,85599,1169,7087,5171,24788,1465,6911,28715,111590,36521,150373,2683,11624,3923,13532,9937,32258,16544,57408,53070,207786,395,1938,1692,6109,1022,3709,9273,25024,12382,36776,1030,3397,2130,4776,8950,19795,12100,27968,24482,64745,2135,4520,122254,362654
403,42066,83983,601,3294,4194,18761,878,3879,22986,87399,28657,113330,2440,10144,4040,13884,8338,26454,14818,50484,43473,163818,185,805,1232,4012,509,1705,6271,15575,8196,22106,731,2254,1844,4045,6461,13913,9031,20212,17227,42312,1506,3124,104269,293239
