SA4_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
101,20363,2534,1200,228,46,10,190,24573
102,31385,4020,1819,332,66,34,251,37902
103,17496,2414,1143,218,44,14,214,21547
104,10776,1591,689,166,34,14,129,13396
105,8339,1273,551,149,25,10,139,10486
106,25680,4100,1876,353,101,38,303,32446
107,31235,3497,1398,275,35,17,210,36671
108,15601,2274,979,238,39,19,227,19384
109,9925,1273,596,91,22,5,119,12031
110,14020,1822,925,174,29,13,199,17190
111,35557,4546,1698,333,77,22,268,42506
112,20052,2656,1030,241,44,26,185,24235
113,14228,1635,789,153,23,17,160,17011
114,12726,1631,664,139,23,14,149,15351
115,39166,2589,841,297,20,8,90,43013
116,52802,3597,1614,899,77,40,223,59253
117,20866,1632,346,132,12,3,89,23078
118,25397,1853,471,93,11,3,50,27879
119,69591,4220,1534,869,80,36,199,76527
120,32518,2074,477,189,17,4,64,35343
121,53335,3529,792,266,20,3,98,58046
122,32617,2546,695,177,20,6,89,36150
123,34983,3210,1648,557,82,37,217,40734
124,34788,3809,1878,421,82,35,238,41242
125,58346,3267,1086,634,54,20,166,63568
126,25298,1432,384,165,3,3,39,27323
127,58965,3856,1687,939,95,41,231,65806
128,28440,2390,829,156,17,0,52,31884
197,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0
201,15154,1371,835,159,27,12,102,17656
202,15159,1326,735,135,19,11,89,17477
203,32720,2638,1249,220,32,17,131,37007
204,15519,1506,837,139,35,13,135,18189
205,24419,2547,1484,232,43,19,224,28962
206,43914,2376,655,157,21,3,65,47193
207,45817,1889,644,222,18,3,79,48678
208,51187,2649,885,159,8,3,71,54958
209,67118,3664,1709,534,36,14,167,73257
210,53890,2632,1257,492,51,19,144,58480
211,63506,4209,1821,466,53,13,173,70230
212,106538,6350,3261,1353,113,72,338,118031
213,105035,6138,3176,1383,135,61,384,116327
214,29800,2845,1374,206,46,17,133,34416
215,12718,1120,708,142,23,11,116,14844
216,11811,1063,668,146,18,4,96,13807
217,11193,909,522,76,17,0,92,12805
297,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
301,25330,3205,1288,230,36,11,126,30228
302,23480,2306,803,182,26,12,88,26900
303,41506,3277,1107,379,32,15,154,46465
304,22954,1938,521,126,15,7,42,25600
305,23388,2207,468,76,15,0,49,26205
306,19564,2652,1055,342,80,37,206,23928
307,10386,1110,671,128,30,14,123,12462
308,19112,3178,1379,260,58,26,202,24219
309,59215,7589,3032,518,114,36,322,70835
310,34491,4484,2455,626,118,58,315,42549
311,34105,4412,2408,614,109,54,314,42021
312,15183,2565,1064,172,35,14,120,19150
313,20641,3587,1745,343,83,28,196,26633
314,24979,2950,1351,221,57,14,116,29696
315,5787,776,416,249,43,16,112,7396
316,35533,4783,1611,284,61,24,202,42506
317,14029,1773,831,170,22,5,114,16946
318,18441,3191,1270,253,51,20,183,23405
319,20696,3231,1554,323,69,37,279,26193
397,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0
401,33402,1986,877,174,19,8,96,36557
402,45717,3915,2293,704,99,42,305,53070
403,37954,3287,1700,268,60,14,192,43473
404,23747,1706,747,221,26,3,100,26562
405,9308,797,527,108,17,9,111,10864
406,6337,572,432,108,21,13,116,7595
407,14803,1413,1001,179,36,16,164,17617
497,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0
501,15357,3318,976,165,57,9,145,20035
502,7500,2311,600,89,27,3,119,10656
503,17169,1741,290,57,9,4,26,19293
504,27581,4694,1318,370,70,25,185,34242
505,62564,9312,2519,519,94,24,269,75306
506,54541,7789,2192,648,135,41,332,65678
507,44616,7945,2169,430,85,27,268,55548
509,10169,1790,597,126,36,13,147,12872
510,6808,1136,460,188,48,17,122,8781
511,8622,1740,571,155,29,15,124,11267
597,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0
601,21690,2232,1323,221,36,11,157,25680
602,12492,1246,807,95,17,6,89,14752
603,3282,340,262,36,10,6,35,3981
604,8989,1142,711,73,14,11,94,11038
697,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0
701,12403,2185,680,250,41,14,100,15671
702,6589,793,378,547,105,84,209,8698
797,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0
801,48600,3377,1646,403,41,22,191,54271
897,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0
901,358,30,16,7,0,0,0,413
997,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0
