SA4_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
101,1025,895,426,266,352,147,43,3159,623,633,434,279,363,99,37,2464,682,726,470,290,348,105,32,2654,7729,7962,5020,3269,3737,889,305,28909,36,52,26,22,17,3,0,159,10093,10274,6368,4125,4821,1250,417,37343,51,90,84,50,76,15,10,368,137,186,142,91,141,37,14,746,50,139,101,95,89,21,12,503,1390,2019,1447,999,1095,202,79,7229,52,67,53,24,24,8,0,225,1679,2505,1816,1251,1426,287,111,9071,11774,12779,8190,5377,6244,1533,524,46419
102,1615,1854,1094,679,834,361,180,6618,1377,1496,894,616,736,283,125,5519,1497,1430,839,530,622,232,96,5245,10528,10398,6184,4124,5023,1741,789,38788,57,66,45,26,16,3,0,208,15076,15252,9053,5968,7227,2619,1187,56375,90,188,174,136,190,69,38,893,321,524,346,249,315,108,50,1908,145,322,242,173,217,84,44,1230,2631,3440,2383,1690,1976,533,232,12883,96,96,73,44,30,8,0,346,3285,4574,3214,2297,2725,804,363,17258,18358,19822,12264,8267,9953,3417,1550,73636
103,653,588,275,196,233,84,33,2064,351,403,283,199,234,55,13,1537,405,410,280,187,216,45,18,1559,8034,8413,5142,3339,3727,770,195,29613,36,54,31,20,12,4,0,156,9480,9868,6012,3943,4424,947,257,34937,27,51,43,23,45,10,6,204,100,146,115,96,80,17,0,554,47,87,55,48,63,19,0,326,1875,2682,1686,1228,1248,198,47,8964,75,85,46,38,20,5,3,274,2126,3045,1952,1432,1456,249,62,10325,11605,12918,7963,5381,5881,1201,319,45260
104,555,622,395,220,255,82,39,2161,329,414,247,175,204,45,12,1413,413,431,249,154,169,36,4,1454,3942,4278,2771,1871,2064,405,100,15427,14,26,15,6,5,0,0,72,5257,5769,3674,2423,2689,564,159,20526,41,80,58,52,72,37,15,352,99,128,131,85,106,20,3,561,46,98,72,48,67,11,5,336,1189,1623,1187,841,842,129,34,5851,57,62,25,15,15,4,0,183,1427,1997,1464,1036,1099,201,57,7280,6680,7763,5137,3461,3789,758,214,27807
105,535,381,153,95,88,30,8,1299,142,120,75,51,43,15,4,454,263,170,80,45,50,14,4,621,4138,3970,2461,1548,1694,326,77,14220,22,32,19,9,4,0,0,87,5095,4678,2786,1747,1891,381,97,16677,18,29,26,18,12,7,0,106,36,45,45,27,31,7,4,197,30,30,31,26,22,0,0,137,1416,1759,1087,714,683,92,14,5774,41,42,25,26,7,0,4,141,1540,1907,1208,810,760,107,21,6359,6641,6585,3993,2555,2652,495,114,23032
106,799,889,491,298,367,147,62,3045,695,720,426,309,303,91,54,2597,720,724,387,280,308,94,36,2555,11116,11356,6885,4667,5008,1313,583,40921,51,62,35,33,21,3,4,213,13375,13759,8222,5577,6007,1653,731,49329,44,74,58,48,72,25,15,337,151,229,141,103,134,41,24,825,81,149,111,89,91,19,10,547,2839,3936,2452,1744,1807,365,137,13287,67,89,66,53,37,0,5,314,3188,4477,2832,2023,2147,451,186,15308,16567,18234,11052,7608,8149,2105,918,64635
107,1518,1777,1027,634,827,484,252,6534,1187,1290,839,542,715,336,167,5081,1286,1257,742,477,629,269,116,4771,10576,10050,5852,3957,4776,1789,807,37813,34,52,30,19,8,0,0,145,14603,14436,8492,5638,6950,2887,1350,54351,104,198,150,137,195,119,75,979,229,362,258,195,251,99,60,1458,92,196,172,134,169,69,35,866,1776,2563,1761,1295,1455,440,186,9479,85,84,60,41,32,6,6,313,2285,3397,2401,1799,2100,734,367,13093,16893,17829,10888,7436,9052,3615,1717,67436
108,417,429,256,178,217,53,15,1561,429,496,333,207,256,53,14,1782,452,511,340,226,222,46,16,1807,5686,6387,4289,2876,3338,664,209,23448,45,50,36,21,17,4,0,172,7025,7868,5251,3507,4046,821,258,28773,40,58,36,40,54,13,7,241,139,205,128,115,108,23,10,735,51,99,91,46,95,18,9,395,1969,2627,1850,1372,1415,239,62,9527,111,124,91,53,36,11,0,427,2308,3110,2196,1625,1695,299,88,11319,9330,10972,7448,5132,5750,1119,348,40097
109,498,433,217,117,146,62,17,1492,234,229,138,91,118,26,12,848,243,259,134,100,97,34,6,873,4413,4458,2684,1757,2064,477,148,15993,24,18,5,9,5,4,0,74,5421,5399,3184,2071,2436,595,175,19280,31,45,34,26,26,21,0,189,57,76,50,43,56,21,3,304,19,35,26,21,28,4,0,138,955,1232,844,609,723,133,35,4542,32,37,38,15,11,3,0,134,1091,1435,989,722,843,181,42,5301,6512,6833,4170,2789,3276,777,221,24584
110,613,620,324,181,250,72,34,2096,228,269,160,126,121,24,4,935,375,379,188,97,158,25,13,1240,6096,6604,4098,2687,2959,538,158,23139,18,48,37,31,9,0,0,144,7336,7918,4814,3109,3495,666,212,27554,26,64,53,34,45,15,7,242,93,145,96,59,68,10,4,473,36,56,41,34,45,7,3,233,1981,2502,1591,1090,1128,143,30,8464,87,90,57,43,20,7,0,295,2218,2856,1839,1262,1306,178,42,9703,9560,10776,6650,4372,4804,842,257,37253
