SA4_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
101,328,364,556,549,718,1308,2680,1555,390,8445,286,394,733,675,901,1494,2577,2001,968,10030,277,604,1145,982,1208,1569,1828,1006,405,9021,214,731,1395,1203,1263,1496,1280,616,216,8425,134,786,1578,1380,1485,1527,948,399,120,8357,76,607,1666,1427,1581,1738,847,216,61,8218,16,389,1245,1159,1242,1109,444,115,37,5755,3,153,1186,1155,1296,984,371,106,55,5309,3,56,749,950,1045,781,199,47,20,3854,3,45,860,1676,1946,1143,260,53,24,5997,0,3,78,258,340,212,51,19,0,972,3,6,96,326,546,311,149,68,15,1525,474,382,942,940,991,1188,1169,921,717,7726,6085,5199,13501,13960,16034,17838,15513,8257,3448,99836,4293,576,995,924,1149,2338,1808,680,280,13047,2856,216,265,311,376,825,985,374,128,6333,1379,585,712,613,786,1589,2021,1018,292,8993,585,684,933,901,1272,2335,4971,3235,867,15782,655,691,1118,1011,1473,2586,4623,3318,1437,16908,781,1104,1658,1402,1812,2571,3387,1819,597,15126
102,639,716,954,965,1145,1970,3991,2677,664,13721,527,811,1117,1147,1418,2128,4130,3467,1730,16465,440,1319,1923,1881,1992,2332,3042,1963,979,15862,297,1422,2227,2175,2201,2214,1844,978,306,13661,134,1288,2427,2283,2372,2245,1232,541,205,12732,54,918,2530,2298,2603,2295,945,286,136,12064,13,425,1868,1834,1892,1432,494,138,70,8174,0,164,1395,1492,1569,1079,347,147,64,6255,0,46,912,1216,1250,842,219,63,23,4567,7,39,878,1873,1940,1119,254,61,21,6198,0,8,101,289,354,171,74,24,18,1037,6,12,80,416,499,337,132,81,44,1608,550,509,1121,1157,1076,1112,1417,1703,1732,10361,9754,9107,19505,21445,22793,23597,21797,13850,6619,148463,7474,1133,1568,1750,1951,3471,2589,1043,457,21439,4131,554,374,532,594,1147,1142,569,214,9262,2647,1359,1181,1066,1185,1908,2420,1448,374,13586,1146,1393,1720,1534,1946,3254,7065,5374,1430,24868,1097,1475,1704,1678,2215,3384,6659,5556,2481,26242,1220,2283,2744,2488,2833,3558,5227,3546,1389,25295
103,304,398,579,526,716,1210,2330,1466,400,7910,278,432,751,699,848,1229,2266,1996,1197,9678,297,627,1240,1129,1128,1290,1353,846,425,8329,207,744,1409,1232,1207,1210,997,505,165,7673,156,811,1527,1277,1423,1249,668,277,106,7486,63,570,1530,1384,1440,1301,554,169,40,7055,25,354,1149,995,1029,819,322,72,15,4793,13,156,900,817,898,682,262,120,43,3885,7,57,582,625,797,524,146,38,16,2788,5,39,583,1052,1170,731,150,41,14,3783,0,4,62,140,178,111,38,18,7,560,4,11,57,195,238,182,108,49,14,862,519,406,922,912,954,994,980,940,622,7247,6010,5354,12591,12185,13355,14006,12259,7516,3417,86692,4440,534,891,852,1037,1999,1460,612,225,12043,2618,250,289,301,340,647,726,303,108,5575,1308,703,726,669,806,1265,1565,880,267,8182,561,689,951,858,1261,2145,4271,3100,840,14679,645,733,1082,1067,1401,2146,4078,3277,1726,16153,778,1054,1651,1548,1608,2124,2584,1583,624,13547
104,246,278,447,478,611,1185,2134,1249,333,6962,199,259,546,515,649,1092,1868,1482,749,7370,167,438,902,810,863,1130,1396,852,362,6919,108,497,935,925,889,969,895,467,142,5822,55,414,994,970,1061,1023,602,262,66,5456,28,269,799,906,1076,1034,460,114,45,4731,9,147,537,603,714,553,212,48,20,2842,0,44,418,472,606,501,173,83,24,2339,0,20,274,364,459,362,88,16,4,1584,0,8,222,530,728,446,116,32,6,2090,0,4,30,72,85,74,24,16,0,308,5,5,39,98,135,102,60,29,11,483,333,240,651,646,634,665,706,709,635,5218,3849,3073,7617,8243,9471,11056,10399,6036,2718,62467,2638,323,584,606,665,1443,1045,397,203,7902,1829,148,199,198,274,528,597,218,69,4068,986,504,613,566,630,1159,1383,607,190,6630,452,516,832,831,1073,2092,3956,2625,742,13119,436,471,873,848,1086,1964,3460,2455,1132,12719,425,804,1299,1172,1299,1954,2580,1524,543,11609
105,160,178,317,304,365,655,1105,723,209,4007,115,218,456,362,389,696,1194,1028,546,4996,163,297,700,511,491,668,671,386,191,4074,119,386,781,559,561,568,423,235,78,3728,75,422,972,705,674,707,335,156,61,4106,52,337,977,725,754,719,261,93,28,3946,12,206,711,512,513,453,150,43,11,2615,6,86,597,457,412,343,108,49,26,2091,5,35,339,325,395,279,76,19,3,1481,0,30,356,558,569,401,104,14,3,2028,0,0,38,71,89,68,13,0,0,283,5,9,44,96,116,95,52,26,9,450,438,369,935,876,817,823,763,739,455,6207,3133,2945,7914,6641,6852,7663,6204,3973,1761,47084,2095,272,570,461,583,1000,797,329,111,6216,1142,113,149,139,145,293,300,139,44,2459,691,382,413,370,496,660,728,441,104,4281,289,361,526,504,675,1201,2077,1518,428,7578,277,375,714,567,704,1293,2214,1672,790,8609,387,481,973,744,802,1069,1273,712,296,6736
106,500,582,940,862,1068,1761,3402,1989,507,11615,461,611,1147,1136,1271,1828,3126,2362,1185,13136,480,1049,1954,1698,1761,1895,2099,1131,435,12499,305,1218,2268,1902,1834,1593,1349,655,175,11298,155,1256,2364,2079,2046,1712,883,327,101,10909,66,787,2365,2090,2190,1675,650,193,57,10080,13,427,1576,1438,1409,965,321,92,21,6273,3,162,1139,1120,1149,786,220,105,39,4731,0,68,708,823,827,511,134,37,14,3131,3,49,745,1227,1272,718,182,36,12,4242,0,4,90,204,193,138,53,20,3,701,7,14,70,213,292,203,98,49,28,970,508,473,983,912,911,897,1007,955,688,7336,8383,7855,18420,17801,18448,18866,16575,9129,3668,119155,6148,828,1454,1467,1628,3353,2177,744,267,18069,3590,403,395,461,504,931,999,375,119,7774,2068,1138,1152,998,1050,1737,2020,990,269,11410,906,1052,1511,1361,1762,2925,6307,4127,1036,20992,928,1036,1724,1632,1954,2947,5394,3892,1697,21200,1198,1769,2582,2200,2380,2901,3800,2131,653,19616
107,653,1020,947,934,1131,1843,3111,2307,654,12594,492,1001,1092,1057,1274,1792,3139,2945,1757,14541,477,1344,1817,1663,1642,1887,2126,1239,596,12794,248,1447,1965,1884,1833,1675,1276,755,221,11315,139,1338,2342,1965,2122,1727,1001,391,139,11170,55,1043,2556,2216,2187,1822,834,231,64,11019,19,565,2016,1708,1625,1219,390,97,31,7675,10,203,1786,1473,1480,1001,315,120,43,6424,7,63,1109,1174,1095,711,178,41,12,4395,5,48,1125,1842,1887,1011,237,59,11,6214,0,10,124,294,284,180,51,13,7,960,11,8,127,405,479,298,113,65,16,1514,514,553,1016,910,813,797,902,977,1029,7515,9419,10487,20093,19780,20156,20163,16842,10615,5039,132598,7345,1350,1660,1590,1709,3284,2152,873,310,20266,3710,701,452,453,527,960,960,400,126,8292,2404,1852,1214,1031,1086,1839,2034,1181,349,12985,1091,1914,1750,1447,1848,3073,5524,4555,1392,22593,1061,1747,1725,1609,1973,2883,5156,4546,2543,23233,1245,2519,2770,2212,2285,2925,3848,2296,893,20990
108,347,439,663,641,942,1942,4149,2606,678,12405,302,418,768,754,1003,1956,3660,2921,1466,13243,286,607,1178,1129,1343,1989,2624,1593,698,11447,198,703,1299,1280,1421,1725,1472,822,275,9191,89,620,1298,1365,1633,1682,935,465,172,8257,43,383,1130,1265,1584,1495,694,272,110,6978,7,201,749,855,991,946,379,120,39,4285,4,59,581,666,830,670,262,125,78,3271,0,20,370,522,651,507,139,44,10,2259,0,17,277,707,964,643,148,49,13,2817,0,9,39,87,117,119,47,13,4,429,3,12,42,125,227,160,112,67,31,786,501,341,826,810,843,1109,1320,1289,1093,8120,5942,4529,10220,11306,14011,18396,18899,11656,5138,100094,4058,455,690,744,1047,2577,1911,671,288,12438,2728,241,252,275,397,910,1038,399,114,6352,1491,822,782,754,1009,2158,2475,1270,420,11178,607,825,1179,1154,1709,3436,7888,5358,1461,23620,697,761,1225,1245,1753,3413,6635,4922,2196,22840,732,1092,1716,1659,2105,3320,4926,2917,1046,19515
109,183,230,342,347,398,674,1534,982,254,4951,151,242,418,414,464,704,1377,1183,631,5586,167,373,664,604,624,884,976,616,271,5183,106,514,786,748,733,787,613,327,117,4728,66,450,961,842,854,864,467,204,92,4803,22,302,914,787,952,898,368,114,27,4393,14,150,617,601,627,504,182,52,11,2741,0,57,476,486,455,413,137,53,25,2100,0,20,261,314,388,292,84,22,3,1391,0,20,228,491,543,367,93,23,12,1776,0,0,32,62,65,70,24,8,4,267,3,10,44,93,144,113,71,31,10,508,308,242,561,558,575,684,740,698,388,4759,3485,3073,6944,7048,7584,8737,8014,4889,2032,51818,2319,277,473,447,507,1119,883,368,161,6557,1571,159,124,152,199,383,449,176,60,3268,797,402,384,418,450,757,1079,525,127,4946,315,397,574,542,694,1178,2866,1992,540,9097,350,404,629,636,768,1221,2490,1969,927,9399,452,628,941,855,927,1376,1842,1124,395,8533
110,347,389,544,499,658,1149,2141,1384,292,7416,239,380,696,626,676,1193,1935,1734,938,8402,317,617,1071,861,917,1128,1182,841,356,7285,181,624,1267,1089,1069,991,796,483,163,6662,106,643,1455,1207,1263,1209,608,281,80,6855,63,490,1387,1284,1231,1106,522,174,32,6299,17,303,911,765,794,703,247,66,25,3841,6,100,678,639,630,537,195,126,29,2938,0,39,444,458,559,427,142,34,10,2113,0,50,437,823,895,554,133,55,16,2959,3,0,50,103,129,92,39,15,10,448,8,11,68,130,187,187,80,49,19,736,776,619,1145,1065,1121,1160,1046,970,630,8535,5790,5044,11307,10485,11300,12547,10739,6981,2895,77085,3796,530,773,643,848,1627,1160,495,178,10052,2114,250,248,246,319,540,582,255,114,4673,1328,776,751,594,790,1226,1357,734,196,7749,568,714,959,843,1173,2071,3975,2851,674,13827,544,631,1049,987,1209,2094,3565,2815,1292,14180,726,984,1525,1275,1435,1885,2213,1457,499,11997
