SA4_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
111,0,0,0,0,0,14,35,19,4,83,0,0,0,13,5,20,9,3,4,58,0,0,8,33,5,5,3,0,0,53,0,8,51,242,7,9,0,0,0,314,0,3,6,37,28,40,117,104,40,379,18,83,132,550,432,397,303,166,48,2123,0,0,7,31,45,99,140,83,49,450,11,41,15,113,11,3,11,0,0,201,0,0,12,32,49,32,24,4,0,158,0,58,108,541,238,270,181,51,7,1456,0,4,0,53,27,38,70,55,36,290,0,3,3,20,16,19,19,0,4,81,0,21,31,83,88,141,178,132,57,730,0,6,26,42,24,20,11,6,0,152,0,49,76,292,152,127,83,32,11,833,0,4,15,83,40,24,16,7,0,194,0,6,8,64,16,3,5,0,0,101,3,21,43,293,135,46,20,3,0,561,0,0,5,11,4,11,0,4,0,29,26,67,81,299,86,102,61,31,4,750
112,0,0,0,3,0,7,34,15,6,74,0,0,0,6,0,5,8,0,0,23,0,0,0,9,4,0,0,0,0,14,0,0,7,61,0,0,0,0,0,76,4,9,10,85,51,57,122,81,31,439,12,84,112,631,490,590,520,217,67,2712,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,0,3,0,0,24,0,6,8,30,51,59,31,6,0,187,6,57,53,353,157,165,115,28,3,939,0,0,0,42,14,13,14,9,6,102,0,0,4,4,4,8,0,0,0,19,0,5,10,64,47,91,119,90,60,492,0,12,7,14,19,20,18,5,0,93,3,25,31,180,123,91,99,50,14,601,0,4,0,31,7,9,9,5,0,67,0,0,4,37,7,5,3,0,0,52,4,26,31,166,114,63,27,0,0,438,0,0,0,0,3,0,0,0,0,12,14,44,49,262,102,114,121,36,12,746
113,0,0,0,4,4,3,10,0,0,18,0,0,0,4,0,0,0,0,0,10,0,3,5,75,22,0,4,0,0,116,0,12,16,80,8,3,3,0,0,121,0,0,3,21,12,6,31,25,9,105,4,70,72,233,94,129,87,28,9,717,0,0,0,0,0,0,0,0,0,5,4,20,19,64,9,3,0,0,0,127,0,0,6,7,5,9,3,0,0,30,3,65,70,318,89,105,53,9,0,711,0,0,0,3,3,5,0,5,0,14,0,15,26,31,28,12,3,0,0,115,0,3,9,19,13,27,37,36,5,147,0,4,6,11,6,8,7,0,0,37,8,33,50,103,63,32,18,4,0,319,0,9,9,58,18,6,7,0,0,101,7,0,10,116,0,0,0,0,0,139,0,8,10,96,36,23,4,4,0,172,7,4,5,8,13,5,6,0,0,56,0,8,15,47,24,24,23,5,0,148
114,0,0,0,4,5,13,48,40,10,119,0,0,0,5,0,6,12,4,0,42,0,0,0,0,3,3,7,0,0,14,6,7,16,218,0,10,0,0,0,255,0,0,4,15,15,30,111,72,27,279,0,24,34,183,194,236,271,137,21,1101,0,0,0,3,4,10,18,3,0,42,0,3,3,20,0,0,5,0,0,29,0,0,0,13,19,17,11,0,0,59,5,25,29,236,82,99,73,16,3,571,0,0,0,18,8,19,38,20,11,113,0,0,4,9,4,0,0,0,0,14,0,4,6,20,34,98,154,102,38,456,0,4,3,7,18,14,10,9,0,64,0,8,21,83,56,50,72,48,12,351,0,5,6,30,10,6,8,4,0,76,0,0,0,30,13,6,0,0,0,53,0,10,12,113,47,26,14,6,0,228,0,0,0,9,4,3,3,0,0,18,3,24,27,102,49,55,63,29,3,366
115,0,0,0,13,18,72,162,102,25,401,0,0,5,27,11,37,30,14,10,133,0,0,3,47,31,21,21,4,0,135,0,10,29,236,28,17,5,0,0,327,3,4,19,30,29,26,65,64,21,258,10,106,206,369,290,289,189,82,25,1570,0,0,5,7,7,4,10,3,4,36,3,135,64,483,138,79,44,16,6,967,0,0,5,11,20,28,8,7,0,83,8,52,113,740,414,437,358,55,37,2218,0,10,4,71,58,77,82,17,8,330,0,6,0,0,3,8,4,0,0,20,0,12,11,38,61,76,82,58,30,368,10,88,90,96,92,81,80,25,11,580,19,212,263,593,455,267,136,63,23,2034,4,58,128,533,446,446,227,123,46,1998,3,25,4,169,75,70,90,14,0,464,3,18,33,199,80,42,16,0,0,385,0,0,0,43,70,36,18,8,3,184,19,106,159,194,67,74,28,11,5,668
116,0,0,4,20,30,172,413,275,99,1021,0,3,14,68,45,84,75,42,26,350,4,3,23,187,123,70,65,23,7,502,3,44,214,1419,82,74,34,4,0,1878,0,3,0,20,14,16,54,62,28,207,44,433,727,1682,627,407,214,52,15,4193,0,0,0,22,15,23,38,17,7,120,36,360,277,1594,335,203,97,27,3,2925,0,3,8,15,32,14,4,0,0,83,26,448,1089,4937,2627,2638,1701,462,174,14104,0,0,4,76,67,91,123,57,92,507,0,60,101,307,255,230,142,42,6,1152,0,4,11,30,53,94,103,62,29,385,8,97,42,83,38,52,32,15,3,371,11,81,113,373,224,153,102,40,13,1104,6,125,187,1292,519,463,278,112,42,3030,3,11,11,143,24,24,29,0,0,244,3,31,51,327,127,58,30,5,0,637,0,12,18,209,174,171,116,50,6,750,14,94,80,164,45,36,20,9,0,460
117,0,0,0,11,0,21,56,60,25,181,0,0,9,54,9,20,15,6,4,123,0,0,48,82,22,14,16,7,0,185,0,0,122,178,7,0,6,0,0,321,0,7,18,152,24,23,23,15,7,263,15,34,341,1502,644,539,282,102,29,3494,0,0,0,57,19,46,57,46,18,243,5,3,19,115,18,12,6,3,3,175,0,0,9,35,48,28,24,0,0,142,4,49,156,1317,350,250,220,56,17,2414,0,4,17,304,57,42,71,34,14,547,0,0,0,13,12,6,8,0,0,44,0,5,41,298,96,96,75,42,10,654,6,22,114,402,87,71,47,11,3,773,0,9,110,488,162,95,88,27,0,980,0,3,36,199,48,28,27,11,0,347,5,16,70,586,81,45,30,11,0,839,9,48,283,3579,406,152,63,14,0,4551,0,9,10,201,109,101,69,41,6,542,53,73,191,1020,193,128,69,41,11,1782
118,0,0,0,4,4,22,62,58,29,177,0,0,4,32,13,23,16,8,3,97,0,0,12,19,3,3,9,4,3,55,0,5,24,68,3,5,0,0,0,97,0,19,12,152,37,18,30,30,23,325,17,44,197,1087,512,452,335,174,40,2849,0,0,0,24,6,12,7,0,0,50,3,5,7,36,14,8,9,0,0,83,0,0,0,17,43,39,15,5,7,124,3,28,86,640,235,208,133,37,13,1376,0,8,11,226,89,71,137,64,56,663,0,0,0,0,0,5,5,0,0,16,0,5,28,288,111,98,74,46,29,681,7,91,94,161,66,68,84,35,8,623,8,63,204,1019,804,629,487,319,141,3670,0,0,14,74,29,29,24,11,9,191,0,8,18,153,41,38,52,6,3,312,0,23,41,383,128,80,53,8,5,721,0,5,8,74,34,34,22,5,7,192,76,217,169,919,209,129,78,34,12,1856
119,0,0,0,4,20,46,171,167,73,483,0,0,10,79,41,90,81,57,31,395,0,18,65,226,96,70,38,22,5,533,8,76,2223,4905,161,95,24,6,0,7493,0,0,3,37,20,16,32,31,18,156,21,162,441,1177,654,554,294,101,31,3431,3,13,35,456,434,791,914,490,201,3334,31,220,198,1191,253,104,42,10,0,2057,0,6,9,37,22,23,20,13,3,139,12,172,369,2556,939,947,580,157,54,5785,4,3,7,193,73,65,90,63,46,542,0,0,25,71,89,67,52,15,0,333,0,0,3,59,46,71,85,51,34,350,4,21,64,182,78,91,86,35,5,564,4,26,42,213,116,122,75,47,14,654,5,12,23,149,61,80,67,37,19,446,3,15,36,419,105,89,75,13,5,758,5,41,113,1270,350,209,120,23,0,2129,5,11,9,132,140,93,84,55,15,542,28,70,83,245,59,65,42,15,11,616
120,0,0,0,4,10,20,73,57,30,198,0,0,6,49,25,30,24,11,7,144,0,0,21,60,46,43,20,10,7,212,4,25,1678,1894,32,26,3,3,0,3668,0,7,18,44,33,16,33,17,3,173,12,57,155,694,474,423,262,107,21,2204,0,0,3,22,22,24,16,10,6,107,0,24,26,164,35,18,19,3,0,287,0,0,6,20,49,22,19,9,0,134,6,65,134,1263,333,301,281,64,21,2463,0,4,0,136,58,47,83,35,35,398,0,0,8,10,10,4,10,0,0,39,5,0,16,103,104,97,85,53,21,485,5,56,74,189,67,67,58,26,5,544,4,11,51,300,122,107,72,39,3,720,6,24,47,316,149,224,181,88,66,1109,0,11,41,520,66,62,49,11,4,762,6,31,67,892,226,82,46,11,0,1364,0,10,6,106,92,88,59,39,15,416,33,98,83,393,132,88,74,20,3,938
121,0,0,0,8,8,13,27,13,3,73,0,0,4,50,21,28,22,11,4,124,0,0,16,49,32,26,24,13,17,170,0,15,326,853,38,18,7,0,0,1262,7,28,28,91,59,53,82,86,41,481,21,152,286,908,864,763,537,274,109,3923,0,0,5,21,20,20,19,12,11,111,8,42,10,222,45,35,29,9,5,399,0,3,7,42,134,95,64,58,25,425,12,109,197,1522,495,354,284,72,27,3080,0,18,12,306,87,123,140,49,35,765,0,0,0,6,4,3,0,0,0,14,0,33,42,155,165,198,135,100,66,896,36,231,175,353,201,150,140,58,25,1378,25,225,291,1166,865,620,500,238,69,4005,8,27,36,368,190,163,134,70,22,1021,10,60,51,750,288,160,211,30,8,1577,7,52,110,867,247,130,59,12,3,1485,5,24,8,106,42,39,17,12,14,261,62,336,278,638,327,259,165,78,20,2160
122,0,0,0,5,10,10,20,18,0,64,0,0,0,13,3,14,9,4,0,53,0,0,0,7,3,11,7,0,0,23,3,8,138,280,8,0,0,0,0,437,3,35,26,138,103,77,86,104,65,639,13,68,140,779,638,594,350,160,63,2805,0,0,3,11,18,10,11,6,0,56,0,0,0,13,8,0,5,0,0,33,0,0,0,17,69,42,17,5,4,149,0,37,70,491,227,220,129,36,14,1223,0,0,0,170,49,48,56,23,12,370,0,0,0,3,10,14,3,3,0,34,3,18,31,191,188,198,126,116,48,918,0,69,39,72,56,48,34,13,3,337,9,101,139,680,493,276,150,99,27,1975,0,0,0,19,27,25,11,11,3,96,0,4,6,55,15,25,22,3,0,137,3,18,37,276,153,80,29,8,0,608,0,9,3,30,38,25,26,8,7,144,56,147,142,622,272,181,118,45,4,1594
123,0,0,0,15,11,60,129,59,24,295,0,0,10,49,40,82,57,37,15,291,0,0,5,27,14,15,7,6,4,71,10,48,165,1441,78,70,27,3,0,1838,0,0,0,11,5,35,75,33,20,184,32,203,441,1112,495,360,216,76,16,2949,0,0,5,48,42,24,38,11,3,174,4,118,87,471,120,51,21,3,0,872,0,0,6,20,29,30,11,0,0,97,13,94,234,1220,622,671,400,113,33,3407,0,0,9,72,64,69,94,38,16,361,3,50,105,246,231,220,107,45,3,1011,0,17,4,70,71,172,181,105,25,647,0,16,10,38,24,18,20,10,0,123,4,19,41,211,153,119,112,46,10,715,5,28,43,144,81,64,45,25,11,441,0,0,5,53,14,12,7,0,0,95,5,16,44,378,153,88,45,9,0,741,0,4,10,44,23,13,13,7,4,115,4,23,35,118,43,45,29,9,4,316
