SA4_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
101,3012,583,66,21,2437,582,6696,2048,947,153,74,2001,457,5678,3784,3769,869,332,3213,1278,13251,3183,4620,1446,664,2199,1057,13167,3839,5416,1604,644,2712,1206,15413,4000,5750,1948,993,3519,1305,17535,2666,4500,2236,1403,3861,1096,15755,1172,1855,1026,740,2432,683,7909,275,348,186,153,1091,273,2332,23988,27785,9537,5025,23464,7936,97725,2991,746,96,28,1750,476,6085,1633,1457,330,223,1179,372,5199,2040,4416,2052,2164,1888,949,13501,1365,4811,3073,2481,1315,907,13960,1761,6384,3425,1968,1581,922,16034,1936,6081,3839,2499,2388,1092,17838,1129,3691,3453,3020,3178,1044,15513,687,1506,1398,1354,2556,754,8257,353,436,247,200,1762,446,3448,13894,29527,17918,13943,17591,6960,99836,6006,1327,162,44,4182,1059,12785,3678,2402,486,292,3183,829,10876,5824,8190,2926,2493,5103,2222,26755,4553,9428,4520,3144,3513,1966,27123,5591,11799,5025,2615,4288,2124,31454,5941,11833,5791,3498,5912,2396,35370,3797,8192,5689,4417,7030,2139,31264,1863,3364,2428,2092,4985,1432,16162,632,788,433,354
102,4718,832,76,27,4274,594,10523,3453,1455,225,116,3637,497,9383,5123,5319,1341,621,5047,1162,18615,4513,7044,2347,1145,3733,1122,19909,4963,7604,2397,1038,4196,1189,21395,4495,7155,2408,1186,4984,1061,21289,3006,5296,2657,1487,5405,1051,18898,1677,2711,1450,928,4104,968,11851,460,547,280,216,1711,709,3929,32410,37955,13191,6772,37102,8362,135785,4546,1138,135,63,3359,508,9754,3043,2245,558,376,2403,475,9107,2840,6113,2836,3399,3206,1113,19505,1770,6354,4824,5076,2326,1097,21445,2333,7883,4987,3574,3001,1012,22793,2472,7706,4858,3376,4184,995,23597,1642,5008,4535,3614,5747,1249,21797,1198,2343,1993,1879,5020,1417,13850,642,781,392,309,3023,1463,6619,20496,39566,25128,21667,32273,9333,148463,9264,1967,215,91,7638,1104,20276,6501,3703,784,494,6044,973,18486,7964,11430,4179,4021,8249,2276,38119,6280,13400,7171,6223,6057,2217,41358,7300,15489,7387,4611,7197,2202,44183,6971,14860,7265,4560,9172,2056,44882,4648,10297,7195,5102,11148,2297,40693,2874,5055,3449,2808,9129,2388,25702,1107,1330,676,525
103,2747,545,56,21,2712,603,6682,1801,965,148,79,2160,647,5806,3197,3485,816,366,3032,1381,12266,2869,3869,1180,516,2200,1304,11940,3108,4206,1175,536,2680,1137,12847,3186,4145,1298,764,3414,1111,13916,2175,3174,1491,952,3629,966,12385,964,1408,760,566,2606,661,6972,266,317,153,105,1027,226,2090,20312,22116,7076,3910,23460,8040,84902,2563,786,83,50,2035,489,6010,1376,1548,391,290,1346,403,5354,1662,3811,1965,2352,1920,878,12591,940,3774,2780,2525,1301,866,12185,1321,4711,2960,1810,1663,878,13355,1359,4472,2919,2090,2289,881,14006,864,2659,2533,2398,2986,827,12259,622,1266,1151,1116,2640,712,7516,330,417,237,195,1831,411,3417,11036,23450,15006,12827,18017,6352,86692,5310,1327,139,72,4746,1093,12689,3177,2515,537,379,3503,1049,11161,4854,7298,2777,2715,4952,2259,24861,3810,7643,3959,3037,3501,2174,24125,4433,8918,4138,2348,4347,2019,26203,4545,8618,4213,2851,5699,1988,27917,3031,5828,4020,3352,6620,1796,24652,1587,2680,1907,1682,5250,1377,14480,595,733,386,300
104,1740,325,42,14,1621,361,4101,1057,531,117,48,1168,375,3291,1869,1946,531,218,1884,973,7415,1706,2421,799,388,1529,888,7727,1937,2849,961,426,1694,775,8641,2165,3139,1193,661,2306,728,10197,1619,2854,1552,882,2709,631,10242,701,1265,732,511,1793,458,5462,205,248,151,124,791,232,1758,13004,15572,6079,3271,15492,5416,58824,1680,456,62,28,1288,328,3849,827,834,229,160,788,238,3073,1044,2198,1111,1288,1338,641,7617,741,2630,1755,1537,945,634,8243,1092,3435,1963,1229,1161,589,9471,1259,3578,2346,1516,1763,601,11056,805,2437,2373,1897,2289,602,10399,441,1018,1002,986,1994,599,6036,261,346,188,161,1307,449,2718,8156,16932,11033,8791,12873,4686,62467,3419,778,107,42,2906,690,7950,1882,1365,348,200,1954,607,6369,2912,4144,1642,1507,3217,1610,15030,2445,5051,2554,1923,2473,1526,15975,3035,6283,2920,1650,2850,1370,18106,3424,6717,3539,2172,4069,1329,21252,2424,5289,3921,2781,5001,1227,20649,1148,2283,1732,1497,3782,1058,11492,466,594,338,291
105,1209,284,23,11,1353,522,3408,845,457,74,37,1155,464,3038,1782,1869,452,196,2084,1203,7578,1313,1896,529,255,1367,984,6344,1477,1834,538,272,1613,878,6613,1645,2027,581,348,2086,878,7562,1096,1417,672,416,2095,725,6418,470,641,356,277,1302,480,3526,134,133,52,63,530,193,1104,9974,10561,3268,1858,13586,6338,45590,1169,384,61,33,1071,418,3133,683,758,209,144,795,356,2945,933,2237,1041,1260,1520,919,7914,491,1924,1308,1192,882,847,6641,653,2243,1270,812,1107,764,6852,766,2198,1369,1071,1505,749,7663,463,1264,1124,1071,1638,653,6204,326,554,504,609,1378,606,3973,161,174,97,95,896,337,1761,5646,11735,6987,6276,10796,5642,47084,2380,669,85,41,2425,940,6541,1530,1216,277,186,1950,823,5979,2717,4107,1493,1454,3602,2115,15489,1808,3814,1836,1445,2246,1829,12978,2132,4084,1808,1081,2719,1647,13463,2411,4227,1951,1415,3593,1628,15228,1559,2680,1793,1486,3735,1373,12627,798,1195,859,880,2679,1085,7498,297,303,149,152
106,3763,782,60,28,3937,636,9202,2657,1275,205,85,3427,675,8325,4626,5242,1247,519,4807,1650,18093,4060,6031,1781,791,3324,1440,17424,4042,6039,1782,754,3928,1236,17779,3950,5758,1963,993,4340,1127,18133,2489,4338,2175,1428,4702,946,16078,1148,1895,1016,788,3014,738,8597,268,343,166,135,1049,300,2259,27011,31703,10398,5521,32523,8742,115891,3661,1037,125,48,3010,501,8383,2183,2066,589,407,2182,428,7855,2325,5759,3041,3406,2925,955,18420,1461,5685,3921,3868,1984,878,17801,1738,6540,3960,2719,2672,818,18448,1777,5738,4149,3022,3370,815,18866,1072,3548,3516,3368,4236,848,16575,705,1585,1374,1409,3264,786,9129,376,467,238,196,1855,536,3668,15310,32421,20915,18444,25507,6565,119155,7430,1820,185,75,6943,1132,17584,4839,3345,789,490,5610,1099,16178,6957,11004,4293,3929,7734,2604,36516,5518,11711,5705,4662,5311,2318,35227,5781,12575,5742,3470,6602,2052,36228,5726,11495,6113,4014,7712,1943,37003,3561,7886,5690,4794,8935,1798,32654,1856,3483,2391,2200,6279,1526,17724,648,801,397,336
107,4246,788,72,28,4058,505,9703,3871,1818,252,102,4220,574,10836,5554,5912,1304,615,5469,1057,19903,4208,6870,2133,964,3705,906,18791,4398,6766,2124,874,4085,877,19114,4155,6209,2137,1023,4702,765,18989,2394,4498,2239,1192,4405,737,15471,1322,2087,1068,734,3231,692,9129,381,455,242,175,1422,511,3187,30531,35410,11561,5702,35300,6621,125125,4379,1241,114,41,3136,504,9419,3613,2762,618,302,2699,504,10487,3191,6569,2991,3005,3348,991,20093,1667,6017,4523,4431,2295,854,19780,1958,6937,4652,3148,2699,765,20156,1906,6275,4411,3234,3629,708,20163,1212,3886,3631,3037,4286,786,16842,902,1994,1632,1578,3659,846,10615,541,646,347,253,2355,897,5039,19364,36318,22923,19023,28111,6860,132598,8623,2031,181,65,7206,1011,19124,7482,4587,868,397,6917,1074,21328,8747,12475,4291,3624,8811,2047,39997,5874,12888,6657,5394,5998,1766,38572,6353,13696,6778,4023,6780,1641,39273,6064,12487,6548,4262,8333,1472,39152,3604,8378,5873,4229,8699,1518,32307,2223,4079,2701,2315,6897,1538,19744,929,1102,589,424
108,2645,488,54,35,2446,598,6267,1611,813,122,79,1719,490,4835,2460,2641,659,319,2432,1032,9552,2305,3446,1086,591,1910,974,10315,2907,4285,1353,692,2606,949,12794,3327,5088,1845,1127,3893,1118,16402,2825,5131,2758,1676,5041,1204,18637,1385,2383,1439,1128,3704,873,10910,392,468,255,225,1601,458,3396,19861,24745,9574,5878,25351,7701,93102,2607,700,86,44,2007,495,5942,1306,1180,323,255,1137,324,4529,1314,3085,1678,1730,1625,782,10220,1017,3590,2410,2298,1222,766,11306,1558,5016,2819,1947,1871,802,14011,1914,5874,3893,2660,3082,967,18396,1280,4284,4170,3619,4402,1136,18899,965,1975,1782,1868,3968,1095,11656,530,580,328,307,2544,855,5138,12500,26294,17489,14731,21857,7226,100094,5259,1190,139,74,4449,1091,12206,2918,1995,443,334,2852,812,9356,3780,5731,2333,2056,4057,1814,19774,3323,7035,3507,2884,3134,1743,21625,4466,9300,4170,2637,4479,1750,26807,5239,10964,5741,3791,6977,2084,34795,4109,9418,6930,5296,9440,2341,37531,2345,4360,3227,2993,7674,1973,22565,920,1045,580,533
109,1484,280,28,14,1425,367,3602,1066,518,85,31,1167,283,3152,1875,1885,432,189,1760,604,6738,1648,2160,615,257,1280,571,6530,1943,2296,646,263,1446,633,7224,2097,2494,696,332,2012,642,8281,1492,2078,860,487,2553,678,8142,645,878,525,350,1581,409,4386,163,189,111,79,638,192,1382,12426,12777,3989,2012,13872,4377,49443,1533,443,75,18,1098,319,3485,859,874,228,141,729,243,3073,919,2137,1081,1164,1099,542,6944,620,2143,1581,1412,755,539,7048,799,2685,1596,1007,984,515,7584,888,2872,1759,1192,1419,608,8737,511,1794,1651,1468,1981,609,8014,359,805,701,810,1662,549,4889,185,246,142,127,1052,287,2032,6676,13998,8811,7339,10772,4215,51818,3021,726,101,30,2526,689,7090,1925,1393,304,177,1895,523,6222,2796,4023,1512,1352,2863,1150,13683,2265,4297,2195,1672,2032,1107,13574,2745,4979,2242,1265,2430,1147,14812,2988,5371,2456,1527,3430,1255,17022,2001,3871,2510,1956,4533,1282,16158,1009,1682,1229,1161,3237,963,9280,352,434,252,208
110,2178,502,65,47,2251,724,5771,1497,893,152,79,1874,686,5172,2666,2832,681,330,2924,1216,10649,2244,3072,951,436,2066,1079,9843,2449,3346,972,450,2374,1142,10734,2749,3416,1110,556,3068,1146,12042,1810,2724,1249,876,3158,1023,10835,866,1249,648,568,2109,715,6162,242,233,124,108,775,291,1773,16695,18264,5947,3452,20595,8019,72974,2222,784,99,57,1863,762,5790,1174,1358,351,299,1257,599,5044,1300,3223,1795,1901,1955,1133,11307,817,3141,2263,1947,1292,1022,10485,1051,3821,2376,1464,1556,1041,11300,1180,3785,2570,1760,2189,1058,12547,741,2246,2224,2119,2471,927,10739,538,1219,983,1130,2271,827,6981,272,360,190,171,1431,477,2895,9300,19936,12858,10861,16286,7844,77085,4402,1284,166,106,4111,1487,11556,2671,2252,503,377,3124,1284,10211,3962,6051,2473,2238,4881,2342,21953,3060,6214,3216,2387,3362,2103,20328,3498,7169,3341,1912,3931,2180,22031,3928,7198,3683,2319,5258,2203,24586,2549,4970,3476,2995,5633,1951,21574,1407,2469,1633,1704,4383,1544,13144,518,590,316,282
