SA4_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
101,40346,22383,25441,26162,30155,33291,29164,15358,5464,227761,28,46,50,43,60,86,108,75,37,532,1514,2237,1874,1375,1607,1955,1434,502,207,12695,28,104,137,53,97,157,158,68,24,826,27,205,142,58,115,131,79,21,3,785,4,42,61,17,30,34,18,7,0,214,0,44,38,13,14,17,20,4,0,154,8,24,17,11,19,30,19,3,0,129,0,14,6,0,0,4,0,0,0,26,265,277,387,287,287,470,347,126,22,2462,0,0,0,0,0,0,0,0,0,0,1840,2953,2655,1820,2160,2794,2075,737,256,17287,1868,2995,2711,1859,2219,2880,2178,811,298,17818,42215,25381,28143,28016,32373,36169,31345,16169,5760,245577
102,61113,37360,36888,40333,42984,43420,39204,24914,10092,336294,44,46,26,38,42,68,106,78,52,504,1270,1346,1113,899,1021,1028,927,531,345,8477,4,10,8,13,8,20,18,11,0,100,21,40,34,18,31,42,48,13,3,244,0,0,0,3,0,5,8,0,0,19,0,9,9,0,6,5,0,7,0,38,0,3,0,3,4,10,8,4,0,31,0,0,3,4,0,0,0,0,0,8,3,12,5,5,3,9,4,0,0,36,0,0,0,0,0,0,0,0,0,0,1304,1413,1175,944,1074,1117,1012,561,351,8954,1342,1455,1204,982,1117,1185,1117,647,404,9456,62456,38816,38087,41310,44102,44601,40322,25556,10498,345747
103,40464,22438,23685,23204,25158,26518,23286,13761,5235,203748,51,75,54,50,57,93,80,91,43,594,995,1841,1350,1008,1092,1164,894,451,180,8970,18,36,43,32,38,30,53,8,0,259,17,38,65,73,96,78,26,7,0,406,5,10,14,9,12,10,6,0,0,65,4,8,12,0,6,8,6,0,0,47,0,3,3,5,6,6,5,0,0,25,0,0,3,0,5,0,5,0,0,7,10,35,24,25,5,33,25,9,0,167,0,0,0,0,0,0,0,0,0,0,1048,1967,1503,1154,1263,1331,1020,483,188,9948,1100,2040,1558,1200,1324,1423,1102,575,228,10543,41563,24476,25240,24406,26480,27939,24391,14332,5464,214290
104,24329,13521,14283,15277,17370,20060,19482,11033,4307,139663,32,43,29,38,34,66,62,78,38,427,574,866,774,676,728,1044,1163,402,128,6359,8,21,34,26,37,89,388,235,12,859,23,56,72,42,67,71,63,25,5,415,0,6,0,4,11,12,20,7,4,69,0,0,5,0,3,12,9,7,5,33,0,4,13,3,6,11,21,4,0,68,0,0,0,0,0,0,0,0,0,5,3,4,12,4,5,19,32,16,4,99,0,0,0,0,0,0,0,0,0,3,609,947,910,753,860,1256,1710,695,158,7907,639,995,945,791,893,1326,1769,776,201,8340,24975,14514,15225,16070,18264,21390,21254,11809,4504,147996
105,22243,11576,14541,12208,12718,14385,11910,7126,2745,109452,56,59,47,56,50,61,69,67,22,474,624,1023,870,688,834,1047,924,309,82,6406,9,32,43,36,45,58,84,33,8,337,11,45,49,45,52,99,56,18,4,374,3,42,36,35,45,65,77,20,4,319,0,7,0,0,6,10,16,6,0,48,0,4,3,3,3,12,14,3,0,42,0,0,8,0,4,3,8,0,0,26,0,7,4,4,0,22,19,5,0,71,0,0,0,0,0,0,0,0,0,0,639,1156,1017,811,990,1325,1196,395,95,7626,697,1212,1069,865,1039,1382,1266,456,113,8097,22941,12793,15612,13073,13756,15771,13174,7585,2859,117554
106,55664,32297,35127,34130,35053,35275,30929,17030,5672,281184,38,54,33,42,43,78,115,68,22,486,1405,1507,1392,1049,1017,1128,848,435,208,8994,0,24,17,9,10,25,47,11,4,148,12,41,63,28,35,56,34,13,0,290,3,6,4,0,3,3,3,0,0,28,0,5,10,3,5,10,10,3,0,48,0,4,0,0,6,9,5,0,0,31,3,0,3,6,4,0,0,0,0,15,3,11,8,3,0,5,3,5,0,35,5,0,0,0,0,0,0,0,0,4,1434,1608,1496,1094,1093,1227,955,471,208,9592,1470,1664,1534,1138,1132,1309,1072,532,234,10075,57136,33958,36659,35265,36186,36582,31997,17564,5904,291260
107,54995,38559,38568,37595,38265,37941,31124,19106,7876,304025,37,50,41,35,56,62,57,64,48,439,965,1339,1188,852,778,785,611,419,336,7283,9,16,13,12,11,22,10,10,0,95,10,22,16,17,26,28,34,13,0,167,0,0,0,0,0,4,4,4,0,10,0,4,4,3,3,11,6,5,0,41,0,4,0,0,0,5,5,0,0,17,0,0,4,0,7,3,0,0,0,16,0,35,9,13,12,15,7,0,3,77,0,0,0,0,0,0,0,0,0,0,994,1418,1241,891,836,869,675,443,339,7709,1028,1467,1285,926,891,927,737,508,385,8150,56022,40022,39846,38521,39151,38865,31859,19610,8259,312174
108,34850,20356,18754,20700,25651,32976,35503,21642,8225,218672,87,64,56,59,79,109,141,105,39,741,1287,1429,1147,982,1184,1826,1810,776,272,10718,14,14,28,22,22,96,202,127,12,538,18,30,54,35,54,68,47,19,7,329,5,0,6,4,7,4,12,7,0,41,0,4,3,4,3,22,35,4,0,69,8,3,4,9,6,24,28,3,0,84,3,3,0,4,9,3,4,0,0,22,0,9,5,10,14,15,31,10,0,101,0,0,0,0,0,0,0,0,0,0,1336,1493,1246,1057,1293,2056,2158,953,298,11894,1423,1555,1302,1117,1373,2162,2300,1054,343,12635,36273,21915,20062,21815,27026,35140,37808,22698,8562,231310
109,21834,12534,13052,13086,14237,16059,14765,8710,3240,117524,29,25,45,40,26,53,79,52,28,372,322,408,343,296,306,429,355,152,89,2685,132,272,302,196,200,222,232,88,20,1661,0,13,22,8,33,39,19,6,0,140,3,6,9,15,15,20,18,18,4,107,4,4,3,6,0,5,3,0,0,20,0,3,0,4,5,15,21,11,0,67,3,0,4,0,7,3,0,0,0,19,6,15,7,4,6,5,10,0,0,46,0,0,0,0,0,0,0,0,0,0,469,717,695,527,564,736,661,278,117,4757,495,750,737,565,591,790,737,327,149,5131,22330,13280,13790,13655,14826,16848,15497,9038,3386,122654
110,34505,20278,20949,19610,21195,23438,20372,12551,4459,177359,61,75,38,49,71,80,97,76,28,568,933,1525,1127,762,886,1032,859,413,188,7731,12,23,23,25,24,50,44,41,0,242,55,139,139,77,163,168,113,31,8,891,5,8,8,3,7,8,17,6,3,62,0,5,0,0,11,4,0,0,0,35,4,7,0,3,4,11,17,0,0,43,0,0,5,0,3,0,0,4,0,13,4,3,5,3,9,15,3,0,4,41,0,0,0,0,0,4,0,0,0,0,1009,1710,1313,880,1112,1291,1049,494,198,9054,1067,1782,1354,929,1177,1371,1142,572,225,9629,35574,22064,22299,20544,22372,24805,21515,13126,4685,186985
