SA4_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
101,89,42,235,317,521,1070,2139,1971,1058,7429,10,18,56,65,72,106,151,149,96,716,780,767,2117,1922,2117,2494,2446,1720,990,15350,5637,10864,26741,27112,31440,35357,31253,16157,5769,190338
102,107,58,264,341,651,1487,2580,2371,1505,9370,16,34,82,106,129,174,200,182,131,1045,877,900,2086,2046,2081,2119,2631,2874,2257,17883,8981,18460,38103,41337,44166,44860,40675,25674,10540,272788
103,87,62,213,315,532,1226,2287,1789,1127,7643,8,10,61,61,73,92,154,125,57,639,821,1005,2197,2137,2051,2096,2105,1776,883,15074,5671,11156,24844,24116,26178,27906,24641,14476,5499,164489
104,60,56,220,335,368,761,1290,1237,854,5175,10,27,139,120,98,109,98,50,51,696,525,571,1584,1442,1376,1381,1421,1280,871,10454,3572,6350,15021,15959,18101,21235,20637,11488,4473,116838
105,52,50,166,203,389,928,1577,1170,621,5161,7,6,28,27,43,69,92,82,25,378,771,793,2047,1811,1659,1694,1572,1230,658,12232,3320,5972,15482,12973,13449,15219,12622,7497,2863,89399
106,124,117,379,417,680,1550,2799,2005,1182,9259,22,28,84,89,119,150,136,109,62,784,829,1012,2457,2201,2026,2006,2154,1962,1083,15732,8480,16161,36501,35208,36208,36981,32639,17713,5918,225818
107,71,72,262,404,560,1417,2925,3004,1806,10529,19,35,112,162,182,228,375,457,354,1914,803,969,1899,1652,1559,1524,1802,2038,1599,13833,8866,21299,39975,38557,39251,39122,32266,19722,8221,247294
108,91,57,220,314,552,1347,2751,2356,1562,9246,8,7,29,28,66,90,91,112,71,510,795,780,1767,1751,1738,2265,2712,2363,1484,15654,5665,9338,19762,21614,26784,34780,37515,22558,8530,186545
109,46,43,160,260,303,641,1366,1360,768,4943,3,13,57,63,123,114,85,84,37,586,509,479,1123,1095,1147,1355,1420,1155,618,8903,3127,6210,13668,13569,14806,17015,16152,9274,3416,97230
110,86,88,278,322,534,1161,2045,1869,977,7359,14,37,105,81,100,118,145,109,39,744,1228,1223,2296,2084,2208,2312,2165,1766,870,16158,5668,10197,21939,20315,22015,24584,21562,13139,4667,144093
111,122,123,377,494,689,1539,2605,2434,1885,10259,16,33,126,147,182,245,228,184,151,1310,944,1292,2380,2016,1851,1980,2368,2591,2033,17457,10500,26384,51969,48515,48171,47406,41649,25309,10871,310788
112,57,49,219,321,464,1011,1952,2161,1533,7771,16,19,54,59,78,106,103,80,75,586,985,966,2317,2528,2472,2702,2618,2093,1630,18308,6136,11255,25754,29988,33166,37482,35225,19209,8334,206540
113,70,73,250,356,505,944,1650,1558,1002,6402,4,33,159,154,140,149,149,121,83,991,702,882,1778,1616,1578,1528,1516,1256,768,11637,4990,10003,20936,19044,19323,20420,17026,10093,4250,126082
114,48,32,115,179,290,726,1599,1230,787,5015,11,8,25,56,55,67,86,77,46,432,504,524,1256,1218,1260,1330,1505,1425,882,9913,3740,6893,15747,16436,19006,23271,24832,14989,5262,130167
115,32,25,76,105,205,471,1086,1014,586,3601,10,19,67,97,135,169,205,184,167,1057,381,372,856,1090,916,826,905,961,864,7170,7088,15681,25870,39206,37733,31114,24240,13101,4986,199014
116,78,136,483,749,1071,2015,3078,2245,1004,10854,13,93,350,451,659,779,775,556,293,3961,1313,1835,4558,4113,2779,2109,1934,1372,823,20846,10775,26602,60140,68264,47873,38043,27190,12515,4336,295742
117,16,54,308,292,386,827,1532,1711,812,5938,8,90,490,311,256,412,532,613,368,3088,566,2314,6596,3702,2350,2071,1716,1302,692,21312,5419,31115,95735,59127,38083,29255,20194,10709,3858,293485
118,12,21,118,109,151,323,751,1113,810,3406,0,23,90,80,87,131,164,233,204,1010,545,997,3320,2352,1756,1374,1413,1582,1652,14994,4849,16054,50314,39971,34010,26862,21233,13822,6529,213645
119,51,103,741,1207,2062,3868,6452,6668,3393,24550,29,159,898,908,1309,2242,2643,2403,1459,12048,1750,2742,7079,5453,4156,3888,3487,3353,3048,34959,14586,42554,96275,84266,74141,68531,50383,30541,14783,476057
120,15,42,176,237,362,760,1900,2760,1772,8020,9,87,405,230,260,356,567,746,636,3300,434,1305,3308,2109,1453,1362,1448,1330,1295,14036,5212,22394,57090,46451,39292,33549,24960,14381,7000,250326
