SA4_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
101,..,25903,25903,32119,1871,33995,11837,261,12097,11323,100,11429,5098,18,5114,2515,29,2544,62892,28187,91076
102,..,35866,35866,41981,3184,45162,19184,468,19658,18913,147,19055,8031,38,8059,3896,19,3917,92003,39707,131713
103,..,23550,23550,26563,1721,28285,10519,303,10820,9756,80,9837,5089,30,5125,2420,6,2430,54344,25695,80039
104,..,15746,15746,19754,1623,21373,7365,215,7578,6444,67,6510,2950,19,2970,1691,26,1715,38194,17690,55888
105,..,12882,12882,13240,965,14208,5636,157,5786,4840,41,4886,2507,18,2522,1403,13,1416,27631,14073,41704
106,..,26243,26243,35985,2196,38182,16107,295,16396,15485,72,15554,7190,29,7222,3565,16,3581,78334,28856,107191
107,..,29162,29162,37033,2829,39866,17436,942,18371,18126,394,18513,7429,122,7548,3256,67,3319,83273,33509,116785
108,..,27569,27569,34537,2309,36850,10940,277,11225,9268,74,9340,4265,32,4298,2361,20,2386,61375,30285,91662
109,..,14523,14523,16560,1094,17659,5846,174,6021,5534,63,5592,2666,20,2685,1193,8,1207,31800,15886,47684
110,..,20576,20576,23246,1685,24928,8892,270,9162,8045,110,8155,4002,33,4034,2017,18,2039,46201,22692,68894
