SA4_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
101,119088,119720,238810,6515,6241,12752,14844,13648,28493,6696,6085,12785,5678,5199,10876,13251,13501,26755,13167,13960,27123,15413,16034,31454,17535,17838,35370,15755,15513,31264,7909,8257,16162,2332,3448,5776,113306,114459,227761,5790,5263,11046,4952,4854,9804,106,80,186,67,82,148,5122,5013,10137,95136,95392,190530,15645,16404,32050,102517,103774,206290,8151,8480,16627,105931,107476,213414,1887,1774,3661,13686,12633,26321,4671,4459,9131,1318,1611,2931,2847,5148,7991,44346,50519,94864,7199,7133,14329,26188,24367,50551,7016,6434,13449,4398,3718,8106,377,341,720,108345,110231,218577,14620,12379,26998
102,167980,178618,346596,10001,9413,19421,22187,20739,42931,10523,9754,20276,9383,9107,18486,18615,19505,38119,19909,21445,41358,21395,22793,44183,21289,23597,44882,18898,21797,40693,11851,13850,25702,3929,6619,10545,162592,173704,336294,5388,4913,10303,8101,8348,16457,158,156,314,130,150,278,8392,8655,17047,133374,140344,273712,26344,29342,55682,148011,156001,304010,11364,13281,24646,151215,160370,311582,3364,3093,6458,20833,19474,40307,7539,7445,14985,2837,3313,6147,3941,7534,11477,60559,68964,129524,10407,9756,20163,40140,42625,82763,10572,11688,22259,5140,5361,10504,552,494,1046,158003,167893,325898,9238,10620,19852
103,106203,106759,212962,6529,6036,12569,14767,14028,28797,6682,6010,12689,5806,5354,11161,12266,12591,24861,11940,12185,24125,12847,13355,26203,13916,14006,27917,12385,12259,24652,6972,7516,14480,2090,3417,5504,101180,102572,203748,5021,4191,9210,8359,8235,16597,125,119,244,175,139,312,8659,8495,17154,89391,89867,179261,8812,9181,17989,92880,94819,187700,4681,4871,9544,94244,96111,190357,1832,1820,3655,13543,12809,26354,4403,4322,8724,1230,1667,2899,2146,4228,6375,30675,38513,69190,6146,5986,12134,27237,24566,51805,7427,6848,14281,4652,3661,8314,365,270,639,95395,97647,193039,11805,9439,21252
104,71497,74634,146127,3601,3577,7178,9071,8589,17662,4101,3849,7950,3291,3073,6369,7415,7617,15030,7727,8243,15975,8641,9471,18106,10197,11056,21252,10242,10399,20649,5462,6036,11492,1758,2718,4473,68012,71649,139663,3481,2986,6467,4545,4548,9094,94,92,189,125,107,229,4767,4743,9512,58017,59928,117944,8587,9804,18389,61643,64968,126613,4286,4924,9209,62842,66328,129169,1102,1109,2207,8342,7906,16242,2687,2700,5385,662,895,1560,1583,3162,4743,22229,26556,48788,4613,4523,9134,17865,18313,36179,5154,5179,10336,3026,2576,5602,327,371,697,64798,68816,133615,7516,6866,14378
105,57315,58251,115566,3894,3708,7596,7840,7460,15301,3408,3133,6541,3038,2945,5979,7578,7914,15489,6344,6641,12978,6613,6852,13463,7562,7663,15228,6418,6204,12627,3526,3973,7498,1104,1761,2866,53853,55599,109452,3465,2647,6114,9484,9673,19159,52,65,117,155,161,314,9690,9900,19593,46459,47283,93743,4175,4306,8481,47185,48768,95955,2940,3070,6008,47976,49515,97491,1069,1007,2077,6716,6448,13164,1920,1970,3888,444,627,1071,970,2265,3235,14592,18794,33385,3228,3375,6598,13878,12742,26620,4125,3821,7948,3070,2367,5435,231,145,378,49251,51007,100260,9135,8153,17296
106,145140,146804,291946,9000,8573,17579,20244,19075,39317,9202,8383,17584,8325,7855,16178,18093,18420,36516,17424,17801,35227,17779,18448,36228,18133,18866,37003,16078,16575,32654,8597,9129,17724,2259,3668,5922,139297,141887,281184,5844,4919,10764,11202,11105,22306,237,204,445,289,270,559,11729,11581,23309,124312,125703,250011,13271,14074,27349,130472,133638,264108,5543,6289,11833,131619,135114,266734,2730,2684,5418,18953,17909,36865,6055,5955,12009,1902,2423,4323,2911,6053,8960,40765,48683,89444,10031,9185,19215,39752,38115,77865,10597,11036,21637,5351,4840,10188,442,347,784,133955,138693,272651,10667,7943,18610
107,154066,159771,313842,9220,8611,17827,19723,18560,38285,9703,9419,19124,10836,10487,21328,19903,20093,39997,18791,19780,38572,19114,20156,39273,18989,20163,39152,15471,16842,32307,9129,10615,19744,3187,5039,8227,149016,155009,304025,5054,4763,9815,5389,5518,10900,109,107,215,79,92,169,5576,5713,11287,118540,121378,239913,28919,31784,60704,126844,130424,257269,20197,22168,42361,137991,143236,281229,3062,2897,5957,18685,17512,36195,7305,7530,14828,4208,4800,9006,4709,7426,12139,59929,66671,126598,9208,8007,17213,34407,34066,68479,8627,9512,18141,5347,6111,11456,821,1090,1914,145296,150730,296031,7785,8355,16143
108,111336,117699,229035,5188,5002,10190,13039,12608,25646,6267,5942,12206,4835,4529,9356,9552,10220,19774,10315,11306,21625,12794,14011,26807,16402,18396,34795,18637,18899,37531,10910,11656,22565,3396,5138,8536,105859,112811,218672,5473,4895,10362,8155,8333,16498,128,124,252,163,159,327,8445,8622,17069,92064,97042,189107,11354,12668,24029,99944,106152,206095,3574,4335,7912,100472,106974,207452,1586,1526,3118,11929,11490,23420,4084,4198,8283,991,1426,2418,1879,4300,6183,32351,38490,70847,6929,6911,13836,30465,32266,62737,9770,9757,19521,5250,4620,9872,270,244,510,102003,108801,210806,10308,10192,20501
109,60918,62639,123552,3653,3486,7139,7822,7335,15152,3602,3485,7090,3152,3073,6222,6738,6944,13683,6530,7048,13574,7224,7584,14812,8281,8737,17022,8142,8014,16158,4386,4889,9280,1382,2032,3413,57647,59877,117524,3273,2759,6031,2331,2448,4779,48,41,90,69,70,134,2446,2555,5002,50133,51791,101922,5636,6017,11656,52769,54653,107423,3421,3532,6950,53702,55622,109328,1043,1000,2041,7093,6713,13808,2364,2549,4912,664,998,1662,1176,2426,3599,17570,22405,39974,6209,6155,12360,13225,12149,25379,4659,3907,8567,2948,2432,5383,301,295,593,54508,56525,111035,5937,5679,11617
110,91262,94298,185560,5661,5026,10684,12632,12188,24821,5771,5790,11556,5172,5044,10211,10649,11307,21953,9843,10485,20328,10734,11300,22031,12042,12547,24586,10835,10739,21574,6162,6981,13144,1773,2895,4669,86955,90403,177359,4307,3890,8200,10406,10838,21246,143,143,284,249,275,522,10802,11257,22058,74634,77083,151716,7379,7887,15268,77738,80708,158447,4612,4751,9365,78618,81726,160343,1599,1465,3066,11147,10769,21912,3585,3714,7305,1050,1488,2541,1862,3873,5734,26140,32724,58861,5093,5346,10438,21895,21094,42992,6720,6096,12818,4553,3356,7908,396,350,741,80689,83762,164445,11608,10931,22543
