SA4_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
111,803,3487,4013,3080,2968,3301,3487,1869,571,23575,421,3725,5803,4036,4189,4081,2840,1275,407,26773,189,2799,7225,5419,5326,4950,2904,928,180,29926,51,1554,6113,4698,4245,3524,1508,459,93,22239,27,692,5207,4474,4019,3180,1127,396,124,19250,6,279,3570,3831,3557,2506,701,191,53,14682,3,243,4805,7557,6829,4218,984,208,52,24889,7,29,703,1540,1537,917,230,79,18,5048,15,38,708,2187,2597,1697,545,194,53,8041,1184,1490,2620,2252,2149,2060,2392,2573,2517,19229,22461,26409,51995,48540,48194,47431,41675,25316,10881,322898
112,477,1772,2787,2481,2609,3129,2924,1513,499,18193,304,1719,3429,3242,3457,3818,2330,876,312,19487,86,1018,3569,3580,3968,3945,2192,726,172,19258,17,428,2297,2699,2877,2396,1141,330,73,12258,10,188,1676,2306,2403,2043,827,277,103,9826,7,76,989,1735,1835,1361,487,139,48,6682,5,66,1102,2643,2985,2070,657,162,36,9731,0,4,180,516,552,425,153,47,13,1886,20,27,241,910,1147,893,437,153,48,3872,1292,1066,2464,2722,2684,2794,2616,2128,1908,19667,13741,11273,25763,29993,33175,37504,35234,19222,8337,214236
113,536,1306,1785,1476,1316,1564,1402,751,205,10345,376,1680,2863,2171,2074,2066,1237,498,166,13133,207,1310,3115,2540,2348,2377,1078,350,83,13409,88,618,2165,1743,1737,1599,647,155,34,8789,15,294,1726,1594,1523,1316,486,177,68,7192,15,117,1106,1278,1235,1003,296,102,20,5178,7,83,1261,1846,2062,1338,392,94,30,7116,0,7,137,320,394,273,95,41,12,1276,9,21,173,434,558,491,241,105,30,2065,924,962,1859,1692,1681,1589,1510,1208,777,12207,10463,10028,20957,19057,19343,20423,17036,10095,4250,131660
114,324,1009,1480,1298,1403,1765,2115,1290,332,11013,172,1042,1955,1584,1831,2050,1592,813,227,11275,72,727,2094,1872,2097,2279,1579,617,154,11494,18,406,1551,1407,1575,1528,957,334,74,7848,7,179,1250,1284,1400,1300,674,276,83,6451,0,66,889,1045,1145,964,411,142,28,4691,0,49,980,1761,2047,1553,542,187,34,7158,0,4,118,363,388,341,160,67,13,1461,6,7,154,617,943,843,428,180,35,3219,692,590,1320,1311,1352,1392,1484,1382,1034,10561,8411,6898,15749,16449,19016,23275,24844,14997,5266,134907
115,558,1684,1462,1788,1894,1854,1799,1040,273,12340,316,1808,2102,2280,2358,2141,1686,758,173,13623,159,1902,3169,3136,3200,2734,1817,678,108,16907,39,1314,3037,3088,2952,2385,1202,374,70,14466,19,629,3068,3417,3135,2374,1004,267,46,13965,8,259,2158,3122,2821,2019,743,178,30,11331,9,206,3532,7921,6937,4038,1107,228,43,24024,0,27,590,2555,2202,1149,338,47,19,6932,4,23,672,3964,4402,2487,612,153,33,12350,572,566,1108,1323,1243,1013,950,1020,1206,8997,18272,15695,25876,39217,37757,31141,24274,13127,5023,210397
116,670,3132,4413,3917,3020,2494,1627,751,157,20180,434,3376,6424,5817,4658,3538,1355,351,104,26063,222,2964,8306,7897,5822,4293,1342,235,42,31118,64,1635,6952,6657,4616,3028,831,82,16,23880,31,726,5228,6137,4082,2488,621,95,28,19443,14,280,3543,4913,3153,1775,386,28,10,14100,6,214,4681,10225,5681,2728,465,32,8,24039,0,18,664,2331,1170,458,90,18,0,4756,6,43,552,2224,1322,534,135,42,12,4873,1629,2104,4985,4395,2989,2134,1667,1203,791,21899,24508,26679,60222,68328,47949,38101,27249,12543,4339,309913
117,325,3049,6018,2453,1615,1475,1230,577,156,16898,203,3016,7843,3363,2094,1887,1253,494,123,20262,98,3127,10791,4573,2831,2236,1337,418,84,25509,36,2150,10259,4267,2625,1856,881,232,44,22343,25,1230,9522,4610,2793,1864,745,221,44,21051,10,631,7442,4399,2514,1580,626,163,44,17406,10,629,14216,11729,6310,3383,967,264,53,37561,13,129,2961,3727,2127,1025,300,86,17,10384,11,153,3837,7724,5640,2905,928,247,59,21506,677,2508,7032,3947,2533,2085,1648,1288,868,22590,10170,31157,95819,59167,38106,29296,20220,10722,3864,298518
118,294,1510,2388,1333,1276,1353,1398,913,286,10746,142,1482,3469,1890,1625,1634,1458,858,299,12860,80,1718,5341,2669,2201,2130,1664,781,232,16813,28,1214,5511,2479,2016,1820,1114,522,148,14857,17,635,5532,2901,2345,1823,1082,454,129,14920,19,311,4525,2779,2099,1596,907,404,115,12749,19,308,8801,7363,5022,3149,1437,599,170,26882,6,77,1983,2785,2073,1218,533,241,89,8996,10,101,3198,8336,8118,4280,1815,716,240,26817,722,1132,3669,2612,2038,1552,1396,1536,1784,16449,12440,16077,50336,39986,34027,26890,21255,13846,6538,221391
119,808,4818,7859,5944,5409,5048,3106,1641,574,35205,409,4792,10609,7394,6851,5801,2629,1165,405,40056,221,4274,12531,8959,7802,6350,2550,744,203,43629,56,2446,9506,7047,5744,4483,1584,397,124,31385,32,1101,7803,6490,5155,3787,1226,323,101,26014,10,438,5117,5044,4211,2913,828,157,49,18766,15,341,7172,9727,7489,4373,1056,200,61,30429,3,39,1132,2325,1865,980,235,74,16,6685,0,52,1147,3278,3201,1703,443,165,73,10061,2292,3316,7906,6030,4770,4060,3329,3212,3225,38135,33668,42735,96482,84427,74330,68740,50540,30611,14802,496332
120,292,2708,3795,2032,1802,1902,1707,985,319,15539,160,2584,5336,2709,2353,2241,1697,733,215,18018,84,2232,6945,3798,3029,2870,1878,591,147,21567,28,1484,6072,3473,2764,2239,1240,398,67,17766,26,718,5547,3731,2894,2250,1060,298,64,16586,10,295,4101,3408,2571,1926,796,219,47,13370,8,243,7450,8551,6224,4078,1282,289,66,28200,0,36,1354,2777,2226,1249,397,115,29,8187,6,48,1875,6117,6463,3250,918,203,54,18921,572,1467,3551,2380,1676,1455,1370,1359,1541,15369,13528,22463,57158,46480,39339,33603,25007,14410,7002,258984
