SA4_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
101,10,46,4,64,50,0,181,15,91,22,44,19,0,192,116,581,113,264,88,11,1171,391,381,233,471,82,16,1570,544,153,80,491,77,11,1360,1553,205,132,689,204,10,2802,2760,211,78,977,256,18,4299,3514,108,39,1094,278,19,5052,1630,31,0,474,61,0,2207,558,3,0,189,22,0,770,321,5,0,69,19,0,416,130,0,0,48,9,0,189,29,0,0,12,0,0,41,50,0,0,37,41,0,133,197,114,44,342,190,64,949,11806,1935,753,5267,1414,146,21324
102,22,83,18,36,15,5,177,7,183,17,20,7,0,232,38,1300,105,117,69,10,1637,150,539,324,238,220,17,1487,251,243,141,305,85,16,1040,790,280,178,456,109,18,1828,3142,219,120,1088,115,16,4693,9817,228,101,1735,161,22,12067,6320,36,22,873,49,16,7325,2350,10,7,319,20,5,2701,876,3,5,113,10,0,1003,346,0,0,65,7,3,426,163,0,0,29,0,0,191,166,0,0,24,14,0,206,426,205,71,251,107,88,1147,24857,3330,1107,5669,991,206,36168
103,27,99,44,84,84,4,335,22,157,36,49,21,7,285,200,800,170,326,91,20,1598,770,541,169,510,110,28,2132,735,245,67,595,63,14,1723,1867,251,79,745,100,12,3052,3417,232,53,876,113,11,4708,3626,68,21,562,71,14,4360,1452,10,4,164,22,3,1656,241,0,3,46,4,0,295,39,0,0,14,3,0,57,8,0,0,11,0,0,20,6,3,0,0,0,0,10,23,0,0,19,9,0,54,212,181,38,290,193,64,987,12643,2589,693,4291,889,172,21278
104,11,17,10,37,14,0,75,3,24,11,12,9,0,66,39,190,62,152,75,5,517,121,327,255,240,98,11,1047,153,107,64,276,60,6,665,662,157,114,459,81,21,1485,1838,122,65,842,97,19,2980,3033,103,69,921,83,21,4222,1722,22,18,359,45,5,2163,602,6,0,106,17,0,732,178,5,0,28,0,0,218,39,0,0,17,0,0,61,11,0,0,6,0,0,11,14,0,0,16,4,0,40,125,86,43,186,84,41,572,8524,1158,711,3651,672,132,14854
105,16,110,25,53,225,3,431,15,83,36,45,87,12,276,125,338,108,287,142,18,1022,558,352,273,452,165,20,1819,488,175,108,409,75,11,1271,1108,196,83,477,78,13,1961,1485,68,45,488,64,14,2168,1339,38,28,299,65,4,1784,287,14,9,58,11,3,383,52,0,0,17,3,0,73,13,0,0,5,4,0,16,7,0,0,6,4,0,17,0,0,0,0,0,0,7,8,0,0,6,5,0,24,109,92,26,205,202,40,670,5614,1474,747,2811,1130,132,11916
106,20,28,10,44,23,3,129,6,27,16,26,23,0,98,90,288,127,167,92,7,769,337,724,304,295,158,10,1833,458,262,82,375,77,7,1260,1368,443,168,512,556,25,3072,3966,435,177,1109,248,14,5950,7647,299,92,1136,142,18,9335,3528,26,7,356,51,5,3978,706,4,0,82,8,4,802,188,3,3,28,5,3,229,39,0,0,7,0,0,51,8,0,0,5,3,0,17,22,0,0,27,4,5,62,317,159,63,299,213,59,1110,18705,2696,1054,4475,1609,154,28695
107,27,190,25,27,5,0,276,4,346,16,22,0,0,391,52,2579,105,133,57,18,2937,161,1137,175,221,58,13,1773,242,532,84,288,34,0,1180,753,540,102,390,38,12,1836,2538,350,108,722,75,13,3803,5889,510,70,1212,96,16,7796,5719,173,22,941,65,9,6931,3275,39,6,394,30,6,3749,1096,6,4,153,5,0,1272,375,6,6,55,4,0,444,158,0,0,19,3,0,183,140,3,0,47,0,0,198,283,374,44,261,79,67,1101,20705,6782,769,4884,560,168,33869
108,27,22,19,52,16,0,136,13,18,22,26,21,4,108,53,117,145,212,83,15,622,313,448,578,338,171,25,1865,497,143,157,396,85,14,1296,1396,217,208,618,98,21,2560,3356,151,154,1015,93,15,4786,4835,115,173,1096,124,20,6354,2247,18,23,360,26,8,2671,571,17,3,100,6,0,694,164,0,5,29,3,0,203,35,0,0,8,0,0,46,15,0,0,3,3,0,21,29,0,3,10,11,0,53,198,114,96,246,91,69,808,13758,1380,1581,4508,821,183,22225
109,22,39,29,36,66,3,200,25,68,27,27,26,0,183,294,310,75,273,92,18,1063,1165,216,146,492,87,24,2120,764,66,30,372,59,11,1294,1517,115,39,437,78,16,2203,2118,47,12,397,46,14,2631,1469,17,13,223,27,4,1752,354,9,8,54,7,0,426,77,3,0,13,7,0,94,16,0,0,0,0,0,22,4,0,0,5,0,0,9,0,0,0,0,0,0,7,12,0,0,10,4,0,26,141,64,21,147,159,37,567,7973,958,405,2493,665,112,12598
110,20,33,43,80,102,0,289,34,63,44,40,32,3,214,219,219,145,351,99,22,1052,1007,473,311,527,138,27,2484,976,223,132,573,82,20,2002,2135,371,166,692,96,21,3474,3499,213,87,845,88,11,4746,2970,51,30,522,97,13,3682,627,9,6,89,18,4,749,121,5,0,30,6,0,160,33,0,5,10,0,0,46,6,0,0,10,0,0,19,3,0,0,3,0,0,8,17,0,0,14,10,0,44,188,101,67,265,314,76,1012,11844,1753,1032,4065,1096,193,19975
