SA4_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
101,515,62,108,6,695,257,21,55,6,336,147,41,118,8,312,126,18,212,5,373,760,80,383,13,1247,561,117,695,23,1392,3385,287,713,38,4423,2241,433,1058,94,3827,2471,770,1011,85,4344,2999,1247,878,85,5210,1607,1249,665,41,3561,1802,1422,563,54,3841,3449,3404,931,88,7871,2341,2918,393,47,5708,1767,2646,252,23,4682,1028,1965,120,8,3119,2725,5589,249,26,8592,1243,2126,680,43,4086,515,176,179,23,894,29944,24573,9265,724,64508
102,700,100,265,18,1087,303,24,69,3,391,199,32,184,8,414,183,36,352,15,585,952,106,663,30,1750,666,163,1313,31,2170,4806,426,1602,81,6914,3111,605,2060,154,5933,3287,1105,2250,187,6826,3732,1983,1926,166,7808,2060,2118,1305,90,5574,2267,2379,1170,86,5900,4538,5710,1802,136,12181,2885,5249,784,68,8985,2057,4575,436,36,7103,1149,2960,178,14,4306,2802,7396,406,27,10630,1268,2664,1153,50,5139,578,272,269,31,1153,37532,37902,18194,1228,94861
103,415,64,115,8,602,219,24,47,0,289,112,31,114,7,269,110,29,256,3,398,700,72,431,25,1223,404,112,759,24,1307,2937,300,932,58,4230,1756,407,1189,110,3460,1942,756,1147,98,3943,2250,1192,865,103,4411,1267,1192,649,52,3161,1436,1349,497,51,3332,2794,3233,812,78,6928,1970,2883,309,36,5199,1303,2354,214,15,3892,759,1585,60,10,2418,1693,3614,181,22,5502,1103,2159,644,51,3958,479,184,198,27,890,23651,21547,9433,796,55419
104,307,55,95,6,463,174,7,51,5,235,116,32,77,3,231,103,23,196,4,329,547,77,323,20,970,373,70,621,20,1078,2722,251,748,51,3783,1726,373,905,85,3095,1856,708,956,86,3603,2017,1039,794,57,3897,1049,947,514,37,2545,1135,1022,364,33,2555,1933,2211,483,41,4673,1147,1723,170,20,3059,755,1231,104,14,2106,367,767,37,0,1170,792,1494,112,12,2412,716,1271,531,26,2546,322,108,166,27,614,18169,13396,7248,543,39359
105,258,70,90,12,426,94,15,25,5,134,44,25,89,4,164,49,14,145,3,213,333,49,304,17,700,235,72,467,16,789,1444,151,534,47,2173,845,253,653,76,1822,920,438,695,56,2106,1047,668,513,57,2291,574,606,374,32,1581,723,669,282,22,1696,1505,1627,416,57,3602,978,1245,158,34,2413,678,1052,94,12,1831,354,699,48,3,1101,712,1436,103,9,2259,654,1280,399,35,2372,324,114,184,26,653,11773,10486,5563,518,28335
106,627,90,187,17,916,280,14,69,5,376,185,32,165,16,391,146,41,336,18,540,866,103,639,18,1625,637,132,1166,29,1962,4194,379,1361,67,5999,2641,524,1735,145,5046,2778,1080,1820,141,5818,3229,1739,1378,116,6473,1703,1867,957,68,4593,1908,2031,793,61,4785,4091,5060,1249,111,10516,2575,4421,524,39,7561,1945,3754,325,34,6058,1061,2452,110,7,3634,2161,5452,271,21,7915,1360,3041,925,48,5377,552,230,257,35,1069,32939,32446,14278,987,80651
107,645,94,196,24,964,246,19,73,3,339,160,44,168,11,385,154,34,337,11,539,871,105,574,32,1582,672,157,972,40,1836,3986,411,1165,74,5639,2712,544,1614,158,5024,2757,1048,1618,158,5585,3094,1657,1510,153,6407,1750,1668,1050,89,4565,1935,1980,911,80,4906,3921,5104,1464,131,10620,2874,4967,601,65,8505,2098,4522,453,36,7110,1279,3219,171,22,4689,2653,8435,386,32,11505,976,2420,910,47,4355,442,241,206,29,922,33226,36671,14369,1200,85470
108,600,77,137,17,833,312,16,67,12,412,220,33,151,11,418,211,41,269,7,529,1058,82,599,29,1769,745,118,968,40,1865,5563,379,1167,71,7182,3373,573,1503,129,5576,3293,1047,1501,114,5956,3646,1619,1184,103,6557,1653,1421,672,43,3793,1747,1488,535,61,3830,2891,3139,736,74,6838,1637,2439,255,27,4362,1034,1815,127,12,2986,521,1100,36,4,1665,1212,2146,128,9,3499,1178,1680,837,49,3748,659,190,253,36,1138,31544,19384,11156,856,62940
109,278,21,69,0,370,134,6,18,7,156,86,25,70,0,183,57,22,125,4,207,414,39,235,10,699,295,71,455,18,844,1953,156,498,26,2639,1245,237,599,64,2148,1300,448,631,50,2426,1512,786,486,38,2816,786,829,344,35,1997,925,903,282,35,2144,1862,1961,437,47,4307,1141,1558,128,20,2853,741,1293,74,12,2117,359,821,25,8,1208,757,1543,71,5,2384,660,1195,339,13,2211,390,121,107,20,629,14895,12031,5000,407,32339
110,402,84,134,13,637,182,28,47,6,265,117,27,142,13,291,81,22,235,6,342,637,72,496,23,1238,403,117,783,22,1326,2835,288,888,63,4072,1624,426,1098,116,3266,1746,776,1059,102,3684,2038,1157,767,81,4047,1122,1091,471,50,2741,1368,1248,420,55,3093,2552,2851,613,57,6077,1507,2122,188,49,3862,1047,1729,107,19,2903,553,1079,43,9,1688,1210,2257,130,13,3616,917,1632,555,37,3140,451,170,228,40,886,20802,17190,8402,785,47169
