SA4_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
101,16,16,54,66,137,248,418,398,238,1591,29,16,36,103,269,654,974,669,247,2997,482,1914,2365,2346,2498,2288,1410,615,370,14288,0,7,18,34,105,182,308,293,209,1156,687,720,1068,1381,1877,2195,1908,967,678,11481,15603,7014,8150,7884,8364,7785,5266,1949,494,62509,1896,1091,1128,1183,1272,1458,1206,701,393,10328,19883,11289,13501,13960,16034,17838,15513,8257,3448,119723,40,185,601,1367,3236,6799,8777,5839,2268,29112,3201,2203,2656,2756,2956,3220,2962,1450,487,21891,27,45,142,324,816,1907,2890,1892,673,8716,0,8,7,5,24,78,296,734,862,2014,87,174,319,604,1393,2804,3777,2337,647,12142,44,96,125,254,768,2026,3742,3094,1384,11533,49,43,84,132,280,508,908,799,400,3203,57,38,72,173,492,1252,1958,1412,482,5936,1112,2976,3622,3729,4207,3987,2571,1098,557,23859,10,19,36,60,200,430,791,725,380,2651,1706,1297,1766,2233,3229,4087,3657,1771,1041,20787,31736,15541,17059,16233,17076,15780,10599,3889,926,128839
102,33,26,65,95,181,273,484,631,406,2194,28,30,44,114,397,1054,1633,1282,530,5112,935,3499,3812,3658,3768,3399,2225,1159,731,23186,13,7,31,50,158,304,498,613,430,2104,1126,1218,1656,2069,2521,3207,2950,1790,1242,17779,23764,11764,11534,12565,12174,10289,6891,3021,920,92922,2619,1496,1471,1543,1562,1577,1497,1184,854,13803,30155,18857,19505,21445,22793,23597,21797,13850,6619,178618,65,188,693,1635,3970,8023,11825,9355,3990,39744,4972,3796,4180,4366,4323,4369,4012,2444,837,33299,70,86,162,474,1130,2521,4033,3318,1162,12956,10,5,8,14,31,146,484,1331,1680,3709,110,262,396,898,2084,3958,5723,4216,1260,18907,98,105,143,312,1001,2795,5254,5167,2533,17408,78,51,109,182,349,572,1108,1279,688,4416,69,57,80,213,683,1837,2875,2501,924,9239,2033,5515,5981,5941,6132,5666,3777,1953,990,37988,21,18,59,96,314,682,1217,1346,738,4491,3044,2327,2607,3302,4239,5565,5198,3093,1778,31153,47915,25448,24094,25387,24731,20149,12881,5631,1561,187797
103,12,13,38,59,110,154,255,260,184,1085,31,16,28,78,268,565,839,592,211,2628,522,2048,2325,2108,2141,1943,1148,510,351,13096,5,5,18,42,104,166,243,286,192,1061,717,648,989,1162,1356,1640,1437,813,511,9273,15353,6887,7386,6851,6812,5988,4008,1789,546,55620,2177,1096,1127,1124,1252,1161,1009,687,376,10009,20065,11361,12591,12185,13355,14006,12259,7516,3417,106755,49,138,436,928,2490,5307,7027,5118,2179,23672,3509,2490,2719,2620,2635,2932,2628,1454,443,21430,51,43,113,238,690,1440,2234,1682,536,7027,3,0,5,12,24,74,262,710,759,1849,82,192,298,602,1413,2597,3476,2246,680,11586,68,70,108,199,653,1738,2991,2711,1352,9890,36,33,77,104,219,351,549,522,311,2202,72,39,64,162,467,1127,1707,1284,418,5340,1195,3220,3596,3383,3576,3367,2082,930,498,21847,8,10,31,79,176,392,657,626,341,2320,1867,1269,1545,1866,2404,3046,2651,1492,757,16897,31004,15164,15253,14058,13901,12100,8062,3477,947,113966
104,11,14,26,28,72,129,210,275,197,962,13,10,17,57,209,508,727,592,237,2370,311,1140,1398,1414,1621,1638,1041,524,334,9421,7,3,10,22,74,115,217,251,181,880,412,388,556,729,1071,1419,1296,758,484,7113,9583,4349,4562,4703,4962,4919,3560,1305,371,38314,1209,731,745,830,822,867,754,513,301,6772,12165,6921,7617,8243,9471,11056,10399,6036,2718,74626,28,89,293,741,1801,4119,5691,4161,1809,18732,1812,1269,1362,1567,1595,1934,1861,1056,338,12794,17,20,73,191,497,1113,1971,1449,564,5895,3,0,7,7,19,71,242,565,661,1575,39,79,147,310,788,1517,2291,1688,507,7366,36,38,62,133,424,1331,2587,2468,1270,8349,25,24,48,82,146,274,465,589,350,2003,37,15,34,110,350,1005,1489,1172,437,4649,674,1859,2186,2401,2709,2853,1952,916,469,16019,6,3,20,46,130,278,537,561,334,1915,1086,802,921,1224,1820,2564,2451,1324,694,12886,19045,9314,9289,9265,9706,9342,7065,2586,654,76266
105,10,9,23,40,72,120,186,156,102,718,12,5,10,42,164,363,472,290,121,1479,213,959,1223,968,1014,1008,559,235,134,6313,4,0,11,18,65,111,147,129,70,555,321,280,526,528,704,822,640,392,242,4455,8135,3558,4594,3560,3206,3067,1837,819,249,29025,1716,890,1032,982,910,892,712,550,319,8003,11169,6079,7914,6641,6852,7663,6204,3973,1761,58256,29,73,220,501,1235,2890,3709,2624,1112,12393,2052,1300,1589,1371,1350,1649,1435,725,227,11698,31,26,67,149,331,741,1119,808,258,3530,0,0,11,4,14,48,144,367,363,951,32,82,204,376,921,1662,1977,1302,327,6883,39,49,94,147,444,1190,1763,1449,690,5865,23,27,43,60,130,253,390,313,167,1406,31,16,47,74,267,673,965,600,248,2921,520,1480,1848,1601,1718,1733,1034,410,195,10539,3,3,12,43,132,239,353,310,142,1237,849,547,829,897,1235,1593,1249,680,370,8249,16150,7614,9395,7212,6598,6148,3706,1617,444,58884
106,16,38,64,88,173,236,433,448,261,1757,50,30,54,110,340,807,1173,819,265,3648,952,3346,4069,3457,3387,2904,1769,819,406,21109,12,8,26,65,142,259,380,385,239,1516,1096,1052,1667,1855,2090,2566,2017,1065,610,14018,21173,9653,10318,9705,9211,7726,5074,1978,477,75315,2517,1358,1305,1303,1336,1231,1031,728,481,11290,27651,16239,18420,17801,18448,18866,16575,9129,3668,146797,56,204,805,1781,3788,7688,10345,6733,2477,33877,5460,3540,4269,4054,3819,3641,3427,1622,497,30329,59,61,195,392,946,2038,3197,2174,675,9737,0,7,5,19,34,127,369,894,799,2254,119,221,522,925,2129,3823,5018,3113,778,16648,125,121,192,348,1038,2675,4453,3742,1584,14278,65,63,115,164,329,516,916,905,426,3499,89,65,93,229,612,1490,2336,1687,485,7086,2099,5275,6179,5595,5549,4921,3176,1409,565,34768,24,21,42,109,271,555,917,899,414,3252,2942,1953,2598,3027,3588,4485,3772,1956,926,25247,42342,21404,21821,20243,18931,15529,10040,3925,857,155092
107,32,33,66,85,169,313,446,548,337,2029,25,37,39,90,311,796,987,908,375,3568,603,3518,3662,3039,3033,2635,1650,1010,614,19764,8,13,33,55,130,241,379,476,314,1649,974,1288,1657,1912,2290,2764,2406,1428,960,15679,21901,12614,12387,11923,11031,9075,5556,2281,630,87398,2044,1524,1353,1299,1333,1271,1028,768,550,11170,27173,19911,20093,19780,20156,20163,16842,10615,5039,159772,52,242,638,1415,3445,6952,9187,7496,3370,32797,4362,3825,3858,3780,3380,3191,2728,1676,567,27367,59,98,198,441,989,2073,3002,2372,906,10138,0,11,0,12,27,109,370,1032,1248,2809,95,224,426,775,1770,3446,4601,3512,1187,16036,90,89,150,265,846,2233,3796,3733,2016,13218,66,68,115,166,315,621,918,1014,585,3868,56,67,87,178,526,1392,1907,1782,708,6703,1265,5327,5597,4961,4979,4471,2749,1526,860,31735,18,24,59,91,243,512,870,1020,571,3408,2489,2296,2637,3162,3920,4830,4301,2496,1438,27569,44221,27296,26576,24484,22601,18345,10880,4421,1116,179940
108,8,25,43,42,104,248,444,530,378,1822,22,25,27,87,286,834,1340,1059,381,4061,554,1994,2048,2059,2439,2753,1885,971,653,15356,0,3,15,30,122,258,392,515,351,1686,679,618,830,1077,1528,2347,2265,1389,876,11609,13325,6276,5807,6273,7212,8036,6503,2817,736,56985,1895,1042,987,1022,1108,1336,1348,911,505,10154,17606,10470,10220,11306,14011,18396,18899,11656,5138,117702,37,141,384,1005,2627,6824,10953,8128,3425,33524,3214,2105,2183,2358,2664,3415,3716,2201,703,22559,32,54,86,229,682,1906,3670,2848,1029,10536,3,7,9,14,28,117,434,1217,1371,3200,60,146,248,512,1270,2788,4680,3330,1065,14099,65,77,116,202,668,2189,4581,4315,2218,14431,30,46,68,86,215,482,957,1144,642,3670,42,45,64,158,552,1604,2749,2121,732,8067,1174,3215,3316,3378,4171,4723,3540,1727,904,26148,9,14,40,79,218,567,1053,1164,649,3793,1716,1211,1353,1768,2639,4259,4377,2498,1345,21166,26366,13559,11675,12424,14313,15285,12658,5513,1351,113144
109,6,7,6,41,67,98,172,198,129,724,5,9,19,46,124,285,476,380,154,1498,270,1177,1269,1182,1200,1182,718,376,240,7614,3,3,11,28,54,98,179,167,151,694,324,362,505,576,743,976,828,495,377,5186,8437,3934,4085,3966,3910,3854,2783,1172,291,32432,1167,685,650,689,715,792,691,478,185,6052,10821,6560,6944,7048,7584,8737,8014,4889,2032,62629,31,67,232,540,1307,2946,4358,3150,1373,14004,1777,1434,1585,1520,1545,1702,1594,922,310,12389,26,38,59,154,367,879,1458,1145,382,4508,4,0,7,5,21,47,155,407,449,1095,40,79,171,323,691,1367,2087,1402,413,6573,41,32,75,121,382,1048,2014,1803,900,6416,26,29,29,72,110,210,363,411,205,1455,13,24,38,91,221,558,1004,757,285,2991,566,1743,1975,1908,2025,1984,1363,671,327,12562,3,8,18,38,102,217,456,398,248,1488,886,681,834,968,1292,1733,1567,895,557,9413,16881,8513,8506,8020,7947,7745,5552,2284,559,66007
110,10,19,32,47,76,161,255,298,172,1070,24,15,20,70,206,539,723,578,190,2365,380,1705,1824,1650,1665,1664,972,501,260,10621,7,0,7,33,81,169,208,275,164,944,535,594,766,949,1229,1502,1221,748,414,7958,12834,6328,6670,5769,5662,5229,3543,1638,433,48106,2352,1560,1302,1193,1281,1318,1035,762,420,11223,17214,10828,11307,10485,11300,12547,10739,6981,2895,94296,37,140,362,777,1992,4361,5889,4523,1808,19889,3069,2266,2287,2195,2231,2693,2272,1334,404,18751,32,48,132,244,539,1288,2008,1514,480,6285,3,0,6,11,22,73,230,557,623,1525,70,128,295,576,1172,2258,2948,1978,551,9976,78,79,106,217,563,1608,2653,2471,1165,8940,35,47,62,100,174,354,545,573,291,2181,55,39,51,127,358,1036,1428,1085,353,4532,850,2575,2807,2680,2790,2859,1744,849,357,17511,12,10,15,58,168,379,539,637,315,2133,1420,1067,1239,1514,2072,2731,2259,1328,609,14239,25845,13481,13639,11722,11438,10371,6987,3105,707,97295
