SA4_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
101,16837,8892,9330,8824,9410,8846,5981,2163,504,70785,2306,1951,2061,2391,3196,4581,4720,2477,644,24330,155,212,339,502,908,1681,2322,1457,472,8043,9,17,57,104,324,785,1426,1149,461,4329,2470,2182,2454,2998,4425,7045,8474,5085,1570,36705,2053,1302,1472,1340,1581,1643,1302,661,252,11596,21360,12371,13251,13167,15413,17535,15755,7909,2332,119088,16119,7393,8657,8549,9227,8657,5898,2185,625,67308,1757,2315,2850,3092,3678,4702,4724,2677,990,26788,110,444,742,892,1275,1896,2221,1533,782,9894,0,42,124,243,590,1121,1461,1152,656,5389,1866,2804,3711,4230,5537,7723,8408,5367,2429,42075,1896,1091,1128,1183,1272,1458,1206,701,393,10335,19883,11289,13501,13960,16034,17838,15513,8257,3448,119720,32952,16282,17984,17378,18640,17502,11878,4347,1128,138099,4062,4273,4908,5482,6871,9282,9448,5158,1631,51118,266,658,1076,1393,2179,3578,4548,2994,1248,17937,11,60,183,345,913,1901,2888,2298,1113,9719,4335,4989,6167,7227,9966,14764,16885,10452,3999,78779,3952,2388,2601,2524,2847,3105,2502,1359,648,21932
102,25489,14370,13109,13529,13459,10942,6833,2988,762,101485,3684,3309,3347,3873,4555,5607,5940,3671,1147,35139,285,396,546,701,1142,2050,2951,2330,804,11205,13,29,60,168,426,1098,1943,2006,742,6491,3978,3737,3953,4739,6126,8760,10842,8015,2694,52831,2722,1795,1558,1646,1804,1588,1222,842,475,13657,32195,19909,18615,19909,21395,21289,18898,11851,3929,167980,24562,12396,12322,13611,13274,11591,7872,3446,1120,100194,2744,4112,4439,4710,5308,6237,6734,4391,1940,40612,230,799,1107,1226,1839,2575,3432,2707,1429,15338,13,49,162,348,810,1617,2266,2126,1281,8676,2982,4961,5712,6292,7955,10422,12431,9224,4648,64625,2619,1496,1471,1543,1562,1577,1497,1184,854,13797,30155,18857,19505,21445,22793,23597,21797,13850,6619,178618,50054,26774,25431,27142,26734,22527,14699,6440,1879,201682,6431,7426,7788,8586,9863,11842,12676,8060,3087,75752,514,1190,1654,1930,2979,4628,6383,5039,2231,26540,24,81,220,513,1238,2714,4212,4139,2027,15167,6961,8700,9661,11025,14083,19177,23274,17239,7344,117462,5336,3293,3027,3187,3370,3167,2717,2025,1326,27457
103,16427,8646,8212,7606,7643,6720,4479,1876,444,62062,2524,1998,2001,2131,2666,3587,3663,2115,600,21287,172,275,365,451,751,1408,1894,1267,442,7026,12,28,43,119,306,776,1224,1052,375,3922,2704,2298,2410,2695,3723,5775,6777,4430,1414,32229,2165,1538,1649,1634,1488,1424,1134,657,222,11911,21295,12486,12266,11940,12847,13916,12385,6972,2090,106203,15885,7228,7842,7417,7425,6613,4472,1994,645,59516,1859,2500,2783,2640,3038,3707,3618,2339,1090,23576,137,504,746,785,1088,1549,1920,1458,683,8864,7,38,92,215,554,977,1249,1031,629,4793,2006,3038,3626,3642,4682,6227,6787,4833,2395,37238,2177,1096,1127,1124,1252,1161,1009,687,376,10014,20065,11361,12591,12185,13355,14006,12259,7516,3417,106759,32319,15878,16048,15026,15065,13330,8946,3874,1089,121576,4379,4501,4790,4768,5702,7298,7277,4457,1683,44859,305,775,1113,1232,1840,2954,3811,2729,1124,15885,15,59,140,328,863,1755,2470,2080,1002,8712,4706,5340,6036,6341,8404,12003,13558,9264,3812,69466,4343,2636,2778,2758,2734,2589,2141,1347,602,21924
104,9926,5229,4937,4826,5117,4933,3896,1421,319,40613,1344,1132,1147,1478,1818,2741,3086,1691,495,14931,87,140,183,290,497,1016,1544,1033,356,5144,0,10,35,80,206,557,966,900,395,3152,1443,1277,1364,1851,2525,4313,5600,3619,1243,23227,1297,884,1116,1053,995,943,750,420,193,7658,12672,7392,7415,7727,8641,10197,10242,5462,1758,71497,9891,4572,4803,5042,5416,5452,3999,1491,451,41116,984,1323,1613,1716,2097,2808,3179,1975,785,16464,75,281,395,498,743,1196,1560,1106,596,6448,4,27,57,162,394,746,910,958,586,3843,1061,1627,2071,2376,3229,4742,5649,4038,1965,26755,1209,731,745,830,822,867,754,513,301,6758,12165,6921,7617,8243,9471,11056,10399,6036,2718,74634,19825,9800,9743,9869,10536,10387,7896,2909,767,81729,2330,2452,2759,3193,3911,5547,6264,3664,1277,31394,164,419,575,789,1242,2209,3103,2137,949,11599,5,37,92,243,600,1303,1882,1852,984,6999,2497,2903,3431,4227,5757,9058,11246,7656,3213,49980,2515,1612,1859,1874,1819,1806,1498,933,495,14418
105,8382,4219,4985,3849,3643,3411,2071,884,215,31653,1390,938,1057,1058,1326,1854,1817,998,309,10751,96,133,172,242,414,760,1022,657,203,3706,5,13,39,77,186,493,733,535,204,2280,1490,1090,1267,1377,1924,3102,3578,2187,718,16731,1857,1135,1323,1112,1044,1042,780,462,172,8931,11729,6442,7578,6344,6613,7562,6418,3526,1104,57315,8367,3700,4835,3821,3509,3337,2021,912,305,30810,1012,1196,1571,1306,1578,1845,1755,1241,523,12028,69,258,411,406,553,955,951,711,320,4629,0,31,59,127,308,636,772,564,294,2786,1079,1484,2045,1840,2436,3432,3480,2518,1135,19443,1716,890,1032,982,910,892,712,550,319,7992,11169,6079,7914,6641,6852,7663,6204,3973,1761,58251,16752,7917,9825,7669,7154,6749,4090,1793,519,62466,2400,2138,2627,2366,2902,3703,3572,2236,830,22782,167,393,580,646,970,1712,1975,1372,524,8334,6,40,103,202,493,1121,1502,1092,500,5059,2577,2573,3308,3218,4360,6537,7054,4702,1851,36179,3575,2031,2358,2092,1949,1935,1485,1006,493,16925
106,22391,12299,12046,11180,10474,8588,5555,2138,441,85119,3871,2958,3283,3387,3967,4888,4942,2613,665,30564,341,441,581,787,1137,1987,2633,1635,446,9983,11,34,79,168,429,1060,1827,1491,450,5547,4218,3430,3935,4341,5538,7938,9402,5734,1559,46094,2639,1798,2112,1902,1772,1607,1118,720,258,13928,29251,17527,18093,17424,17779,18133,16078,8597,2259,145140,21896,10181,11084,10543,10086,8670,5699,2195,573,80917,2966,3826,4591,4293,4462,5202,5201,2907,1068,34522,256,817,1225,1294,1707,2323,2710,1826,724,12889,20,56,211,374,857,1448,1941,1470,814,7192,3240,4704,6033,5958,7034,8970,9852,6202,2618,54600,2517,1358,1305,1303,1336,1231,1031,728,481,11281,27651,16239,18420,17801,18448,18866,16575,9129,3668,146804,44287,22481,23127,21719,20562,17255,11259,4341,1017,166036,6839,6783,7873,7684,8434,10085,10141,5519,1735,65087,595,1260,1807,2078,2847,4304,5344,3463,1171,22870,27,90,287,542,1293,2511,3767,2958,1265,12734,7457,8131,9968,10302,12568,16908,19251,11939,4173,100694,5154,3155,3417,3206,3106,2839,2145,1454,737,25214
107,23442,15318,14799,13331,12524,10304,6079,2458,603,98852,3057,3120,3109,3376,3880,4903,4717,2863,892,29910,179,378,480,591,966,1653,2334,1761,665,9009,8,29,53,121,296,844,1369,1396,639,4763,3237,3528,3640,4087,5150,7401,8420,6021,2196,43680,2259,1699,1466,1371,1447,1290,970,648,391,11533,28942,20542,19903,18791,19114,18989,15471,9129,3187,154066,22643,13309,13194,12985,12131,10215,6384,2588,855,94307,2345,4252,4367,4196,4545,5318,5246,3403,1506,35186,130,759,1041,1039,1518,2132,2618,2145,1048,12415,7,64,133,266,627,1231,1569,1716,1082,6692,2480,5075,5541,5494,6692,8682,9435,7264,3638,54294,2044,1524,1353,1299,1333,1271,1028,768,550,11173,27173,19911,20093,19780,20156,20163,16842,10615,5039,159771,46088,28625,27994,26318,24652,20515,12458,5045,1455,193153,5400,7370,7476,7569,8424,10216,9961,6265,2401,65096,310,1132,1517,1624,2486,3785,4948,3910,1710,21426,9,96,192,388,924,2074,2940,3105,1718,11457,5719,8605,9179,9581,11840,16080,17852,13284,5830,97979,4305,3224,2818,2670,2777,2554,1998,1413,937,22704
108,13777,7625,6166,6545,7616,7996,6859,2973,700,60263,2275,1848,1770,1958,2781,4334,5565,3353,966,24850,157,270,317,452,755,1703,2868,1951,721,9190,6,27,57,122,367,940,2015,1817,699,6044,2433,2138,2140,2534,3901,6974,10452,7123,2384,40082,2020,1329,1245,1234,1284,1431,1320,813,310,10992,18225,11097,9552,10315,12794,16402,18637,10910,3396,111336,13794,6587,6171,6769,7857,8881,7216,3117,891,61289,1785,2342,2358,2576,3314,4752,5626,3632,1520,27902,132,454,602,700,1175,2067,2833,2216,1097,11270,9,39,105,241,564,1356,1875,1776,1130,7094,1924,2839,3068,3511,5043,8176,10332,7629,3745,46267,1895,1042,987,1022,1108,1336,1348,911,505,10151,17606,10470,10220,11306,14011,18396,18899,11656,5138,117699,27570,14212,12341,13315,15468,16882,14077,6090,1590,121541,4060,4191,4121,4536,6093,9085,11192,6991,2485,52743,285,721,920,1154,1925,3764,5705,4171,1816,20458,9,66,158,363,932,2301,3889,3593,1835,13138,4355,4977,5206,6052,8944,15150,20781,14749,6131,86342,3907,2374,2234,2260,2394,2763,2675,1723,811,21142
109,8847,4809,4608,4256,4345,4229,3045,1224,303,35664,1268,1077,1168,1290,1518,2050,2393,1282,385,12446,88,112,209,218,412,762,1141,838,264,4056,3,11,32,68,155,396,806,658,270,2393,1364,1205,1403,1575,2086,3217,4343,2781,913,18887,1267,744,729,694,796,835,757,389,159,6363,11472,6757,6738,6530,7224,8281,8142,4386,1382,60918,8668,4108,4299,4224,4220,4251,3060,1310,357,34496,916,1452,1557,1597,1783,2209,2343,1525,617,14015,63,292,379,409,581,951,1191,900,452,5214,0,22,57,125,290,533,733,679,417,2861,982,1767,1998,2134,2661,3696,4266,3101,1491,22087,1167,685,650,689,715,792,691,478,185,6057,10821,6560,6944,7048,7584,8737,8014,4889,2032,62639,17511,8914,8906,8480,8567,8481,6105,2531,670,70163,2187,2536,2727,2895,3307,4262,4737,2810,1003,26455,152,406,586,630,989,1717,2331,1737,713,9265,8,30,84,191,442,933,1535,1332,688,5246,2347,2972,3399,3708,4742,6912,8609,5880,2403,40974,2431,1430,1377,1381,1507,1627,1444,868,340,12418
110,13611,7428,7232,6266,6227,5673,3833,1625,324,52223,2098,1620,1692,1780,2207,3125,3244,1850,485,18104,151,231,271,370,615,1159,1560,1111,354,5817,15,22,48,96,241,658,1054,911,335,3379,2268,1876,2014,2248,3059,4942,5852,3867,1174,27300,2406,1631,1408,1328,1444,1427,1147,673,273,11735,18287,10936,10649,9843,10734,12042,10835,6162,1773,91262,13230,6626,7054,6242,6214,5784,3923,1824,504,51394,1502,2145,2295,2226,2495,3140,3072,2191,855,19933,125,475,552,628,860,1428,1568,1199,584,7413,4,23,100,193,449,890,1137,1008,524,4337,1632,2646,2949,3046,3807,5455,5771,4399,1969,31681,2352,1560,1302,1193,1281,1318,1035,762,420,11222,17214,10828,11307,10485,11300,12547,10739,6981,2895,94298,26842,14055,14282,12504,12445,11454,7759,3448,831,103621,3598,3772,3988,4004,4698,6257,6318,4046,1346,38034,278,708,824,997,1475,2588,3121,2305,937,13233,23,55,151,292,698,1548,2187,1913,858,7721,3901,4528,4959,5295,6867,10397,11623,8263,3145,58986,4763,3189,2705,2528,2722,2736,2183,1437,697,22955
