SA4_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
119,7040,3564,3664,7235,3536,3680,7214,3775,3802,7574,3375,3450,6825,17742,18138,35884,3422,3596,7013,3302,3518,6819,3096,3256,6347,3093,3309,6399,2979,3295,6275,15888,16972,32856,2833,3029,5866,2782,3095,5881,2656,2947,5602,2439,2657,5096,2297,2541,4844,13013,14270,27278,2366,2516,4884,2308,2491,4796,2152,2326,4479,2244,2391,4635,2224,2248,4472,11295,11969,23268,1888,2107,3991,1802,1892,3694,1727,1824,3551,1534,1639,3176,1379,1580,2962,8324,9039,17365,5940,7305,13251,3843,5130,8978,1713,2732,4443,371,867,1240,33,108,145,301606,303505,605118
120,3552,1670,1837,3512,1701,1907,3603,1808,1967,3774,1656,1959,3614,8595,9463,18061,1649,1815,3458,1506,1649,3159,1448,1607,3055,1416,1517,2930,1373,1567,2937,7397,8150,15544,1375,1511,2888,1238,1502,2741,1271,1468,2744,1130,1351,2483,1148,1356,2502,6160,7195,13362,1127,1361,2493,1078,1325,2408,1052,1178,2233,1076,1211,2285,1052,1183,2231,5384,6261,11644,864,1051,1913,857,1022,1878,749,847,1596,677,776,1451,651,768,1422,3798,4468,8267,2710,3435,6144,1734,2395,4128,795,1343,2140,165,482,648,10,74,78,148502,156267,304771
121,5098,2388,2632,5018,2559,2793,5343,2504,2746,5249,2530,2565,5095,12434,13364,25799,2329,2565,4894,2252,2396,4650,2080,2369,4453,2079,2323,4407,2074,2229,4306,10822,11891,22710,1949,2202,4153,1971,2262,4232,1803,2032,3840,1758,2128,3884,1675,2081,3756,9163,10707,19867,1668,2008,3680,1681,2094,3770,1651,1924,3576,1727,1894,3625,1793,2094,3884,8519,10019,18539,1494,1820,3310,1422,1666,3090,1376,1523,2902,1123,1326,2453,1190,1324,2514,6604,7660,14267,4395,5437,9835,2574,3642,6212,1243,2148,3396,312,795,1100,28,95,124,204179,219868,424045
122,3443,1739,1861,3599,1759,1782,3547,1704,1732,3441,1748,1727,3476,8672,8835,17513,1678,1688,3367,1467,1511,2977,1436,1504,2940,1472,1545,3017,1315,1355,2674,7372,7603,14968,1220,1425,2648,1245,1290,2536,1207,1283,2493,1208,1332,2538,1087,1245,2327,5966,6570,12539,1139,1220,2360,1063,1147,2206,1062,1256,2316,1108,1217,2329,1177,1297,2472,5548,6131,11674,1002,1158,2157,905,1128,2033,944,1148,2094,792,957,1747,786,908,1690,4427,5297,9722,3129,3644,6773,1685,2451,4137,798,1501,2305,248,455,706,11,86,101,128929,134623,263554
123,3209,1639,1708,3346,1586,1782,3368,1637,1828,3462,1596,1721,3313,7987,8713,16700,1628,1743,3368,1558,1640,3199,1455,1601,3056,1485,1578,3063,1328,1526,2854,7455,8086,15545,1327,1486,2814,1315,1420,2737,1255,1392,2644,1224,1355,2580,1209,1273,2477,6332,6926,13255,1122,1282,2404,1090,1233,2324,1053,1118,2168,1030,1153,2183,1072,1060,2133,5372,5834,11206,879,907,1779,746,812,1558,665,756,1417,580,615,1192,527,627,1151,3398,3704,7098,2020,2399,4415,921,1370,2291,289,740,1027,87,235,322,3,30,35,146172,151122,297292
124,3839,1870,1950,3819,1890,1991,3881,1974,2040,4013,1902,2111,4014,9504,10057,19564,1974,2136,4109,1823,2079,3901,1815,2000,3821,1769,1983,3749,1724,1898,3620,9103,10094,19198,1611,1838,3450,1543,1798,3340,1544,1719,3263,1547,1689,3239,1601,1624,3225,7848,8669,16513,1456,1618,3078,1469,1519,2985,1329,1486,2807,1357,1495,2852,1352,1464,2814,6955,7588,14546,1087,1193,2283,992,1071,2066,942,1002,1943,751,900,1650,675,850,1528,4451,5015,9465,2596,3293,5888,1302,2001,3302,455,979,1434,105,338,442,4,55,57,163198,168862,332056
125,4898,2554,2660,5210,2515,2642,5158,2613,2638,5253,2525,2564,5086,12613,12998,25605,2331,2455,4791,2295,2488,4785,2276,2273,4549,2224,2308,4526,2154,2181,4337,11289,11701,22991,2042,2096,4139,1901,2067,3964,1874,2081,3955,1761,1894,3653,1640,1715,3350,9207,9849,19060,1524,1743,3264,1574,1608,3181,1429,1567,2993,1515,1567,3081,1460,1476,2936,7495,7957,15455,1273,1292,2569,1117,1242,2362,1109,1118,2228,998,1073,2074,876,1004,1874,5371,5735,11106,3573,4322,7895,2097,2634,4727,884,1487,2373,193,501,692,21,55,77,251582,241931,493515
126,2304,1106,1243,2349,1220,1277,2498,1208,1248,2457,1157,1166,2321,5770,6161,11931,1056,1192,2253,1030,1113,2143,998,1114,2110,970,1188,2157,996,1140,2135,5056,5743,10803,964,1107,2075,944,1068,2012,861,1004,1861,827,993,1818,798,935,1729,4393,5106,9502,799,859,1662,868,843,1711,732,805,1533,683,792,1480,736,823,1560,3825,4114,7943,618,664,1277,505,588,1092,523,599,1119,433,539,975,477,521,1001,2556,2910,5463,1839,2466,4302,1164,1704,2870,619,1061,1683,156,362,518,19,46,62,98378,103659,202038
127,5658,2913,2865,5778,2910,2801,5705,2936,2900,5835,2845,2758,5601,14411,14171,28581,2715,2873,5590,2640,2835,5471,2584,2516,5103,2476,2608,5091,2324,2563,4884,12739,13403,26140,2158,2421,4584,2102,2362,4462,2028,2154,4182,1998,2028,4026,1664,1923,3583,9943,10895,20836,1740,1830,3574,1685,1808,3493,1620,1669,3299,1483,1586,3078,1437,1541,2976,7970,8444,16414,1250,1315,2567,1127,1128,2255,1074,1129,2205,937,1083,2020,914,931,1851,5304,5589,10888,3429,4154,7589,1889,2623,4509,786,1298,2084,172,346,517,19,54,76,234934,239498,474430
128,2797,1395,1433,2827,1443,1550,2989,1412,1539,2955,1448,1548,2997,7103,7459,14561,1469,1520,2986,1341,1397,2738,1366,1421,2782,1308,1466,2773,1247,1376,2626,6730,7180,13908,1307,1382,2691,1179,1282,2459,1125,1215,2341,1163,1230,2393,1022,1176,2197,5799,6279,12078,1053,1125,2178,1070,1168,2233,949,1117,2067,1032,1079,2110,1029,1184,2217,5128,5671,10801,850,1016,1861,819,964,1787,830,933,1763,693,795,1495,659,748,1404,3845,4458,8305,2473,3061,5533,1529,2123,3653,737,1398,2133,154,399,553,23,66,87,112258,117352,229604
