SA4_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
211,6556,3227,3392,6621,3183,3471,6655,3293,3629,6918,3291,3540,6827,16113,17462,33581,3237,3444,6685,3023,3295,6318,2997,3202,6195,2924,3242,6169,2964,3140,6103,15148,16318,31469,2784,3046,5830,2662,3006,5665,2487,2849,5334,2525,2837,5361,2435,2860,5292,12882,14603,27485,2414,2810,5221,2264,2663,4926,2235,2532,4768,2226,2505,4725,2314,2630,4941,11448,13133,24580,1899,2197,4097,1779,2041,3824,1649,1978,3625,1491,1734,3218,1456,1667,3128,8273,9613,17884,5448,6750,12197,2962,4175,7133,1248,2305,3554,293,708,996,28,97,129,253546,264753,518301
212,9415,4531,4767,9294,4635,4755,9394,4704,4691,9388,4396,4453,8847,22937,23398,46339,4281,4439,8719,4133,4454,8583,4060,4168,8226,3985,4156,8139,3662,4060,7717,20121,21277,41391,3765,3974,7738,3425,3789,7214,3285,3646,6929,3175,3498,6674,3041,3409,6444,16688,18311,34998,2956,3350,6310,2828,3230,6054,2696,3199,5894,2770,3137,5911,2866,3259,6131,14119,16180,30302,2426,2693,5117,2309,2616,4922,2151,2398,4552,1817,2124,3940,1890,2132,4020,10596,11955,22553,7396,8825,16224,4137,5765,9902,1752,3026,4778,395,856,1251,35,125,160,429665,430395,860060
213,8729,4233,4366,8594,4223,4253,8476,4116,4265,8383,4220,4140,8360,21135,21409,42546,3991,4171,8161,3842,4136,7976,3678,3962,7635,3478,3865,7350,3263,3650,6914,18244,19792,38033,3430,3613,7042,3287,3510,6792,3001,3288,6286,2939,3186,6123,2682,2986,5672,15339,16588,31924,2718,2981,5698,2516,2733,5250,2438,2608,5046,2367,2531,4903,2366,2586,4952,12408,13429,25844,1940,2057,3994,1768,1826,3593,1653,1780,3429,1358,1565,2918,1234,1476,2716,7953,8698,16652,5009,5997,11008,2519,3883,6406,1051,1938,2988,227,553,781,19,71,90,426866,426189,853054
214,3829,1949,2039,3982,1885,2149,4038,1998,2114,4114,1976,2142,4122,9683,10390,20074,1987,2134,4124,1921,2200,4121,1961,2146,4108,1825,2042,3871,1761,2080,3844,9454,10607,20059,1885,2025,3910,1818,2049,3865,1652,1951,3601,1800,1955,3755,1675,1943,3619,8837,9924,18763,1648,2005,3646,1757,1923,3684,1618,1841,3458,1674,1944,3614,1834,2030,3864,8536,9739,18278,1501,1732,3231,1399,1578,2977,1259,1516,2776,1173,1348,2527,1126,1309,2433,6461,7485,13946,4194,4929,9123,2357,3149,5496,1072,1673,2742,216,482,695,22,79,105,149718,158508,308226
215,2063,998,993,1995,1095,1086,2173,1072,1121,2196,1133,1169,2300,5323,5400,10726,1199,1147,2340,1131,1106,2237,1189,1126,2311,1117,1120,2235,1147,1050,2196,5784,5542,11322,993,1071,2065,1043,1058,2097,1000,949,1950,1035,985,2022,1020,880,1901,5092,4940,10036,932,901,1827,996,980,1977,890,863,1754,896,859,1760,937,869,1812,4647,4481,9130,701,722,1424,682,705,1383,607,636,1238,566,582,1153,615,659,1275,3166,3305,6473,2172,2611,4783,1239,1719,2956,535,959,1493,118,317,441,7,35,52,77653,77914,155568
216,1744,872,900,1775,879,944,1823,880,992,1871,972,1007,1977,4433,4767,9202,976,973,1951,939,947,1889,951,958,1916,947,931,1878,904,876,1782,4717,4691,9408,924,897,1816,856,912,1766,868,921,1794,867,902,1769,894,860,1756,4406,4494,8899,845,816,1658,843,847,1690,758,762,1516,784,793,1579,747,840,1583,3974,4055,8030,691,683,1377,640,592,1234,638,612,1245,506,545,1049,513,559,1067,2986,2986,5973,2024,2198,4222,1035,1427,2466,444,701,1144,107,221,326,10,31,40,68342,69282,137618
217,1752,845,829,1670,923,955,1872,875,992,1868,1006,1031,2039,4472,4734,9203,905,1028,1929,886,970,1859,966,1005,1969,940,960,1895,890,948,1832,4583,4902,9483,953,907,1858,905,970,1877,912,944,1860,861,908,1772,914,870,1790,4543,4604,9154,840,838,1679,789,842,1634,807,741,1554,719,736,1454,815,797,1610,3977,3960,7934,642,653,1289,613,595,1210,482,606,1081,484,496,977,472,520,989,2689,2859,5545,1699,2048,3747,940,1387,2329,400,762,1168,56,210,267,11,28,37,63143,64926,128069
297,0,5,6,9,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,38
299,145,56,43,92,56,42,98,59,46,104,82,41,120,353,212,563,75,49,126,51,47,100,61,46,105,56,39,98,48,41,87,288,217,511,71,33,102,52,35,80,46,36,84,64,21,88,37,20,58,271,141,418,35,16,51,17,19,42,25,9,37,16,13,26,25,14,34,116,74,194,31,14,44,15,15,24,8,8,20,12,8,18,12,0,15,70,42,120,20,14,34,7,14,26,5,0,3,0,3,3,0,0,0,5170,3915,9089
301,3067,1527,1548,3078,1614,1686,3298,1576,1759,3332,1647,1723,3365,7829,8316,16142,1560,1717,3280,1431,1626,3059,1493,1607,3100,1433,1561,2989,1361,1528,2897,7283,8039,15324,1398,1395,2794,1323,1467,2785,1258,1448,2704,1267,1414,2685,1251,1442,2691,6501,7156,13653,1213,1318,2527,1270,1333,2601,1147,1327,2471,1161,1277,2433,1176,1285,2459,5962,6528,12494,999,1089,2084,947,974,1920,837,925,1763,679,822,1500,703,813,1522,4166,4625,8794,2498,3000,5493,1355,1881,3231,533,1081,1621,137,301,435,24,48,66,117124,122696,239817
302,2438,1182,1290,2469,1235,1337,2571,1269,1339,2606,1230,1321,2558,6159,6490,12642,1185,1332,2523,1128,1206,2336,1072,1183,2255,1010,1124,2133,1032,1087,2117,5427,5934,11365,1023,1103,2124,946,1068,2019,859,1038,1896,885,970,1856,894,989,1879,4614,5168,9778,818,886,1708,814,959,1770,816,918,1734,766,905,1665,831,966,1798,4050,4630,8680,657,839,1495,615,821,1440,591,788,1384,546,669,1207,538,664,1205,2949,3784,6727,1990,2817,4810,1245,2032,3277,592,1199,1790,132,402,531,13,55,66,109298,115298,224598
303,3839,1847,2004,3853,1986,2049,4038,1925,2047,3968,1833,1891,3726,9466,9959,19425,1740,1922,3664,1721,1827,3548,1630,1822,3453,1591,1793,3379,1566,1775,3341,8245,9142,17383,1461,1700,3165,1441,1616,3056,1371,1571,2941,1361,1466,2825,1264,1458,2726,6896,7814,14709,1222,1335,2552,1211,1316,2537,1200,1259,2464,1110,1231,2340,1116,1301,2422,5863,6449,12312,947,1016,1967,859,1089,1944,834,957,1788,729,830,1563,729,855,1581,4094,4745,8836,2809,3509,6314,1500,2361,3858,724,1349,2068,132,425,553,13,48,67,182420,188606,371026
304,2128,1016,1013,2025,1047,1140,2181,1001,1086,2087,1013,1036,2048,5082,5392,10480,968,992,1966,937,967,1896,887,1010,1896,829,976,1801,846,973,1821,4465,4919,9386,848,928,1778,745,869,1616,748,839,1588,798,887,1681,747,882,1637,3883,4414,8297,722,888,1608,777,850,1626,714,871,1585,702,778,1480,779,919,1700,3695,4310,7998,601,703,1299,609,658,1266,577,638,1212,479,548,1029,496,517,1013,2764,3061,5821,1672,2062,3736,873,1351,2228,454,833,1287,108,291,407,13,44,54,92626,96586,189213
305,3214,1585,1525,3103,1583,1522,3102,1514,1543,3058,1391,1438,2831,7730,7580,15314,1414,1368,2779,1285,1351,2633,1213,1271,2482,1156,1157,2311,1150,1135,2285,6207,6282,12490,1038,1147,2190,1025,1031,2053,940,961,1903,994,1024,2014,918,882,1801,4927,5046,9965,857,894,1754,801,878,1685,806,788,1597,740,798,1539,815,816,1630,4018,4185,8203,654,685,1342,590,624,1209,479,557,1040,441,507,950,438,508,944,2610,2878,5484,1626,1838,3461,838,1197,2032,379,755,1131,88,219,305,3,39,40,144652,147592,292245
306,3418,1738,1753,3491,1725,1781,3507,1758,1812,3567,1782,1777,3554,8729,8804,17535,1738,1757,3490,1708,1743,3449,1658,1738,3394,1663,1660,3320,1681,1560,3245,8442,8456,16899,1568,1517,3081,1541,1560,3103,1526,1540,3070,1483,1396,2879,1439,1342,2786,7557,7363,14919,1466,1242,2707,1364,1235,2591,1287,1191,2475,1190,1216,2408,1297,1186,2481,6599,6068,12662,1004,949,1953,965,920,1886,915,896,1813,740,771,1507,687,737,1418,4311,4272,8580,2535,2537,5079,1347,1511,2851,486,782,1272,93,242,335,4,35,40,126014,127735,253748
307,1673,819,802,1622,942,910,1843,891,947,1843,924,906,1830,4418,4392,8811,942,977,1916,934,927,1860,923,871,1793,876,901,1779,863,820,1686,4536,4490,9030,842,802,1641,858,858,1722,835,746,1579,925,798,1727,829,737,1568,4288,3942,8227,787,750,1543,760,744,1508,722,653,1374,746,726,1472,748,645,1397,3775,3516,7292,639,551,1184,615,620,1237,517,529,1049,462,481,943,442,474,916,2685,2653,5335,1686,1807,3498,849,1035,1884,313,543,859,62,159,223,6,20,26,64356,64264,128622
308,2840,1498,1472,2970,1590,1564,3151,1623,1552,3176,1643,1511,3152,7779,7514,15293,1584,1542,3126,1532,1463,2996,1476,1368,2849,1483,1330,2817,1360,1266,2628,7438,6970,14406,1365,1189,2551,1253,1100,2350,1217,1176,2396,1154,996,2146,1130,1029,2159,6119,5486,11600,1030,980,2008,1035,957,1991,912,919,1834,939,855,1798,944,850,1790,4861,4564,9425,735,750,1483,712,697,1409,666,688,1355,567,564,1129,520,563,1086,3203,3264,6458,1938,2357,4297,1029,1328,2363,372,624,998,75,184,259,0,40,39,115421,112823,228246
309,7745,3683,3940,7623,3867,4054,7918,3807,4128,7940,3741,4104,7851,18780,20289,39070,3685,4178,7864,3451,3871,7320,3499,3808,7299,3230,3857,7088,3314,3652,6969,17180,19364,36542,3171,3570,6741,3073,3478,6543,3114,3480,6596,2989,3529,6521,2962,3333,6297,15313,17391,32703,3079,3387,6470,3032,3317,6349,2931,3223,6157,2972,3099,6072,3135,3397,6532,15149,16428,31578,2529,2749,5277,2408,2642,5050,2299,2360,4657,1857,2012,3875,1844,1967,3812,10941,11729,22672,6732,7599,14333,3360,4477,7832,1439,2502,3939,349,800,1148,36,111,149,311152,329627,640778
310,4086,2068,2150,4219,2067,2092,4166,2096,2126,4220,1978,2144,4117,10213,10600,20811,1984,2070,4052,1970,1924,3890,1883,1873,3759,1718,1863,3577,1671,1646,3318,9225,9376,18593,1709,1656,3371,1565,1568,3131,1442,1541,2987,1346,1514,2857,1427,1514,2947,7485,7797,15284,1372,1421,2795,1267,1342,2606,1244,1339,2579,1165,1255,2419,1200,1303,2503,6250,6655,12907,972,1055,2028,959,1029,1992,825,945,1763,761,839,1602,743,800,1539,4268,4660,8932,2563,3153,5713,1204,1713,2922,532,895,1424,103,228,338,9,41,48,182621,184504,367126
311,3928,1979,2035,4015,1969,2055,4021,1880,2028,3911,1851,2112,3958,9608,10220,19829,1970,2013,3989,1789,1907,3697,1781,1873,3655,1720,1784,3505,1594,1782,3381,8860,9360,18226,1650,1752,3398,1492,1634,3130,1476,1595,3077,1450,1605,3048,1436,1589,3024,7508,8172,15685,1401,1547,2947,1386,1518,2896,1378,1481,2862,1273,1441,2710,1348,1502,2852,6783,7481,14270,1053,1181,2230,1065,1030,2092,971,1001,1973,765,818,1580,677,748,1429,4528,4781,9304,2567,2935,5506,1183,1688,2868,444,817,1265,84,222,312,9,32,46,177600,182174,359767
312,2338,1217,1182,2401,1271,1249,2524,1405,1177,2580,1225,1264,2490,6403,5933,12329,1306,1165,2468,1196,1130,2327,1233,1004,2239,1112,1031,2145,1093,1011,2101,5946,5338,11284,1012,906,1926,1038,919,1956,939,822,1763,903,797,1700,867,735,1602,4763,4175,8943,784,717,1497,776,725,1503,701,669,1368,734,610,1343,678,665,1342,3663,3386,7054,586,555,1136,555,507,1061,495,511,1003,417,404,822,405,394,798,2452,2370,4824,1405,1518,2918,701,963,1662,268,481,752,61,93,156,5,9,14,92710,88188,180894
313,3174,1599,1720,3316,1601,1774,3379,1656,1885,3541,1660,1815,3480,8039,8851,16891,1659,1806,3461,1639,1760,3401,1521,1838,3363,1487,1749,3234,1532,1690,3221,7839,8837,16680,1609,1734,3337,1540,1776,3318,1537,1791,3331,1528,1750,3282,1602,1812,3418,7812,8868,16682,1519,1757,3284,1529,1747,3278,1519,1712,3231,1563,1644,3212,1602,1678,3279,7738,8548,16289,1364,1352,2714,1258,1370,2627,1107,1172,2277,979,1079,2056,963,985,1943,5667,5951,11618,3252,3789,7043,1621,2128,3745,704,1114,1819,122,345,465,11,35,50,129066,135684,264752
314,2468,1166,1254,2420,1207,1275,2478,1190,1225,2415,1189,1231,2421,5910,6298,12203,1151,1241,2393,1099,1116,2212,999,1083,2086,972,1054,2025,849,1053,1906,5065,5548,10616,883,947,1830,907,962,1872,823,939,1764,814,884,1698,818,903,1718,4247,4639,8883,758,898,1660,740,887,1631,733,826,1557,762,837,1597,818,817,1630,3811,4266,8073,584,744,1330,588,663,1248,551,559,1105,419,460,872,405,461,864,2547,2887,5433,1397,1592,2988,624,902,1526,248,502,745,50,181,232,7,20,24,106946,110751,217700
315,1039,547,488,1032,586,465,1054,520,480,999,534,478,1013,2689,2448,5137,508,548,1050,495,412,905,521,445,968,489,408,891,446,371,815,2457,2179,4638,433,363,799,416,332,751,375,255,630,334,316,652,320,270,587,1878,1534,3413,311,258,569,307,246,552,288,222,511,239,188,426,263,229,491,1406,1146,2550,205,194,405,214,185,400,187,149,332,161,142,302,155,161,308,922,832,1753,558,466,1025,223,259,484,84,133,214,14,25,37,0,3,6,41390,38443,79827
316,5245,2380,2873,5257,2466,2969,5431,2530,3019,5553,2501,3012,5518,12334,14669,27004,2698,3016,5716,2583,2862,5446,2548,2886,5431,2554,2881,5435,2439,2808,5245,12820,14447,27271,2448,2816,5257,2435,2727,5163,2342,2711,5054,2407,2629,5040,2415,2534,4952,12047,13427,25470,2399,2659,5060,2336,2596,4930,2325,2510,4829,2294,2414,4709,2447,2620,5070,11803,12792,24592,2012,2072,4083,1836,2032,3864,1740,1935,3674,1517,1632,3147,1460,1584,3042,8569,9248,17814,5312,6073,11386,2942,3683,6624,1179,1953,3133,236,590,825,17,73,90,192005,206834,398840
317,1744,833,955,1786,909,1032,1939,905,977,1881,931,959,1888,4382,4864,9247,972,973,1947,839,1092,1930,835,953,1791,883,960,1840,841,880,1719,4360,4862,9221,781,932,1710,796,956,1747,710,882,1599,799,868,1670,758,834,1587,3841,4470,8314,751,843,1597,712,873,1583,719,771,1487,703,760,1460,772,849,1624,3655,4101,7758,596,683,1274,563,726,1286,560,613,1172,474,605,1080,465,582,1052,2655,3218,5872,1776,2262,4038,955,1453,2409,392,776,1163,71,205,282,8,26,35,78137,83917,162059
318,2789,1406,1438,2844,1486,1467,2952,1452,1542,3001,1489,1543,3030,7202,7418,14618,1506,1536,3038,1492,1437,2933,1362,1324,2689,1325,1345,2671,1260,1295,2558,6946,6949,13893,1233,1319,2549,1219,1227,2449,1115,1203,2321,1220,1153,2373,1215,1047,2258,5999,5950,11953,1089,1045,2133,1012,1015,2031,1018,994,2018,952,935,1879,1003,1002,2006,5078,4989,10066,795,780,1569,754,804,1560,683,689,1368,586,635,1218,543,612,1158,3359,3508,6868,2093,2439,4532,975,1472,2448,399,710,1109,78,191,269,4,21,27,117138,117144,234283
319,4026,2003,2261,4261,2149,2299,4447,2212,2510,4721,2415,2626,5042,10664,11826,22496,2382,2512,4898,2286,2555,4838,2366,2509,4875,2272,2556,4834,2399,2468,4866,11703,12603,24306,2364,2566,4924,2438,2582,5021,2442,2488,4931,2489,2465,4961,2460,2455,4914,12201,12561,24755,2487,2395,4882,2382,2417,4805,2384,2339,4727,2428,2216,4649,2422,2417,4832,12112,11789,23898,2091,1886,3978,1951,1824,3772,1678,1637,3312,1462,1519,2980,1441,1414,2861,8619,8279,16906,5086,5263,10351,2353,2949,5303,890,1411,2298,193,396,591,12,54,61,151711,156032,307745
397,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,28,183
399,195,108,74,181,103,93,200,135,113,247,145,132,279,582,521,1101,143,138,281,158,122,278,130,133,257,145,131,272,139,137,277,715,652,1367,143,151,297,147,88,238,139,129,272,139,99,244,149,71,223,730,535,1269,134,85,225,120,88,208,101,52,154,92,59,149,73,53,131,525,330,854,63,30,98,53,25,81,45,23,65,33,24,65,30,12,41,220,124,348,63,37,101,17,18,35,0,4,7,0,4,4,0,0,0,7861,6807,14670
401,3839,1838,1911,3751,1932,2048,3977,1941,1996,3936,1869,1990,3855,9450,9918,19366,1962,1999,3955,1784,1982,3769,1782,2039,3820,1752,1847,3599,1621,1969,3592,8901,9827,18734,1667,1846,3511,1707,1828,3532,1589,1812,3404,1627,1792,3416,1552,1762,3314,8148,9034,17180,1499,1806,3306,1476,1677,3151,1463,1727,3194,1440,1729,3171,1597,1758,3352,7477,8701,16182,1259,1524,2783,1151,1342,2493,1109,1249,2357,946,1192,2138,889,1100,1989,5357,6406,11761,3600,4683,8279,2141,3029,5173,1000,1978,2982,258,694,957,30,97,124,151952,160429,312377
402,5382,2703,2817,5521,2633,2762,5399,2645,2746,5386,2560,2831,5387,13196,13875,27074,2552,2751,5297,2480,2575,5055,2421,2512,4937,2333,2454,4787,2217,2492,4713,12002,12792,24796,2174,2375,4553,2087,2229,4323,1973,2254,4223,1939,2143,4083,1925,2154,4080,10100,11162,21261,1804,2074,3876,1864,2027,3892,1738,1987,3713,1729,1973,3698,1853,2068,3915,8980,10123,19103,1448,1638,3091,1314,1660,2973,1258,1469,2721,1130,1401,2535,1172,1297,2466,6314,7473,13788,4213,5327,9544,2354,3317,5674,965,1692,2660,226,470,698,21,68,86,226664,229035,455707
403,4567,2252,2465,4716,2326,2447,4769,2290,2550,4844,2299,2488,4783,11347,12331,23674,2391,2545,4932,2272,2532,4806,2171,2574,4736,2179,2540,4710,2151,2446,4601,11166,12628,23790,2107,2408,4512,2160,2320,4484,2085,2424,4508,2042,2434,4473,2048,2247,4298,10444,11828,22275,1993,2318,4317,1971,2232,4204,1870,2151,4016,1853,2076,3926,2011,2221,4232,9695,11003,20695,1556,1760,3317,1501,1624,3129,1331,1541,2872,1247,1378,2620,1147,1304,2452,6789,7602,14392,4158,5202,9360,2381,3491,5864,1195,2115,3309,287,773,1057,37,105,147,182112,192742,374859
404,3148,1561,1599,3162,1574,1643,3216,1577,1584,3154,1515,1589,3109,7772,8021,15793,1550,1667,3219,1513,1637,3149,1518,1563,3082,1440,1445,2884,1384,1463,2849,7408,7773,15180,1254,1473,2727,1180,1430,2610,1118,1312,2424,1180,1301,2481,1106,1261,2370,5843,6776,12621,1134,1249,2387,1107,1227,2332,1033,1189,2216,1015,1133,2152,1107,1236,2343,5394,6032,11427,903,1050,1953,774,969,1740,749,850,1599,654,785,1441,614,761,1374,3692,4419,8112,2603,3728,6327,1774,2626,4391,832,1496,2327,204,507,706,29,67,98,119593,124756,244347
405,1559,812,811,1620,852,850,1704,893,925,1821,949,940,1883,4288,4298,8586,974,968,1944,936,958,1893,979,961,1943,921,902,1823,957,916,1872,4774,4701,9473,894,958,1853,925,860,1789,934,812,1750,971,895,1866,888,878,1766,4615,4406,9020,799,835,1636,855,808,1662,813,766,1573,767,742,1500,817,832,1649,4045,3976,8025,677,658,1331,667,686,1351,587,567,1159,487,529,1012,471,476,948,2894,2914,5804,1714,1884,3598,885,1124,2006,349,614,969,90,213,301,10,30,34,57223,57265,114487
406,1078,601,531,1131,546,562,1111,653,593,1244,662,563,1224,3026,2765,5791,635,597,1231,632,554,1194,565,527,1100,557,518,1070,570,536,1108,2969,2734,5708,535,497,1036,505,447,946,533,442,980,484,467,943,425,449,870,2483,2296,4785,492,409,901,455,420,872,421,408,830,366,394,760,409,400,807,2141,2032,4171,308,308,622,330,343,673,311,321,636,267,296,563,266,279,548,1487,1549,3038,952,998,1955,496,621,1121,182,320,503,40,77,122,4,12,13,42179,40472,82646
407,2503,1308,1326,2635,1397,1381,2783,1425,1497,2924,1463,1469,2930,6812,6964,13775,1491,1553,3038,1456,1524,2981,1427,1566,2997,1505,1463,2966,1452,1452,2906,7331,7563,14897,1504,1513,3015,1509,1497,3006,1482,1519,3001,1536,1481,3019,1478,1439,2913,7505,7450,14956,1468,1485,2953,1459,1460,2921,1450,1363,2816,1339,1334,2673,1448,1475,2921,7164,7121,14286,1210,1178,2390,1093,1091,2189,996,1016,2017,882,902,1782,787,889,1678,4975,5081,10052,3145,3438,6577,1563,2010,3575,706,1120,1828,147,361,512,15,55,71,96986,96720,193709
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
499,58,29,18,50,35,17,46,18,19,39,19,24,46,152,97,241,42,23,69,36,26,57,35,20,53,29,14,46,26,15,46,161,106,265,32,17,48,19,27,48,27,15,37,16,15,35,26,7,35,121,83,205,14,12,23,28,9,38,25,9,35,14,5,16,10,20,34,94,58,150,5,3,6,7,5,10,9,3,11,4,4,7,11,0,12,31,15,44,7,17,18,4,5,4,0,6,3,0,0,4,0,0,0,1873,1506,3377
501,2482,1249,1279,2521,1214,1267,2482,1286,1368,2651,1221,1371,2591,6191,6543,12730,1298,1460,2760,1224,1330,2553,1302,1364,2665,1205,1425,2628,1292,1249,2544,6318,6831,13149,1291,1325,2615,1171,1313,2486,1214,1173,2389,1116,1222,2346,1133,1105,2244,5928,6145,12073,1150,1159,2310,1093,1138,2230,1140,1065,2206,1060,977,2042,1131,1103,2232,5577,5445,11021,817,840,1660,768,798,1567,734,730,1460,602,615,1213,595,630,1222,3510,3616,7127,2139,2381,4526,1057,1439,2497,432,734,1166,101,186,288,10,24,35,93269,95483,188747
502,1340,653,693,1348,709,814,1521,733,710,1448,682,792,1471,3428,3690,7124,684,802,1483,698,773,1467,637,755,1388,674,788,1458,640,761,1402,3332,3875,7206,704,823,1528,686,798,1485,688,750,1439,692,781,1478,721,797,1518,3500,3940,7443,726,709,1437,707,779,1489,685,717,1399,720,756,1480,831,830,1661,3666,3793,7461,586,602,1189,572,609,1182,537,564,1100,498,524,1020,480,498,979,2665,2793,5461,1836,1951,3783,900,1142,2047,325,490,814,73,147,218,7,20,25,51979,55660,107641
503,2153,1069,1068,2135,1102,1098,2198,1098,1079,2175,1002,984,1991,5320,5333,10649,991,1016,2010,1026,994,2023,874,1002,1877,959,978,1942,958,993,1951,4808,4986,9792,1036,920,1958,778,896,1675,804,907,1711,828,892,1719,806,849,1655,4249,4465,8713,846,824,1674,761,794,1552,743,772,1517,694,756,1450,718,794,1510,3763,3939,7705,634,648,1285,554,556,1113,539,584,1130,468,508,978,492,520,1008,2689,2823,5513,1751,2098,3852,1014,1488,2501,482,897,1377,133,323,463,8,60,71,90025,92241,182267
504,3353,1632,1675,3316,1765,1789,3552,1667,1717,3386,1702,1693,3399,8463,8536,17004,1609,1719,3323,1531,1648,3177,1551,1557,3109,1378,1459,2833,1333,1354,2685,7399,7741,15138,1341,1417,2763,1294,1386,2685,1185,1348,2529,1162,1195,2357,1167,1206,2370,6155,6554,12707,1157,1172,2326,1026,1112,2135,957,1102,2063,994,1077,2071,1058,1163,2227,5193,5627,10821,836,899,1737,768,812,1579,704,730,1434,593,673,1270,588,670,1255,3494,3786,7274,2277,2689,4967,1150,1627,2777,463,867,1331,103,237,337,10,39,44,138101,138478,276573
505,6966,3344,3563,6902,3338,3575,6910,3434,3528,6964,3324,3467,6797,16828,17719,34542,3289,3411,6697,3008,3366,6376,3000,3273,6271,2875,3087,5961,2808,3121,5933,14976,16261,31239,2734,3060,5796,2664,3068,5736,2540,2912,5450,2502,2801,5303,2373,2663,5034,12817,14501,27317,2334,2599,4932,2334,2617,4959,2209,2571,4777,2206,2382,4590,2324,2489,4815,11405,12669,24073,1714,1939,3655,1625,1890,3514,1612,1793,3402,1356,1520,2879,1327,1574,2902,7642,8714,16350,4931,6382,11314,2733,4021,6749,1130,2042,3170,277,618,898,23,86,112,283068,294235,577297
506,5866,2975,2980,5957,2894,2911,5802,2938,3042,5980,2873,2900,5778,14599,14783,29384,2801,2879,5682,2652,2883,5534,2550,2743,5296,2561,2734,5297,2464,2620,5085,13034,13861,26897,2440,2654,5092,2314,2572,4888,2205,2492,4695,2153,2417,4570,2159,2343,4500,11264,12478,23749,2127,2276,4399,2009,2176,4188,1958,2113,4074,1948,2030,3976,1993,2079,4076,10040,10674,20707,1530,1581,3108,1419,1468,2894,1293,1492,2781,1147,1314,2463,1156,1232,2388,6544,7097,13641,4249,5334,9583,2294,3293,5583,1005,1723,2730,223,519,746,19,86,104,264141,265325,529466
