SA3_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
10102,0,0,0,0,0,6,17,10,0,37,0,0,4,4,3,0,0,0,0,10,0,0,0,6,0,4,0,0,0,9,0,4,24,199,0,0,0,0,0,234,0,0,0,3,8,13,20,12,3,62,0,9,31,114,100,76,40,25,0,397,0,4,6,60,42,66,60,30,11,271,0,7,3,46,0,0,7,0,0,69,0,0,0,4,24,15,0,0,0,44,0,29,42,154,65,54,31,4,0,383,0,0,0,6,3,11,14,6,3,42,0,0,4,10,7,0,0,0,0,21,0,3,5,6,12,34,21,20,7,99,4,6,4,9,4,7,0,0,0,36,0,7,10,51,37,19,14,0,0,149,0,3,0,24,10,8,3,3,0,56,0,0,0,8,5,0,0,0,0,17,0,6,6,49,32,6,4,0,0,106,0,0,0,9,3,3,0,0,0,9,7,23,16,63,21,16,17,3,0,177
10103,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,17,0,0,0,0,9,8,12,10,0,40,0,9,9,32,41,36,26,5,9,155,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,14,10,0,6,0,0,36,0,0,0,7,6,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,11,6,0,40,0,0,0,4,3,5,4,0,0,7,0,8,3,13,10,3,3,0,0,43,0,0,0,6,3,6,0,0,0,12,0,0,0,46,0,0,0,0,0,50,0,0,3,17,16,8,6,0,0,51,0,0,0,0,0,0,0,0,0,5,0,7,0,10,8,14,10,3,0,53
10104,0,0,0,0,0,11,12,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,46,0,0,4,4,7,23,88,56,19,203,0,5,7,73,96,132,113,54,7,495,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,3,7,10,8,6,0,0,35,0,3,14,71,46,48,35,11,3,225,0,0,0,8,5,12,9,5,0,30,0,0,0,3,0,5,0,0,0,10,0,0,0,12,15,39,61,51,23,196,0,3,0,6,0,5,6,0,0,25,0,6,5,23,23,37,22,22,3,133,0,0,0,6,4,3,4,0,0,18,0,0,0,8,0,0,0,0,0,14,0,3,7,43,34,15,7,0,0,112,0,0,0,3,0,0,0,0,0,8,0,6,5,38,14,41,60,15,5,186
10105,0,0,0,0,0,0,3,5,0,10,0,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,3,4,62,6,0,0,0,0,74,0,0,0,0,0,3,20,11,0,42,0,8,8,33,34,37,43,10,4,176,0,0,0,0,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,5,0,9,8,60,22,12,24,0,0,140,0,0,0,3,0,0,10,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,15,18,3,58,0,0,0,0,0,0,0,0,0,5,0,0,0,9,8,7,7,0,0,35,0,0,0,5,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,10,0,0,0,15,18,3,6,0,0,45,0,0,0,0,0,5,0,0,0,8,0,0,4,3,7,13,4,0,0,38
10106,0,0,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,11,0,0,0,7,4,6,22,5,3,46,0,3,6,48,35,45,31,12,4,187,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,7,18,6,6,0,0,31,3,5,8,41,23,11,9,0,6,104,0,0,0,5,3,3,0,6,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,9,6,12,10,10,0,46,0,0,0,0,5,0,4,0,0,5,0,4,0,19,8,8,8,0,0,44,0,4,0,9,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,12,0,0,7,9,7,8,0,0,0,36,0,0,0,0,4,0,0,0,0,5,0,8,6,19,19,9,17,0,0,75
10201,0,0,0,0,0,14,52,35,12,116,0,0,3,5,4,16,17,8,0,51,0,0,0,4,3,3,7,4,5,29,0,6,26,139,0,0,0,0,0,169,0,7,3,29,28,33,74,75,37,281,3,50,79,341,315,363,287,136,52,1619,0,0,0,0,0,5,3,0,0,8,0,8,3,29,0,9,0,0,0,49,0,0,4,29,27,33,16,0,0,107,3,32,47,347,163,191,106,22,9,918,0,0,0,53,25,18,34,16,12,157,0,0,0,0,3,6,0,3,0,15,3,7,23,60,70,87,109,92,49,504,0,10,4,26,18,16,11,0,0,96,3,31,51,214,172,116,97,52,14,757,0,4,3,24,21,13,16,8,0,90,0,4,0,23,13,8,5,0,0,56,0,19,26,195,100,49,12,3,0,396,0,0,0,16,6,10,9,4,0,39,5,27,46,146,67,56,53,22,4,429
10202,0,0,0,3,5,17,77,61,14,181,0,0,0,5,3,10,14,3,8,47,0,0,0,3,0,0,4,0,0,10,0,0,11,69,0,0,0,0,0,80,0,0,0,16,17,33,67,66,32,224,5,32,61,316,284,264,216,98,27,1295,0,0,0,0,0,4,4,0,0,10,0,5,8,14,8,4,0,0,0,37,0,0,0,6,14,14,11,4,0,53,5,30,46,310,153,151,94,24,4,828,0,0,0,32,10,10,23,9,3,90,0,0,0,5,8,3,0,0,0,21,0,3,8,38,31,75,122,97,39,409,0,0,0,9,4,14,11,4,0,40,0,12,26,104,58,52,46,32,4,332,0,0,0,24,7,7,8,0,4,50,0,5,0,12,8,0,0,0,0,16,0,19,20,130,46,31,13,0,0,251,0,0,0,7,4,12,4,0,0,21,0,16,18,66,37,36,30,5,0,212
10301,0,0,0,0,3,3,0,3,0,9,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,16,68,0,0,0,0,0,89,0,0,0,9,4,12,15,24,6,61,0,3,18,61,47,53,35,9,5,232,0,0,0,0,0,0,0,0,0,3,0,9,0,16,5,0,0,0,0,27,0,0,0,0,4,9,0,0,0,15,0,7,16,70,26,22,5,3,0,161,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,18,18,15,5,84,0,0,6,8,4,0,0,4,0,11,0,8,12,32,12,9,7,0,0,85,0,9,5,23,5,5,3,0,0,46,0,0,0,4,0,0,5,0,0,9,0,3,8,30,12,6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,10,9,17,7,3,10,0,0,62
10302,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,33,0,0,0,0,0,8,14,18,3,52,0,5,3,31,40,39,32,12,4,160,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,3,9,7,0,0,0,0,0,24,0,17,4,72,27,24,21,0,0,172,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9,0,33,0,0,0,0,0,0,0,0,0,3,0,4,9,26,26,5,8,6,0,75,0,3,0,8,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,5,0,0,7,11,12,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,4,8,18,3,3,9,3,0,46
10303,0,0,0,0,0,0,8,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,25,0,0,0,0,0,35,0,0,0,0,0,12,17,21,3,54,0,4,15,41,50,67,46,24,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,5,0,7,0,0,0,9,0,3,12,53,28,37,18,3,0,161,0,0,0,0,4,4,4,0,4,24,0,0,0,0,0,0,0,0,0,4,0,0,0,6,15,13,31,20,3,87,0,0,0,3,0,4,0,0,0,8,0,0,0,13,13,9,10,0,0,41,0,0,0,6,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,4,0,3,5,43,9,11,4,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,6,18,8,11,9,4,0,61
