SA3_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
10102,800,7178,9310,3593,2455,23344,253,23599
10103,317,2435,2853,1207,799,7610,125,7739
10104,1300,11643,11988,3859,1967,30759,544,31301
10105,796,4726,5134,2199,1426,14289,257,14540
10106,533,3934,5145,2346,1685,13638,257,13896
10201,4814,26103,24414,7796,4528,67648,941,68590
10202,3617,23254,22873,7745,4695,62182,942,63124
10301,986,5971,6649,2524,1586,17712,260,17974
10302,1167,7152,7488,2966,1834,20611,426,21032
10303,1116,6022,6510,2703,1752,18098,393,18485
10304,1139,7321,8724,3203,1795,22180,368,22545
10401,985,7708,7686,2621,1334,20337,416,20753
10402,1783,12993,13056,4314,2386,34526,605,35136
10501,611,2568,2401,964,641,7176,272,7453
10502,794,3331,2552,812,406,7895,188,8085
10503,1386,8868,9704,3557,2136,25652,519,26168
10601,1377,10300,13285,5526,3696,34185,466,34648
10602,1421,9623,12858,4606,2632,31139,336,31478
10603,1157,10643,11200,3775,2398,29166,395,29564
10604,577,3879,4256,1648,951,11310,190,11502
10701,2325,9664,10595,3879,2259,28722,415,29131
10702,0,0,0,0,0,0,0,0
10703,1697,11456,14357,4949,3225,35683,434,36123
10704,4444,19215,18455,5618,3232,50955,577,51532
10801,763,6008,4791,1512,771,13841,288,14131
10802,1065,7485,6825,2442,1374,19190,455,19642
10803,33,83,29,3,0,159,3,161
10804,1874,13495,12546,3983,2149,34042,811,34859
10805,1160,8512,8229,2780,1607,22290,580,22871
10901,1727,9511,9499,3159,1736,25640,417,26054
10902,238,1336,1712,715,414,4418,157,4577
10903,775,5918,6463,2259,1255,16670,386,17052
11001,898,5082,4972,1746,985,13668,241,13908
11002,858,5348,5190,2088,1239,14726,399,15127
11003,544,2651,2970,1169,744,8073,239,8315
11004,1786,10793,11601,4183,2601,30973,568,31543
11101,2732,16342,19315,6111,3474,47972,542,48510
11102,1376,9944,12155,4582,2931,30984,371,31352
11103,5585,26685,25893,7290,3704,69160,830,69987
11201,1392,11921,12804,4233,2328,32680,630,33315
11202,1425,10059,9975,3617,1987,27064,497,27563
11203,2181,14526,13747,4214,2296,36962,635,37602
11301,863,5382,6300,2589,1762,16898,376,17272
11302,257,1883,2073,886,494,5593,89,5687
11303,2190,12353,13561,4983,2886,35979,636,36613
11401,1863,16036,15976,5097,2924,41899,707,42603
11402,660,6753,7780,2860,1872,19933,262,20186
11501,1544,15007,21309,7083,3980,48922,395,49311
11502,176,1588,3034,1587,2085,8471,101,8570
11503,78,1432,3091,1657,1801,8062,84,8146
11504,264,4218,7612,2618,1998,16711,121,16834
11601,4002,17436,16270,5239,2726,45665,793,46456
11602,1087,13986,18654,5359,2562,41641,447,42087
11603,3119,12405,11555,4131,2275,33488,701,34185
11701,3449,10268,6063,1405,615,21803,372,22177
11702,4258,11308,4835,986,399,21790,258,22044
11703,38429,46565,11330,1591,588,98509,1885,100396
11801,8763,24528,13470,2788,1302,50844,744,51592
11802,8149,23739,14044,3334,1454,50719,708,51429
11901,5297,19952,19251,6981,4056,55544,1061,56605
