SA3_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
20505,36,214,1947,7876,4814,764,145,256,16048,0,48,296,145,16,0,0,8,519,0,50,28,20,0,0,3,0,95,8,97,323,162,16,0,5,9,617,3,180,337,79,6,0,0,14,624,0,0,20,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,7,3,179,367,81,11,0,0,14,661,11,60,41,13,7,3,0,3,142,0,8,7,12,3,0,5,0,32,56,560,2677,8145,4854,764,152,291,17492
20601,13,159,3467,9124,3843,630,106,173,17522,13,375,2399,1043,156,28,8,35,4045,9,301,2278,2011,347,35,6,46,5029,23,681,4673,3052,499,62,16,80,9078,43,1205,1989,209,18,6,7,52,3518,30,459,904,69,13,0,0,10,1484,63,1883,2736,213,18,8,3,34,4952,3,537,553,24,0,0,4,11,1131,0,3,3,3,6,0,0,0,22,143,4084,6181,518,53,11,7,106,11107,3,26,101,67,13,5,3,4,226,0,13,15,10,0,0,0,3,42,178,4963,14444,12771,4409,705,138,361,37979
20602,10,106,2072,5692,2544,467,84,77,11048,3,193,1297,859,140,13,6,24,2535,9,469,1259,1025,155,11,3,15,2936,8,664,2551,1883,295,31,5,36,5471,20,1508,1468,160,11,0,0,27,3188,16,261,402,50,0,0,0,16,739,6,468,670,59,4,0,0,7,1214,7,86,4,0,0,0,0,4,105,0,6,3,0,3,0,0,0,12,46,2320,2548,274,18,0,0,50,5260,0,22,62,32,0,3,0,0,128,0,6,4,0,3,0,0,0,14,67,3115,7240,7880,2857,498,94,160,21919
20603,10,62,1548,5366,3851,930,138,90,11991,7,87,1224,764,159,15,3,15,2282,7,195,993,1494,372,20,0,22,3107,11,286,2214,2262,534,36,5,41,5384,11,644,1965,687,36,3,4,43,3396,47,960,1479,117,9,0,0,77,2695,3,1179,2118,178,10,0,0,46,3535,7,310,509,204,3,0,0,38,1079,0,3,0,0,0,0,0,0,11,69,3100,6067,1196,54,3,10,211,10709,0,21,40,20,3,0,0,0,89,0,3,7,7,3,0,0,3,25,95,3468,9879,8855,4442,977,149,341,28208
20604,0,48,456,653,306,81,23,14,1575,8,274,1121,697,194,33,6,21,2346,43,433,1797,2264,886,208,58,51,5745,50,706,2919,2960,1079,242,67,74,8090,25,608,858,306,39,6,0,32,1876,129,1268,2290,557,42,9,5,60,4357,300,3144,5137,859,67,3,3,102,9622,995,14479,24438,4204,170,14,27,535,44847,0,0,0,3,0,0,0,0,9,1451,19497,32732,5927,312,36,35,724,60713,4,33,47,28,17,3,0,0,132,17,61,108,20,9,0,0,24,237,1522,20352,36258,9592,1721,361,119,839,70753
20605,5,78,832,1849,1138,263,54,30,4245,23,325,2492,2435,583,79,13,53,5999,19,251,1298,2882,797,104,19,45,5412,37,575,3792,5315,1384,183,33,100,11412,204,1783,3699,660,64,7,17,101,6525,200,3949,6024,840,31,9,4,149,11198,111,1970,3221,659,36,5,7,65,6072,68,2793,4446,1158,42,3,6,95,8602,3,8,14,12,3,0,0,0,43,582,10500,17397,3323,169,28,29,412,32446,17,227,245,55,9,0,0,10,565,0,24,33,5,0,0,0,4,80,636,11409,22300,10554,2703,471,118,560,48743
20606,7,84,954,1994,1476,486,140,43,5176,4,118,1379,1055,152,27,7,25,2769,0,105,846,1446,312,45,11,27,2802,4,227,2220,2501,469,76,17,52,5565,56,660,1720,629,64,10,9,30,3175,83,2560,3541,579,19,5,3,45,6837,123,2041,2257,566,15,0,0,67,5072,118,1716,2510,379,11,0,0,61,4790,0,0,0,3,0,0,0,0,3,380,6975,10024,2157,113,14,16,201,19874,0,12,29,22,0,0,5,0,69,0,14,8,9,7,0,0,5,45,391,7312,13239,6681,2055,576,168,311,30727
20607,9,112,1331,2500,1001,210,48,45,5253,16,525,4338,2953,704,77,23,73,8698,15,287,2101,3100,844,166,20,47,6578,30,815,6442,6052,1545,240,35,118,15279,73,1150,1453,394,62,5,8,41,3191,65,1816,2105,456,29,6,0,54,4532,74,2526,3587,581,25,3,3,56,6846,38,1591,2975,746,14,0,0,106,5470,0,4,12,3,4,0,0,0,31,251,7090,10134,2172,144,14,22,250,20073,3,85,142,84,27,4,0,6,353,0,12,10,9,0,0,0,10,48,293,8118,18061,10815,2715,473,108,427,41005
20701,14,144,2595,11741,14065,5182,781,245,34771,15,277,3825,2969,514,75,7,56,7738,8,68,783,2728,1051,90,4,27,4763,23,340,4611,5696,1563,167,12,85,12501,67,978,3406,731,87,11,14,58,5346,87,1209,3078,419,36,5,0,53,4894,55,1281,2400,456,20,4,0,40,4271,10,268,309,35,4,0,0,12,636,0,3,3,0,0,4,0,0,18,221,3744,9199,1645,151,20,15,166,15162,5,43,87,66,10,3,5,9,218,0,17,13,21,5,3,5,9,74,265,4292,16503,19176,15797,5378,815,502,62715
20702,6,55,770,9137,10911,2573,437,201,24086,0,81,1048,1138,226,14,3,37,2551,0,23,466,2194,1525,164,9,52,4431,4,108,1509,3338,1753,182,10,85,6988,12,102,601,555,37,0,0,15,1335,0,93,440,99,3,0,0,5,649,3,291,1012,187,5,0,0,24,1518,10,224,879,190,3,0,0,13,1317,0,0,5,3,0,0,0,0,8,29,722,2933,1035,52,4,3,56,4828,0,0,8,3,0,0,0,0,5,0,4,14,9,4,0,0,0,32,36,885,5233,13517,12725,2759,451,345,35944
