SA3_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
31502,38,842,142,1027,30,962,195,1183,98,2127,409,2631,141,1639,321,2102,150,1490,284,1924,151,1458,255,1866,60,783,137,979,32,356,74,469,0,58,16,78,705,9721,1829,12256,39,716,118,879,46,920,147,1113,170,2112,299,2581,237,1590,226,2045,201,1357,207,1764,184,1175,173,1531,97,613,96,805,37,307,63,409,5,94,22,122,1020,8880,1359,11256,80,1560,261,1909,73,1883,341,2296,267,4235,708,5215,375,3229,544,4149,349,2849,491,3689,335,2632,429,3397,158,1395,230,1781,73,669,136,878,11,152,41,197,1721,18601,3189,23511
31503,22,338,63,419,12,383,49,448,55,852,126,1034,71,704,121,896,85,813,133,1034,139,1054,181,1364,99,839,132,1066,28,408,80,519,10,126,26,167,522,5519,907,6950,19,297,53,374,19,407,64,492,80,924,129,1133,131,790,111,1028,199,818,134,1154,222,959,163,1344,130,644,101,877,39,380,69,493,15,178,29,226,857,5404,858,7116,43,633,124,795,37,793,107,939,133,1777,254,2168,202,1497,232,1924,284,1631,269,2188,356,2008,345,2705,231,1484,235,1945,68,793,152,1012,25,310,56,389,1375,10927,1766,14067
31601,74,1875,98,2047,66,1475,116,1655,145,2628,235,3004,250,2933,213,3400,432,3155,179,3765,428,2567,127,3124,312,2319,127,2760,226,1451,103,1786,82,534,82,690,2020,18943,1278,22240,71,1991,133,2198,95,1598,125,1819,262,2767,193,3231,549,3220,171,3941,784,3374,156,4314,791,2686,119,3597,541,2708,134,3382,300,1820,147,2271,49,822,206,1080,3449,20987,1379,25818,147,3865,225,4239,160,3073,240,3473,409,5393,431,6230,806,6152,391,7345,1221,6527,333,8080,1223,5260,245,6720,856,5032,264,6147,526,3270,253,4052,134,1351,284,1772,5467,39929,2659,48055
31602,113,2572,145,2832,98,2134,136,2373,252,4312,358,4919,453,4623,339,5417,720,4847,359,5928,735,4604,318,5660,642,4490,265,5401,430,2931,237,3593,127,981,154,1267,3570,31505,2321,37394,122,2459,145,2730,103,2139,126,2366,437,4845,319,5601,859,5023,315,6192,1262,5056,272,6592,1478,4927,298,6702,1008,5068,283,6362,471,3354,342,4163,98,1376,265,1731,5844,34244,2350,42444,236,5029,290,5563,200,4271,262,4742,692,9157,676,10519,1309,9645,654,11615,1985,9904,628,12515,2217,9530,617,12363,1652,9564,551,11763,894,6282,574,7756,226,2356,418,2999,9415,65745,4671,79832
31603,59,1381,106,1537,56,1389,134,1579,190,3356,327,3869,262,3190,308,3762,411,3307,317,4034,548,3463,266,4278,447,3462,261,4171,200,1753,183,2142,65,545,113,725,2240,21838,2027,26100,60,1309,91,1458,78,1626,133,1844,252,3615,336,4208,496,3209,254,3952,747,3335,269,4355,1005,3812,281,5096,629,3473,280,4385,261,1993,230,2485,47,861,198,1105,3577,23231,2080,28888,117,2684,194,2994,137,3010,272,3420,445,6968,665,8082,758,6392,562,7715,1160,6637,588,8382,1546,7283,548,9380,1072,6937,545,8556,460,3750,417,4620,117,1411,315,1834,5815,45073,4104,54990
31605,55,1241,66,1366,36,740,48,826,84,1493,158,1735,195,2182,184,2558,314,2544,211,3069,369,2501,139,3007,325,2814,166,3305,199,1663,132,1996,45,431,71,549,1619,15614,1180,18413,37,1127,47,1219,46,731,49,828,147,1636,128,1907,357,2430,181,2976,570,2776,187,3531,650,2732,149,3532,542,2899,159,3600,236,1673,182,2095,28,687,138,855,2621,16691,1227,20533,93,2369,115,2574,85,1469,98,1651,231,3128,285,3643,551,4613,369,5531,885,5318,391,6601,1018,5231,291,6534,865,5717,324,6910,439,3334,320,4093,73,1121,212,1406,4238,32306,2403,38945
31606,88,1557,116,1756,70,1204,114,1387,164,2558,240,2959,320,2718,279,3325,491,3106,298,3897,513,3305,244,4068,462,3018,215,3692,244,1579,140,1964,52,402,49,503,2400,19453,1698,23557,98,1483,99,1671,95,1234,80,1413,317,2639,218,3169,618,2830,226,3676,781,3175,240,4200,984,3283,209,4474,672,3063,215,3955,234,1511,120,1865,44,521,56,627,3844,19735,1470,25047,179,3038,212,3435,164,2441,190,2798,480,5195,459,6133,943,5551,506,7001,1270,6282,545,8093,1503,6585,456,8541,1129,6082,432,7644,481,3095,255,3824,94,920,110,1132,6239,39185,3167,48597
31607,74,1310,90,1473,67,1029,72,1179,163,2392,177,2730,295,2617,232,3139,418,2586,215,3224,412,2516,156,3090,321,2242,124,2690,186,1237,88,1510,45,349,54,447,1984,16287,1205,19483,68,1246,81,1395,90,975,81,1145,289,2468,161,2914,569,2596,180,3341,737,2594,170,3497,787,2548,170,3504,483,2181,114,2779,194,1363,108,1660,31,541,75,645,3239,16515,1131,20890,140,2559,171,2869,162,2012,156,2321,452,4853,333,5645,862,5209,408,6485,1159,5177,382,6719,1197,5069,327,6591,806,4431,237,5469,373,2602,198,3170,75,894,128,1094,5232,32804,2339,40374
31608,37,661,55,758,29,406,35,466,60,705,75,836,124,994,108,1220,219,1454,153,1817,271,1535,127,1932,213,1529,86,1824,107,739,49,895,24,132,26,187,1073,8149,710,9932,30,614,44,686,18,323,25,365,104,665,76,841,216,1136,103,1450,389,1421,111,1920,465,1640,113,2213,293,1387,73,1756,102,619,64,783,17,159,68,246,1637,7955,672,10269,75,1271,100,1439,47,727,54,829,159,1371,149,1682,336,2129,208,2673,602,2873,257,3741,737,3174,233,4147,505,2908,159,3577,211,1358,116,1679,34,296,96,435,2709,16104,1385,20202
31701,282,4921,356,5561,245,4482,355,5085,613,9186,756,10562,924,7866,585,9371,1251,7346,592,9192,1294,6960,487,8738,984,6094,422,7499,558,3565,301,4431,163,1112,151,1430,6315,51542,4007,61863,300,4821,307,5427,299,4572,359,5233,1095,9470,599,11159,1737,7944,527,10210,2094,7577,431,10102,2302,6975,449,9727,1482,6650,439,8571,695,4343,437,5473,93,2086,279,2458,10100,54438,3821,68358,577,9750,664,10992,549,9057,714,10312,1707,18658,1352,21719,2661,15812,1108,19577,3345,14921,1019,19294,3592,13932,938,18465,2467,12739,864,16065,1258,7913,740,9907,254,3201,432,3892,16413,105982,7828,130221
