SA3_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
30306,0,0,0,0,8,23,63,85,16,20,5,20,0,0,8,248,0,0,0,3,3,28,73,49,7,14,6,10,0,0,0,195,0,0,0,7,7,11,11,14,0,0,0,4,0,0,3,57,0,14,26,35,328,559,2246,1253,283,324,315,427,121,28,133,6089,0,0,44,8,8,37,10,0,0,0,0,0,0,0,0,111,0,0,6,6,8,10,14,11,3,0,5,0,0,0,0,69,0,5,6,17,78,115,78,41,6,4,9,8,7,0,8,378,36,18,13,8,8,10,13,5,0,0,0,0,0,0,0,120,3,20,50,14,6,3,3,8,0,0,0,0,0,0,8,113,0,4,3,39,210,303,181,124,47,27,36,20,30,12,15,1051,0,4,11,34,35,107,846,556,141,194,342,406,126,13,59,2887,0,0,14,14,48,61,91,30,4,4,5,10,9,0,8,294,0,0,0,0,9,8,41,82
30401,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,10,0,0,0,3,4,21,18,9,0,0,0,0,0,0,0,65,0,0,5,21,11,18,35,15,4,10,3,6,0,0,0,122,0,8,12,7,91,134,211,145,37,18,27,35,13,0,17,769,0,4,5,6,4,3,3,0,0,0,0,0,0,0,0,20,0,4,10,0,5,3,4,7,0,0,0,0,0,0,0,32,0,0,5,16,100,75,38,6,3,3,5,3,0,0,3,257,34,33,14,13,31,25,37,15,0,0,3,8,4,0,4,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,70,56,22,6,0,0,7,3,0,0,3,197,3,0,11,17,41,83,234,134,12,8,17,13,4,3,9,609,0,5,3,10,25,33,29,7,0,0,0,0,0,0,0,112,0,0,0,7,36,32,103,153
30402,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,5,8,25,10,0,0,0,0,0,0,0,45,0,3,12,20,31,25,54,33,15,5,6,9,9,5,5,227,9,6,5,5,47,86,273,227,73,87,58,76,20,0,5,968,0,0,8,3,5,6,0,0,0,0,0,0,0,0,0,14,0,5,3,0,5,0,4,0,0,0,0,0,0,0,0,19,0,0,10,10,23,19,24,3,5,0,3,0,0,4,0,101,39,25,14,20,33,32,87,19,12,4,3,6,5,0,5,306,0,11,4,0,0,0,4,3,0,0,0,0,0,0,3,31,0,8,9,23,53,41,53,21,0,14,0,4,11,12,0,242,5,4,39,42,59,99,348,217,28,31,33,33,18,9,7,966,4,3,4,6,13,34,31,18,7,0,0,0,0,0,0,130,0,0,0,9,39,22,117,85
30403,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,24,0,0,0,0,0,7,30,64,13,19,48,28,8,11,0,221,0,0,13,15,27,27,56,38,9,11,15,22,9,11,3,255,3,6,6,7,65,126,521,414,167,248,289,392,142,26,36,2446,0,0,4,3,0,4,0,3,0,0,0,0,3,0,0,28,0,8,0,0,4,0,0,15,0,0,3,39,20,10,0,103,0,0,5,6,24,24,18,3,0,0,8,4,5,0,5,97,32,21,13,7,37,23,68,30,9,4,12,13,10,4,3,277,0,5,6,0,0,0,0,3,0,0,3,0,0,0,0,21,0,0,9,22,51,79,74,78,22,23,24,49,46,23,15,517,3,3,12,14,39,58,337,362,113,137,163,199,92,34,19,1589,4,4,4,4,23,25,83,55,12,43,32,50,38,10,10,376,0,0,0,0,29,16,69,100
30404,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,15,0,0,5,21,16,26,55,34,5,10,4,6,3,0,3,196,3,5,0,5,15,19,101,82,21,16,22,20,4,0,3,321,0,3,9,0,0,3,5,0,0,0,0,0,0,0,0,24,0,0,0,0,0,4,5,4,0,0,0,5,0,0,0,16,0,0,9,17,30,28,26,8,0,0,0,0,0,0,0,115,17,22,13,19,24,26,73,14,3,8,0,5,5,0,5,232,0,0,3,0,0,3,5,4,0,0,0,0,0,0,0,16,0,4,4,4,14,29,18,8,9,6,3,3,4,4,0,109,3,0,8,20,27,32,206,140,18,33,34,39,14,7,6,582,0,6,5,5,10,12,16,12,3,11,0,0,0,0,0,71,0,0,0,0,13,12,37,51
30501,0,0,0,0,0,5,16,16,0,0,0,4,0,6,8,53,0,0,0,0,0,14,35,28,0,4,8,3,8,0,5,98,0,6,13,28,34,33,96,77,23,30,55,62,31,10,4,489,0,23,8,23,93,155,683,673,351,429,496,759,248,37,78,4065,0,4,9,4,5,17,5,7,0,0,0,0,0,0,0,55,9,3,7,0,0,6,15,18,0,7,6,4,5,0,3,84,0,0,5,17,47,28,33,8,0,4,5,5,0,0,3,168,22,21,21,21,38,53,97,37,19,27,32,65,23,16,9,497,17,126,145,37,7,0,0,10,0,4,0,3,0,0,71,424,5,4,7,22,100,118,94,118,53,52,75,93,73,36,20,866,0,7,17,17,52,84,401,466,150,193,300,476,198,40,27,2436,0,8,0,10,21,41,80,48,18,26,37,53,37,5,3,384,0,0,0,6,13,16,97,157
30502,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,4,14,23,25,48,47,5,8,15,12,5,0,4,208,0,11,4,0,18,18,89,65,17,24,27,26,3,0,0,294,0,0,6,5,0,5,3,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,3,0,0,0,3,0,4,0,0,24,0,0,3,15,29,20,8,7,3,0,4,4,0,0,0,92,10,17,8,3,16,19,42,24,3,4,9,6,3,7,6,179,4,10,11,4,0,0,0,0,0,0,6,0,0,0,0,41,0,0,0,9,17,22,26,22,0,3,3,7,3,0,0,116,0,0,12,7,16,36,120,85,21,32,35,44,18,0,0,430,0,4,0,5,3,17,15,9,4,0,5,5,0,4,0,64,0,0,0,0,3,4,33,52
30503,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,16,0,0,0,0,0,3,22,22,6,14,13,15,7,7,0,110,0,0,24,37,52,56,134,83,17,29,23,27,16,7,8,505,0,8,5,10,46,69,294,288,107,155,127,170,54,11,25,1353,0,10,20,0,4,13,3,4,0,0,0,0,0,0,6,59,0,3,0,0,0,8,22,5,4,10,10,5,8,3,0,87,0,5,4,16,48,44,43,15,6,4,5,8,0,0,4,196,23,25,22,22,27,33,64,43,11,8,15,17,8,3,10,333,3,14,15,4,8,5,0,9,0,3,0,0,0,0,6,59,0,8,12,19,57,73,90,59,27,21,21,27,41,8,11,479,7,0,26,29,47,93,416,348,143,153,212,221,67,33,27,1820,0,8,0,8,18,42,50,26,11,16,17,13,10,0,3,230,0,0,0,0,17,16,82,120
30504,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,4,0,13,0,4,3,5,0,3,0,0,37,0,0,6,23,21,34,61,77,16,16,15,17,9,3,0,303,0,7,3,3,29,50,218,182,112,126,149,199,80,3,13,1174,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0,0,8,33,17,16,9,7,3,0,0,3,0,0,102,26,5,15,15,33,29,68,30,4,7,7,9,7,3,3,264,4,8,3,4,5,6,0,3,0,0,0,0,0,0,0,30,0,4,0,13,32,33,53,49,12,13,16,20,20,4,4,256,0,0,15,10,19,34,160,106,39,43,61,65,45,13,11,623,4,3,0,5,4,24,23,16,0,5,11,6,9,0,0,112,0,0,0,6,15,11,50,61
30601,0,0,0,0,0,0,4,0,0,0,0,0,0,7,3,17,0,0,0,0,0,0,7,4,0,0,0,4,0,0,0,18,0,3,10,25,36,34,72,36,8,11,11,13,8,0,4,266,3,0,5,0,10,10,86,60,10,19,14,29,14,0,4,264,0,3,25,0,0,3,0,0,0,0,0,0,0,0,4,38,0,3,0,3,0,0,14,0,4,3,0,0,0,0,5,41,0,0,5,8,11,16,28,9,0,0,3,5,0,0,5,88,23,57,67,45,64,71,131,41,8,12,12,15,4,0,9,553,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3,18,4,0,5,5,18,15,14,13,5,0,3,0,0,0,0,92,0,0,14,15,15,20,171,174,48,33,25,37,18,5,19,592,0,4,9,4,8,16,21,17,4,8,3,7,5,0,0,99,0,0,0,0,8,6,7,8
