SA3_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
11904,21094,64766,3706,8618,2602,7244,6306,15860,1697,3320,5010,10782,11322,25232,6878,15654,267,644,25179,55630,68,86,3,5,0,0,396,826,463,915,127,276,53171,137449,5014,..,58185,137449
12001,12685,37958,1072,2705,2198,5514,3263,8224,3271,6489,3312,6748,6498,13519,4091,8698,93,218,17269,35676,0,0,0,0,0,0,373,791,373,791,46,85,33640,82731,3222,..,36858,82731
12002,6837,18556,3964,9645,4718,11817,8687,21465,2128,3929,2156,3524,2385,4030,349,648,61,118,7074,12245,0,0,5,11,0,0,156,315,161,327,28,55,22794,52647,2681,..,25469,52647
12003,20136,61271,2841,7093,3525,9916,6370,17013,6694,12950,9912,21178,10739,24533,5612,13301,129,304,33082,72260,0,0,0,0,0,0,570,1219,570,1219,206,391,60357,152145,6316,..,66676,152145
12101,18181,55992,1057,2726,1893,4837,2956,7561,2382,4751,6169,12768,7169,14802,7161,15155,113,279,22996,47757,0,0,0,0,0,0,81,186,83,188,59,116,44276,111620,4214,..,48487,111620
12102,18998,57245,313,652,1630,4293,1943,4945,907,1742,2992,6074,3389,7998,2525,6099,118,267,9934,22182,0,0,5,13,0,0,39,77,48,94,24,52,30954,84508,1882,..,32836,84508
12103,28826,91704,210,427,1419,3308,1630,3739,1632,2935,1702,3336,7081,15837,842,1854,88,208,11350,24167,0,0,5,9,0,0,112,256,121,262,37,89,41956,119955,3172,..,45131,119955
12104,7616,22180,1931,4756,3567,8425,5499,13181,4944,9848,10010,17860,7001,12160,7227,12495,95,180,29272,52539,0,0,11,20,0,0,166,327,171,345,101,163,42656,88413,6530,..,49185,88413
12201,6028,18874,737,1797,1573,3901,2306,5696,2071,4492,2659,5342,2016,3776,1203,2227,19,43,7966,15874,0,0,0,6,0,0,106,213,103,219,23,39,16422,40695,1996,..,18418,40695
12202,15981,47358,444,958,1761,4055,2197,5014,1383,2648,1392,2548,939,1888,13,21,123,283,3851,7390,3,14,10,18,0,8,106,232,130,266,65,136,22227,60179,2195,..,24422,60179
