SA3_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
10102,32664,32122,64793,2175,2142,4318,4391,3931,8324,1837,1679,3517,1794,1668,3457,4653,4850,9502,4566,4642,9210,4679,4736,9411,4251,4019,8276,2779,2665,5446,1215,1337,2548,320,464,784,31376,31011,62391,1286,1114,2401,1069,1084,2156,19,20,37,23,28,46,1108,1130,2238,25085,24622,49706,5905,5902,11809,26641,26187,52829,4304,4290,8600,29011,28717,57726,616,568,1186,4143,3704,7854,1409,1327,2738,569,630,1200,1233,1790,3019,15574,16560,32129,1670,1503,3174,5147,4591,9738,1238,1075,2313,817,777,1597,95,114,209,30508,30189,60695,2021,1751,3772
10103,10674,10046,20717,465,476,938,1310,1106,2416,593,560,1151,591,534,1122,1423,1279,2702,1163,1162,2325,1455,1427,2878,1560,1474,3034,1252,1113,2362,661,649,1311,203,274,474,10072,9469,19540,602,584,1180,362,234,593,17,7,26,0,8,7,388,245,634,8472,7860,16332,1400,1460,2863,9089,8676,17767,625,681,1304,9195,8768,17963,160,145,304,1206,1032,2236,387,386,774,117,154,267,238,496,733,3990,4436,8420,617,583,1202,2386,1953,4335,559,504,1061,379,283,664,38,23,63,9536,9246,18780,4273,3353,7627
10104,37632,39101,76736,1631,1538,3165,4074,3830,7910,1949,1715,3666,1387,1245,2636,3029,3188,6219,3284,3624,6911,4353,4776,9128,6264,7055,13323,7108,6970,14074,3490,3621,7112,1051,1535,2586,35450,37102,72553,2184,1996,4180,1864,1902,3762,21,19,40,29,35,58,1913,1950,3862,29891,30760,60648,4671,5299,9970,33609,34833,68436,1267,1558,2823,33799,35175,68976,459,436,901,3674,3492,7159,1296,1183,2478,237,310,550,590,1335,1928,12663,14940,27603,2797,2800,5596,9344,9246,18592,2631,2483,5118,1562,1354,2921,106,77,183,33956,35450,69406,4173,4093,8275
10105,19335,19072,38403,1127,1038,2167,2389,2218,4605,1118,1003,2119,1054,891,1944,2352,2249,4603,2137,2189,4324,2380,2404,4786,2768,2689,5458,2321,2403,4723,1272,1369,2637,412,623,1034,18532,18383,36915,805,687,1494,889,859,1745,32,28,59,10,3,11,928,886,1818,15924,15859,31779,2013,1933,3942,16501,16749,33251,1073,1063,2142,16828,17147,33974,322,309,628,2183,2024,4206,727,713,1443,207,249,458,441,752,1199,5738,6824,12560,1049,1090,2139,4971,4574,9543,1403,1279,2677,867,725,1590,77,68,140,17127,17468,34593,2497,1786,4280
10106,18787,19369,38159,1121,1041,2168,2678,2559,5236,1199,1137,2329,848,868,1719,1794,1932,3720,2004,2346,4355,2549,2693,5242,2680,2597,5281,2290,2368,4660,1266,1284,2550,351,554,902,17874,18487,36369,913,882,1787,769,776,1546,12,12,25,7,9,18,785,793,1585,15773,16298,32068,1656,1819,3468,16675,17334,34006,876,888,1760,17093,17673,34769,330,309,639,2482,2381,4866,849,857,1706,187,271,464,343,775,1120,6385,7763,14147,1068,1145,2217,4331,4004,8339,1191,1093,2280,763,570,1336,63,61,118,17225,17880,35104,1654,1390,3046
10201,86375,92052,178427,4871,4534,9406,11292,10496,21783,5284,4944,10231,4589,4487,9075,9042,9269,18308,10415,11318,21730,11358,11985,23351,11200,12504,23708,9902,11558,21460,6299,7307,13606,2126,3646,5769,83655,89458,173108,2718,2600,5317,3005,3114,6111,56,55,112,47,43,95,3105,3211,6318,66359,70099,136455,16095,17697,33796,75363,79553,154918,6919,8071,14989,77354,82295,159650,1711,1552,3265,10680,9922,20601,3996,3917,7915,1603,1828,3425,2202,4041,6248,35671,39788,75459,5053,4726,9774,18356,19973,38330,4672,5310,9981,2169,2332,4501,256,240,498,81470,86686,168162,4701,5459,10154
10202,81600,86567,168171,5136,4878,10014,10898,10254,21148,5237,4812,10045,4791,4614,9408,9579,10239,19816,9501,10130,19628,10029,10803,20839,10087,11088,21178,8992,10237,19226,5550,6544,12096,1802,2972,4781,78934,84248,163185,2673,2317,4985,5104,5242,10340,98,98,198,81,102,185,5282,5440,10725,67017,70248,137260,10252,11639,21885,72651,76446,149094,4442,5210,9656,73853,78077,151931,1651,1542,3190,10157,9550,19706,3533,3535,7074,1232,1486,2721,1734,3494,5223,24889,29178,54065,5353,5033,10391,21787,22649,44433,5899,6383,12279,2970,3030,5997,294,250,548,76532,81203,157734,4536,5156,9701
10301,24775,24370,49146,1414,1329,2743,3267,3117,6391,1654,1509,3169,1662,1468,3134,3219,3005,6227,2972,2766,5738,3002,3118,6121,3063,3100,6162,2661,2681,5343,1436,1524,2957,418,742,1156,23698,23414,47114,1077,960,2034,1719,1547,3270,24,29,56,48,42,90,1795,1623,3417,20698,20514,41208,2514,2421,4933,21098,21692,42787,1296,1333,2631,21376,21998,43379,441,427,868,3033,2882,5917,1151,1142,2289,431,566,1004,577,1080,1658,8123,9850,17974,1446,1358,2802,5773,5155,10926,1459,1441,2902,861,715,1580,75,74,148,21707,22296,44006,3255,2061,5319
10302,27228,27455,54684,1636,1577,3217,3649,3576,7227,1641,1478,3118,1372,1302,2675,2825,2937,5763,2788,2904,5694,3150,3291,6437,3859,3702,7563,3553,3377,6926,2083,2228,4311,677,1076,1757,25822,26228,52053,1403,1222,2627,2859,3018,5880,31,36,65,46,31,77,2938,3082,6019,23166,23305,46461,1488,1613,3099,24021,24318,48339,826,851,1673,24279,24551,48836,423,465,893,3285,3164,6453,1011,980,1990,211,328,538,340,835,1176,6652,8561,15207,1526,1631,3160,7592,6879,14473,2216,1914,4133,1538,1054,2588,98,62,159,24383,24623,49004,3173,2853,6028
10303,24136,23731,47870,1303,1243,2548,3193,2996,6186,1412,1201,2613,1164,986,2149,2686,2663,5353,2627,2613,5237,3015,3080,6090,3456,3421,6873,3092,2947,6035,1763,1842,3604,435,741,1178,23027,22828,45859,1113,902,2013,1739,1621,3358,38,25,63,37,31,66,1809,1679,3487,20086,19680,39769,2069,2206,4269,21141,21135,42275,881,915,1786,21365,21285,42659,357,352,704,2879,2732,5612,861,846,1702,224,236,465,425,891,1313,6218,7948,14170,1519,1321,2833,6878,5907,12790,1832,1754,3587,1084,892,1976,67,48,113,21713,21851,43563,2751,2005,4754
