SA3_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
10102,0,0,3,11,7,5,5,0,0,33,0,17,14,49,27,23,8,6,4,151,0,5,0,26,12,7,12,3,0,60,0,0,0,5,0,0,0,0,0,3,5,3,6,14,0,0,0,0,0,32,0,0,0,9,5,0,0,0,0,19,6,20,25,48,21,27,21,15,0,177,0,0,3,12,11,6,4,0,0,30,0,0,0,0,7,12,7,3,0,32,0,0,3,10,12,4,7,0,0,40,9,14,26,186,113,116,113,78,34,682,77,183,142,498,217,264,195,70,27,1676,2175,4391,3633,9223,4679,4251,2779,1215,320,32664,0,0,0,3,0,0,0,0,0,6,2020,3529,2892,6923,3612,2870,1749,772,257,24622,0,7,8,65,4,0,0,0,0,80,0,0,0,10,0,6,6,0,0,21,0,0,0,18,6,0,0,0,0,28,0,0,0,3,0,0,0,0,0,10,0,6,0,33,17,19,9,0,0,87
10103,0,0,0,0,3,0,0,0,0,0,0,3,5,5,9,8,3,5,0,41,0,0,0,11,0,0,0,0,0,14,0,0,0,23,0,0,0,0,0,26,0,7,4,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,6,4,19,4,13,0,0,0,39,0,0,0,3,3,0,0,0,0,6,0,0,0,0,6,5,0,0,0,12,0,0,0,3,8,0,0,0,0,11,3,7,5,48,21,25,48,52,15,224,15,87,82,212,103,122,98,64,20,800,465,1310,1179,2588,1455,1560,1252,661,203,10674,0,0,0,0,0,0,0,0,0,0,443,1001,962,1834,1100,1123,789,426,179,7860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,3,9,0,0,31
10104,0,4,0,0,4,5,6,0,0,19,0,6,0,20,21,36,25,11,5,131,0,0,0,8,3,0,5,0,0,16,0,0,0,0,0,0,0,0,0,3,0,9,4,11,3,4,0,0,0,32,0,3,0,3,5,0,0,4,0,16,0,7,8,23,15,23,37,20,0,139,0,0,0,0,7,4,4,0,0,25,0,0,0,4,3,16,7,11,4,45,0,0,0,0,3,3,3,4,0,24,0,12,8,47,42,82,127,108,49,466,102,300,280,492,378,519,556,313,131,3071,1631,4074,3345,6321,4353,6264,7108,3490,1051,37632,0,0,0,0,0,0,0,0,0,0,1422,3481,2622,5477,3768,5404,5060,2466,1057,30760,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,8,0,0,0,4,0,0,3,0,0,8,0,0,8,30,14,17,16,5,0,95
10105,0,0,0,0,6,0,3,0,0,14,0,3,0,12,8,8,0,5,0,38,0,0,0,5,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,6,0,7,8,4,4,0,0,35,0,0,0,9,7,0,0,0,0,15,0,0,0,0,0,3,0,3,0,17,0,0,0,6,0,0,0,0,0,6,5,4,21,82,28,39,35,28,8,258,78,171,144,292,171,204,178,101,48,1400,1127,2389,2172,4488,2380,2768,2321,1272,412,19335,0,0,0,0,0,0,0,0,0,0,974,2009,1717,3537,2002,2180,1854,1076,510,15859,0,3,0,11,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,10,0,0,0,3,0,4,0,3,0,18
10106,0,0,0,0,0,0,0,0,0,7,0,0,5,18,12,4,5,0,0,44,0,0,0,6,0,0,3,0,0,17,0,0,0,5,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,7,17,10,11,6,4,3,61,0,0,0,10,3,3,4,0,0,17,0,0,0,0,0,3,4,0,0,12,0,0,0,0,3,0,4,0,0,6,0,6,9,31,22,31,40,27,7,176,61,151,122,261,185,218,189,127,42,1360,1121,2678,2046,3799,2549,2680,2290,1266,351,18787,0,0,0,5,0,0,0,0,0,5,989,2371,1834,3524,2256,2059,1815,1008,445,16298,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,5,5,0,0,0,6,0,0,0,6,7,3,7,0,0,22
10201,0,18,5,17,12,9,12,5,0,77,0,51,54,180,181,111,80,36,10,706,5,9,9,34,16,16,15,17,4,117,0,4,0,9,0,4,3,0,0,30,4,16,17,45,21,8,0,0,0,107,0,4,0,11,15,16,7,0,0,50,0,29,36,94,87,57,47,28,6,387,0,9,11,23,27,14,8,7,0,94,0,7,10,23,32,27,28,31,4,158,0,4,9,25,32,12,8,8,0,86,16,60,64,392,253,251,261,226,81,1608,166,410,395,884,501,541,486,346,197,3921,4871,11292,9873,19450,11358,11200,9902,6299,2126,86375,0,0,0,0,0,0,0,0,0,6,4310,9435,8253,14911,8671,8931,8106,4984,2487,70099,4,3,0,29,0,0,0,0,0,42,0,0,0,3,6,4,3,0,0,20,0,6,5,125,22,8,8,3,0,184,0,3,0,12,8,0,0,0,0,29,0,16,19,78,51,40,33,7,3,240
10202,0,0,0,8,5,5,7,4,0,30,0,13,29,83,70,46,39,27,5,312,0,0,0,13,8,4,9,0,4,47,0,0,0,4,0,0,0,0,0,10,0,12,10,40,11,3,0,0,0,84,0,0,0,0,0,11,5,3,0,29,0,16,20,62,32,30,40,20,0,227,0,7,7,22,13,6,3,0,0,71,0,0,0,8,15,16,12,23,3,91,0,0,6,25,11,14,6,6,0,72,0,22,35,172,183,192,194,181,55,1046,184,507,457,1006,549,485,500,434,212,4337,5136,10898,10028,19074,10029,10087,8992,5550,1802,81600,0,0,0,3,0,0,0,0,0,8,4638,9428,8541,16585,8617,8456,7472,4487,2028,70248,0,0,0,15,0,0,0,0,0,21,0,0,0,6,4,4,3,0,0,12,0,7,0,49,9,0,4,0,0,63,0,4,4,16,5,0,0,0,0,29,0,3,0,51,25,20,15,6,0,118
10301,0,0,0,3,4,0,0,0,0,14,0,8,8,19,23,9,8,3,0,74,0,5,4,20,6,11,6,3,0,54,0,0,0,0,0,0,0,0,0,3,0,0,6,12,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,9,7,8,10,8,10,0,0,47,0,0,3,18,8,3,0,3,0,41,0,0,0,5,0,6,0,6,0,17,0,0,0,4,4,3,0,0,0,14,5,10,9,64,37,36,39,48,10,261,58,183,207,371,171,205,204,130,37,1558,1414,3267,3318,6189,3002,3063,2661,1436,418,24775,0,0,0,10,0,0,0,0,0,9,1258,2859,2668,4707,2572,2547,2106,1195,601,20514,0,5,0,17,0,0,4,0,0,27,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,7,0,0,0,17,5,0,3,11,10,6,4,5,0,31
10302,0,0,0,0,0,0,0,0,0,0,4,8,7,26,19,11,4,4,0,78,0,0,3,9,4,0,0,0,0,16,4,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,8,6,9,6,4,8,3,0,37,0,0,0,4,5,3,0,0,0,9,0,0,0,4,0,3,0,3,0,11,0,0,0,4,4,0,0,0,0,9,4,11,16,42,23,16,25,20,7,162,117,305,262,544,311,393,336,226,83,2579,1636,3649,3006,5617,3150,3859,3553,2083,677,27228,0,0,0,0,0,0,0,0,0,0,1445,3186,2447,4814,2760,3095,2817,1834,906,23305,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,8,0,0,0,5,4,6,3,5,0,20
10303,0,0,0,0,0,0,3,0,0,4,0,6,6,16,9,13,8,0,0,52,0,0,0,10,0,3,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,3,4,8,10,9,10,0,54,0,0,0,14,9,4,3,0,0,26,0,0,0,8,3,10,3,3,0,25,4,3,0,9,0,5,0,0,0,12,3,3,11,44,26,38,49,45,10,231,85,246,185,436,232,294,295,176,40,1984,1303,3193,2575,5314,3015,3456,3092,1763,435,24136,0,0,0,0,0,0,0,0,0,0,1157,2735,1975,4390,2542,2691,2226,1402,570,19680,0,0,0,4,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,4,16,5,11,0,0,0,36
