SA3_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
50604,39,70,230,393,395,501,716,592,354,3294,8,39,266,336,349,291,212,129,78,1713,341,406,1088,1099,921,641,579,495,354,5920,3558,8405,17587,19833,16203,12922,10165,5157,1863,95694
50605,21,5,48,44,78,129,277,337,182,1119,0,3,27,53,48,42,33,28,24,259,121,133,350,390,342,353,269,282,198,2428,1590,3156,6446,7972,7880,7210,6223,3589,1290,45359
50606,7,7,17,27,37,58,102,120,53,434,0,3,6,15,19,12,9,6,3,81,64,85,261,254,247,193,121,91,38,1347,939,1741,4896,4779,4078,3403,2133,955,249,23169
50607,12,0,22,26,25,63,106,127,115,490,4,0,19,19,23,34,27,21,9,155,55,143,373,253,234,252,292,326,398,2330,1104,3460,6599,5718,5272,5152,4773,2503,1233,35811
50701,17,20,49,87,180,332,701,866,414,2670,7,14,38,48,65,90,105,127,94,584,200,331,898,868,685,554,530,509,357,4938,2825,7313,17640,18276,15513,12563,9057,4651,1782,89615
50702,9,4,16,15,41,63,186,351,226,903,0,4,13,6,19,24,32,37,51,179,82,138,419,354,350,293,296,274,292,2500,838,2156,5303,5443,5557,5528,4449,2403,1107,32791
50703,21,16,54,62,100,130,216,189,83,882,4,6,34,63,62,34,32,20,5,261,143,149,500,467,333,248,203,108,42,2194,1312,3019,7847,7706,5657,4133,2718,1305,416,34116
50704,14,15,26,54,50,132,333,518,479,1615,0,9,19,31,36,48,78,65,80,357,170,190,488,499,494,516,548,500,520,3917,2810,6368,11176,13735,14099,13406,12105,6766,3361,83829
50705,40,34,77,124,166,300,541,599,326,2213,6,10,30,49,66,50,57,45,15,327,388,622,1339,1249,1080,860,668,705,434,7345,4129,8105,18314,18376,17883,15552,10903,6204,2080,101553
50901,22,23,85,83,108,187,394,538,321,1745,5,12,38,50,75,48,55,26,29,347,237,174,500,544,620,687,655,513,296,4229,1697,2578,6315,6930,8007,9079,8126,4420,1642,48794
