SA3_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
20804,1824,3800,640,73,6343,1073,211,7622,493,449,195,29,1165,718,74,1960,439,419,157,20,1037,316,88,1440,934,866,354,49,2197,1033,164,3396,560,238,163,50,1003,1261,226,2489,416,128,74,31,651,845,118,1616,251,57,36,19,361,452,38,852,54,6,8,0,75,102,49,224,0,0,0,0,0,0,0,0,1276,435,283,99,2092,2652,430,5185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,81,8,4,0,93,164,19,279,81,8,4,0,93,164,19,281,5,7,0,0,11,9,0,20,4123,5120,1292,222,10745,4933,828,16501
20901,9505,14500,3843,368,28215,6999,984,36197,878,563,449,51,1944,2136,169,4252,943,973,450,46,2407,908,176,3493,1826,1540,901,97,4357,3043,346,7746,471,241,166,21,907,905,84,1895,144,37,35,11,222,244,16,476,296,55,48,17,413,478,46,932,55,19,33,3,110,179,14,299,3,5,0,0,12,16,0,29,968,360,289,48,1661,1828,147,3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,15,20,3,37,9,5,4,0,15,21,3,40,18,3,10,0,26,19,0,49,12323,16409,5045,508,34279,11903,1484,47666
20902,5462,7868,2601,406,16339,4919,1332,22592,1243,911,574,109,2839,2769,372,5984,1428,1074,451,105,3060,1257,410,4721,2674,1991,1028,212,5895,4023,783,10709,222,142,102,31,496,702,100,1298,149,61,37,13,260,384,69,713,393,147,112,29,680,847,117,1646,82,16,13,10,126,186,30,344,6,6,0,0,13,6,0,22,844,376,272,87,1575,2130,319,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,43,32,18,3,92,84,34,210,46,32,18,3,96,87,34,219,0,6,3,0,6,17,4,26,9031,10254,3920,710,23916,11180,2474,37564
20903,5939,9947,1949,129,17966,2746,246,20958,64,30,43,0,144,167,0,311,98,105,93,5,301,120,8,428,163,134,138,3,438,287,6,736,111,79,70,0,264,259,10,528,9,0,0,0,6,35,0,40,10,0,4,0,12,18,0,32,0,0,0,0,0,0,0,0,5,0,0,0,4,8,0,13,133,80,70,0,294,312,10,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,5,0,8,0,5,0,0,7,5,0,9,6239,10174,2165,138,18712,3358,259,22333
20904,16236,33134,9473,827,59667,11167,1622,72461,1055,1177,571,60,2865,1643,142,4647,846,1068,595,93,2596,1025,227,3845,1901,2244,1158,154,5458,2669,366,8496,215,255,146,31,650,480,67,1188,69,30,45,6,152,260,20,421,122,33,33,6,197,290,34,518,0,0,0,0,0,0,0,0,5,7,0,0,15,19,0,32,409,330,227,45,1016,1039,112,2161,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,12,4,0,14,9,11,0,0,17,9,0,25,9,9,6,0,27,24,0,57,18563,35727,10863,1028,66185,14906,2106,83197
21001,4469,6971,1926,198,13562,3346,312,17224,478,398,270,26,1167,1048,45,2259,732,991,377,52,2153,659,102,2911,1215,1381,650,77,3319,1703,148,5169,23,28,14,8,69,71,7,148,3,0,0,0,6,4,0,14,22,6,9,0,31,79,4,117,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,10,46,37,20,9,114,162,9,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,0,32,26,5,54,9,10,10,0,32,26,5,54,0,3,0,0,6,5,0,15,5741,8409,2604,283,17036,5242,477,22754
21002,3301,4482,965,60,8806,1668,141,10616,108,51,61,0,225,257,8,493,12,0,5,0,20,3,0,26,117,54,67,0,244,267,8,525,11,8,3,0,16,9,0,27,0,6,0,0,7,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,6,0,9,10,14,4,0,30,22,4,49,7,0,0,0,7,4,0,6,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,8,17,0,22,8,5,0,0,5,4,0,15,3439,4551,1041,61,9091,1980,152,11227
21003,4267,7048,2163,277,13749,4038,736,18529,738,591,330,47,1713,1598,139,3452,1774,1711,639,128,4252,1476,399,6134,2511,2308,972,177,5965,3079,542,9587,202,149,86,19,461,469,68,998,37,21,22,0,86,108,20,224,9,5,13,0,26,48,6,81,0,0,0,0,0,0,0,0,0,3,3,0,15,6,0,25,254,186,126,27,589,636,97,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,9,0,30,32,3,67,11,12,9,0,33,32,3,65,6,8,10,3,19,15,0,32,7061,9551,3272,476,20358,7799,1386,29537
21004,3863,5816,1830,153,11661,2582,308,14551,128,46,57,8,238,295,16,543,50,24,40,0,114,66,12,189,181,63,96,3,352,362,21,733,179,62,125,12,387,597,41,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,5,182,65,128,12,392,601,41,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,7,4233,5949,2062,167,12413,3548,369,16329
21005,10164,27088,7271,680,45207,7358,1156,53718,627,923,513,61,2125,1323,104,3552,573,840,428,62,1910,640,144,2694,1201,1770,938,122,4032,1964,249,6248,183,299,190,23,695,303,43,1045,0,0,0,0,0,0,0,0,21,29,25,3,67,52,6,128,0,0,0,0,0,0,0,0,4,7,0,0,18,15,0,34,206,333,212,25,782,375,50,1210,0,0,0,0,3,43,0,47,4,0,0,0,5,57,0,63,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,5,6,6,4,0,12,106,0,122,8,22,8,0,34,19,3,61,11585,29214,8435,832,50064,9817,1459,61344
