SA3_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
10102,0,0,6,23,9,5,4,0,0,53,0,0,0,3,9,7,3,5,0,32,0,3,5,17,8,10,3,0,0,41,3,15,25,220,116,107,106,77,31,702,96,181,144,462,197,216,169,104,42,1602,2142,3931,3340,9485,4736,4019,2665,1337,464,32122,0,0,3,9,0,0,0,0,0,20,4061,7506,6032,13577,7201,5921,3569,1448,394,49706,0,9,6,142,7,3,4,0,0,172,0,0,0,20,6,13,3,3,0,44,0,0,0,27,9,0,0,0,0,39,0,0,0,10,0,0,0,6,0,21,4,8,4,51,26,23,20,5,0,146,0,0,0,11,12,10,10,4,0,48,0,8,7,91,46,40,14,3,0,218,0,0,6,11,13,36,39,56,20,187,0,11,0,32,0,4,7,0,0,57,4,60,76,266,329,493,311,197,51,1789,3,0,22,89,42,14,16,6,0,180,0,4,7,26,15,18,7,3,0,84
10103,0,0,0,4,4,0,0,0,0,9,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,3,3,53,17,32,35,29,18,191,23,62,78,192,100,108,87,57,26,728,476,1106,1092,2442,1427,1474,1113,649,274,10046,0,0,0,0,0,0,0,0,0,0,873,2177,1993,3827,2270,2353,1689,856,291,16332,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,4,6,19,9,7,9,0,0,50,0,0,0,12,0,0,0,0,0,17,0,0,6,52,7,8,9,9,0,81,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,4,0,4,0,7,24,90,92,151,139,95,28,624,0,0,0,5,5,3,0,0,0,7,0,0,7,16,0,6,6,0,0,36
10104,0,0,4,10,18,4,3,0,0,40,0,0,0,3,6,8,8,9,5,36,0,0,0,7,0,7,4,0,0,23,0,11,6,86,54,105,123,96,36,506,109,264,234,558,379,528,493,291,200,3043,1538,3830,2962,6813,4776,7055,6970,3621,1535,39101,0,0,0,0,0,0,0,0,0,0,2935,7151,5595,10732,7310,10243,10202,4775,1712,60648,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,5,0,0,0,14,0,4,3,0,0,20,0,0,0,4,0,0,3,0,0,8,0,8,13,47,24,30,32,16,5,163,0,0,0,8,11,10,10,12,5,53,0,4,0,31,27,13,11,9,0,99,0,0,0,0,3,21,47,50,17,138,0,0,0,0,0,5,11,9,0,29,4,30,32,159,281,785,1180,726,229,3432,0,0,0,12,10,8,15,5,0,42,0,3,6,17,14,23,15,11,8,87
10105,0,0,0,9,4,3,0,0,0,18,0,0,0,0,5,0,3,0,0,12,0,0,0,5,0,4,3,0,0,13,4,9,14,64,23,36,34,16,5,196,57,142,104,313,134,179,189,111,52,1287,1038,2218,1891,4438,2404,2689,2403,1369,623,19072,0,0,0,9,0,0,0,0,0,9,2013,4163,3619,7147,3982,4410,3636,2001,805,31779,0,3,0,20,4,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,0,3,0,23,0,0,0,0,0,27,0,0,0,11,4,0,0,0,0,10,0,3,0,11,10,5,0,4,0,32,0,0,0,4,3,5,7,3,0,21,0,0,9,68,22,24,11,4,0,142,0,0,0,5,0,11,8,3,0,32,0,0,0,3,0,5,5,3,0,20,0,18,13,86,87,215,237,164,52,875,0,0,3,26,10,8,0,4,0,61,0,0,4,5,6,0,7,4,0,22
10106,0,0,0,4,8,0,0,0,0,19,0,0,0,4,0,4,4,4,0,16,0,0,0,3,0,0,0,0,0,10,0,0,10,60,26,34,31,10,5,187,48,141,88,273,143,181,199,124,60,1256,1041,2559,1998,4285,2693,2597,2368,1284,554,19369,0,0,0,3,0,0,0,0,0,6,2044,4831,3681,6659,4376,4213,3604,1951,716,32068,0,0,0,12,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,10,0,0,0,0,5,5,0,0,0,11,0,4,0,10,14,15,6,5,0,47,0,0,0,5,0,0,5,0,0,12,3,9,9,52,9,9,11,4,0,102,0,0,0,3,5,11,18,8,0,41,0,0,0,9,0,0,0,0,0,8,4,13,28,104,150,212,258,150,39,961,0,0,0,4,5,6,6,0,0,22,0,0,0,0,7,0,0,0,0,13
10201,0,5,6,62,35,17,16,0,0,149,0,4,6,34,27,27,21,31,11,166,0,0,6,29,14,18,6,5,0,86,9,76,73,535,305,292,287,194,83,1845,162,400,358,917,461,519,558,526,360,4253,4534,10496,9434,20585,11985,12504,11558,7307,3646,92052,0,0,0,7,3,0,0,0,0,11,8941,19649,16883,29541,16830,16885,14903,8999,3824,136455,4,10,5,59,0,10,5,0,0,92,0,0,6,9,7,13,3,3,0,44,0,12,7,208,40,11,17,3,0,300,0,3,0,22,12,3,5,0,0,51,4,22,35,142,104,74,50,24,6,472,0,5,5,43,49,26,45,42,8,226,0,44,52,401,251,237,227,69,22,1299,0,0,0,8,9,36,31,62,18,168,3,22,4,73,8,33,49,58,21,269,20,342,443,1638,1478,1995,1883,1477,583,9860,0,0,6,75,45,58,39,15,3,246,4,10,11,91,42,37,39,10,7,249
10202,0,5,6,66,26,8,4,0,0,120,0,5,0,15,13,18,16,18,4,84,0,4,5,29,17,16,3,5,0,79,4,20,37,252,187,214,236,180,70,1200,206,515,451,999,486,470,583,572,405,4685,4878,10254,9426,20363,10803,11088,10237,6544,2972,86567,0,0,0,4,0,3,0,0,0,10,9552,19493,17618,32474,16613,16289,13975,8069,3182,137260,0,0,0,36,3,0,0,0,0,44,0,0,0,13,7,9,3,0,0,33,0,7,4,81,12,8,5,0,0,109,0,3,4,23,4,3,0,0,0,42,0,14,8,86,31,31,26,13,0,211,0,0,5,23,36,32,40,26,0,165,0,17,17,158,91,138,119,39,7,595,0,0,0,6,17,38,37,25,11,136,0,6,0,16,8,24,36,31,22,151,15,113,200,709,745,1289,1340,1119,399,5932,0,5,10,71,39,37,20,9,0,195,0,0,4,29,15,20,13,12,0,99
10301,0,0,11,22,9,7,0,0,0,49,0,0,0,0,4,0,3,0,0,12,0,0,0,5,4,6,4,0,0,15,9,7,9,57,44,31,39,17,7,233,50,160,159,322,204,178,191,112,63,1440,1329,3117,2987,5777,3118,3100,2681,1524,742,24370,0,3,3,15,0,0,0,0,0,20,2596,5837,5617,9750,5036,5059,4168,2258,894,41208,0,5,0,41,3,5,4,0,0,60,0,0,0,5,3,4,3,0,0,13,0,0,0,5,4,0,0,0,0,5,0,5,0,8,4,4,0,0,0,21,5,3,3,18,22,9,8,0,0,61,0,0,0,6,0,5,3,3,0,16,0,8,8,42,27,10,18,8,0,116,0,0,0,4,3,9,13,7,4,40,0,3,0,13,0,0,8,0,0,25,0,11,35,95,118,216,253,172,78,979,0,6,9,27,10,9,8,0,0,74,0,0,6,22,0,3,9,0,0,35
10302,0,0,4,8,0,0,0,0,0,17,0,0,0,0,0,0,6,0,0,10,0,0,0,3,3,0,0,0,0,10,5,3,13,55,22,24,13,18,5,160,117,347,256,553,300,336,291,227,118,2536,1577,3576,2779,5846,3291,3702,3377,2228,1076,27455,0,0,0,0,0,0,0,0,0,0,2947,6460,5113,9429,5405,6358,5788,3500,1466,46461,0,4,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,10,4,0,0,0,0,14,0,0,0,14,3,6,4,4,0,32,0,0,0,4,3,0,4,0,0,10,0,0,9,47,23,14,15,3,0,114,0,0,0,0,0,9,5,6,0,16,0,0,0,5,0,3,0,0,0,10,0,6,5,62,62,146,176,137,34,625,0,0,6,19,11,11,0,0,0,42,0,0,0,0,0,3,0,4,0,9
10303,0,0,6,17,4,4,0,0,0,25,0,0,0,0,4,8,4,3,0,17,0,3,0,7,0,8,0,0,0,14,4,4,10,42,22,42,46,24,11,189,77,219,135,406,236,275,248,169,86,1846,1243,2996,2182,5280,3080,3421,2947,1842,741,23731,0,0,0,0,0,0,0,0,0,0,2360,5631,4275,8856,5067,5466,4560,2660,885,39769,0,3,0,16,0,0,3,0,0,23,0,0,0,0,0,3,0,4,0,17,0,0,0,0,3,0,0,5,0,5,0,0,0,5,0,4,0,0,0,10,0,0,5,17,11,12,4,3,0,55,0,0,0,10,3,3,3,3,0,25,0,0,10,31,22,15,19,4,0,96,0,0,0,4,0,18,10,7,4,42,0,0,0,0,0,0,3,0,0,10,3,11,18,80,151,289,299,229,70,1148,0,0,3,14,10,4,8,7,0,40,0,0,0,10,0,3,7,4,0,33
