SA3_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
10102,3,76,0,76,..,27,6,39,0,39,..,117,5,122,3,123,..,28,5,28,0,28,..,251,17,267,3,273,..,101,7,114,0,113,..,45,0,45,0,42,..,22,0,26,0,26,..,21,0,29,0,29,..,36,5,43,0,43,..,495,60,550,12,565,..,3884,387,4266,36,4304,..,108,13,124,1595,1721,26641,3991,399,4391,1631,32664,26187,..,..,..,..,26187,..,43,0,43,0,43,..,76,9,84,0,84,..,35,0,35,0,35,..,49,12,57,0,57,..,119,20,147,7,147,..,9,0,9,0,9,..,172,35,208,7,214,..,99,19,112,0,112,..,96,0,93,0,93,..,81,0,84,4,89,..,105,17,117,0,123,..,74,6,85,0,85,..,50,0,52,0,52,..,129,10,141,0,138,..,230,13,238,0,244,..,321,27,356,3,358,..,33,3,37,0,37,..,78,11,87,0,86,..,29,0,35
10103,0,3,0,3,..,6,0,6,0,6,..,11,4,11,0,11,..,5,0,5,0,5,..,25,4,27,0,27,..,49,7,54,0,56,..,3,0,3,0,3,..,19,0,19,0,19,..,3,0,3,0,3,..,3,0,10,0,10,..,93,12,105,4,110,..,558,64,617,8,625,..,19,4,27,928,953,9089,576,66,647,936,10674,8676,..,..,..,..,8676,..,10,0,10,0,10,..,14,4,22,0,22,..,6,0,6,0,6,..,23,0,21,0,21,..,60,26,83,3,87,..,0,0,0,0,0,..,86,21,105,3,114,..,0,0,3,0,3,..,16,0,16,0,16,..,71,0,74,0,74,..,22,0,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,10,..,19,0,19,0,18,..,10,0,13,0,13,..,11,0,9,0,9,..,7,0,15,0,15,..,0,0,0
10104,0,17,0,19,..,10,0,10,0,10,..,21,0,23,0,19,..,3,0,4,0,4,..,51,3,50,0,58,..,79,6,87,0,87,..,4,0,4,0,4,..,30,3,34,0,32,..,12,0,8,0,8,..,31,6,36,0,36,..,207,21,228,8,234,..,1125,116,1240,22,1267,..,81,6,88,2672,2757,33609,1203,123,1329,2696,37632,34833,..,..,..,..,34833,..,29,0,30,0,26,..,9,0,16,0,16,..,50,0,50,0,54,..,31,7,35,0,35,..,49,17,67,0,67,..,0,0,0,0,0,..,82,22,101,0,101,..,52,3,57,0,55,..,71,3,79,0,75,..,152,3,157,3,156,..,50,7,54,0,57,..,8,0,8,0,8,..,6,0,3,0,3,..,21,0,21,0,21,..,40,7,46,0,48,..,22,3,24,0,28,..,15,0,10,0,10,..,5,0,9,0,9,..,6,0,7
10105,0,19,0,19,..,14,0,14,0,14,..,22,0,25,0,25,..,13,0,13,0,13,..,69,4,71,0,73,..,30,5,32,0,32,..,5,0,10,0,10,..,13,4,11,0,13,..,6,0,11,0,11,..,15,4,13,0,18,..,166,30,196,3,202,..,912,142,1058,18,1073,..,46,7,50,1702,1754,16501,955,155,1105,1726,19335,16749,..,..,..,..,16749,..,10,0,10,0,10,..,34,3,36,0,34,..,13,0,13,0,13,..,25,9,35,0,35,..,57,21,74,0,75,..,0,0,3,0,3,..,82,30,110,0,116,..,8,0,11,0,13,..,24,0,24,0,24,..,32,6,32,0,35,..,60,4,62,0,60,..,17,6,19,0,19,..,4,0,4,0,4,..,24,0,26,0,26,..,76,11,82,0,86,..,39,4,39,0,39,..,8,0,8,0,8,..,19,0,18,0,18,..,3,0,6
10106,0,31,0,31,..,4,0,4,0,4,..,20,0,21,0,21,..,3,0,3,0,3,..,60,0,63,0,63,..,32,7,40,0,40,..,6,0,6,0,6,..,5,0,10,0,10,..,6,0,6,0,6,..,18,7,23,0,23,..,112,17,126,0,125,..,752,117,868,11,876,..,39,4,43,1191,1238,16675,796,123,913,1202,18787,17334,..,..,..,..,17334,..,18,0,21,0,21,..,146,28,173,0,174,..,20,0,20,0,20,..,7,0,9,0,9,..,40,25,64,0,64,..,0,3,3,0,3,..,51,27,82,0,82,..,18,3,21,0,24,..,21,4,15,0,18,..,40,0,40,3,42,..,16,3,21,0,23,..,13,0,13,0,13,..,0,0,0,0,0,..,9,0,9,0,9,..,11,0,11,0,11,..,26,6,33,0,33,..,5,0,5,0,7,..,6,0,6,0,13,..,0,0,0
10201,0,133,3,129,..,80,6,90,0,90,..,171,6,173,0,174,..,47,8,61,0,64,..,432,25,452,6,459,..,427,51,482,10,487,..,66,0,65,0,70,..,111,25,136,0,136,..,49,3,50,0,50,..,107,20,125,4,123,..,989,128,1126,47,1172,..,6058,751,6809,106,6919,..,281,34,312,3776,4092,75363,6339,791,7128,3884,86375,79553,..,..,..,..,79553,..,194,0,192,0,192,..,180,16,193,0,197,..,49,0,49,0,49,..,216,73,291,0,293,..,583,226,807,5,813,..,22,6,32,0,32,..,824,297,1124,10,1132,..,71,3,73,0,73,..,233,16,245,3,248,..,293,10,303,5,304,..,172,30,207,3,210,..,42,5,56,0,56,..,40,6,47,0,47,..,153,9,162,3,163,..,161,3,165,0,165,..,138,17,160,3,164,..,37,0,37,0,37,..,44,0,45,0,45,..,27,0,29
10202,4,98,0,101,..,79,15,88,0,92,..,122,4,124,0,124,..,27,7,30,0,31,..,324,25,347,8,350,..,326,33,354,0,357,..,29,3,36,0,36,..,78,16,94,0,94,..,28,0,26,0,26,..,73,17,91,0,92,..,791,115,905,33,938,..,3852,523,4375,66,4442,..,244,20,264,4250,4512,72651,4097,540,4636,4315,81600,76446,..,..,..,..,76446,..,80,0,80,0,82,..,138,12,151,0,156,..,69,0,69,0,78,..,125,49,170,0,170,..,217,126,347,4,346,..,12,6,12,0,12,..,354,179,531,4,533,..,40,10,52,0,52,..,103,0,106,0,108,..,136,3,141,5,146,..,146,11,160,4,162,..,19,6,26,0,26,..,28,0,28,0,28,..,98,4,103,4,110,..,75,3,84,0,80,..,120,10,132,5,140,..,16,0,19,0,19,..,38,10,51,0,51,..,23,0,26
10301,0,20,0,27,..,12,0,12,0,12,..,43,0,51,0,51,..,10,0,10,0,10,..,89,3,90,0,94,..,38,3,39,0,45,..,34,0,36,0,36,..,12,12,22,0,22,..,0,0,0,0,0,..,29,3,33,0,33,..,203,24,228,8,231,..,1154,126,1281,18,1296,..,52,4,51,2326,2376,21098,1202,132,1330,2342,24775,21692,..,..,..,..,21692,..,38,0,38,0,38,..,54,8,54,3,63,..,37,0,37,0,38,..,26,13,40,0,40,..,53,8,62,0,62,..,4,0,8,0,8,..,85,18,105,0,105,..,10,4,18,0,18,..,17,0,17,0,17,..,41,0,45,0,45,..,17,0,16,0,18,..,25,0,31,3,33,..,12,3,19,0,19,..,31,5,37,0,37,..,86,8,95,8,95,..,72,11,83,0,79,..,21,0,22,0,22,..,32,4,36,0,40,..,8,0,8
10302,0,37,0,37,..,5,0,9,0,11,..,44,0,49,0,49,..,9,0,7,0,7,..,98,4,98,0,99,..,10,3,11,0,11,..,8,0,8,0,8,..,5,0,3,0,7,..,0,0,0,0,0,..,11,0,7,0,13,..,166,29,198,5,200,..,711,98,809,13,826,..,68,5,71,2307,2389,24021,775,101,881,2329,27228,24318,..,..,..,..,24318,..,33,0,33,0,37,..,19,0,17,0,17,..,78,0,77,0,77,..,23,13,37,3,41,..,31,14,48,0,48,..,0,0,0,0,0,..,58,24,82,3,89,..,10,0,5,0,5,..,11,0,11,0,11,..,29,5,35,0,33,..,18,3,20,0,20,..,7,3,12,0,12,..,14,6,15,0,15,..,15,0,18,0,18,..,34,0,32,0,32,..,21,0,23,5,23,..,9,0,10,0,10,..,7,0,7,0,7,..,3,0,3
10303,0,20,0,20,..,12,5,9,0,9,..,32,4,33,0,33,..,6,0,6,0,6,..,63,3,71,0,71,..,43,5,47,0,47,..,11,0,11,0,11,..,14,6,19,0,19,..,8,0,8,0,8,..,24,5,31,0,31,..,172,20,188,4,196,..,760,100,862,19,881,..,71,9,72,2045,2120,21141,831,106,937,2063,24136,21135,..,..,..,..,21135,..,16,0,16,0,16,..,22,0,24,0,24,..,26,3,26,0,26,..,21,7,28,0,28,..,32,13,48,5,52,..,5,0,8,0,8,..,59,23,79,5,84,..,14,5,18,0,18,..,16,0,21,0,26,..,38,0,38,0,38,..,20,0,20,0,20,..,10,0,15,0,15,..,5,0,5,0,5,..,24,0,24,0,24,..,26,3,32,0,32,..,33,3,35,0,35,..,3,0,3,0,3,..,9,0,10,0,10,..,5,0,5
