SA3_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102,927,555,720,658,622,685,411,177,80,4835,12643,6973,9502,9210,9411,8276,5446,2548,784,64793
10103,295,260,376,294,308,283,229,117,51,2213,3354,2275,2702,2325,2878,3034,2362,1311,474,20715
10104,1260,733,612,661,923,1168,1075,602,338,7372,11075,6302,6219,6911,9128,13323,14074,7112,2586,76730
10105,764,436,560,521,521,490,419,209,99,4019,6771,4065,4603,4324,4786,5458,4723,2637,1034,38401
10106,714,407,332,384,469,473,368,264,86,3497,7401,4045,3720,4355,5242,5281,4660,2550,902,38156
10201,2393,1478,1398,1497,1641,1639,1366,941,611,12964,31188,19307,18308,21730,23351,23708,21460,13606,5769,178427
10202,2952,1820,1630,1690,1721,1533,1351,1085,717,14499,31165,19456,19816,19628,20839,21178,19226,12096,4781,168185
10301,846,735,838,777,692,541,453,242,99,5223,9137,6306,6227,5738,6121,6162,5343,2957,1156,49147
10302,1292,723,672,697,745,800,603,441,201,6174,10435,5785,5763,5694,6437,7563,6926,4311,1757,54671
10303,1004,544,644,626,638,659,568,345,110,5138,8730,4761,5353,5237,6090,6873,6035,3604,1178,47861
10304,1204,633,619,650,662,595,515,317,192,5387,13064,7004,7524,7452,7551,7318,6343,3612,1414,61282
10401,943,678,917,828,775,800,629,334,144,6048,8565,5068,5158,5351,6459,8325,8287,4693,1754,53660
10402,1570,933,941,1050,1044,1010,870,599,352,8369,16268,9242,9868,10621,11650,12929,12358,6806,2720,92462
10501,916,481,490,476,479,546,419,261,79,4147,4336,2331,2771,2273,2620,3117,2353,1362,451,21614
10502,507,345,330,311,279,294,230,158,132,2586,3413,2117,2451,2139,2321,2889,2510,1405,618,19863
10503,2154,1205,1535,1303,1193,1095,840,587,278,10190,15146,8070,10267,8568,8515,9219,7765,4733,1794,74077
10601,1833,1325,1506,1339,1225,1037,704,396,173,9538,19695,11829,13192,12058,12364,12270,10008,4808,1710,97934
10602,1541,823,880,865,695,645,409,258,144,6260,18593,10626,12511,11711,10592,9515,7868,4163,1452,87031
