SA3_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
10102,282,37,14,0,0,330,105,18,16,0,0,136,96,23,15,0,0,136,161,29,42,3,0,235,227,40,89,0,0,355,689,164,163,4,0,1019,898,364,90,5,0,1356,1961,279,36,0,0,2279,1518,63,13,3,0,1593,1484,50,9,0,0,1539,777,21,8,0,4,809,434,52,18,0,0,500,8637,1134,506,14,5,10294
10103,119,0,0,0,0,125,57,0,0,0,0,56,55,0,0,0,0,59,139,0,0,0,0,144,188,5,3,0,0,197,457,14,24,0,0,488,365,15,11,0,0,393,344,4,12,0,4,366,147,5,8,0,0,157,129,0,0,0,0,135,86,3,7,0,0,91,110,3,5,0,0,123,2188,56,75,7,7,2336
10104,468,16,17,5,3,508,254,18,7,7,0,288,186,10,3,0,0,208,324,16,13,3,0,356,439,26,25,5,4,500,1292,81,45,0,0,1417,1383,59,17,0,0,1461,1413,31,14,5,7,1473,559,7,9,0,0,575,356,10,6,0,3,378,229,4,3,0,0,241,393,19,10,0,0,423,7311,294,169,22,21,7812
10105,172,14,3,0,6,185,74,4,3,0,0,79,84,4,3,0,0,89,152,5,0,0,0,158,246,14,3,0,0,260,760,32,4,0,0,798,872,28,0,4,0,904,975,14,0,0,5,998,427,4,0,0,0,431,283,5,0,0,0,285,160,3,3,0,0,163,217,3,3,0,0,227,4419,121,23,4,9,4571
10106,232,3,0,0,0,235,102,9,0,0,0,110,113,4,0,0,0,115,249,5,0,0,0,258,311,7,5,0,0,328,804,19,0,0,0,823,751,8,0,0,4,767,822,4,0,0,4,835,458,4,0,0,8,470,506,0,0,0,0,509,314,0,0,0,0,320,256,0,0,0,0,262,4930,74,10,7,10,5036
10201,887,79,60,4,0,1025,331,28,29,0,0,393,288,60,16,0,0,361,449,57,38,0,0,542,658,86,55,0,0,801,1858,204,185,4,4,2260,2477,309,251,7,3,3045,4430,370,290,8,3,5102,3204,150,104,3,6,3465,2784,74,86,5,0,2948,1809,47,55,4,4,1925,1197,94,65,0,6,1357,20378,1556,1231,41,19,23223
10202,820,44,34,0,0,901,296,38,18,0,0,352,296,21,12,0,0,333,548,50,19,6,0,615,775,48,33,6,0,859,2325,139,95,0,0,2558,3502,214,101,4,0,3824,5303,182,78,3,5,5563,2687,57,26,0,0,2772,1595,54,10,0,4,1661,812,16,7,4,4,836,1170,60,25,5,4,1251,20121,910,448,28,14,21525
10301,218,3,7,0,0,223,71,3,0,0,0,82,103,7,0,0,0,113,180,8,5,0,0,193,266,18,3,0,0,291,885,45,16,0,5,949,1198,33,4,0,0,1241,1357,24,3,0,0,1384,524,4,0,0,0,539,349,0,0,0,0,355,203,5,0,0,0,213,305,17,0,0,0,315,5664,180,41,5,7,5891
10302,410,10,0,3,0,418,217,0,0,0,0,218,250,4,0,0,0,249,490,10,3,0,3,499,648,6,0,0,5,657,1354,17,0,9,0,1379,855,14,0,5,6,878,629,6,0,0,0,640,218,0,0,0,0,226,151,3,4,0,0,157,144,3,0,0,0,150,360,5,0,0,0,363,5716,73,16,23,18,5845
10303,226,12,0,4,0,247,164,4,0,0,0,172,136,9,0,0,0,141,223,9,0,0,0,234,366,10,0,0,0,379,996,20,0,3,0,1026,1027,17,0,4,0,1049,1068,3,3,4,0,1081,461,0,0,0,0,464,353,5,0,0,0,355,218,0,0,4,0,219,293,6,0,0,0,300,5539,97,10,20,5,5675
