SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
10102,711,618,1325,1972,1742,3711,734,570,1305,228,275,501,2935,2590,5523,1072,1022,2091,756,695,1449,281,278,565,2108,1996,4104,100,87,189,113,112,221,340,183,522,321,507,826,3,3,8,873,891,1767,334,486,823,228,252,474,83,141,229,421,715,1135,4,8,12,1069,1601,2672,1950,2496,4448,104,77,186,169,249,424,0,3,4,280,327,611,1675,1547,3220,9654,9575,19229
10103,187,175,364,556,467,1026,140,124,265,114,97,216,817,696,1510,454,388,844,68,58,130,148,168,313,673,619,1287,24,26,44,13,41,47,71,72,140,110,183,293,0,0,0,219,316,533,59,75,136,21,47,74,18,34,48,66,173,239,0,0,4,166,329,499,387,643,1033,20,26,44,26,53,78,0,3,7,47,82,126,988,737,1722,3098,2943,6045
10104,587,528,1112,1829,1686,3510,440,433,873,271,263,532,2541,2384,4922,1274,1190,2465,489,510,996,247,251,503,2020,1951,3971,69,58,125,52,85,135,291,194,485,267,503,772,14,9,20,688,844,1534,78,184,266,52,168,224,33,62,86,148,421,569,4,0,8,321,842,1154,1012,1682,2688,46,50,93,70,164,235,5,0,4,115,214,330,2850,2825,5682,9117,9586,18705
10105,391,367,758,1124,1036,2160,349,348,698,41,40,73,1518,1420,2934,821,797,1616,245,229,468,53,47,94,1120,1064,2183,57,50,108,32,41,71,188,153,341,175,281,455,4,3,12,455,525,978,104,145,249,72,99,171,19,48,69,102,245,351,7,0,6,295,551,845,754,1080,1825,56,34,90,56,83,140,0,0,0,113,120,231,1768,1235,3004,5651,5284,10936
10106,412,380,793,1212,1117,2338,459,428,884,90,115,201,1764,1663,3425,744,722,1461,398,427,826,133,168,298,1273,1316,2594,34,45,74,32,50,84,184,139,322,142,299,443,7,4,14,399,535,930,108,185,290,27,81,106,32,54,85,116,257,366,0,0,0,271,580,855,666,1119,1791,30,33,63,41,86,127,0,0,3,72,125,191,1268,1178,2453,5462,5783,11245
10201,2191,1929,4113,5212,4795,10005,1098,977,2071,1110,997,2109,7434,6790,14220,3642,3584,7219,930,831,1761,1166,1211,2376,5745,5631,11373,238,277,519,196,323,519,894,464,1361,720,1322,2046,12,9,17,2060,2398,4462,1136,1622,2754,392,655,1049,224,363,581,635,1296,1931,5,16,20,2391,3943,6336,4456,6350,10808,128,150,279,270,441,707,6,6,10,401,594,998,4202,4701,8900,24427,25988,50419
10202,2065,1917,3980,5103,4682,9783,1238,1293,2531,663,611,1274,7018,6589,13603,3674,3469,7143,1075,1119,2185,601,638,1235,5353,5230,10576,183,300,488,145,326,467,904,540,1441,707,1274,1980,13,16,24,1954,2446,4407,713,1105,1816,275,533,806,190,271,463,401,971,1373,3,11,9,1570,2892,4467,3534,5349,8885,138,161,299,230,382,606,6,5,4,361,543,910,4704,5186,9888,23042,24806,47850
10301,541,506,1043,1308,1177,2488,667,645,1312,118,125,242,2097,1953,4047,1056,860,1913,353,577,932,332,271,605,1743,1711,3447,53,70,128,37,98,131,246,177,422,210,375,579,0,11,10,549,727,1274,276,475,753,84,140,227,64,97,158,186,368,551,0,0,3,618,1074,1690,1166,1804,2975,37,29,68,61,104,159,3,3,6,101,139,231,2479,1408,3878,8115,7512,15626
10302,554,570,1122,1659,1586,3251,506,531,1033,104,98,200,2277,2213,4485,1117,1004,2128,428,488,915,146,146,290,1692,1640,3337,45,55,101,26,53,82,203,194,402,166,386,548,9,0,10,452,698,1149,72,142,218,31,61,94,44,83,123,78,264,343,4,0,3,226,549,778,681,1246,1924,35,29,65,47,75,120,0,5,4,75,113,190,2447,2367,4808,7722,8151,15873
10303,475,420,903,1462,1380,2841,501,467,966,37,41,78,2000,1892,3892,954,959,1912,354,367,719,86,73,160,1396,1396,2793,57,66,124,28,64,85,248,148,398,218,376,589,6,7,11,554,659,1210,77,141,216,34,92,127,14,51,72,113,265,374,0,4,0,241,544,793,796,1212,2005,26,33,59,49,103,160,0,0,5,79,140,222,2174,1726,3903,6919,6797,13714
