SA3_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
20903,114,31,43,4,198,46,7,16,0,73,40,13,18,4,72,19,5,31,4,53,119,22,69,3,213,100,15,91,3,215,417,58,105,9,587,400,90,163,12,665,530,172,184,14,900,610,283,198,14,1101,348,337,165,6,858,405,359,163,9,932,841,1062,304,16,2228,572,1176,134,12,1898,518,1278,106,8,1917,314,974,42,3,1340,883,3567,135,4,4589,211,724,219,0,1154,79,81,22,0,189,6575,10243,2218,141,19170
20904,768,250,289,23,1329,215,49,60,7,328,132,100,147,8,386,145,89,254,14,501,597,235,437,17,1291,398,290,773,25,1494,2584,743,857,63,4249,1398,1057,1197,69,3722,1464,1814,1241,105,4619,1666,2486,1157,106,5408,1035,2486,909,90,4516,1109,2646,715,82,4549,2676,6225,1148,155,10198,1963,4799,554,106,7423,1230,3818,312,50,5417,698,2360,166,24,3246,974,4432,235,24,5655,624,1959,658,39,3277,364,360,197,24,946,20046,36196,11285,1026,68557
21001,200,36,43,4,276,64,12,21,0,100,45,15,28,3,97,29,18,44,0,92,194,28,65,7,295,114,33,95,13,261,850,64,151,16,1073,464,125,235,26,847,481,240,273,33,1022,463,304,263,34,1063,251,324,236,22,825,257,350,194,19,821,573,979,313,35,1900,474,971,177,19,1645,372,989,112,15,1486,272,806,62,11,1149,590,2637,142,9,3380,173,427,166,5,778,133,88,35,3,267,6006,8441,2652,282,17375
21002,61,15,9,0,87,41,0,8,3,54,21,9,11,0,38,17,5,17,0,42,78,6,47,0,135,51,21,64,0,138,273,22,71,3,368,218,43,96,7,362,288,98,89,5,478,327,151,93,10,576,214,152,106,0,472,203,246,58,6,510,383,590,131,10,1114,318,569,51,4,943,289,564,42,0,899,165,433,10,5,611,454,1267,42,7,1776,127,364,99,0,592,61,37,13,0,110,3600,4574,1056,62,9292
21003,158,77,70,11,321,57,10,22,0,87,27,34,47,0,110,27,31,77,7,135,177,60,139,14,383,115,121,201,5,441,758,220,232,26,1235,397,284,312,52,1039,439,478,382,43,1336,505,571,321,52,1452,321,548,275,35,1180,393,606,210,41,1241,903,1332,370,67,2681,813,1037,185,40,2083,641,1059,109,33,1846,476,681,57,17,1235,765,1913,89,15,2790,243,458,194,9,911,118,107,52,10,285,7336,9629,3344,476,20785
21004,92,19,29,0,140,24,3,9,0,41,12,3,23,0,35,24,7,33,0,67,77,12,69,5,172,63,28,130,4,226,350,49,142,11,555,309,91,205,13,622,319,152,248,13,737,364,294,213,26,901,218,344,185,13,755,293,347,151,13,796,655,1036,231,24,1950,513,918,126,9,1566,386,690,82,10,1165,200,501,28,0,728,350,1087,42,4,1479,106,373,148,6,639,45,50,33,4,125,4420,6002,2104,167,12699
21005,566,341,261,21,1187,117,67,57,15,252,88,133,181,13,412,84,127,249,0,465,370,408,402,18,1202,314,557,575,21,1468,1658,1057,766,35,3518,969,1400,962,100,3437,861,2073,970,78,3986,1060,2621,891,104,4679,687,2264,628,63,3637,752,2221,492,64,3534,1755,4491,783,109,7138,1181,3205,467,61,4909,729,2429,231,35,3421,431,1480,127,24,2061,596,2875,196,25,3686,436,1690,457,31,2612,260,400,163,23,841,12913,29835,8866,826,52443
21101,515,62,145,7,723,181,28,40,6,245,108,51,58,3,216,90,35,132,5,256,426,70,237,6,736,306,117,338,15,778,1637,253,458,31,2381,1163,373,608,57,2200,1296,713,779,67,2855,1437,1081,708,82,3306,820,1113,574,43,2546,883,1294,448,52,2685,1959,3206,767,83,6012,1434,3073,390,48,4948,1080,2770,228,34,4114,610,1808,138,13,2572,1115,4602,222,18,5961,457,1249,441,19,2170,232,126,74,12,444,15738,22019,6796,605,45157
21102,68,16,24,0,108,30,3,7,0,43,13,3,8,0,22,5,7,8,0,28,80,12,13,0,111,47,17,21,0,88,192,24,41,0,255,137,39,48,9,227,191,74,59,0,325,222,104,75,5,403,118,128,55,4,309,156,155,47,4,369,293,344,83,13,733,195,335,52,3,580,165,356,39,0,554,97,324,15,3,437,442,1750,70,5,2268,87,297,64,0,445,40,29,12,0,77,2580,4016,742,38,7377
21103,299,54,101,8,452,108,13,27,0,148,63,17,43,10,127,43,22,99,0,165,246,51,155,14,467,183,73,254,15,527,916,180,337,25,1451,803,275,457,25,1556,925,426,513,47,1907,1002,663,514,42,2224,595,698,372,42,1705,610,770,320,26,1726,1432,1962,571,68,4024,1122,2005,279,31,3436,834,1883,183,15,2918,581,1352,74,14,2017,1095,3718,175,17,5000,320,823,361,18,1526,148,102,60,5,325,11318,15087,4902,407,31712
