SA3_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
10102,580,508,235,150,178,96,24,1772,284,230,167,98,119,58,25,980,329,287,155,95,132,56,20,1070,2430,2306,1423,879,1109,352,142,8633,10,15,5,7,8,0,0,40,3631,3345,1977,1230,1545,557,212,12499,24,33,43,12,30,9,6,153,44,65,36,30,45,4,5,234,15,38,23,29,21,5,7,152,314,452,298,198,227,76,37,1599,16,14,7,12,0,0,0,45,416,610,418,283,326,94,49,2189,4046,3952,2392,1512,1867,650,260,14681
10103,60,54,35,16,27,4,6,200,41,49,40,30,35,0,0,198,47,52,48,29,48,5,0,233,617,659,429,306,311,50,29,2400,4,7,7,0,5,0,0,18,770,821,554,385,423,62,35,3052,0,9,6,3,3,0,0,27,12,20,3,11,12,0,3,55,0,3,9,7,12,0,0,35,81,141,113,86,100,7,10,537,0,9,9,0,0,0,0,24,103,177,138,108,134,11,11,674,872,998,693,487,560,76,40,3728
10104,111,105,55,41,59,15,3,389,120,162,102,87,86,22,9,582,130,188,118,78,72,22,5,616,1956,2086,1372,892,991,190,35,7517,6,7,11,5,6,0,0,45,2329,2549,1656,1104,1217,247,47,9143,3,11,8,9,21,4,0,52,43,40,57,32,42,16,0,230,22,52,30,33,23,7,4,166,456,670,526,376,402,53,18,2497,21,28,19,12,10,4,0,91,541,793,638,463,490,82,24,3040,2866,3340,2296,1561,1707,332,69,12178
10105,160,125,55,30,38,17,5,427,69,67,43,25,38,10,0,256,64,82,56,38,44,13,3,299,1349,1319,779,553,602,107,39,4746,5,16,3,0,0,0,0,32,1642,1613,936,649,730,151,43,5766,4,13,19,13,13,6,0,65,18,32,21,8,11,3,0,105,4,19,22,12,17,10,0,72,306,422,271,179,189,33,14,1402,6,4,9,3,3,0,0,23,336,496,335,213,229,51,19,1675,1981,2104,1269,863,963,197,62,7435
10106,113,100,53,28,49,16,4,374,113,123,78,44,76,8,3,446,105,120,86,43,54,12,8,440,1386,1594,1023,635,724,190,59,5609,7,5,6,3,0,0,0,29,1716,1952,1248,758,911,229,77,6888,12,18,10,9,11,3,0,69,20,30,21,15,29,10,3,124,8,24,17,8,16,7,0,81,236,339,239,158,185,30,5,1190,11,14,7,4,3,0,0,39,284,427,296,197,243,45,12,1499,2003,2385,1543,951,1153,277,88,8393
10201,1090,1250,752,446,536,249,118,4437,840,923,537,380,459,188,78,3418,933,877,507,315,378,150,66,3228,4805,5080,3021,2033,2548,959,457,18910,31,29,16,8,9,0,0,101,7702,8167,4828,3186,3937,1546,725,30091,53,131,106,86,126,47,34,581,141,267,172,119,192,65,30,988,78,179,118,101,112,50,27,671,910,1329,1021,737,878,266,118,5264,21,34,27,18,17,9,0,122,1205,1946,1444,1066,1325,439,210,7632,8905,10110,6272,4250,5262,1983,932,37721
10202,526,603,349,229,292,113,59,2177,538,575,356,236,273,93,42,2102,563,551,329,213,245,81,35,2017,5719,5321,3168,2091,2475,777,328,19878,25,37,22,10,6,0,0,103,7372,7084,4224,2785,3289,1069,454,26281,39,65,65,53,60,25,7,311,179,255,176,124,123,46,18,927,65,146,117,70,104,35,18,554,1722,2108,1361,955,1096,267,114,7620,69,55,45,30,15,3,0,222,2079,2628,1773,1232,1406,361,155,9630,9452,9712,5993,4013,4694,1434,619,35917
10301,197,172,76,63,50,22,12,597,81,108,69,49,74,24,6,418,81,119,84,42,59,13,14,416,1710,1749,1105,733,878,204,55,6439,6,10,11,5,0,0,0,33,2081,2156,1346,898,1067,264,88,7901,10,6,14,10,10,5,4,62,23,31,25,22,24,6,0,131,20,36,16,14,25,4,0,106,431,603,393,280,323,68,15,2108,23,24,14,4,0,4,0,66,494,699,455,337,384,78,23,2476,2577,2856,1805,1229,1453,350,111,10375
10302,100,108,48,34,48,9,6,359,59,57,42,32,37,6,0,232,70,62,55,46,42,11,0,279,2059,2051,1312,814,910,153,36,7336,9,14,11,4,5,0,0,47,2312,2290,1469,929,1038,176,43,8256,9,4,4,3,9,0,0,34,30,35,18,20,11,4,0,118,3,17,12,12,9,0,0,52,553,763,457,352,331,38,9,2500,17,16,10,18,13,0,0,66,606,844,499,398,371,44,10,2770,2915,3130,1965,1332,1406,223,48,11018
10303,74,81,41,16,40,18,5,278,68,85,65,41,54,14,0,321,93,82,49,34,44,8,4,307,1676,1874,1088,751,776,158,40,6352,6,11,8,3,0,0,0,37,1910,2132,1259,844,907,194,42,7290,0,10,7,3,13,5,0,43,16,24,15,22,16,4,0,100,5,23,8,14,11,4,0,66,371,586,364,255,233,33,15,1869,25,18,12,13,8,0,0,68,422,668,419,305,275,47,14,2149,2335,2801,1675,1149,1184,242,62,9443
