SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED40022,45,1950,909,355,2473,0.8,2126,2.7
SED40023,42,1384,684,300,1718,0.7,1371,2.5
SED40024,38,1517,707,320,1735,0.7,1359,2.4
SED40025,39,1600,822,350,2086,0.8,1715,2.6
SED40026,41,1517,792,315,2099,0.8,1720,2.6
SED40027,45,1733,744,315,1934,0.8,1426,2.3
SED40028,38,1400,727,288,1779,0.8,1401,2.5
SED40029,46,975,711,196,1641,0.7,1276,2.3
SED40030,46,1408,671,300,1637,0.7,1297,2.4
SED40031,42,1787,819,360,2221,0.8,1849,2.6
SED40032,43,1800,840,320,2214,0.8,1535,2.1
SED40033,42,1192,725,220,1768,0.7,1317,2.3
SED40034,55,1083,556,230,1321,0.7,994,2.1
SED40035,42,1517,731,330,1880,0.8,1471,2.4
SED40036,35,1365,650,310,1635,0.9,1460,2.8
SED40037,44,1538,756,300,1952,0.8,1442,2.3
SED40038,36,1213,558,270,1366,0.8,1148,2.6
SED40039,40,1300,643,300,1508,0.7,1211,2.3
SED40040,45,1517,764,290,1987,0.8,1602,2.5
SED40041,44,975,598,185,1457,0.7,1081,2.2
SED40042,32,1300,662,275,1489,0.8,1265,2.7
SED40043,37,1600,745,315,1924,0.8,1541,2.5
SED40044,44,2167,993,365,2801,0.8,2078,2.4
SED40045,44,1950,948,370,2569,0.8,2128,2.6
SED40046,38,1733,787,320,2098,0.8,1589,2.4
SED40047,40,1450,761,320,1929,0.8,1576,2.6
SED49494,0,0,0,0,0,0,0,0
SED49797,48,0,1812,0,0,0,0,0
SED50106,45,1517,710,300,1757,0.7,1350,2.4
SED50202,35,1517,691,290,1676,0.7,1396,2.6
SED50304,37,1733,878,325,2111,0.8,1607,2.2
SED50405,32,1833,909,350,2222,0.8,2018,2.9
SED50502,38,1733,761,330,1997,0.7,1629,2.6
SED50605,42,2457,931,448,2720,0.7,2232,2.6
SED50702,36,1793,907,350,2135,0.8,1698,2.3
SED50805,42,2233,1008,380,2888,0.8,2066,2.4
SED50906,40,1517,758,300,1914,0.7,1464,2.4
SED51004,37,1950,892,380,2376,0.7,2134,2.8
SED51104,34,1850,811,350,2053,0.8,1770,2.8
SED51205,34,1647,757,340,1880,0.8,1610,2.6
