SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED10031,239,338,579,7726,8718,16441,4,0,4,379,412,789,123,113,230,9290,9953,19245,18,18,34,277,246,522,122,163,289,25,37,67,112,121,227,13,15,24,92,112,205,203,230,432,751,781,1534,70,95,169,67,85,151,1219,1433,2650,728,807,1535,31,42,80,21250,23384,44634,293,267,559,198,147,341,33,50,84,3,5,4,56,45,105,100,167,272,163,216,381,14500,13403,27893,119,89,210,58,79,134,14673,13571,28241,3856,3095,6950,40699,41070,81771
SED10032,1307,1741,3050,1501,1739,3242,37,50,88,410,420,831,9,5,15,11908,12847,24757,29,34,63,1489,1538,3024,84,118,202,96,103,206,23,25,48,262,298,552,218,196,408,372,450,822,375,412,788,18,29,46,100,115,218,475,511,992,1193,1284,2478,46,49,98,18652,20230,38877,8345,6979,15320,11842,10459,22302,15,10,21,3,0,5,659,479,1140,305,338,641,967,820,1786,6920,5917,12840,64,45,111,43,47,79,7025,6004,13029,5182,4492,9678,53334,50732,104062
SED10033,199,325,518,6880,7966,14852,3,6,3,555,642,1194,109,128,234,10414,10615,21029,36,46,81,408,385,799,148,187,331,90,76,168,81,98,180,24,25,50,98,131,224,373,442,812,630,657,1291,41,49,91,105,108,216,933,1161,2088,834,927,1757,29,23,51,21782,23663,45448,241,212,457,224,204,429,35,40,69,0,5,4,172,169,337,98,137,237,276,308,580,13696,12045,25736,103,100,198,40,66,111,13834,12205,26045,2405,2063,4477,39002,39019,78025
SED10034,274,438,713,6016,7078,13096,0,0,3,650,742,1387,85,87,171,9595,10824,20419,54,72,131,986,1000,1979,35,54,92,49,61,111,60,86,141,79,80,160,152,157,316,361,429,790,678,767,1441,66,83,156,21,27,51,778,975,1750,803,889,1686,32,29,57,20496,23441,43936,295,278,575,225,229,456,39,52,92,0,4,4,23,12,34,60,96,157,83,110,195,14839,13148,27991,133,122,247,43,81,121,15016,13346,28364,1645,1711,3360,38080,39617,77692
SED10035,2398,3150,5544,2553,2610,5164,62,67,124,334,356,693,4,5,7,11207,11885,23090,18,15,32,2798,3032,5826,52,81,139,53,39,95,63,66,135,144,140,285,216,214,435,413,531,943,693,691,1384,16,15,29,56,70,129,434,455,885,1222,1399,2625,33,24,56,20371,21695,42072,1403,1195,2596,2206,1824,4028,780,810,1586,14,10,25,86,75,157,190,190,382,294,274,567,27740,23990,51728,366,252,619,100,118,216,28205,24361,52562,4535,3865,8400,60189,57176,117359
SED10036,1322,1760,3083,3292,3689,6986,58,64,119,631,671,1304,20,24,45,10720,11545,22262,28,41,70,2725,2828,5555,69,111,181,136,147,279,51,59,114,878,850,1729,205,229,426,575,651,1221,405,455,865,46,36,82,74,92,168,382,443,829,1430,1554,2977,84,90,177,21802,23583,45388,2158,2243,4403,6735,6540,13279,20,18,31,0,0,0,249,212,468,1261,1256,2522,1515,1473,2989,7970,6642,14609,68,57,120,35,42,78,8068,6738,14810,3234,3075,6308,44865,45434,90295
SED10037,922,1329,2255,5028,5606,10639,8,7,10,824,983,1808,6,5,9,8000,8674,16676,51,45,97,389,441,827,95,102,196,53,63,119,102,125,221,79,79,159,178,215,393,362,374,732,714,832,1546,42,56,89,247,303,551,1098,1379,2475,1139,1289,2426,37,46,81,18451,20601,39055,1960,1999,3953,707,666,1377,133,177,307,4,0,0,173,151,320,147,190,336,319,338,661,16803,15174,31971,162,150,315,57,107,159,17020,15428,32454,1833,1719,3551,41351,42260,83609
SED10038,362,568,926,4714,5825,10535,0,3,4,291,341,631,87,93,178,8805,10171,18977,28,43,71,1266,1262,2525,130,183,313,50,61,115,95,140,230,66,38,101,146,159,302,224,287,515,702,802,1508,77,103,186,43,52,92,987,1345,2337,884,985,1872,25,34,60,18624,21929,40554,437,276,710,761,732,1494,35,46,81,0,6,10,45,40,86,111,166,280,163,210,374,17327,15917,33250,169,136,311,69,126,197,17568,16181,33751,2189,2197,4382,40139,42141,82275
SED10039,174,277,452,6422,7419,13841,0,0,0,403,455,860,4,0,8,7652,8790,16441,43,47,90,369,335,707,143,195,334,37,50,87,99,119,222,36,26,59,90,96,182,294,341,634,840,1024,1864,61,63,126,35,44,79,1131,1445,2576,840,921,1766,14,21,34,18504,21385,39887,140,151,294,147,134,287,44,42,87,8,10,18,21,14,34,79,142,218,109,162,271,16574,15356,31934,114,88,205,59,80,136,16749,15528,32277,3221,2294,5516,39088,39973,79058
SED10040,2248,3224,5477,1812,2142,3955,10,3,12,452,510,966,8,6,8,7566,8458,16022,36,39,72,4956,5202,10161,80,86,171,41,44,89,27,23,56,393,395,785,193,249,450,221,268,491,453,560,1013,20,46,67,32,60,93,333,409,741,1261,1472,2735,17,24,41,17910,19998,37906,5148,4048,9192,3736,3275,7013,63,58,119,0,0,0,68,61,124,110,127,237,176,187,363,14125,13179,27304,91,51,146,62,84,144,14271,13322,27594,3034,3012,6048,46596,47129,93723
