SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED20804,364,455,820,2508,3318,5829,0,0,0,590,694,1288,111,103,217,4345,5099,9438,63,77,146,144,94,234,74,82,156,35,39,72,67,101,162,22,12,32,45,72,112,257,296,549,411,515,928,49,74,125,44,48,94,1297,1698,2998,543,713,1254,11,15,24,10615,13059,23670,200,173,373,178,149,330,26,41,60,12,6,15,113,85,190,94,166,260,219,251,477,16207,15863,32068,130,95,219,50,94,141,16383,16044,32427,3066,2528,5595,31050,32709,63757
SED20906,631,870,1494,1638,2045,3683,3,0,3,189,235,423,0,0,0,6133,7155,13289,19,37,55,2378,2632,5007,48,67,115,18,27,44,67,104,175,87,74,159,56,81,133,95,131,222,297,327,623,12,26,39,20,18,36,497,765,1266,491,619,1101,23,26,49,12061,14368,26429,1173,1016,2189,260,234,500,2487,2649,5137,0,0,0,114,77,184,121,157,277,234,234,464,13800,13021,26825,119,91,212,39,75,116,13958,13182,27143,1663,1755,3419,32467,34303,66780
SED21001,1676,2166,3839,2101,2647,4744,0,0,0,769,960,1727,8,3,8,5211,6202,11415,101,138,231,907,1044,1949,32,37,72,27,24,54,122,161,282,33,45,82,178,198,371,246,310,557,499,628,1129,53,74,129,65,92,159,784,1177,1958,884,1142,2019,21,38,61,12028,14912,26946,1270,1083,2355,563,461,1027,61,54,109,5,0,5,186,170,365,137,158,297,329,332,660,17098,16721,33816,143,121,263,49,82,130,17283,16919,34205,2107,2196,4302,35316,38131,73444
SED21106,301,517,823,2986,3641,6631,0,0,0,114,149,263,0,0,0,5553,6911,12464,21,20,39,1174,1217,2394,41,52,94,7,14,22,86,121,204,60,54,110,50,66,118,61,82,138,333,400,733,4,15,15,10,13,20,583,811,1389,262,399,661,16,18,35,11354,13986,25340,253,221,474,207,210,418,1365,1493,2865,5,0,5,37,30,66,74,100,173,117,125,246,14041,13947,27991,124,89,214,46,117,162,14214,14156,28365,1792,1876,3668,29617,32589,62206
SED21203,735,825,1567,665,825,1482,549,590,1137,107,123,237,0,0,0,7485,8257,15742,17,16,31,1169,1257,2422,82,102,183,103,86,189,29,37,62,117,142,261,78,107,181,95,110,203,158,182,342,34,29,59,19,19,47,176,221,397,784,820,1604,12,13,24,11667,12939,24611,1574,1234,2808,14847,13887,28738,9,8,21,0,0,4,190,150,338,92,100,194,282,248,534,4996,4381,9374,61,38,95,36,42,82,5092,4461,9548,3555,3007,6563,37760,36618,74380
SED21303,586,849,1437,800,1042,1849,20,23,45,128,154,281,0,0,0,6184,7285,13465,7,7,18,2058,2300,4354,33,44,75,7,8,13,47,64,108,49,44,97,57,67,131,102,127,228,144,156,303,10,7,24,5,14,24,237,352,586,404,481,889,13,26,35,10304,12217,22521,653,536,1192,1352,1287,2635,107,165,274,3,6,5,50,39,95,145,196,332,192,241,434,20009,21206,41214,338,310,647,71,147,223,20414,21669,42083,1965,1759,3722,35576,38723,74300
SED21401,1366,1806,3163,1454,1903,3357,0,3,8,576,727,1310,0,6,8,6656,7693,14354,47,59,110,3456,3807,7260,23,30,56,28,29,54,93,98,191,243,252,487,186,227,411,250,283,529,416,523,935,30,24,58,13,19,38,562,793,1351,822,997,1826,9,6,16,14871,17486,32359,676,616,1287,1151,1100,2250,112,118,228,0,0,0,170,174,343,207,233,446,377,408,789,12051,11483,23531,66,59,129,42,42,86,12157,11583,23742,1653,1635,3290,32367,34747,67111
SED21503,894,1063,1955,1366,1858,3225,4,5,8,239,263,507,7,8,13,7480,8332,15811,24,36,59,2239,2254,4495,37,58,95,23,29,50,61,84,148,114,99,209,83,104,193,260,286,543,381,426,808,40,50,84,17,30,44,392,635,1020,842,971,1811,9,14,25,13606,15535,29144,1106,836,1941,1119,956,2077,23,25,47,0,0,0,156,127,281,105,156,259,260,280,542,11461,10172,21630,108,73,184,45,54,100,11612,10296,21911,1759,1555,3318,30385,30547,60935
SED21608,181,223,411,2462,2990,5452,0,0,0,254,297,552,43,49,94,6622,7337,13961,145,207,356,158,152,313,88,118,203,32,37,69,131,137,270,10,12,16,61,62,127,221,243,469,555,678,1229,52,69,124,58,78,134,1135,1578,2714,646,720,1363,16,21,32,12681,14790,27479,326,243,565,202,161,361,21,10,26,8,5,16,247,224,478,96,158,254,355,388,743,16821,15925,32747,109,96,203,52,92,141,16978,16115,33092,2502,2243,4749,33246,34177,67425
SED21706,1376,1649,3030,1979,2654,4635,0,0,0,536,652,1187,0,0,0,6159,7088,13251,33,58,93,1400,1563,2967,46,57,101,35,40,78,88,110,201,67,69,139,120,172,294,178,229,405,471,563,1034,54,101,151,37,52,91,732,1136,1862,659,874,1540,19,17,31,12616,15444,28055,1299,1088,2388,535,486,1023,189,184,371,0,0,0,132,123,258,111,129,245,245,249,500,14933,14506,29446,125,95,216,47,66,118,15102,14670,29780,1948,1772,3719,33317,35543,68864
SED21805,436,670,1111,2608,3330,5936,3,3,5,323,338,664,3,0,3,6587,7457,14046,23,57,84,890,955,1849,122,149,271,93,98,201,96,105,194,63,59,121,94,120,219,268,335,603,477,593,1074,24,47,74,73,79,150,563,804,1367,745,976,1718,28,32,57,13088,15547,28634,586,578,1162,427,400,820,89,120,208,0,0,4,129,101,230,108,151,262,238,259,497,17312,16417,33734,107,93,200,58,111,168,17479,16621,34099,2176,2130,4302,34514,36329,70841
SED21906,443,586,1024,1076,1324,2405,0,0,0,117,132,253,0,0,0,3691,4419,8103,13,16,30,971,1163,2133,31,49,80,10,7,23,44,72,116,31,29,61,55,60,115,55,81,138,167,199,363,0,9,7,10,15,23,242,341,583,279,437,712,22,13,31,6807,8373,15180,1301,979,2282,258,205,462,9444,10279,19724,0,0,0,80,60,142,92,105,196,172,159,334,11906,11936,23836,144,120,262,52,80,129,12100,12133,24233,2274,2266,4539,32795,34989,67787
SED22005,3400,3917,7312,1016,1378,2395,0,11,8,280,338,616,3,4,10,6857,7599,14455,51,60,114,3521,3845,7358,94,134,225,49,42,87,43,44,88,99,104,207,134,173,304,235,284,522,305,403,701,5,19,22,48,74,124,375,501,878,723,873,1596,16,25,38,13843,15909,29758,3442,2377,5816,1761,1484,3243,529,574,1096,0,0,0,769,567,1330,162,183,339,924,746,1669,11950,10329,22275,89,64,154,32,59,95,12066,10455,22520,2359,2184,4544,38329,37637,75965
SED22105,2759,2999,5761,2595,3271,5865,5,3,8,534,660,1193,21,22,38,11172,12094,23262,62,71,131,987,1018,2006,162,226,396,379,404,778,89,95,183,280,310,592,291,330,614,1189,1290,2481,677,784,1462,47,67,118,200,216,417,653,894,1544,2056,2304,4364,35,47,84,21432,24107,45543,5448,5193,10639,5880,5727,11610,54,67,119,7,5,5,4491,3985,8481,203,261,468,4699,4255,8958,19129,18064,37197,106,94,204,56,89,150,19301,18249,37546,4001,3718,7717,63570,64320,127892
SED22201,456,640,1095,2013,2808,4826,0,0,0,1472,1642,3120,6,5,7,4808,5660,10472,129,171,299,354,403,760,57,79,140,78,61,139,249,332,579,39,45,84,88,155,240,379,460,836,454,546,1002,69,90,157,87,126,216,693,1078,1768,1046,1191,2236,61,82,138,12080,14933,27018,500,528,1024,204,215,418,27,35,60,0,0,0,125,122,252,142,190,332,267,318,585,14396,13844,28246,93,80,180,49,85,137,14543,14019,28562,1542,1533,3076,29615,32221,61836
SED22305,2221,2564,4784,971,1157,2126,3,0,9,366,433,797,10,11,22,5994,6510,12503,34,41,74,2129,2194,4322,78,118,198,76,93,167,36,52,90,176,195,373,188,223,413,436,530,967,345,426,772,37,52,90,113,145,262,328,425,759,1207,1313,2516,16,16,33,12558,13922,26482,2581,2049,4629,9810,8078,17886,44,30,67,0,3,4,1077,898,1978,196,200,397,1276,1100,2381,7283,6062,13338,71,47,119,41,46,87,7391,6158,13546,3594,2961,6557,39470,36861,76335
SED22404,195,296,489,2761,3282,6042,0,0,0,366,351,717,0,3,5,4117,4363,8481,58,70,135,179,168,344,66,76,140,21,28,53,85,123,206,3,3,4,73,81,157,124,142,262,567,645,1208,35,35,70,153,209,355,829,1036,1866,761,902,1667,31,25,55,10231,11535,21766,40,64,109,53,39,98,18,33,54,9,3,10,31,23,45,99,161,257,127,188,315,17316,16045,33360,141,83,223,63,110,169,17519,16236,33752,3031,2750,5779,31220,31143,62365
SED22501,260,383,643,2023,2559,4578,0,3,4,359,449,812,120,142,264,6623,7572,14199,26,29,64,863,963,1825,28,31,62,34,33,67,110,136,246,48,57,107,50,75,126,150,190,334,398,488,886,44,50,94,9,15,26,587,840,1421,570,707,1277,11,8,21,12048,14357,26401,220,204,423,247,251,497,31,35,67,0,0,4,27,27,57,68,100,173,100,130,229,14740,13945,28687,114,103,224,51,85,138,14905,14143,29047,1305,1205,2511,29110,30703,59815
SED22607,693,977,1668,1406,1844,3253,13,3,12,238,260,495,0,0,0,10102,11318,21419,26,31,53,1468,1646,3114,47,72,119,21,19,37,58,93,153,125,187,316,62,81,142,134,183,313,291,330,623,19,18,38,17,11,25,485,732,1217,571,709,1282,3,4,12,15085,17533,32612,1107,854,1957,1479,1498,2982,44,49,92,0,7,7,59,57,122,97,105,205,159,170,329,13233,12797,26033,140,119,260,41,68,110,13420,12985,26397,2030,1939,3967,34007,36000,70008
SED22704,205,288,494,3601,4208,7804,0,0,3,265,298,560,0,0,0,7206,7581,14786,19,25,48,227,237,463,43,57,103,46,60,105,122,125,246,10,12,19,98,93,188,172,180,354,872,939,1808,76,105,183,40,45,83,1292,1579,2875,519,577,1096,16,22,35,14621,16136,30757,134,108,237,141,144,287,15,11,24,12,3,8,73,73,149,95,140,235,173,223,398,15227,13717,28940,97,95,195,46,86,132,15363,13900,29269,3713,3204,6917,34375,34011,68383
SED22802,253,353,607,2106,2766,4872,0,0,0,796,897,1691,85,90,171,5050,5708,10758,201,244,449,258,251,511,72,83,151,67,74,136,123,174,292,18,32,50,123,140,266,354,417,766,467,522,991,61,65,127,194,185,376,618,943,1558,1190,1327,2522,69,86,153,11854,13993,25844,227,203,434,121,103,223,18,21,41,0,0,0,88,80,166,93,132,223,176,215,390,15607,14448,30053,95,77,172,45,71,112,15749,14594,30338,1558,1415,2969,29955,30894,60851
SED22901,1309,1518,2823,1735,2249,3983,7,0,10,760,894,1656,11,12,21,4572,5388,9959,99,115,220,689,718,1404,35,56,96,108,133,242,102,157,260,106,87,195,194,219,412,668,755,1425,578,671,1246,54,80,131,86,89,170,646,864,1512,1060,1248,2311,52,59,107,11550,13796,25351,1233,1212,2445,411,363,774,26,36,64,0,0,0,201,218,414,130,181,310,330,396,725,12751,11811,24567,83,99,183,38,88,126,12877,12003,24882,1503,1537,3039,29232,30865,60096
SED23007,3807,4821,8634,893,1020,1910,0,0,5,520,480,1002,0,0,0,8390,9114,17502,39,40,84,1736,1855,3587,85,103,191,50,53,101,45,68,113,231,220,451,191,225,412,251,286,538,268,292,562,16,20,39,44,43,90,281,339,624,1080,1198,2283,7,11,22,14123,15375,29498,2032,1216,3252,2882,2140,5021,49,41,85,0,0,0,187,173,358,134,150,281,321,327,647,15573,14316,29889,192,139,323,73,88,164,15834,14548,30376,3388,2889,6273,42436,41349,83789
SED23101,1786,2101,3878,1540,2027,3569,0,0,0,826,1005,1835,3,3,4,4700,5435,10128,90,127,211,1464,1611,3080,32,52,79,42,51,93,99,113,213,57,66,127,147,163,309,277,343,617,407,557,958,69,119,191,61,69,128,763,1016,1782,867,1039,1900,10,29,42,11455,13813,25274,1447,1344,2790,609,515,1122,51,53,102,0,0,0,199,177,378,143,183,331,339,364,701,12615,11782,24403,83,70,155,18,44,59,12722,11902,24615,1432,1478,2912,29839,31570,61409
SED23205,246,439,686,2504,3090,5593,0,0,0,277,339,616,0,0,0,4663,5574,10237,40,51,91,633,677,1305,84,105,194,101,111,217,73,91,161,54,57,109,75,114,194,202,268,470,480,592,1065,32,39,70,36,45,73,540,773,1312,736,863,1598,32,24,52,10549,12823,23364,198,182,376,223,202,423,86,69,155,0,0,0,33,32,69,142,164,306,171,204,374,16273,15564,31834,138,118,255,80,149,221,16486,15829,32315,2717,2581,5294,30680,32310,62994
SED23308,276,430,708,2210,2859,5066,0,0,0,366,465,835,0,3,5,7154,8215,15368,27,53,74,406,467,871,65,91,163,28,35,60,190,226,416,16,17,35,72,71,137,126,188,311,549,717,1269,42,61,103,18,18,40,950,1418,2372,634,791,1423,28,28,52,12883,15729,28609,673,417,1093,460,308,773,38,31,67,3,0,4,148,125,267,83,137,214,230,265,490,15397,15358,30755,130,86,216,40,87,121,15561,15531,31096,2190,2035,4222,32320,34746,67063
SED23402,1007,1176,2180,2870,3694,6566,0,0,0,710,842,1552,85,77,161,7467,8278,15749,68,73,139,568,574,1142,76,100,181,103,111,216,88,119,200,100,115,215,122,149,270,506,563,1066,535,662,1196,38,59,97,138,153,292,757,1054,1814,1213,1411,2621,39,32,71,15479,18067,33547,1183,1134,2313,1048,1034,2082,44,50,89,0,0,0,772,669,1442,103,145,249,876,815,1692,18878,18016,36896,118,93,208,49,94,142,19050,18202,37251,2613,2537,5151,41294,43013,84305
SED23502,168,251,419,3911,4596,8507,0,0,0,356,369,720,76,77,153,4573,5227,9798,11,19,38,87,89,180,147,198,348,22,22,46,70,89,157,12,7,17,68,48,118,229,284,511,689,711,1406,47,52,101,66,75,146,1128,1524,2652,559,614,1167,22,21,46,12066,14026,26100,73,82,156,71,60,131,12,14,33,5,0,11,57,54,113,77,129,208,138,189,328,15734,14729,30457,88,80,167,46,60,105,15865,14863,30732,3101,2911,6010,31494,32402,63901
SED23602,146,237,380,3511,4161,7670,0,0,0,310,363,669,29,37,63,4351,5006,9353,20,26,43,111,110,218,74,98,177,57,53,112,77,87,161,9,7,20,65,79,144,139,176,313,594,639,1238,30,49,70,53,58,112,1087,1450,2537,570,667,1231,16,14,31,11109,13070,24174,118,99,225,66,64,124,25,19,38,0,0,0,42,43,82,61,143,205,103,187,291,15056,13748,28801,99,76,174,57,63,113,15214,13876,29091,3393,2502,5891,30167,30048,60218
SED23702,201,310,513,3478,4507,7978,0,0,4,335,412,750,0,0,5,5781,6566,12350,37,52,89,378,340,719,50,66,112,78,85,164,68,91,152,10,10,24,77,85,160,290,342,638,628,748,1377,30,38,68,17,25,48,661,933,1600,706,839,1545,15,17,35,12644,15164,27807,53,53,107,91,100,196,32,38,76,0,0,5,10,12,26,83,138,213,92,152,244,20006,18378,38383,114,98,213,60,98,164,20180,18570,38754,2328,2112,4437,35631,36506,72135
SED23806,677,1009,1682,2397,2951,5353,4,6,11,339,417,759,0,0,0,5681,6538,12222,17,37,53,978,1173,2144,26,30,51,13,11,24,101,122,222,54,44,93,74,79,152,125,181,304,411,462,879,17,26,39,14,20,33,705,980,1686,456,653,1104,20,24,39,11425,13742,25171,947,871,1819,426,345,772,433,445,877,0,0,0,78,51,127,110,110,214,186,163,346,14874,15201,30075,159,140,299,41,85,129,15075,15425,30502,1636,1625,3260,30794,33623,64418
SED23901,570,858,1426,1795,2374,4173,6,6,13,313,387,700,8,5,18,7429,8700,16129,20,24,50,1592,1681,3271,29,45,73,15,19,44,84,106,196,94,88,178,84,97,179,154,173,332,340,402,743,26,42,66,11,23,36,594,878,1473,635,744,1378,9,26,38,13246,15823,29069,817,710,1528,1176,1151,2327,55,68,122,0,0,4,101,92,187,118,179,298,218,269,486,14628,14122,28755,146,115,260,51,74,118,14821,14308,29135,1848,1698,3544,32755,34885,67639
SED24006,1125,1566,2696,2049,2421,4468,3,0,3,482,579,1060,0,0,4,6340,7088,13421,18,33,50,1840,1991,3835,6,10,20,10,24,32,73,87,157,81,96,177,89,138,235,194,229,419,310,369,676,16,15,33,16,20,40,635,919,1549,609,712,1320,12,8,14,12774,14745,27525,875,807,1678,368,384,752,189,208,396,0,0,0,91,102,188,127,142,274,217,242,461,13708,13540,27244,106,82,186,30,70,102,13847,13695,27539,1492,1493,2991,30886,33144,64029
SED24105,6903,8172,15075,1286,1537,2819,0,0,3,289,326,617,3,0,7,7581,8124,15703,44,39,87,1264,1305,2570,105,131,234,61,73,133,48,51,102,62,69,129,162,154,311,374,427,801,297,349,649,6,16,22,78,103,181,431,557,990,895,979,1873,30,20,50,13009,14275,27285,1542,1327,2870,2778,2417,5196,129,119,246,0,0,6,799,711,1508,141,114,256,939,826,1768,10282,8957,19236,63,49,104,33,39,73,10370,9046,19417,2120,1962,4086,37791,38146,75941
SED24207,4035,4997,9030,953,1084,2039,8,11,21,854,819,1680,0,0,0,13574,14390,27959,47,45,97,2247,2326,4579,175,185,354,180,179,354,31,53,90,696,730,1425,341,352,695,742,801,1541,240,266,505,22,18,38,126,136,263,252,380,628,2266,2400,4670,20,9,35,22770,24185,46963,2885,2575,5460,4264,3979,8239,9,11,23,0,0,0,2240,1940,4177,117,129,242,2353,2066,4419,9882,8943,18823,42,50,100,43,55,99,9968,9047,19012,5199,3434,8629,51479,50294,101777
SED24308,390,512,902,1987,2538,4524,0,0,0,687,814,1503,32,34,67,7657,8838,16489,46,45,90,968,955,1926,89,143,230,60,57,112,158,243,400,20,10,31,79,96,171,199,235,432,620,770,1390,39,69,107,54,67,125,655,941,1600,929,1111,2040,30,29,61,14300,16994,31291,552,394,942,1249,978,2222,12,21,34,0,3,6,463,381,838,102,128,229,571,508,1076,14097,13363,27460,105,87,188,42,66,103,14248,13509,27755,3736,2538,6269,35054,35453,70504
SED24408,137,166,306,2487,3065,5551,0,0,0,259,272,535,51,51,107,3930,4451,8381,166,195,359,60,65,128,45,69,115,22,20,46,1718,1868,3587,9,4,11,60,65,117,275,307,582,706,715,1421,50,84,132,36,50,86,2940,3520,6458,518,625,1137,24,31,57,13352,15463,28818,162,148,305,93,71,167,14,6,19,0,0,4,37,41,71,58,73,131,91,113,207,12553,11086,23633,60,38,99,25,57,84,12643,11174,23816,2474,2350,4822,28965,29495,58458
SED24504,188,273,461,2791,3397,6185,0,0,0,204,260,466,70,66,139,6645,7009,13659,44,65,108,271,277,547,42,59,105,18,31,50,89,126,215,11,7,13,54,64,117,143,149,292,466,529,997,25,35,55,28,31,53,904,1221,2130,504,528,1036,14,17,33,12321,13873,26199,81,84,170,111,83,196,45,39,78,0,6,6,39,35,75,68,109,176,106,145,256,16553,15850,32394,141,116,263,60,110,164,16749,16076,32827,2465,2390,4859,32077,32966,65038
SED24606,503,774,1273,2940,3741,6678,0,0,0,162,200,361,0,0,3,5241,6401,11636,18,21,39,1527,1705,3234,34,37,72,17,8,23,70,96,160,43,50,98,79,80,158,92,115,206,380,385,770,12,9,23,10,17,25,604,802,1400,332,476,811,9,8,25,11557,14152,25708,961,757,1725,254,268,520,1562,1711,3271,0,0,4,64,69,131,80,99,183,146,163,311,11657,11935,23591,113,106,223,38,60,97,11813,12104,23910,1687,1734,3427,28480,31665,60148
SED24703,3321,4677,8000,1620,1733,3353,0,3,4,407,488,889,0,3,7,7360,8094,15452,25,42,64,727,776,1505,20,37,58,35,31,64,91,117,208,120,127,243,252,270,518,274,372,647,469,497,968,19,17,35,25,34,62,513,580,1091,1075,1499,2570,28,28,62,13055,14750,27808,3947,3123,7061,2484,2352,4837,200,203,408,3,3,8,192,169,362,247,283,534,451,452,904,31261,31002,62264,459,344,802,120,163,285,31844,31513,63353,6143,5694,11831,61443,62763,124206
SED24808,523,721,1248,2699,3499,6200,12,8,20,722,769,1489,102,74,182,10769,11996,22763,10,22,36,898,859,1754,181,216,399,294,283,577,127,180,317,215,218,436,259,272,540,486,618,1106,453,614,1070,48,75,123,96,157,258,838,1154,1987,1678,1870,3547,31,41,67,19923,22930,42853,1619,1450,3072,2124,2166,4294,26,20,47,0,0,3,2336,2103,4439,119,179,300,2454,2281,4740,17256,16175,33434,128,100,225,68,83,148,17449,16356,33804,3878,3757,7636,47997,49684,97680
SED24904,837,808,1644,2508,3094,5608,0,0,0,210,224,434,3,0,0,6380,6964,13344,103,161,262,320,297,616,79,123,201,75,67,140,315,384,696,15,15,30,163,156,314,339,386,729,518,572,1091,58,92,146,207,224,436,1530,1957,3486,744,774,1520,37,42,79,13608,15527,29130,250,185,435,787,614,1404,13,6,21,7,11,16,227,184,410,50,89,136,283,276,559,14006,12966,26972,62,60,120,32,45,77,14108,13066,27176,3322,3073,6398,33203,33565,66771
SED25003,830,965,1802,1031,1412,2450,8,9,20,261,286,546,3,6,7,9848,10664,20512,9,14,24,3692,3832,7528,74,96,175,46,65,109,35,39,68,267,236,500,105,151,259,335,399,728,281,341,623,30,53,83,37,47,81,277,372,651,1558,1596,3159,5,11,19,17904,19635,37536,1938,1748,3688,2863,2757,5624,12,9,21,5,0,5,927,798,1726,137,137,272,1069,936,2002,8482,7729,16207,48,51,102,30,63,96,8563,7848,16411,2129,2213,4345,35308,36114,71427
SED25102,216,395,610,1945,2448,4391,0,0,0,518,531,1052,31,33,64,3939,4610,8545,103,118,218,258,263,523,95,102,195,53,45,98,116,118,235,10,10,22,95,111,206,217,264,484,361,415,778,27,41,71,127,135,266,576,786,1365,910,1074,1989,77,80,159,9472,11189,20661,90,89,185,68,54,121,72,70,143,0,3,11,23,34,57,112,200,313,139,236,373,17141,15676,32820,159,111,267,63,127,196,17370,15914,33283,1653,1359,3012,29081,29305,58387
SED25205,370,543,920,2281,2960,5248,0,0,0,241,279,516,0,0,0,7669,8803,16479,33,57,87,1498,1591,3090,84,90,174,34,34,64,78,93,172,61,75,135,71,87,151,151,184,337,400,541,943,22,42,61,17,31,40,544,807,1348,459,618,1077,22,16,35,13658,16307,29967,468,462,929,300,284,578,174,223,396,0,0,0,32,49,80,76,98,172,106,145,257,14722,14517,29243,103,63,165,49,102,153,14879,14681,29562,1618,1580,3196,31571,34226,65798
SED25302,132,254,381,3818,5061,8879,0,0,0,382,519,904,0,4,4,5963,7045,13007,43,61,107,459,445,901,50,66,116,68,73,143,93,108,199,23,7,35,80,103,181,116,136,256,527,665,1190,18,32,45,17,9,26,849,1274,2123,456,625,1080,14,23,36,12979,16263,29243,94,93,185,46,51,94,81,92,175,0,4,3,27,18,46,45,72,121,80,90,173,15736,15230,30971,104,101,205,38,111,154,15880,15451,31328,1748,1935,3689,31037,34221,65261
SED25402,206,285,486,3005,3886,6894,0,0,0,253,311,563,22,19,37,6106,7031,13132,11,24,38,293,291,584,100,152,251,71,77,152,77,114,194,8,8,20,74,93,166,251,291,539,650,797,1439,50,90,144,42,45,93,767,1056,1817,604,733,1339,18,22,41,12402,15040,27445,163,155,317,290,250,541,17,14,32,8,0,3,70,70,142,93,123,212,168,188,360,16884,15781,32662,95,86,177,38,74,113,17016,15937,32955,3076,3046,6121,33338,34916,68256
SED25501,2919,3124,6044,1387,1684,3067,3,0,3,678,841,1523,0,4,3,4046,4536,8585,76,87,164,1221,1347,2571,29,48,73,22,22,44,82,86,164,121,137,256,191,193,381,279,319,601,392,494,885,14,27,40,26,30,64,772,1129,1902,787,1008,1793,30,37,66,10166,12030,22190,3009,2795,5805,867,727,1590,56,67,122,0,0,0,284,265,557,152,183,338,437,450,895,12992,12306,25304,98,72,167,36,48,82,13129,12428,25555,1757,1700,3462,32335,33325,65663
SED25605,2653,3000,5647,1198,1616,2815,13,19,35,432,502,931,5,0,5,6635,7066,13697,68,82,144,2422,2538,4954,63,81,146,39,54,87,56,73,131,267,304,568,115,136,251,306,347,653,367,366,733,22,31,49,70,71,137,501,710,1209,820,969,1784,20,25,42,13414,14970,28386,1669,1466,3132,1971,1700,3678,47,60,113,0,0,0,727,613,1340,152,180,337,878,792,1673,9074,8030,17109,67,44,109,39,35,75,9180,8110,17293,1932,1788,3718,31752,31895,63639
SED25704,201,255,453,3437,4046,7485,0,0,0,400,453,850,145,138,285,6203,6994,13201,93,122,220,85,82,161,35,52,82,31,25,51,75,103,182,10,6,16,68,75,143,265,278,548,882,951,1834,46,94,141,17,24,41,2000,2541,4543,604,638,1233,6,13,21,14403,16643,31044,142,115,258,310,234,549,6,11,15,6,4,3,124,114,239,40,68,109,170,179,351,13703,12649,26351,46,37,85,27,42,71,13776,12735,26510,2894,2688,5585,31906,32861,64766
SED25802,224,340,561,3713,4551,8260,0,0,0,486,513,1002,100,123,216,6460,7112,13567,56,75,126,213,221,432,185,218,397,87,68,156,70,98,169,8,8,21,273,297,570,289,337,627,956,1115,2065,75,109,181,76,117,201,1056,1442,2502,926,1092,2017,21,22,47,15037,17528,32562,133,107,242,125,118,246,23,25,47,0,6,6,77,76,149,98,145,244,173,225,398,18729,17846,36579,115,109,228,38,86,125,18887,18039,36926,3139,3038,6176,37736,39422,77157
