SED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SED10001,0,0,0,6,0,3,3,0,0,10,3,5,6,47,25,18,10,0,0,108,0,0,0,0,4,5,9,10,4,31,0,0,0,0,0,0,0,0,0,10,0,13,36,86,92,225,192,167,61,866,0,0,0,11,10,9,0,0,0,27,0,0,5,0,3,3,0,0,0,17,0,0,0,17,9,25,69,56,19,191,0,0,0,0,0,0,4,14,4,26,0,0,0,10,3,5,5,0,0,20,6,21,29,347,25,19,12,7,5,476,0,0,0,16,13,6,0,0,0,38,0,0,0,3,0,3,0,0,0,12,0,0,0,8,0,0,0,0,0,8,0,3,0,16,3,12,5,4,0,39,0,4,0,0,0,3,17,9,13,49,0,0,0,14,0,0,0,0,0,20,0,0,4,20,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,9,0,0,0,15,8,9,0,3,0,40
SED10002,0,0,0,21,8,8,13,12,0,69,20,92,441,3589,1127,1263,582,240,113,7464,0,0,0,12,6,29,62,54,19,180,4,24,10,67,13,23,24,13,7,179,0,15,19,97,25,33,30,23,7,247,0,5,9,83,53,53,41,16,3,262,0,0,3,15,3,0,0,5,0,26,0,0,4,27,21,0,13,9,3,77,3,0,0,8,4,6,32,32,12,90,4,25,58,268,75,137,89,9,0,667,29,138,117,945,122,86,51,23,13,1510,0,16,32,213,73,47,37,17,4,422,0,17,44,235,31,20,8,3,0,361,0,29,50,213,105,69,17,10,5,496,0,0,0,24,6,0,8,5,3,41,0,0,9,30,16,25,43,52,36,210,0,0,3,77,23,9,0,0,0,131,14,74,223,1814,590,463,186,84,17,3469,8,25,55,445,366,466,298,126,30,1810,0,13,37,305,66,57,41,25,5,555
SED10003,0,0,0,38,5,13,9,3,0,68,0,4,0,15,12,17,5,4,4,65,0,0,0,0,0,0,5,3,0,16,0,0,0,5,0,0,0,0,7,16,5,56,69,391,296,337,348,236,101,1839,0,0,0,10,3,8,3,5,0,25,0,0,13,113,23,14,12,4,4,185,0,3,17,112,52,73,76,25,9,370,0,0,0,0,3,0,0,0,3,11,0,0,0,11,12,9,0,0,0,34,0,3,6,65,15,14,10,3,6,121,0,4,6,24,14,3,9,0,3,65,0,0,0,8,5,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,25,12,18,6,9,0,76,0,3,11,68,12,14,20,8,7,132,4,6,14,98,46,14,8,4,0,188,0,0,0,16,6,3,0,0,0,22,0,0,0,5,0,0,0,0,0,4,0,5,0,20,10,12,12,5,0,66
SED10004,0,0,0,43,19,11,11,3,0,82,7,22,371,798,167,155,109,76,40,1736,0,0,0,13,8,14,14,8,0,55,0,0,0,12,6,10,15,9,3,53,19,109,109,730,438,370,257,116,36,2184,0,0,0,26,14,26,12,8,0,88,0,5,12,107,20,9,15,5,0,182,0,10,15,93,51,20,37,35,3,268,0,0,3,9,8,12,27,63,30,151,11,20,32,121,46,31,31,4,4,290,3,7,59,253,36,20,11,15,5,403,0,3,48,134,26,17,27,7,0,268,0,4,3,90,10,12,6,0,0,128,0,0,0,8,0,5,0,0,0,15,0,7,13,155,79,39,19,11,4,328,0,3,15,110,38,54,80,100,68,473,0,9,11,113,75,31,14,4,0,259,0,4,28,160,33,16,10,4,7,262,0,0,0,19,13,17,11,8,0,77,0,0,24,143,84,28,31,15,7,335
SED10005,0,0,0,6,11,19,14,12,3,73,0,23,87,575,352,400,210,108,55,1821,0,3,0,4,5,8,28,34,8,94,3,23,27,106,26,44,47,27,17,316,0,0,5,19,13,37,31,34,18,169,0,8,12,85,70,52,46,12,0,295,0,0,0,3,5,3,5,6,0,18,0,0,0,14,4,0,34,20,12,88,0,3,13,17,22,40,111,133,42,374,3,0,5,80,14,32,26,0,0,161,5,31,39,214,53,34,29,15,8,430,3,4,25,153,81,56,26,4,6,350,0,8,23,49,3,13,9,0,0,105,0,24,42,221,100,48,21,14,7,478,0,0,0,4,0,6,12,7,0,23,0,0,3,11,0,43,61,95,62,276,0,4,3,13,19,9,4,0,0,50,3,0,16,83,66,51,33,20,9,279,14,57,136,825,695,748,455,162,57,3155,3,10,13,108,39,28,32,3,0,246
SED10006,0,0,0,0,0,0,0,0,0,3,0,0,0,21,9,12,0,0,0,54,0,0,0,0,0,0,0,3,3,7,0,0,0,5,0,0,0,0,0,4,0,0,5,56,45,73,77,61,14,335,0,3,0,4,8,3,0,0,0,19,0,0,0,5,0,0,3,0,6,10,0,0,3,14,14,14,15,19,5,84,0,0,0,0,0,0,0,6,0,11,0,0,0,3,0,0,4,0,0,4,10,9,8,114,5,5,3,0,0,149,0,0,0,15,5,0,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,5,0,3,31,0,0,0,3,0,5,0,10,4,26,0,0,0,5,3,5,0,0,0,11,0,0,0,9,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,3,0,0,0,6,5,0,0,0,0,16
SED10007,0,0,0,8,0,4,8,3,0,16,0,6,0,34,20,11,23,0,0,106,0,0,0,5,3,10,6,3,0,28,0,0,0,6,0,0,5,0,0,10,0,8,21,75,104,216,219,155,64,862,0,3,6,11,7,14,7,5,0,50,0,0,0,7,6,0,6,4,0,19,0,0,0,12,8,17,43,32,7,122,0,0,0,0,4,0,9,5,3,22,0,6,0,5,0,4,6,0,0,19,0,17,17,132,19,10,4,4,0,209,0,4,0,11,3,4,7,0,6,36,0,0,0,8,3,0,4,0,0,18,0,0,0,5,0,0,0,0,0,6,0,0,3,12,10,13,19,4,7,63,0,5,0,5,0,5,13,13,7,49,0,0,4,5,14,0,0,0,3,26,0,0,4,11,8,3,0,0,0,24,0,0,0,7,0,3,6,0,0,21,0,0,5,10,19,6,8,3,0,42
SED10008,0,0,3,15,17,25,8,5,3,80,19,173,109,2019,717,687,561,137,57,4482,0,0,0,4,11,20,23,23,10,95,0,15,12,46,16,40,39,14,6,180,5,63,68,176,161,148,203,121,56,1000,0,0,3,80,69,69,37,13,10,277,0,0,0,12,5,6,0,0,0,24,0,3,9,21,21,11,38,29,6,145,0,0,0,4,0,14,22,26,12,79,0,44,42,234,112,295,205,29,6,964,6,204,131,1490,475,324,203,95,40,2968,0,9,20,140,65,37,33,18,5,328,3,24,29,355,97,70,44,16,11,646,0,0,0,15,13,4,5,3,4,46,0,7,7,18,19,20,17,14,7,108,0,0,4,17,13,33,58,51,23,192,0,9,6,33,26,12,5,3,0,96,6,47,72,349,269,153,79,31,9,1017,0,0,4,34,55,56,41,19,3,203,0,17,29,150,73,118,153,56,10,612
SED10009,0,0,0,5,5,4,7,7,3,25,0,0,0,23,19,6,3,4,0,60,0,0,0,0,3,18,29,21,7,70,0,0,0,0,0,3,0,3,0,8,3,14,16,79,144,425,572,377,127,1751,0,0,0,10,7,4,3,5,0,27,0,0,5,12,9,18,11,4,4,56,0,3,3,22,30,58,110,70,27,320,0,0,0,0,0,7,9,10,3,28,0,4,0,0,5,0,5,4,0,24,0,9,7,76,8,8,7,5,7,129,0,0,0,10,5,0,11,0,0,31,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,8,18,11,25,18,15,6,95,0,0,0,0,0,14,22,12,6,53,0,6,0,11,12,5,10,0,0,34,0,0,0,6,6,3,0,0,0,17,0,0,0,6,0,0,0,0,0,4,0,0,0,12,5,11,6,0,4,44
SED10010,0,0,0,18,6,8,31,5,3,80,3,15,38,311,178,189,138,59,24,950,0,0,0,21,20,36,45,35,11,165,0,6,29,51,38,35,57,32,9,256,0,17,8,55,47,98,103,89,32,446,0,22,52,363,210,174,114,54,4,982,0,0,0,8,3,6,5,3,6,31,0,0,4,14,3,12,33,29,16,114,0,4,4,4,8,14,37,43,12,123,0,3,4,37,26,40,29,5,0,139,55,272,731,3591,481,278,180,58,14,5661,0,7,7,85,50,40,32,11,10,241,0,12,29,85,29,23,22,9,4,224,0,11,16,36,21,21,8,0,3,122,0,6,0,8,0,11,11,6,0,42,0,3,0,10,7,33,63,48,37,190,0,0,6,11,8,0,0,0,0,28,0,13,19,131,78,74,40,21,8,372,0,9,15,55,68,95,61,18,13,322,0,8,7,63,25,38,21,13,8,175
