SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10052,860,542,579,706,697,520,440,339,273,4956,14574,8915,9352,10881,10857,9612,7904,5344,2612,80051
SED10053,1205,805,1087,950,923,960,640,290,126,6986,15908,9193,12156,11480,12213,11212,7731,3825,1253,84971
SED10054,2314,1343,1322,1220,1104,773,487,272,233,9068,21629,13288,13321,13392,11739,10265,6789,2881,1162,94466
SED10055,1295,873,796,770,829,654,369,158,42,5786,19111,12278,11451,12416,11784,10663,6727,2498,711,87639
SED10056,1952,1118,1229,1136,1245,1301,1117,672,299,10069,15885,9333,10279,9432,10555,11797,10242,6005,2392,85920
SED10057,1328,696,623,699,779,939,1010,679,302,7055,11526,6606,6233,6816,8601,11726,13079,7924,3075,75586
SED10058,854,911,977,793,795,751,579,326,212,6198,11617,10070,13432,10377,9899,9934,8185,4280,1877,79671
SED10059,421,925,1678,1053,875,688,459,281,170,6550,7331,11790,22274,13360,10020,7405,4704,2487,954,80325
SED10060,536,430,872,769,630,613,475,396,189,4910,10286,6982,14653,12771,10411,9161,7710,5110,1805,78889
SED10061,2217,1726,1332,1217,1282,1326,998,669,329,11096,14568,10002,9207,8466,9502,10782,9251,5787,1980,79545
SED10062,781,606,636,644,656,569,445,325,305,4967,13501,9727,9694,10482,10594,10233,7822,4680,2377,79110
SED10063,1691,939,896,928,895,889,694,467,276,7675,16955,9257,9663,9573,9684,9896,8607,5219,2104,80958
SED10064,1715,1024,1111,1052,1044,1107,958,536,199,8746,13057,7393,7186,7480,9261,12309,12129,6452,2346,77613
SED10065,1371,929,1674,1425,854,744,502,268,146,7913,20427,12462,22740,20294,12332,10927,7498,3767,1622,112069
SED10066,1533,936,1167,990,858,637,555,451,351,7478,16256,10837,12689,11803,10361,9114,7696,4237,1577,84570
SED10067,828,588,431,569,695,698,533,412,293,5047,13068,8403,6134,8443,10881,10608,8967,5986,2778,75268
SED10068,974,710,530,600,642,800,766,533,308,5863,12182,7980,6740,7875,9623,11604,13034,8476,3233,80747
SED10069,1168,657,580,601,769,779,780,639,335,6308,12506,7898,6855,7634,9372,11307,11681,7066,2101,76420
SED10070,1366,766,855,934,813,647,537,380,281,6579,17753,10637,11674,13453,10721,9779,8241,4582,1766,88606
SED10071,1560,1101,1531,1580,1008,540,340,131,54,7845,30016,15068,17759,24854,15319,9724,6375,2525,683,122323
SED10072,1063,897,1597,1066,938,739,516,452,353,7621,13821,10896,19118,14220,11329,9756,7528,5020,2277,93965
SED10073,795,615,1118,903,614,621,419,282,200,5567,15811,11366,19104,16731,11295,10745,8239,4428,2301,100020
SED10074,1087,679,924,876,676,560,419,301,198,5720,16894,9789,12696,14060,10629,8819,7334,4489,1726,86436
SED10075,1405,924,792,765,817,741,559,448,294,6745,16731,10932,10609,11021,11184,11043,9284,5708,1997,88509
SED10076,1389,789,745,771,808,876,806,541,258,6983,12223,6934,7527,7728,8617,11427,12452,7199,2556,76663
SED10077,862,1180,1630,911,707,646,418,362,320,7036,13947,15775,23188,14091,11129,10305,7186,4317,2294,102232
SED10078,642,601,1142,791,645,620,390,262,137,5230,10872,8747,16444,12827,10790,8901,6338,4016,2108,81043
SED10079,1070,651,581,600,701,693,629,477,222,5624,12509,7902,7356,7951,9331,10389,10113,6415,2152,74118
SED10080,474,974,2543,1519,971,744,540,328,221,8314,6448,9516,28413,17913,10828,8864,6655,3485,1280,93402
SED10081,1920,1107,1054,955,980,899,761,563,290,8529,16424,9237,10170,9300,9424,9954,8798,5515,2042,80864
SED10082,984,573,459,607,630,647,571,422,313,5206,13968,8529,6642,8982,10304,10376,9873,6322,2615,77611
SED10083,1205,757,672,719,714,668,558,383,328,6004,14032,8471,8743,9361,9496,9693,8704,5096,2415,76011
SED10084,1329,743,785,892,949,879,777,587,336,7277,13294,7619,7579,9326,9957,11359,11358,7348,3311,81151
SED10085,1523,1026,969,949,1033,994,748,421,177,7840,15264,8908,9265,9296,10336,10852,8698,4595,1626,78840
SED10086,788,615,1264,897,727,550,422,383,292,5938,12361,7956,15753,12021,10363,8161,6947,4489,1988,80039
SED10087,1528,1144,933,831,853,809,595,419,207,7319,16580,11312,11077,9828,9349,9588,7970,4631,1993,82328
SED10088,822,575,540,635,775,565,389,298,236,4835,15714,10087,9404,11721,12734,9782,6851,4831,2209,83333
SED10089,1121,1323,939,749,672,607,451,379,384,6625,15230,13375,13034,11083,10070,9126,7783,4917,2487,87105
SED10090,740,464,617,696,658,457,401,244,195,4472,15950,9001,11425,14453,12489,9450,7721,4213,2152,86854
SED10091,1214,808,615,744,798,673,581,480,380,6293,16509,9599,9237,9813,10963,10087,9289,5659,2002,83158
SED10092,1156,925,1054,776,823,748,558,373,176,6589,12844,12035,13591,9960,9956,10470,8399,5544,2497,85296
SED10093,1532,948,821,834,849,721,594,530,376,7205,16103,10202,10098,9874,10377,9756,8440,5445,2249,82544
SED19494,555,462,763,794,661,469,210,54,14,3982,1260,1357,2187,1859,1678,1648,1055,277,49,11370
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
