SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SED10001,0,0,0,0,0,0,0,29,0,0,0,0,0,5,7,5,0,3,0,0,0,0,0,10,0,9,13,7,10,4,17,19,0,0,0,0,0,0,4,86,7,49,28,9,0,0,4,8,0,0,10,4,0,0,11,126,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,29,0,0,0,0,3,3,16,11,3,10,3,10,3,0,3,60,0,0,3,5,0,3,8,0,0,0,0,0,0,0,5,27,0,0,5,14,6,3,8,11,0,7,0,6,0,0,3,70,0,0,0,0,0,0,82,159,28,45,23,15,0,0,10,352,16,159,41,18,12,10,10,9,0,0,0,0,0,0,3,276,5,18,67,145,181,128,139,66,14,0,15,11,9,4,37,840,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,10,32,9,9,13,0,0,0,0,81
SED10002,53,38,53,60,30,14,26,873,0,0,3,8,8,399,292,206,26,22,16,15,4,5,32,1040,0,3,19,8,8,11,29,31,0,0,5,5,0,5,7,125,0,103,129,41,12,19,20,37,12,8,9,9,0,0,18,415,0,0,0,3,9,36,55,34,14,7,9,8,3,3,6,183,0,0,0,148,587,1128,2502,1155,256,244,256,245,77,10,179,6793,8,38,414,929,652,549,551,236,30,62,59,52,25,12,181,3802,0,0,9,44,157,132,205,156,78,126,116,102,19,3,44,1207,0,0,0,0,0,55,586,625,447,1004,1860,1676,392,8,153,6806,0,6,4,0,3,0,8,6,10,0,0,0,0,0,0,41,0,4,19,71,125,214,204,157,22,13,31,32,9,6,68,979,0,0,22,10,13,4,0,0,0,0,0,0,0,0,0,67,0,0,0,21,102,205,497,793,162,190,171,220,98,44,50,2560
SED10003,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,21,21,21,20,50,16,4,0,5,6,5,0,10,190,15,53,23,5,14,15,46,85,9,21,22,27,11,0,17,342,0,4,3,3,11,36,87,59,10,10,15,20,7,0,13,286,0,0,0,4,10,7,12,6,0,4,0,3,0,0,0,46,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,0,4,15,18,16,8,14,8,0,12,3,0,0,0,4,105,0,0,0,0,0,0,7,4,11,9,8,0,0,0,3,49,11,84,31,19,34,22,37,24,9,11,10,11,9,0,4,325,9,29,126,274,303,240,273,156,38,24,29,27,24,4,70,1625,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,17
SED10004,19,6,12,15,0,4,0,275,0,0,5,3,3,11,6,9,0,0,3,0,0,0,0,39,0,8,22,43,115,117,212,131,17,18,18,10,6,6,4,733,17,181,248,76,36,35,73,139,25,26,28,35,11,0,28,962,0,0,8,17,40,67,94,59,12,17,8,13,20,3,6,361,0,0,0,19,65,46,98,49,12,9,27,32,19,0,12,391,0,9,33,23,39,13,6,7,0,6,4,0,3,0,5,146,0,0,35,59,136,76,124,70,20,20,29,25,16,8,14,624,0,0,0,0,0,8,21,9,12,7,11,19,5,0,3,93,10,25,14,16,8,13,41,48,7,5,10,10,0,0,4,210,9,22,135,279,376,376,438,212,34,38,57,44,34,26,34,2108,0,4,16,12,14,5,5,0,0,0,0,0,0,0,0,65,0,0,0,3,5,5,10,18,6,3,4,6,4,0,0,71
SED10005,4,15,4,7,0,0,43,287,0,0,0,14,17,291,289,277,6,23,35,12,4,3,34,1006,0,0,10,16,11,8,12,3,0,0,0,0,0,0,9,68,14,191,200,51,8,11,6,10,0,0,0,7,0,0,43,547,0,0,0,3,6,17,26,0,0,3,3,4,0,0,0,70,0,0,0,42,102,111,151,64,17,14,9,6,5,0,23,539,5,52,492,1471,1200,964,1132,569,98,88,120,103,60,20,269,6647,0,4,8,27,91,47,57,49,62,66,53,44,10,4,20,534,0,0,0,0,0,7,86,43,15,51,62,38,24,0,29,355,0,11,8,3,0,0,6,0,0,0,0,0,0,0,15,43,0,0,15,62,136,201,239,173,19,14,29,19,6,0,104,1016,0,17,240,273,114,121,77,10,0,0,0,3,0,0,18,871,0,0,0,7,53,140,355,510,143,119,150,141,81,14,33,1743
SED10006,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,5,11,14,10,3,0,0,3,0,0,4,63,6,18,10,3,0,0,0,3,0,0,0,0,0,0,3,52,0,0,0,0,3,9,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,4,7,3,0,0,0,8,5,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,5,6,0,6,3,3,0,0,7,0,0,0,42,0,0,0,0,0,0,15,11,9,18,21,3,0,0,0,83,3,38,15,7,3,3,5,0,0,0,0,4,0,0,0,83,0,3,38,69,96,62,81,31,0,10,4,0,4,3,23,421,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,7,13,5,0,8,3,0,0,0,37
SED10007,0,0,5,4,0,0,9,47,0,0,0,0,0,5,3,10,0,0,0,0,0,0,3,23,0,6,22,28,19,12,29,14,0,4,0,5,0,0,9,135,6,37,34,8,3,0,5,9,0,0,0,3,0,0,12,119,0,3,6,0,0,6,4,5,0,4,3,0,0,0,5,41,0,0,0,0,3,5,9,8,3,4,0,3,0,0,4,45,0,0,22,16,10,3,10,0,0,0,0,0,0,0,16,74,0,0,14,16,18,0,20,4,0,0,0,7,0,0,4,92,0,0,0,0,0,0,41,38,24,50,32,20,6,0,3,210,18,77,34,23,22,3,5,0,0,0,0,0,0,0,4,191,0,8,77,166,186,111,134,52,12,3,8,7,4,0,63,838,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,11,26,0,3,9,13,3,3,3,79
SED10008,42,36,51,50,17,8,22,1269,0,0,6,3,8,26,35,5,0,5,4,0,0,3,0,99,0,8,20,36,48,22,42,37,4,4,3,5,3,0,6,231,16,139,146,33,18,16,18,10,4,5,0,5,5,0,15,423,0,0,5,5,23,30,42,18,3,0,0,6,7,0,0,143,0,0,0,66,316,452,655,246,30,38,24,33,16,10,29,1919,3,37,79,82,95,65,32,5,0,4,4,4,0,4,4,423,0,7,50,164,330,144,238,91,12,27,24,15,10,0,19,1132,0,0,0,0,0,40,94,14,3,4,4,9,5,0,0,172,3,56,18,7,10,10,15,3,0,4,5,5,5,0,5,145,4,17,63,132,183,201,236,97,22,14,14,23,17,13,24,1060,0,0,11,9,3,9,6,0,0,0,0,0,0,0,4,34,0,0,3,15,55,67,95,166,34,46,47,27,15,6,7,589
SED10009,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,30,26,7,34,14,0,4,0,0,0,0,0,165,9,51,59,18,5,3,10,0,0,0,0,0,0,0,9,169,0,3,0,3,0,4,13,5,6,0,4,4,0,0,6,49,0,0,0,0,0,3,5,0,0,0,6,0,0,0,3,26,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,14,0,9,16,10,8,6,8,3,5,0,0,0,0,0,4,76,0,0,0,0,0,4,10,14,23,13,17,11,6,0,0,95,29,190,41,32,27,19,11,5,0,0,4,0,0,0,10,379,3,31,116,281,210,129,92,23,5,0,7,5,3,0,53,966,0,4,9,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,8,3,0,0,3,0,0,0,0,14
SED10010,12,10,9,36,0,0,4,429,0,0,3,4,8,50,73,62,6,16,12,10,8,3,0,255,0,4,20,21,19,10,17,12,0,0,0,0,4,0,0,107,14,106,160,46,7,13,5,8,0,3,0,0,0,0,10,387,0,0,0,0,6,5,12,6,0,0,0,0,3,0,0,43,0,0,0,22,119,174,233,77,17,12,5,12,0,0,24,698,0,17,77,152,131,104,84,28,10,11,11,0,0,0,22,653,0,0,12,30,67,49,63,27,3,12,21,16,0,0,3,310,0,0,0,0,0,38,431,233,51,72,100,77,38,0,7,1049,3,81,19,6,8,0,3,0,0,0,0,5,0,0,0,132,0,5,23,80,229,369,416,259,60,46,82,46,14,5,69,1694,0,0,11,29,8,4,4,0,0,0,0,0,0,0,3,63,0,0,0,17,44,113,236,225,60,54,52,65,42,3,13,906
