SED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SED10001,0,4,0,5,0,0,0,0,0,13,6,5,6,31,20,18,13,7,0,102,0,6,5,23,3,3,7,0,0,54,0,0,0,3,0,0,0,0,0,3,0,3,4,10,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,4,0,8,4,15,15,14,10,11,0,69,0,8,4,19,10,0,4,0,0,52,0,0,0,4,5,8,6,9,0,29,0,0,0,10,3,3,0,0,0,24,4,47,43,180,100,88,77,68,24,630,149,357,325,649,356,399,391,244,89,2960,2603,5453,4877,9621,4946,5481,5108,2780,858,41715,0,0,0,0,0,0,0,0,0,0,2319,4648,4230,8019,4343,4642,4237,2381,1049,35865,0,4,0,30,4,0,0,0,0,35,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,8,0,0,3,14,12,7,5,0,0,42
SED10002,3,12,4,56,20,3,12,6,0,113,0,4,10,53,23,29,17,9,0,138,0,8,43,246,120,113,104,47,18,708,0,6,19,295,24,10,8,0,0,359,0,0,23,140,11,3,3,3,0,185,5,18,30,277,290,340,161,128,18,1264,3,19,15,49,10,9,3,0,0,105,0,8,50,255,328,527,298,93,34,1596,0,0,0,3,0,6,6,0,0,11,0,0,3,25,9,10,0,0,0,39,30,170,189,1098,339,277,189,123,48,2457,228,440,590,1712,449,359,217,127,57,4172,3969,6304,8485,24949,6531,5682,3623,1666,554,61755,3,75,138,351,118,54,24,21,3,788,3262,4798,3727,4994,1005,759,502,276,208,19523,0,10,18,173,23,15,3,0,0,251,0,0,0,19,14,23,18,9,0,83,0,9,7,63,13,7,4,0,0,96,0,0,3,23,28,28,17,11,0,115,0,0,0,19,0,3,0,0,0,32
SED10003,0,8,5,5,0,4,6,0,0,26,0,9,12,56,48,38,46,27,5,241,0,0,0,12,4,0,9,0,0,25,0,4,0,9,0,5,0,0,0,17,0,11,10,16,5,0,0,0,0,51,0,0,0,10,6,0,0,0,0,9,5,18,15,84,52,44,71,27,4,326,0,4,6,9,5,0,0,0,0,27,0,0,0,6,6,6,14,9,5,47,0,0,0,12,10,6,9,4,0,38,10,29,43,407,148,104,90,56,16,899,133,335,282,822,385,418,437,208,103,3119,2024,4845,3765,9188,5174,5555,5507,2631,900,39585,0,0,0,0,0,0,0,0,0,0,1737,3979,3116,6844,4312,4540,4259,2213,1089,32096,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,6,6,168,16,7,4,0,0,207,0,3,4,6,0,0,0,0,0,17,0,7,18,105,46,28,29,6,0,237
SED10004,5,21,19,56,24,13,11,4,0,155,6,3,12,159,54,27,27,11,3,305,0,0,3,53,12,15,8,10,0,102,0,0,12,61,10,9,11,0,0,105,3,11,15,201,34,15,0,3,0,285,0,0,0,79,20,8,3,6,0,116,22,51,43,171,78,69,38,17,3,493,0,6,35,93,44,32,33,10,13,267,0,0,0,28,24,12,10,3,0,84,0,0,4,14,5,8,3,0,0,38,6,57,97,815,246,181,170,107,32,1711,71,156,240,757,285,239,167,104,44,2058,2252,4085,4210,14446,5795,4345,3192,1475,426,40216,0,0,0,0,0,0,0,0,0,6,2010,3401,3152,8205,3595,2725,2163,889,269,26409,0,0,4,16,0,0,0,0,0,23,0,0,0,8,3,9,0,4,0,28,0,4,10,145,12,13,7,0,0,194,0,0,4,14,7,4,7,0,0,37,3,3,20,131,47,23,21,3,0,250
SED10005,0,7,3,4,5,7,6,0,0,37,0,0,0,11,4,7,10,3,0,38,0,0,4,32,17,22,17,5,0,94,0,0,3,45,4,0,3,0,0,60,0,3,14,51,12,3,0,0,0,87,0,5,7,36,35,40,19,19,3,151,0,8,16,17,3,6,4,0,0,57,28,123,365,1300,1072,1232,605,207,86,5023,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,29,19,210,235,993,470,411,229,150,59,2785,239,594,544,1078,422,350,250,148,52,3674,3604,6844,6707,13521,5376,5187,3498,1802,746,47284,3,32,51,115,29,18,6,0,0,260,3191,5230,4245,5007,1271,983,753,478,417,21562,3,20,45,455,51,22,5,0,0,598,0,0,0,27,17,13,15,7,0,75,0,10,5,36,7,0,0,5,0,60,0,0,3,27,22,36,23,14,9,135,0,0,0,0,5,3,0,0,0,11
SED10006,0,0,0,0,0,0,0,0,0,3,0,0,6,18,15,12,4,3,0,62,0,0,0,8,5,5,0,0,0,18,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,11,11,3,0,43,0,0,0,5,3,0,0,0,0,12,0,0,0,3,0,0,4,0,3,15,0,0,0,6,4,0,0,0,0,15,0,13,11,47,25,32,48,46,11,234,259,639,524,1063,593,716,640,370,126,4936,2322,4853,3961,7980,4387,5413,4674,2498,772,36866,0,0,0,0,0,0,0,0,0,0,1904,3957,3122,6754,3564,4330,3378,2106,959,30082,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,9,0,0,0,8,4,5,0,0,0,27
SED10007,0,5,0,3,4,0,3,0,0,14,0,8,11,19,22,14,13,3,0,91,0,5,4,30,6,12,5,0,0,70,0,0,3,0,0,0,0,0,0,3,0,5,5,17,4,0,0,0,0,38,0,0,0,0,0,0,0,0,0,5,0,9,10,17,16,14,14,3,0,79,0,0,3,30,12,3,0,3,0,63,0,0,0,3,0,13,8,6,0,35,0,4,0,3,4,4,0,0,0,16,7,8,19,82,54,61,78,77,17,400,113,333,320,619,347,398,400,256,63,2845,2215,5227,5021,9423,4983,5454,4870,2657,715,40564,0,0,0,10,0,0,0,0,0,9,1942,4578,3975,7410,4257,4437,3698,2142,976,33415,0,5,0,20,0,0,4,0,0,29,0,0,0,5,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,7,0,0,0,21,5,4,3,14,15,10,4,5,0,57
SED10008,3,32,30,41,29,11,30,9,4,193,5,35,54,149,93,72,42,12,4,467,0,13,40,209,159,190,147,48,11,819,0,3,7,74,25,17,28,4,0,163,0,10,12,20,7,4,9,0,0,60,0,0,6,17,35,24,6,13,0,91,13,35,59,46,32,21,21,9,0,241,0,5,9,45,58,55,27,8,0,211,0,0,4,4,6,9,6,3,0,33,0,0,6,6,10,11,4,0,0,45,13,92,100,313,192,192,169,101,32,1198,59,125,100,285,106,84,84,60,25,930,2419,6746,5524,10866,5835,5040,4191,2417,627,43671,0,0,3,28,23,20,15,0,0,85,2167,5177,3889,4232,2661,2030,1961,1356,472,23947,0,0,6,59,43,35,13,4,0,155,0,0,0,8,8,8,3,3,0,31,0,0,8,36,4,9,5,3,0,71,0,0,0,8,10,12,0,0,6,28,0,3,12,24,9,9,5,0,0,57
SED10009,0,4,0,0,4,5,6,0,0,19,0,6,0,20,21,36,25,11,5,131,0,0,0,8,3,0,5,0,0,16,0,0,0,0,0,0,0,0,0,3,0,9,4,11,3,4,0,0,0,32,0,3,0,3,5,0,0,4,0,16,0,12,8,23,15,23,37,20,0,141,0,0,0,0,7,4,4,0,0,25,0,0,0,4,3,16,7,11,4,45,0,0,0,0,3,3,3,4,0,24,0,12,4,47,42,82,129,108,49,464,102,295,272,487,380,517,551,311,131,3054,1630,4064,3328,6299,4348,6229,7095,3490,1047,37522,0,0,0,0,0,0,0,0,0,0,1413,3481,2617,5463,3763,5391,5045,2466,1055,30691,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,8,0,0,0,4,0,0,3,0,0,8,0,0,8,30,14,17,16,5,0,95
SED10010,0,23,6,9,4,12,8,6,0,66,0,5,5,27,17,15,16,3,0,98,6,26,52,313,102,101,60,15,8,691,0,0,0,14,6,3,3,0,0,26,0,4,14,24,12,7,7,0,0,60,0,3,10,77,40,61,33,17,0,239,4,8,15,28,8,8,5,0,0,78,0,5,8,31,27,29,17,6,0,115,0,0,0,0,0,0,4,3,0,9,0,0,4,11,6,0,0,0,0,19,7,101,217,668,368,271,229,153,57,2074,160,377,405,962,303,277,192,110,45,2839,3226,6048,6345,15166,5336,4757,3442,1623,514,46455,0,10,51,174,49,41,24,7,0,353,2815,4416,3314,4778,2004,1709,1260,664,363,21320,0,24,24,203,59,47,13,0,0,371,0,0,0,33,28,40,19,10,0,126,0,0,0,9,0,5,0,0,0,23,0,0,0,16,9,5,6,0,0,31,0,0,9,16,0,0,6,0,0,34
