SED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED10001,2046,11965,12177,4118,2295,32603,555,33152
SED10002,5128,17329,9956,2848,1506,36776,912,37685
SED10003,1298,11085,12033,3947,2220,30580,578,31153
SED10004,7121,17846,7729,1279,407,34377,538,34914
SED10005,3207,10762,8651,3034,1729,27386,665,28048
SED10006,2015,9685,9183,3563,2148,26590,734,27324
SED10007,1799,10224,10842,4298,2722,29887,491,30379
SED10008,768,8735,12522,4027,2159,28207,227,28431
SED10009,1300,11623,11953,3849,1960,30694,544,31229
SED10010,2803,11463,10090,3221,1634,29207,554,29767
SED10011,1730,10732,10520,3368,1827,28172,287,28465
SED10012,2400,8168,7606,3488,2266,23916,482,24396
SED10013,930,10126,18155,6504,4491,40210,414,40631
SED10014,2442,10647,9578,3255,1739,27666,473,28142
SED10015,4276,14116,9348,2711,1480,31928,621,32550
SED10016,725,8622,14064,4868,3254,31529,248,31777
SED10017,1307,9379,12020,4762,3069,30536,377,30918
SED10018,1639,9672,11628,3512,1911,28365,285,28647
SED10019,1461,10962,10850,3856,1996,29129,626,29755
SED10020,1590,11034,11016,3611,2005,29251,520,29774
SED10021,5616,16694,8195,1646,584,32737,468,33207
SED10022,1602,9375,9758,4046,2532,27318,618,27933
SED10023,1578,9847,11503,3597,2258,28782,232,29011
SED10024,1048,8747,11509,3434,1803,26535,198,26732
SED10025,3078,14420,10385,2492,1194,31564,350,31912
SED10026,1498,9617,11060,4112,2482,28773,561,29332
SED10027,1998,8750,9737,3548,2000,26039,368,26404
SED10028,1947,11235,11215,3117,1477,28998,275,29274
SED10029,3428,9783,8333,3246,1859,26647,606,27249
SED10030,3103,13770,10073,2977,1549,31476,510,31985
SED10031,1225,9116,11224,4903,3390,29866,460,30329
SED10032,4266,14316,9037,2735,1644,31996,805,32800
SED10033,923,6527,9540,4465,4521,25974,277,26258
SED10034,1263,8721,11290,3584,2303,27163,223,27389
SED10035,11587,25652,9119,1692,662,48707,732,49437
SED10036,1368,7722,10766,4146,2428,26426,370,26789
SED10037,1882,10998,10606,3251,1987,28727,234,28964
SED10038,2062,10058,11672,3680,2182,29659,318,29973
SED10039,1070,9041,11732,4035,2680,28566,332,28896
SED10040,5017,14341,8540,2517,1173,31580,574,32154
SED10041,1924,12175,11237,3111,1410,29865,248,30112
SED10042,1367,10016,11526,4199,2630,29741,378,30129
SED10043,3759,11337,8160,2870,1794,27915,698,28616
SED10044,3586,15283,10818,2713,1392,33794,313,34104
SED10045,1514,10944,10825,3823,2100,29199,564,29756
SED10046,3642,10652,8930,3617,2286,29121,685,29809
SED10047,2784,13453,14059,4355,2658,37310,667,37977
SED10048,2116,12396,13310,4212,2278,34315,495,34808
