SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED60303,0,21,0,8,0,0,35,0,24,6,11,0,0,48,15,225,58,41,7,4,345,44,119,86,104,16,0,368,41,44,22,74,9,3,194,164,30,25,134,13,0,365,436,21,15,249,22,0,745,755,11,3,347,34,0,1156,697,5,4,292,17,0,1015,436,0,0,138,6,0,589,167,0,0,55,5,0,227,61,0,0,28,0,0,86,28,0,0,10,0,0,42,24,0,0,22,0,0,42,48,23,5,51,17,8,159,2924,521,219,1561,151,20,5410
SED60304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,9
SED60310,0,7,0,3,0,0,14,0,8,6,0,0,0,16,5,32,0,26,0,0,58,11,10,25,44,6,0,103,23,6,4,42,0,0,74,66,9,0,74,6,0,159,181,3,0,110,14,0,310,359,0,7,147,22,0,534,279,0,0,114,13,0,402,169,0,0,60,7,0,231,79,0,0,26,6,0,117,38,0,0,19,0,0,63,20,0,0,4,0,0,28,7,0,0,11,3,0,23,19,0,0,24,7,10,58,1265,77,40,712,81,17,2195
SED60404,0,4,3,19,3,0,33,0,8,0,9,5,0,14,5,41,3,38,16,3,97,16,23,7,74,18,3,138,33,11,11,79,9,3,141,62,4,9,128,9,0,217,201,14,3,189,15,3,430,359,4,0,206,18,0,585,166,0,3,63,8,0,241,50,0,0,10,0,0,64,18,0,0,4,0,0,21,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,4,11,8,0,33,8,6,66,926,117,40,852,105,20,2064
SED60410,0,6,0,0,0,0,5,0,10,0,0,0,0,10,4,106,7,11,5,0,134,10,67,49,21,0,0,145,8,19,13,19,0,0,55,18,20,13,34,0,3,91,87,23,10,81,5,0,212,336,7,0,155,6,0,509,260,0,0,91,13,0,364,118,0,0,20,0,0,142,15,0,0,10,0,0,25,8,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,3,0,0,3,19,10,8,11,4,3,48,881,269,97,456,39,11,1764
SED60411,0,26,4,6,0,0,34,0,32,0,0,0,0,34,8,258,15,19,10,4,309,9,96,18,33,0,0,160,11,42,8,52,3,0,125,51,42,8,78,3,0,185,178,34,12,185,16,4,429,522,30,8,290,24,8,871,401,3,0,119,20,0,541,184,0,0,41,4,0,234,43,0,3,15,3,0,64,10,0,0,0,0,0,16,0,0,0,3,0,0,0,5,0,0,0,0,0,10,16,21,0,32,8,15,96,1448,579,81,876,90,26,3098
SED60414,6,4,0,3,0,0,6,0,8,0,3,0,0,13,3,69,15,12,9,4,112,19,111,31,24,10,8,202,3,45,20,29,0,0,105,27,79,27,56,20,4,207,165,80,27,145,16,3,434,428,34,10,184,14,4,670,215,5,0,59,7,3,280,26,0,0,14,0,0,52,8,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,10,8,12,4,8,67,927,447,150,541,76,25,2159
SED60501,0,23,5,8,15,0,53,0,31,4,10,3,0,45,8,158,32,15,9,0,222,12,233,60,47,18,0,376,30,151,52,49,18,3,301,67,213,59,99,15,3,454,344,69,20,136,22,5,595,313,10,7,104,5,0,437,23,6,0,10,0,0,38,7,0,0,0,0,0,7,0,0,0,0,0,0,5,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,15,51,8,28,20,3,127,815,950,245,511,125,24,2670
SED60505,0,0,0,3,0,0,4,0,4,0,3,0,0,9,3,36,4,6,4,0,60,23,23,0,22,6,0,76,18,7,0,34,0,0,67,63,8,0,63,3,0,131,125,8,0,77,3,0,213,131,0,0,45,9,0,190,46,0,0,13,0,0,59,3,0,0,0,5,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,12,3,4,25,411,93,10,281,45,4,834
SED60506,0,5,0,11,23,0,42,0,13,8,20,5,3,45,13,114,12,60,21,0,226,64,54,51,126,40,3,333,92,20,21,151,25,0,310,253,20,12,202,31,3,515,352,16,3,202,24,7,594,154,0,0,76,11,0,242,36,0,0,13,3,0,54,10,0,0,3,0,0,9,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,59,50,4,138,1000,251,105,914,220,23,2516
SED60508,0,0,4,4,0,0,12,0,0,0,0,0,0,4,0,9,10,6,0,0,39,0,3,12,3,0,5,33,4,7,0,14,0,0,21,15,0,0,32,0,0,53,15,0,0,17,0,0,35,7,0,0,4,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,13,44,29,37,97,11,7,222
SED60512,0,3,0,16,17,0,39,0,4,0,13,4,0,20,3,38,12,62,28,4,149,30,31,20,102,19,3,210,32,18,6,115,16,7,188,89,22,4,163,24,5,303,239,12,5,253,23,0,537,381,3,0,193,21,3,603,118,0,0,25,0,0,142,13,0,0,10,0,0,23,3,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3,53,29,9,115,921,140,69,1000,192,32,2348
SED60514,0,0,0,0,0,0,5,0,4,0,0,0,0,6,5,13,3,4,0,0,23,0,4,6,3,0,0,16,4,0,0,10,5,0,13,10,0,0,26,9,0,45,52,3,0,48,8,0,116,160,3,0,82,0,0,250,100,0,0,30,4,0,128,18,0,0,6,0,0,22,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,348,26,5,223,24,0,634
SED69494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,0,249,184,0,87,3,524,0,143,68,0,26,6,241,0,116,84,0,34,0,233,0,84,43,3,6,4,141,0,22,6,0,4,0,37,0,13,10,0,8,0,24,0,0,6,0,6,0,6,0,4,0,0,6,0,9,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42,3,68,5,153,6,671,435,9,243,13,1382
SED70002,6,7,0,0,8,0,16,0,29,0,0,0,0,33,0,52,6,4,13,0,78,0,28,0,11,3,0,40,7,13,4,12,4,0,37,35,14,11,15,7,0,78,123,13,8,34,9,0,178,260,11,0,83,9,4,365,205,0,0,82,20,0,309,86,0,0,39,7,0,137,55,0,0,14,3,0,73,21,0,0,13,0,0,39,14,0,0,9,0,0,17,11,0,0,3,0,0,17,25,25,3,7,36,0,95,839,191,35,312,121,10,1507
SED70003,0,298,90,0,26,7,424,0,171,50,0,85,0,315,0,134,47,3,16,0,202,0,63,30,0,4,0,106,0,11,0,3,3,0,24,0,24,3,0,131,0,154,0,5,0,4,32,0,49,0,5,0,0,7,0,18,0,0,0,4,3,0,6,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,9,55,0,94,0,737,247,21,381,7,1398
SED70004,0,229,117,3,17,6,370,0,95,18,0,3,0,121,0,123,16,3,12,0,154,6,66,8,13,33,0,123,6,6,4,3,8,0,19,7,16,6,13,13,0,53,20,8,3,12,3,0,55,19,4,0,23,13,0,55,6,0,0,6,10,0,18,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,64,19,13,100,0,205,65,618,185,96,209,10,1181
SED70005,0,14,0,0,0,0,14,0,47,0,0,0,0,51,0,77,0,0,0,0,87,9,41,0,0,0,4,61,3,17,0,8,0,0,26,12,8,0,13,56,0,95,103,14,3,28,21,0,173,281,9,0,81,10,0,387,169,0,0,54,7,0,234,117,0,0,18,5,0,140,54,0,0,3,0,0,56,9,0,0,0,0,0,9,4,0,0,0,0,0,4,6,0,0,0,0,0,6,14,46,0,8,17,6,92,785,277,9,220,123,8,1421
SED70006,3,17,6,0,0,0,25,0,37,0,0,3,0,42,4,63,3,4,0,0,84,0,40,5,12,8,0,69,5,21,4,9,3,0,43,29,21,6,22,10,0,87,87,15,3,40,9,0,147,155,11,3,81,5,0,260,148,9,0,85,8,0,244,87,3,0,43,4,0,137,21,0,0,12,0,0,30,11,0,0,6,0,0,13,0,0,0,0,0,0,9,0,0,0,5,0,0,4,7,23,0,15,26,5,81,562,256,29,333,82,6,1277
SED70007,0,6,0,0,0,0,3,0,7,0,0,0,0,7,0,12,0,0,0,0,13,0,9,0,5,4,0,15,0,0,0,3,0,0,15,41,8,0,3,46,0,101,101,9,0,32,9,0,145,292,0,0,87,10,0,393,277,0,0,63,5,0,346,124,0,0,16,0,0,140,43,0,0,0,0,0,49,9,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,22,3,0,11,11,0,56,907,58,4,230,91,0,1294
SED70008,0,0,0,0,0,0,0,0,12,0,3,0,0,16,0,24,0,4,0,0,27,0,23,4,16,11,0,56,0,8,5,9,5,0,30,26,14,3,21,172,0,238,81,6,0,29,48,0,168,134,0,6,77,26,0,252,111,4,0,31,15,0,167,54,0,0,25,8,0,85,43,0,0,9,0,0,53,19,0,0,7,3,0,29,12,0,0,6,0,0,17,5,0,0,4,0,0,8,9,12,0,13,14,0,46,496,112,23,257,297,0,1184
SED70009,0,95,202,4,19,15,328,0,34,51,0,3,0,97,0,33,62,15,20,0,129,0,17,17,13,13,0,56,0,5,8,9,3,0,27,3,7,6,26,7,0,45,8,4,0,26,0,0,47,22,0,0,27,6,0,53,9,0,0,11,3,0,25,4,0,0,4,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,14,42,5,87,52,210,348,158,115,22,908
SED70010,0,34,0,0,0,0,35,0,75,0,0,0,0,79,3,135,0,0,0,3,141,10,74,0,8,0,0,91,8,33,0,15,0,0,54,57,33,4,23,0,0,116,191,19,0,57,3,0,278,233,18,0,81,4,0,332,113,3,0,27,3,0,151,29,0,0,7,0,0,37,0,0,0,0,0,0,5,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,59,3,14,0,5,94,668,471,14,232,17,8,1409
SED70011,0,9,0,0,0,0,16,0,43,5,0,0,0,48,0,58,23,0,0,0,86,12,17,3,11,0,0,48,35,8,28,13,0,0,83,51,13,10,17,8,0,99,184,15,8,57,3,0,263,315,9,0,53,10,0,389,229,0,0,50,3,0,291,108,0,0,25,0,0,134,58,0,0,11,0,0,73,39,0,0,7,0,0,46,26,0,0,5,0,0,23,37,0,0,10,0,0,45,19,11,5,6,4,0,46,1106,184,85,265,39,10,1681
SED70012,0,8,0,0,5,0,11,0,13,0,0,0,0,16,0,24,0,9,3,0,36,12,11,0,18,0,0,37,11,4,0,18,7,0,37,34,11,0,22,91,0,150,129,4,0,54,24,0,209,333,0,0,83,19,0,443,261,0,0,39,4,0,300,151,0,0,28,0,0,180,84,0,0,8,3,0,91,31,0,0,7,0,0,34,29,0,0,4,0,0,28,20,0,0,6,0,0,25,27,33,0,9,15,0,80,1113,101,7,299,175,5,1691
SED70013,0,0,3,4,3,0,10,0,3,0,0,0,0,3,0,0,5,6,3,0,14,0,0,0,9,3,0,7,4,0,0,18,5,0,27,12,0,0,18,10,0,41,21,0,0,39,4,0,63,27,0,0,52,5,0,86,44,0,0,40,3,0,90,36,0,0,14,0,0,55,10,0,0,11,0,0,24,6,0,0,5,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,20,10,0,35,162,10,11,235,46,9,474
SED70014,0,211,115,0,55,0,380,0,183,67,0,63,0,312,0,120,26,0,98,0,243,0,69,13,0,50,0,126,0,21,11,0,59,0,91,0,12,0,0,14,0,31,0,10,4,0,7,0,22,0,4,0,0,4,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,5,0,55,22,3,54,5,144,3,687,263,6,413,8,1374
SED70015,0,15,0,0,0,0,14,0,42,0,0,0,0,40,6,75,0,6,0,0,79,0,37,3,18,3,0,61,8,15,0,12,0,0,31,48,13,3,33,4,3,110,180,18,0,88,14,0,302,205,15,0,84,15,5,320,109,16,0,41,7,0,173,35,0,0,5,3,0,45,16,0,0,6,0,0,21,3,0,0,0,0,0,4,3,0,0,3,0,0,3,0,0,0,3,0,0,7,13,27,0,13,8,5,63,620,278,14,309,60,8,1284
SED70016,0,18,3,0,0,0,24,0,41,0,0,0,0,39,0,118,5,3,0,0,125,7,70,3,5,0,0,87,7,28,3,9,6,0,55,21,37,3,11,4,0,84,82,31,7,33,5,0,161,108,20,0,59,5,0,187,97,19,0,38,5,0,157,30,0,0,7,0,0,34,6,0,0,3,0,0,7,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,60,5,12,6,3,95,360,449,36,195,30,13,1083
SED70017,0,14,7,0,3,0,28,0,20,7,0,0,0,29,4,77,23,4,13,0,123,6,56,15,14,31,3,119,10,21,32,9,13,0,81,23,16,10,24,49,0,116,77,10,4,30,22,0,145,184,6,0,59,16,0,269,125,6,0,39,13,0,183,45,3,0,6,0,0,56,16,0,0,0,0,0,15,12,0,0,5,0,0,16,0,0,0,0,0,0,3,4,0,0,0,0,0,4,16,36,4,20,33,3,112,525,277,101,212,196,6,1305
SED70018,3,164,75,0,167,7,415,0,44,27,0,24,0,99,11,45,9,0,33,0,97,10,92,14,0,36,0,146,0,58,5,0,24,0,91,0,62,3,0,13,0,84,0,10,4,0,12,0,30,10,5,0,3,0,0,26,15,4,0,0,9,0,27,0,0,0,0,8,0,14,0,0,0,3,8,0,9,3,0,0,0,3,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,40,13,7,114,4,200,75,514,149,20,455,15,1232
SED70019,0,148,68,4,5,12,235,0,130,7,0,4,6,148,0,150,23,4,19,0,199,0,50,17,13,20,0,96,0,27,4,7,7,0,47,5,25,0,16,6,0,53,90,12,3,26,4,0,138,105,8,3,33,5,0,150,69,0,0,40,3,0,110,39,0,0,19,5,0,63,24,0,0,5,0,0,24,9,0,0,0,4,0,11,9,0,0,0,0,0,9,5,0,0,3,0,0,12,15,39,3,13,51,0,133,376,590,133,185,134,25,1434
SED70020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,10,0,38,7,0,0,4,0,0,17,17,0,3,17,0,0,39,14,0,3,27,12,0,50,27,0,0,29,6,0,58,59,0,0,41,8,0,111,42,0,0,32,3,0,77,37,0,0,16,0,0,57,16,0,0,7,0,0,28,7,0,0,4,0,0,9,0,0,0,5,0,0,0,0,0,0,0,4,0,7,0,6,5,16,11,0,33,241,5,25,204,64,8,538
SED70021,0,17,4,0,0,0,18,0,28,0,0,0,0,28,8,57,3,7,0,0,75,18,21,9,19,0,6,70,40,8,4,30,4,0,80,115,16,4,39,7,0,183,314,14,7,110,24,0,466,340,6,0,104,6,3,458,172,4,0,53,4,0,238,106,0,0,30,0,0,139,46,0,0,9,0,0,58,23,0,0,3,0,0,29,11,0,0,0,0,0,16,13,0,0,0,0,0,13,19,34,0,16,6,3,82,1226,193,27,428,53,20,1942
SED70022,5,3,0,0,0,0,5,0,26,0,0,0,0,25,13,17,0,5,5,0,41,8,13,0,9,0,0,32,16,4,0,8,8,0,39,180,5,0,24,68,5,284,307,7,0,69,47,0,433,577,10,0,104,56,0,748,572,0,0,73,17,0,666,395,0,0,44,9,4,457,175,0,0,15,6,0,195,80,0,0,13,6,0,100,31,0,0,8,3,0,37,25,0,0,7,0,0,35,36,15,0,23,12,7,90,2420,107,11,390,244,11,3182
SED70023,0,0,0,0,0,0,5,0,12,0,0,0,0,12,0,36,0,3,0,0,42,0,33,0,8,0,0,41,0,13,0,8,0,0,20,8,18,0,16,7,3,48,58,14,0,43,14,0,126,122,10,0,89,9,0,231,112,12,0,50,4,5,179,55,0,0,9,0,0,76,15,0,0,12,0,0,21,5,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,3,7,8,0,10,4,6,31,389,163,7,250,39,10,858
SED70024,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,13,0,5,5,0,16,13,9,0,0,0,0,22,6,5,0,0,3,0,18,34,17,7,8,70,0,134,58,4,0,11,21,0,95,215,0,4,43,8,0,269,289,0,0,55,14,0,361,248,0,0,36,4,0,290,88,0,0,11,0,0,99,24,0,0,3,0,0,26,7,0,0,0,0,0,7,5,0,0,0,0,0,6,22,3,0,5,19,6,52,1006,53,9,188,139,6,1406
SED70025,0,13,0,0,0,0,9,0,17,0,0,0,0,17,0,37,0,3,0,0,42,7,20,0,7,0,0,36,0,6,0,8,3,0,29,4,10,0,9,161,0,185,62,9,0,29,65,0,165,115,0,0,44,12,0,175,115,5,0,45,11,0,175,130,0,0,26,8,0,166,73,0,0,9,0,0,81,20,0,0,4,0,0,27,4,0,0,3,0,0,5,0,0,0,0,0,0,0,9,4,4,12,7,0,46,532,131,3,207,271,5,1146
SED79494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED80001,0,64,0,3,4,0,79,0,82,0,3,0,0,88,3,615,21,22,8,0,665,10,245,29,37,8,0,326,7,148,13,43,3,0,212,19,155,16,45,22,0,257,41,127,19,101,38,0,323,702,167,11,450,45,3,1374,1120,55,0,433,37,0,1652,536,6,0,171,9,4,721,155,0,0,38,4,0,202,55,0,0,8,0,0,72,20,0,0,6,0,0,27,15,0,0,0,0,0,13,51,93,14,70,21,11,256,2739,1762,118,1431,195,20,6268
SED80002,0,93,0,13,0,0,110,0,110,0,4,0,0,113,5,695,21,42,9,0,772,28,320,27,87,13,3,477,26,135,19,77,12,0,267,61,137,26,111,49,3,386,209,129,38,235,37,0,657,1888,194,29,675,128,4,2919,2063,45,6,630,94,3,2831,993,8,4,274,43,0,1315,296,0,0,102,13,0,413,85,3,0,36,10,0,135,26,0,0,8,5,0,31,34,3,0,16,5,0,62,75,131,17,97,28,27,382,5795,1997,189,2403,435,52,10879
SED80003,4,123,8,15,11,0,157,0,109,23,8,0,3,148,9,881,37,39,13,10,985,23,205,59,60,29,5,371,22,125,28,76,15,5,266,79,125,26,133,140,0,496,349,136,38,241,123,3,892,1633,83,31,626,117,9,2498,2997,55,15,689,80,0,3834,1994,16,11,479,40,4,2542,1033,3,3,241,18,0,1300,435,0,0,146,6,0,588,230,0,0,47,4,0,282,318,0,0,87,5,0,410,91,91,16,97,41,28,363,9222,1951,285,2973,630,66,15130
SED80004,3,73,0,4,3,0,88,0,102,15,5,3,4,125,9,657,21,37,4,0,728,18,246,28,45,8,4,351,15,112,7,48,8,0,184,74,129,3,87,44,0,344,355,111,12,174,40,3,686,1128,113,21,391,94,0,1750,1335,61,8,410,53,0,1868,972,9,5,251,36,0,1271,406,3,4,102,11,0,530,213,4,4,48,3,0,272,93,3,0,19,0,0,117,149,0,0,28,0,0,179,68,103,11,76,31,19,305,4843,1726,139,1725,338,38,8799
SED80005,0,67,0,7,0,0,70,0,62,0,3,0,0,68,10,364,14,26,8,0,424,22,177,24,68,14,0,305,12,77,7,52,14,0,155,56,95,32,74,256,3,519,142,97,74,146,310,5,778,1332,91,101,443,252,0,2212,2080,26,14,509,90,5,2729,1403,8,3,334,81,0,1833,643,0,3,136,39,3,820,159,4,0,57,15,0,235,47,0,0,23,6,0,73,48,0,0,23,0,0,74,91,59,8,90,42,22,317,6035,1124,281,1984,1135,43,10607
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,0,16,24,5,35,0,84,0,19,6,7,7,0,29,0,28,3,23,9,0,61,15,29,0,25,13,0,78,8,0,0,36,0,0,55,18,14,3,33,7,0,79,35,8,0,30,4,0,79,21,0,0,20,4,0,50,6,0,3,7,4,0,18,4,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,5,21,0,43,111,139,42,198,104,0,600
SED99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
