SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED30093,3417,211,33,0,0,3658,6469,291,26,0,3,6793,4980,2048,345,4,10,7376,1120,323,92,0,0,1534,55,78,4,0,0,138,872,174,29,0,0,1074,124,179,17,0,5,324,35,37,4,0,0,78,7189,2829,485,4,13,10518,117,31,3,0,0,155,314,93,27,0,12,433,17501,3459,575,4,28,21568
SED39494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED39797,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SED40001,2588,1333,1047,16,8,4991,2052,964,986,14,10,4027,631,1656,3716,24,60,6090,52,310,345,0,3,720,23,182,287,0,0,496,305,573,756,24,17,1673,35,45,147,0,6,232,6,12,23,0,3,41,1048,2776,5276,53,92,9244,77,172,178,8,0,433,35,58,75,0,24,190,5805,5298,7563,84,135,18881
SED40002,3401,635,424,0,0,4457,3737,986,516,0,10,5241,1277,876,1335,3,6,3500,271,271,309,0,3,852,68,97,101,0,4,271,727,393,500,3,4,1636,66,36,77,0,0,186,19,21,10,0,0,46,2426,1703,2334,8,24,6494,114,205,187,0,0,500,87,46,41,0,0,176,9766,3570,3503,10,30,16877
SED40003,4580,297,45,8,3,4933,5792,261,42,5,3,6096,1023,218,103,5,0,1339,49,40,0,0,0,86,18,12,0,0,0,33,432,107,29,0,0,568,24,3,5,3,0,29,5,0,0,0,0,7,1538,382,140,9,4,2073,92,14,0,0,0,111,75,13,5,0,5,93,12080,958,230,19,13,13308
SED40004,4891,1066,305,0,6,6265,3625,736,205,0,8,4581,646,875,390,0,4,1918,0,29,60,0,0,90,0,52,29,0,0,83,300,288,150,0,3,742,21,15,16,0,0,50,4,7,8,0,0,19,972,1268,643,3,10,2902,148,239,171,0,3,558,53,28,17,0,0,102,9692,3347,1339,5,33,14404
SED40005,5457,240,4,123,27,5848,4224,126,5,15,8,4373,922,277,90,3,0,1291,362,162,31,0,5,557,52,73,16,0,0,137,1017,126,35,20,7,1204,263,51,11,16,5,343,23,15,3,0,0,41,2629,705,191,40,18,3586,367,188,4,13,8,571,268,60,10,10,7,348,12949,1314,212,200,61,14731
SED40006,3370,552,140,8,6,4075,4328,1119,222,7,20,5701,1106,870,505,4,8,2495,390,463,108,0,0,962,128,257,51,0,0,431,722,337,169,7,9,1243,87,49,46,3,0,178,25,21,10,0,0,54,2453,2002,880,15,23,5367,144,76,29,0,0,255,110,61,19,0,0,189,10404,3805,1291,27,47,15584
SED40007,4993,665,306,10,7,5987,3587,733,275,0,4,4589,859,424,726,3,3,2025,104,93,218,0,8,428,37,43,65,0,0,143,432,167,317,0,4,929,25,4,37,3,0,74,7,5,12,0,0,26,1470,747,1380,7,12,3616,116,45,175,0,4,341,82,24,25,0,0,134,10245,2206,2165,13,34,14676
SED40008,2880,548,132,24,0,3587,3562,1044,307,9,12,4929,1253,933,710,11,6,2911,686,1186,135,0,6,2014,201,215,103,0,0,517,795,419,182,6,5,1408,149,79,89,5,3,311,27,28,10,0,0,59,3108,2861,1225,17,21,7230,131,125,25,0,0,284,147,86,26,0,3,269,9831,4662,1712,54,37,16300
SED40009,4487,140,6,11,0,4648,6184,136,3,0,8,6333,873,124,49,0,5,1052,135,22,3,0,4,159,18,5,0,0,0,24,508,56,18,6,3,595,25,11,5,42,5,83,9,0,0,0,0,13,1562,228,79,45,13,1925,89,232,0,0,4,322,83,29,0,5,0,120,12406,768,90,62,24,13349
SED40010,3780,1208,373,15,10,5385,2895,981,423,4,9,4309,929,1330,1245,13,12,3528,26,309,149,0,4,490,10,92,94,0,0,188,519,500,446,9,5,1473,53,32,55,16,6,159,3,10,12,0,0,31,1535,2267,2004,35,21,5868,152,309,145,3,3,614,63,43,33,0,3,142,8422,4811,2972,53,42,16304
SED40011,3859,589,258,9,0,4713,4265,848,352,5,10,5478,1038,627,687,4,8,2366,218,414,61,0,0,688,108,259,66,0,6,444,644,237,287,3,6,1184,64,26,22,0,4,118,10,11,4,0,0,30,2084,1582,1124,9,26,4822,139,256,68,0,4,463,91,77,23,0,0,196,10439,3345,1822,19,41,15671
SED40012,2735,218,3,0,0,2960,5369,304,6,0,5,5687,1913,685,32,0,3,2635,381,809,36,0,3,1231,102,228,9,0,3,340,850,171,10,0,0,1033,214,33,3,0,0,247,21,27,0,0,0,46,3476,1960,85,0,13,5525,71,46,0,0,0,117,175,73,0,0,9,256,11823,2603,104,0,18,14547
SED40013,3163,437,77,5,4,3686,4835,1042,178,0,14,6075,1735,774,426,4,16,2952,400,176,32,0,0,608,338,199,43,0,0,585,775,245,118,4,4,1144,218,45,23,0,0,281,22,13,0,0,0,35,3477,1449,639,11,17,5599,130,307,18,0,0,454,140,64,14,0,7,224,11752,3300,927,10,47,16033
SED40014,6754,283,41,83,28,7182,3742,93,16,4,14,3867,1239,182,111,0,4,1530,62,31,7,0,0,104,84,48,19,0,0,158,813,79,28,7,0,930,101,24,3,21,3,154,15,8,0,0,0,26,2316,374,168,29,10,2898,382,242,16,5,7,646,175,29,6,5,6,217,13364,1020,245,126,58,14810
SED40015,5031,179,76,76,14,5375,3724,122,18,16,5,3890,804,211,136,3,4,1156,514,152,64,4,0,732,125,48,16,5,3,198,1046,99,69,12,12,1242,224,21,21,24,5,296,30,11,5,0,0,51,2753,540,310,48,20,3672,435,23,21,9,9,494,209,36,18,29,5,298,12156,901,444,169,59,13729
SED40016,3932,266,61,0,0,4263,4948,423,130,0,8,5509,1392,453,389,4,13,2251,372,215,97,0,0,684,110,52,16,0,3,186,832,138,77,0,12,1059,147,40,10,0,8,198,13,6,0,0,0,22,2869,913,591,4,25,4405,129,96,5,0,0,224,180,32,14,0,0,232,12058,1731,798,3,39,14633
SED40017,5355,84,5,27,14,5488,5887,41,4,13,10,5955,753,88,4,5,0,849,111,71,3,0,0,182,43,49,5,0,0,97,942,51,0,25,4,1015,152,6,4,6,6,174,18,0,0,0,0,24,2016,271,17,36,8,2346,330,41,0,0,0,378,198,9,0,9,3,221,13791,453,26,83,40,14387
SED40018,3973,1264,72,0,4,5309,3694,1217,79,5,13,5005,1088,1051,197,4,5,2339,282,490,45,0,0,812,114,236,52,5,0,405,552,433,56,0,0,1046,39,29,11,0,4,82,11,17,7,0,0,29,2080,2254,364,7,11,4716,173,352,125,10,3,670,97,90,16,0,4,206,10015,5182,648,27,33,15912
SED40019,3039,590,38,46,40,3753,2964,778,34,15,6,3802,1233,633,171,4,12,2049,683,1222,240,0,0,2149,74,37,5,0,0,116,442,272,16,9,9,747,611,60,37,13,7,733,22,20,5,0,0,41,3065,2255,473,23,36,5845,296,47,15,12,14,374,185,110,20,9,5,336,9544,3781,579,108,92,14111
SED40020,4914,137,0,105,17,5181,4848,55,3,8,16,4933,1605,294,32,8,4,1945,308,259,0,0,0,572,92,77,0,0,0,166,799,65,3,4,8,882,109,22,3,14,0,151,22,8,0,0,0,26,2929,726,44,21,18,3744,282,63,0,4,0,353,209,36,0,4,6,253,13184,1010,50,147,62,14455
SED40021,4529,517,263,0,6,5324,3931,650,246,0,6,4835,1519,509,638,0,4,2678,210,150,215,0,0,576,54,115,83,0,4,255,637,204,242,4,7,1087,93,22,61,0,0,171,15,7,14,0,0,43,2529,1009,1253,4,15,4809,183,157,304,0,11,658,139,36,37,0,0,208,11304,2372,2106,3,39,15827
SED40022,5120,35,21,32,12,5217,5707,16,6,3,3,5737,467,14,3,3,5,492,4,10,0,0,0,15,9,16,14,0,0,43,507,18,0,0,0,527,38,5,0,13,3,59,11,0,3,0,0,17,1036,67,24,18,6,1155,206,50,29,0,0,291,103,7,4,0,0,118,12176,177,77,55,25,12514
SED40023,3728,231,11,75,0,4049,5898,145,7,3,6,6052,978,99,4,0,0,1074,362,181,78,0,0,624,97,50,6,0,0,148,642,48,0,0,0,701,43,30,0,51,0,120,17,5,4,0,0,25,2139,413,93,49,0,2703,178,339,33,5,0,559,111,43,11,8,0,176,12062,1169,154,136,8,13538
SED40024,3632,155,148,33,3,3969,5944,211,180,0,12,6349,2056,354,238,0,3,2655,469,222,121,0,0,815,162,73,38,0,3,279,819,88,79,0,3,992,34,29,15,0,0,83,14,15,3,0,0,33,3560,781,494,6,14,4849,141,128,83,4,0,362,140,38,14,3,0,198,13414,1309,919,50,29,15726
SED40025,3859,146,12,19,9,4047,6321,97,13,0,0,6441,1684,195,37,0,0,1913,252,70,0,0,0,324,75,55,0,0,0,129,614,47,18,0,8,683,89,19,0,8,0,117,10,6,0,0,0,13,2723,389,53,8,13,3180,240,133,0,0,7,377,140,18,0,0,0,168,13283,788,84,30,22,14209
SED40026,4100,198,4,6,0,4299,6100,155,4,0,0,6263,881,113,41,0,0,1033,522,155,12,0,0,696,41,24,0,0,0,63,453,49,0,0,0,502,62,7,0,0,0,65,15,0,3,0,0,18,1968,355,56,0,0,2378,99,264,0,0,0,366,116,19,0,0,0,133,12379,996,63,0,4,13438
SED40027,3910,946,219,9,6,5090,3347,913,142,3,5,4411,848,636,244,4,3,1732,195,722,88,0,6,1015,69,83,17,0,0,169,513,261,95,5,4,877,42,31,15,0,0,90,7,12,7,0,0,26,1681,1741,464,10,7,3901,109,220,37,0,0,370,101,73,9,9,4,207,9149,3901,874,32,27,13982
SED40028,3160,478,4,24,12,3678,5535,269,9,0,19,5838,1655,460,33,0,4,2154,332,321,11,0,0,666,51,53,11,0,0,115,596,118,16,0,0,734,203,29,13,13,8,260,11,9,9,0,0,27,2841,988,95,18,10,3946,122,149,9,0,12,293,118,54,7,4,3,191,11769,1942,129,48,59,13949
SED40029,6234,89,27,35,18,6399,4428,50,6,17,8,4509,971,158,92,4,8,1232,218,68,5,0,0,291,109,64,0,0,0,173,996,46,15,4,8,1065,395,22,0,12,4,442,34,11,4,0,0,46,2728,366,120,22,17,3249,635,39,3,6,3,690,289,16,7,5,0,317,14318,555,159,86,50,15161
SED40030,5106,192,39,103,23,5453,5355,121,15,7,10,5511,1399,149,66,4,3,1624,64,21,10,0,0,100,52,18,0,0,0,73,854,58,28,4,6,958,89,11,5,25,6,129,13,4,0,3,0,17,2466,261,111,36,17,2892,270,144,8,3,0,432,182,13,3,11,5,207,13380,736,177,164,52,14502
SED40031,4989,542,107,0,3,5641,4563,686,116,0,8,5376,987,323,197,0,4,1510,44,83,11,0,0,142,8,47,13,0,0,70,480,137,69,0,0,693,50,16,6,0,0,76,0,7,4,0,0,10,1573,606,306,0,3,2494,102,64,45,0,0,219,110,22,10,0,3,140,11336,1921,589,0,20,13863
SED40032,3044,1207,625,6,8,4886,2959,1167,381,0,6,4513,719,1083,987,28,8,2820,191,326,149,0,0,670,91,116,90,0,0,300,419,509,270,9,8,1210,23,23,44,0,5,92,5,8,10,0,0,27,1446,2061,1555,38,22,5111,85,208,156,0,4,458,62,66,36,0,0,164,7594,4708,2753,44,36,15136
SED40033,4102,237,130,33,12,4514,4569,148,72,23,3,4819,1111,454,423,0,0,1989,271,358,150,0,0,779,45,34,16,0,0,99,558,64,76,5,4,700,101,34,20,0,4,158,11,4,14,0,0,28,2090,946,699,5,8,3754,267,133,21,3,4,424,138,34,20,0,12,205,11166,1506,936,68,47,13722
SED40034,6387,174,5,128,17,6717,3265,63,0,8,9,3346,993,87,23,9,4,1113,203,110,14,0,0,324,76,27,0,0,0,106,953,54,10,7,4,1027,175,16,3,21,0,215,22,5,3,0,0,25,2423,298,51,34,6,2811,388,78,0,9,0,472,252,21,3,9,3,292,12708,635,62,196,39,13636
SED40035,4502,289,188,10,8,4989,5299,263,178,5,8,5745,1079,243,175,0,4,1495,59,42,40,0,0,146,19,40,11,0,0,74,637,80,77,0,3,801,67,23,10,0,5,101,15,4,4,0,0,20,1873,432,323,0,9,2632,124,428,122,0,0,675,95,51,23,0,0,166,11891,1457,835,11,23,14219
SED40036,3176,177,32,3,3,3382,5724,283,96,0,9,6105,1463,260,173,0,4,1905,495,241,116,0,3,848,105,29,40,0,0,174,789,75,52,0,4,918,183,22,19,0,3,224,16,8,7,0,0,34,3046,621,409,0,15,4097,87,120,3,0,0,214,145,28,15,0,4,187,12176,1221,561,6,28,13995
SED40037,3766,645,182,26,10,4634,4566,745,246,14,11,5583,982,625,504,6,9,2129,373,467,188,0,0,1023,75,75,27,0,0,176,577,240,171,9,6,997,73,45,12,3,0,134,14,3,9,0,0,26,2088,1458,912,23,16,4492,103,76,40,9,0,229,104,56,28,0,0,191,10630,2976,1418,69,36,15120
SED40038,3257,346,37,0,4,3639,5087,512,45,0,10,5651,1529,631,333,0,6,2498,459,648,69,0,0,1177,141,141,22,0,0,309,897,247,69,0,8,1218,181,63,44,0,0,279,27,23,15,0,0,68,3228,1759,557,0,10,5549,140,89,17,0,0,243,178,75,13,0,0,275,11888,2783,668,0,24,15360
SED40039,3844,337,3,0,0,4183,5526,406,13,0,5,5954,1433,449,13,0,4,1895,457,380,0,0,0,839,115,34,0,0,0,152,906,188,3,0,0,1098,48,17,0,0,0,72,19,16,0,0,0,29,2965,1090,18,0,4,4078,112,127,3,0,0,242,133,56,0,0,0,192,12581,2027,34,0,11,14649
SED40040,5359,94,7,40,7,5511,5769,70,9,3,12,5863,861,142,23,3,5,1030,55,37,13,0,0,99,57,41,12,0,0,114,614,47,13,0,8,678,78,5,4,16,0,100,8,9,0,0,0,18,1672,277,69,23,8,2041,344,70,12,0,6,426,139,7,4,14,0,164,13277,513,100,80,33,13997
SED40041,5023,181,17,54,35,5310,3879,104,10,12,6,4009,1171,376,107,0,3,1653,400,419,178,0,13,1007,74,40,37,0,0,146,788,71,28,3,4,890,180,27,5,21,6,239,18,12,3,0,0,27,2627,934,352,31,27,3974,285,40,9,12,13,351,222,47,9,4,3,291,12036,1306,397,107,84,13933
SED40042,2560,202,5,140,13,2919,5506,326,7,13,14,5868,2471,663,43,0,5,3183,325,350,59,0,4,733,56,65,10,0,0,136,794,132,12,3,0,945,176,23,0,56,9,269,34,9,0,0,0,47,3860,1244,129,66,16,5311,182,29,0,3,0,209,207,57,9,8,0,286,12312,1865,145,231,42,14595
SED40043,4042,380,96,32,11,4556,5185,654,120,3,6,5970,1826,500,393,3,9,2727,495,183,184,0,0,862,293,124,97,0,4,519,766,197,149,0,13,1125,126,26,34,5,5,200,24,8,7,0,0,43,3525,1038,868,8,28,5473,162,72,12,0,0,238,156,28,23,0,0,212,13071,2167,1120,45,46,16448
SED40044,4250,868,506,5,6,5633,3307,645,429,0,4,4385,780,598,1245,7,5,2630,14,140,111,0,0,267,4,56,93,0,5,156,381,247,436,4,5,1068,22,14,24,0,3,61,5,3,13,0,0,22,1207,1045,1927,9,20,4198,112,175,239,0,0,530,51,23,41,0,5,119,8924,2759,3138,13,27,14859
SED40045,4956,348,156,17,8,5488,5782,201,146,3,4,6139,556,104,218,0,0,880,8,13,7,0,0,28,11,31,25,0,0,65,395,68,92,7,6,564,18,5,0,7,0,33,0,5,0,0,0,5,984,222,351,9,8,1578,79,198,36,0,5,319,73,13,12,0,0,100,11878,981,698,32,21,13622
SED40046,3798,442,194,5,10,4440,3552,710,255,0,17,4537,1277,679,762,8,27,2742,228,266,197,0,5,691,70,128,86,0,9,288,840,349,351,6,5,1556,87,40,85,0,4,211,14,9,8,0,4,39,2503,1460,1495,11,56,5526,150,81,28,0,0,262,113,38,20,0,0,172,10115,2728,1993,16,82,14940
SED40047,4611,220,22,0,0,4847,5857,293,16,0,3,6172,944,252,30,0,0,1233,229,150,15,0,0,392,31,6,0,0,0,38,548,111,7,0,0,671,43,12,3,0,0,56,16,4,0,0,0,13,1804,529,64,0,3,2401,97,30,14,0,0,141,101,9,3,0,0,118,12467,1077,118,0,3,13671
SED49494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50106,5212,177,12,138,7,5545,4667,89,12,6,9,4780,1331,238,15,3,0,1582,422,168,7,0,3,596,94,155,10,0,0,263,988,84,9,5,0,1089,144,36,6,51,4,235,11,16,0,0,0,28,2999,690,42,58,10,3798,267,94,4,7,0,383,181,43,0,9,0,230,13322,1090,67,219,34,14733
SED50202,3524,401,17,152,9,4097,8069,480,24,7,0,8579,2052,855,54,3,8,2968,270,293,32,0,0,597,24,95,25,0,0,147,1084,229,14,4,0,1332,112,53,3,50,0,218,19,17,0,0,0,36,3566,1538,134,56,11,5297,151,117,25,8,4,296,227,67,11,9,4,317,15529,2606,204,225,18,18585
SED50304,3778,1396,95,0,0,5268,3630,2468,259,0,0,6357,1296,2238,712,0,0,4257,141,557,20,0,5,722,19,101,15,0,0,136,626,920,176,0,0,1720,72,113,27,0,0,222,17,27,4,0,0,48,2172,3956,955,0,7,7098,101,142,3,0,0,258,100,119,12,0,7,233,9788,8084,1331,0,14,19217
SED50405,2885,101,4,55,0,3044,10870,155,14,4,9,11051,2810,179,83,0,0,3073,141,36,45,0,0,224,13,9,16,0,0,33,887,40,6,3,0,932,240,10,5,19,0,276,18,0,0,0,0,14,4106,267,152,23,9,4556,110,100,0,0,0,212,221,18,4,0,0,242,18201,636,173,89,15,19110
SED50502,4296,350,86,0,3,4732,6249,540,107,0,6,6898,1456,342,96,0,3,1893,311,280,67,0,0,658,61,57,0,0,0,122,897,168,27,0,4,1098,87,17,0,0,0,99,18,10,0,0,0,26,2827,870,194,8,6,3902,124,63,11,0,0,200,170,49,3,0,4,219,13662,1874,398,5,17,15952
SED50605,5915,907,262,0,6,7092,4309,679,199,0,0,5189,1355,654,367,4,0,2380,52,96,10,0,0,157,11,18,0,0,0,26,578,220,89,0,5,890,33,11,12,0,0,58,4,9,3,0,0,16,2034,1003,485,4,7,3529,148,73,5,0,0,232,100,27,12,0,3,142,12514,2700,953,3,15,16187
SED50702,3554,476,377,9,7,4424,4791,867,683,0,11,6342,2348,1208,1520,0,6,5082,504,461,64,0,0,1028,73,67,7,0,0,148,974,336,294,0,5,1604,127,48,20,6,4,196,31,11,5,0,0,50,4053,2128,1921,5,13,8125,158,36,30,0,0,225,153,60,60,6,7,292,12713,3573,3058,21,37,19404
SED50805,4343,1270,188,4,18,5821,4250,1170,276,0,5,5705,855,838,355,4,5,2057,53,238,27,0,0,326,11,24,4,0,0,36,422,360,114,4,5,904,17,16,0,0,0,38,7,6,4,0,0,15,1367,1481,507,11,8,3369,124,78,45,0,0,246,76,48,8,0,4,136,10163,4050,1027,15,31,15279
SED50906,4245,504,67,76,3,4901,5729,341,51,5,8,6136,1960,672,246,3,4,2886,291,445,30,0,0,765,45,150,71,0,0,269,1081,263,47,0,0,1395,92,50,9,13,0,165,20,15,3,0,0,36,3482,1598,401,18,10,5516,121,132,19,5,4,279,154,96,16,11,8,284,13740,2667,553,116,33,17111
SED51004,3226,291,33,0,0,3543,8117,241,77,0,9,8446,1693,275,144,0,0,2106,150,92,0,0,0,236,18,26,0,0,0,47,877,99,28,3,0,1003,54,7,0,0,0,63,10,0,0,0,0,5,2793,500,176,3,0,3471,90,35,5,0,0,121,121,13,4,0,0,140,14347,1075,287,9,3,15728
SED51104,2667,103,6,0,0,2774,10659,143,10,0,9,10822,3310,89,38,0,0,3439,191,76,0,0,0,265,53,51,0,0,0,101,1113,26,10,0,0,1145,84,12,0,0,0,100,21,8,0,0,0,29,4773,258,48,0,3,5077,254,360,3,0,0,617,202,35,0,0,3,247,18553,902,67,4,15,19534
SED51205,4457,479,98,8,6,5044,5810,866,173,7,9,6854,2483,1179,468,13,14,4159,221,266,18,0,0,502,56,50,5,0,0,111,1174,343,82,0,5,1598,199,68,26,8,3,298,23,9,0,0,0,37,4155,1917,594,18,22,6703,166,125,9,3,0,302,203,59,10,4,4,283,14784,3444,881,34,41,19183
SED51304,5825,626,112,0,0,6552,5544,478,49,0,0,6067,820,245,80,0,4,1152,19,37,10,0,0,66,3,26,8,0,0,36,394,172,53,0,0,617,19,9,8,0,0,31,3,9,0,0,0,9,1255,501,163,0,5,1915,87,77,58,0,0,225,79,26,40,0,6,143,12791,1697,418,0,5,14907
SED51401,5875,41,6,60,42,6030,3784,15,4,12,18,3829,626,60,14,6,4,704,407,166,0,0,4,581,114,54,11,6,0,193,1005,25,4,6,5,1043,395,31,0,5,9,439,22,5,0,0,0,27,2571,334,37,29,17,2985,633,5,0,12,9,668,255,17,4,8,4,294,13125,420,53,117,88,13803
SED51504,4700,763,439,0,0,5902,4286,888,503,0,3,5687,927,618,1230,0,0,2778,53,200,60,0,0,314,4,14,27,0,0,46,399,212,396,0,0,1009,22,16,78,3,0,114,4,3,7,0,0,14,1414,1069,1792,0,4,4281,107,121,63,0,0,288,64,33,26,0,0,123,10565,2880,2823,5,8,16280
SED51605,3565,170,74,159,0,3973,8051,250,262,5,7,8565,1764,287,716,0,0,2774,174,113,64,0,0,358,13,16,11,0,0,44,627,82,97,0,0,805,65,11,5,29,0,111,8,0,0,0,0,10,2657,509,904,36,4,4105,96,70,14,3,0,182,122,13,11,3,0,161,14493,1012,1270,200,12,16987
SED51706,5360,166,46,89,8,5663,6864,83,6,15,11,6977,1199,124,42,4,0,1376,156,104,37,0,0,294,31,25,3,0,0,60,923,61,15,7,0,1008,98,5,3,45,0,153,13,0,4,0,0,16,2423,324,108,56,8,2917,270,114,5,4,3,395,228,15,8,17,4,265,15139,704,172,178,33,16223
SED51804,4886,993,840,0,0,6732,3549,643,533,0,0,4722,816,501,1514,0,3,2834,56,278,118,0,0,449,12,27,17,0,0,53,384,208,408,0,0,1002,151,17,27,0,0,194,7,5,3,0,0,14,1423,1035,2082,4,3,4543,94,130,248,0,3,476,70,38,45,0,0,155,10019,2846,3743,7,12,16627
SED51902,4080,25,23,86,12,4222,9342,45,12,5,11,9408,856,32,0,0,0,886,10,6,0,0,0,13,3,24,0,0,0,29,624,12,8,4,0,647,58,5,6,9,0,70,9,0,0,0,0,11,1554,84,6,12,5,1663,153,9,6,9,4,177,163,3,4,3,0,177,15285,163,47,116,26,15639
SED52006,6054,401,82,68,0,6609,5888,186,39,8,0,6119,1728,258,66,7,0,2048,22,36,0,0,0,60,16,75,0,0,0,88,825,95,19,5,0,944,62,42,4,9,0,114,13,8,0,0,0,23,2662,518,84,19,0,3282,150,210,6,3,0,365,163,42,5,26,0,238,14918,1353,215,126,0,16613
SED52102,4045,116,10,154,0,4313,7079,149,7,13,0,7255,1609,139,9,7,0,1769,191,64,0,0,0,249,16,19,0,0,0,36,923,44,0,12,0,979,101,11,8,68,0,186,16,0,0,0,0,18,2860,269,20,83,9,3238,166,110,4,6,0,290,186,23,0,12,0,215,14327,667,45,265,13,15311
SED52205,4163,814,454,94,17,5544,4588,944,515,7,6,6062,1284,839,904,3,6,3037,330,477,222,0,0,1038,49,120,36,0,0,203,847,391,260,6,3,1509,88,39,39,42,0,205,7,17,8,0,0,32,2605,1877,1466,53,12,6016,129,119,29,3,0,281,126,77,29,0,9,251,11610,3842,2498,160,42,18157
SED52301,4016,302,21,104,25,4468,4758,186,20,9,5,4978,1463,452,103,4,9,2029,294,184,41,0,0,525,60,44,0,0,0,107,1075,159,21,0,0,1258,172,48,0,21,7,250,17,7,0,0,0,25,3080,898,169,24,16,4193,176,85,5,3,4,276,172,46,14,5,5,246,12206,1516,227,152,65,14158
SED52404,5069,422,50,0,0,5547,6615,410,42,0,0,7069,1307,211,16,0,0,1532,43,35,0,0,0,75,10,9,0,0,0,13,735,129,20,0,0,881,44,4,0,0,0,40,12,4,0,0,0,15,2145,386,30,0,5,2562,88,21,5,0,0,113,95,16,0,6,0,125,14009,1251,130,6,6,15406
SED52505,4074,245,15,0,0,4333,10262,280,16,5,11,10568,1892,127,18,0,0,2038,18,0,0,0,0,19,8,0,0,0,0,6,649,49,8,0,0,699,62,8,0,0,0,65,9,0,0,0,0,9,2635,179,30,0,0,2838,124,8,0,0,0,134,126,4,5,0,0,133,17221,718,54,4,8,18011
SED52604,4414,321,121,4,0,4857,6088,308,159,0,0,6554,1233,360,457,6,7,2060,69,89,16,0,0,168,14,12,0,0,0,31,570,130,101,5,0,813,36,6,13,5,0,59,8,6,3,0,0,15,1935,604,591,14,6,3146,83,17,16,0,0,112,103,31,17,0,4,158,12615,1277,895,20,8,14822
