SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED30049,4986,355,262,12,0,5618,6314,617,427,0,3,7361,2313,742,1095,3,4,4163,396,89,246,0,0,730,43,30,62,0,0,135,622,140,178,0,10,947,58,102,90,17,6,268,16,9,5,0,0,30,3448,1110,1686,19,18,6280,185,89,63,0,0,334,136,34,43,5,0,217,15056,2207,2486,35,24,19808
SED30050,3713,1002,1888,101,53,6757,3568,933,1110,8,11,5626,1578,1263,2282,9,16,5148,52,193,380,0,0,630,8,33,37,0,0,77,516,362,658,8,11,1553,40,69,130,18,0,255,10,8,22,0,0,41,2202,1921,3514,31,31,7704,169,182,125,11,0,493,121,60,112,9,0,294,9771,4101,6750,159,103,20879
SED30051,8840,107,57,200,30,9235,6047,27,29,21,12,6136,1882,221,186,0,10,2297,176,176,64,0,0,412,31,45,30,0,0,103,1131,59,56,3,7,1257,115,14,11,49,3,195,26,11,9,3,0,45,3356,524,361,56,14,4313,257,40,19,11,4,331,309,34,25,21,0,387,18805,735,486,307,69,20401
SED30052,996,172,3224,4,10,4406,999,209,4299,7,13,5522,772,425,15297,15,84,16596,13,71,597,0,3,674,3,10,500,0,8,514,263,98,2469,0,38,2866,22,30,697,0,16,762,5,5,76,0,0,84,1074,638,19629,19,145,21503,38,3,318,0,3,371,44,18,340,0,16,416,3151,1038,27809,26,195,32221
SED30053,3679,1281,978,48,5,5997,3999,1636,1097,0,5,6741,1415,1563,2140,3,13,5128,11,31,123,0,0,160,4,10,32,0,0,49,371,474,554,0,4,1402,39,203,262,43,0,543,9,9,15,0,0,32,1845,2285,3121,47,22,7317,88,77,65,0,0,232,114,83,81,7,10,293,9724,5356,5341,104,43,20567
SED30054,4383,301,533,0,3,5227,5453,689,772,3,5,6917,1700,880,1866,7,3,4464,70,148,399,0,0,619,7,28,87,0,0,128,599,151,344,0,5,1094,27,51,28,0,0,105,10,0,9,0,0,18,2402,1266,2742,7,13,6424,184,50,158,0,0,399,81,23,39,0,5,140,12511,2323,4240,17,20,19107
SED30055,5804,139,0,86,39,6068,6692,117,5,25,7,6844,1193,238,38,4,4,1484,61,19,4,0,0,82,19,21,0,0,0,41,1006,59,6,6,9,1092,171,19,3,33,18,245,17,3,0,0,0,26,2478,364,54,47,30,2965,393,22,0,10,8,434,284,18,3,38,4,356,15651,651,68,209,91,16668
SED30056,5885,264,62,0,3,6217,7887,158,36,7,3,8089,1445,137,32,0,4,1618,6,0,0,0,0,4,11,4,6,0,0,17,437,28,15,0,0,481,32,6,0,3,0,43,8,3,0,0,0,16,1941,183,51,3,3,2183,138,58,23,0,0,216,106,16,0,0,0,127,15959,670,176,14,12,16830
SED30057,4243,301,25,15,0,4583,6555,211,22,0,0,6795,4256,1927,168,0,9,6368,397,294,61,0,0,753,46,106,19,0,0,176,750,203,8,0,0,972,65,188,0,37,4,300,14,28,0,0,0,50,5542,2756,263,37,16,8617,116,142,19,0,4,282,208,95,15,4,3,323,16669,3508,342,58,25,20604
SED30058,5437,302,164,0,4,5912,6926,462,177,0,6,7563,2215,523,414,0,5,3151,95,78,61,0,0,234,21,3,22,0,0,48,564,124,74,0,0,766,55,94,8,0,0,163,14,0,4,0,0,24,2970,821,576,0,8,4388,152,47,144,0,7,352,122,13,16,0,0,154,15609,1647,1080,4,25,18364
