SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED10001,0,0,0,4,4,0,0,0,0,6,0,0,4,16,5,8,8,4,0,50,0,0,0,13,3,11,22,18,3,77,0,3,0,3,3,0,0,0,0,9,0,4,0,29,0,0,0,0,0,33,0,0,0,8,6,0,0,0,0,19,0,6,8,12,10,3,0,0,0,32,0,0,0,0,0,0,9,3,0,15,0,0,0,6,5,0,0,0,0,10,0,0,0,8,0,0,0,0,0,8,0,20,60,90,5,0,0,0,0,179,0,0,0,13,6,14,57,48,7,137,0,17,21,122,76,92,71,31,8,436,0,0,0,0,0,0,3,0,0,7,0,3,5,32,0,0,0,0,0,45,0,0,0,0,7,9,7,0,0,17,3,9,34,82,34,10,7,4,0,183,0,0,0,0,0,4,7,0,0,18,0,0,0,0,5,0,0,0,0,12,0,0,0,5,13,19,42,31,11,123
SED10002,0,15,34,209,146,108,24,0,0,543,0,0,3,48,8,6,12,3,3,83,0,0,5,51,15,31,34,37,27,208,5,4,3,24,11,6,0,6,3,53,31,65,219,1841,480,409,172,87,17,3324,9,24,73,508,423,385,373,174,31,1991,8,20,53,393,75,43,41,24,0,652,0,0,0,5,3,3,20,22,8,49,0,0,0,11,0,4,3,4,0,36,0,9,12,87,57,50,24,6,5,255,7,18,1571,2186,50,15,5,3,0,3856,0,0,0,12,5,0,0,7,0,25,9,43,71,223,70,76,43,3,0,529,0,0,0,8,0,8,7,11,0,33,14,134,198,973,165,87,28,0,0,1606,0,0,0,4,4,0,6,0,0,8,5,31,59,432,136,123,89,28,5,905,0,0,0,26,4,7,15,7,3,65,0,0,0,11,11,11,4,5,0,42,0,0,0,13,6,5,12,6,3,47
SED10003,0,0,0,0,0,0,0,0,0,0,0,7,0,39,24,14,20,4,3,116,0,3,9,119,15,15,22,17,10,210,0,3,10,55,10,0,6,0,0,91,0,0,3,17,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,13,0,3,0,10,3,10,7,3,0,38,0,0,0,0,0,6,9,0,0,12,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,25,0,6,4,25,10,17,37,21,10,124,0,33,33,233,149,160,141,35,3,785,0,0,0,0,3,5,0,0,0,6,0,0,0,4,0,0,0,0,0,7,0,0,0,12,28,11,10,0,0,55,0,4,6,28,9,6,0,0,0,57,0,0,0,7,4,5,6,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,3,19,21,27,41,27,4,147
SED10004,0,3,0,8,0,7,0,0,0,27,0,9,9,198,88,51,28,16,3,400,0,7,18,161,42,43,84,74,69,493,0,3,10,45,17,13,5,0,0,99,0,0,18,84,17,3,5,5,0,135,0,0,0,26,9,16,17,4,0,73,0,5,36,130,45,33,39,9,0,289,0,0,0,3,3,11,15,10,8,54,0,0,0,7,4,8,0,0,0,19,0,0,4,16,0,3,0,4,0,27,0,0,9,38,3,0,0,0,0,55,0,8,9,37,19,13,16,13,5,107,0,14,44,363,270,179,133,36,5,1044,0,0,0,11,10,6,0,0,5,31,0,0,4,36,3,4,0,0,0,45,0,0,0,6,10,5,0,0,0,30,5,5,23,145,33,14,11,6,0,240,0,0,3,36,7,13,14,7,0,75,0,0,0,3,0,3,0,0,0,11,0,3,15,75,80,62,54,15,0,297
SED10005,0,25,45,214,125,84,27,6,0,524,0,0,0,6,7,10,10,5,3,40,0,0,4,16,19,38,54,81,63,273,0,0,4,3,6,5,3,0,0,20,0,0,23,84,49,46,23,19,15,261,7,52,130,1088,739,708,498,234,39,3490,7,17,24,156,34,23,20,6,4,292,0,0,0,0,0,7,21,17,7,49,0,0,0,10,9,21,11,7,5,64,0,0,8,41,19,16,13,0,0,98,0,0,55,119,8,0,0,0,0,184,0,0,0,4,0,0,3,6,8,23,4,45,100,211,53,68,32,4,0,523,0,5,12,44,54,113,119,61,21,434,11,72,174,604,117,41,22,3,0,1048,0,0,0,3,0,3,0,0,0,12,0,19,44,185,53,57,39,10,5,416,0,0,0,17,10,17,25,7,13,86,0,4,12,34,20,34,12,3,0,122,0,4,0,4,6,9,17,11,5,46
SED10006,0,0,0,3,0,0,0,0,0,3,0,0,3,12,5,0,7,8,0,34,0,0,0,4,0,3,9,3,8,32,0,3,0,4,0,0,0,0,0,8,0,0,3,12,0,0,0,0,0,20,0,0,0,0,0,0,4,0,0,7,0,0,0,7,7,7,4,0,0,24,0,0,0,0,0,0,5,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,0,0,0,0,0,46,0,0,0,4,0,9,10,13,0,32,0,4,7,46,34,41,38,21,3,202,0,0,0,0,0,0,0,0,0,3,0,3,4,21,0,0,3,0,0,29,0,4,0,5,4,3,0,0,0,23,4,29,22,77,24,11,3,5,0,164,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,5,11,0,27
SED10007,0,0,0,6,8,3,0,0,0,16,0,3,3,10,13,11,12,8,4,71,0,0,0,8,8,16,27,8,9,72,0,0,0,0,0,4,3,0,0,10,0,0,0,14,0,6,0,0,0,26,0,0,0,18,15,5,10,4,0,53,0,0,6,9,11,8,4,0,0,46,0,0,0,5,3,7,12,6,0,30,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,79,9,0,3,0,0,108,0,0,0,6,9,9,34,26,8,95,3,10,30,101,85,92,85,33,0,437,0,0,0,0,0,0,0,0,0,0,0,7,3,33,3,0,0,0,0,47,0,0,0,4,4,8,0,0,0,22,3,21,25,71,22,6,0,0,0,145,0,0,0,5,0,6,8,7,3,28,0,0,3,8,0,0,0,0,0,9,0,0,6,7,21,29,46,34,7,145
SED10008,0,0,6,18,15,12,7,3,0,52,0,4,9,39,17,23,22,7,0,119,4,0,0,21,11,39,79,56,22,235,0,9,8,10,8,6,0,6,0,52,5,60,81,268,243,128,78,28,8,899,0,0,4,29,61,50,40,26,5,216,3,22,26,127,77,74,115,61,14,518,0,0,0,3,5,9,20,25,4,62,0,0,3,9,3,8,11,9,0,44,0,0,6,14,12,4,13,8,4,53,0,0,11,46,22,3,0,0,0,82,0,0,4,6,11,12,16,19,9,82,0,35,91,123,107,94,60,26,7,551,0,0,0,8,0,4,8,5,0,16,4,43,18,154,28,30,15,4,4,299,0,0,0,3,13,5,3,0,0,28,0,14,40,167,66,72,84,24,0,467,0,4,0,19,15,24,35,5,3,111,0,0,0,0,0,0,0,0,0,6,0,9,4,11,20,20,28,20,9,111
SED10009,0,0,0,0,0,0,0,0,0,0,0,6,0,13,9,7,22,14,0,74,0,0,0,6,5,22,44,26,14,119,0,8,3,3,0,0,3,0,0,13,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,5,3,0,0,6,0,0,0,9,9,8,3,3,0,34,0,0,0,0,0,5,16,14,6,51,0,0,0,0,0,5,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,49,0,0,0,10,12,13,71,51,17,172,0,0,11,74,58,116,148,51,6,473,0,0,0,0,0,3,6,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,12,0,0,0,23,0,10,7,27,7,4,4,0,0,58,0,0,0,4,6,4,10,6,0,30,0,0,0,0,3,0,0,0,0,3,0,0,0,10,9,48,74,42,10,208
SED10010,3,8,14,41,37,18,11,6,0,128,0,5,0,14,5,10,12,12,4,69,0,0,0,16,5,26,55,55,27,193,0,0,0,3,4,0,0,0,0,12,0,10,20,109,62,63,36,23,5,329,0,8,8,75,59,70,77,28,0,338,0,8,9,57,19,25,24,7,0,137,0,0,0,6,13,46,123,86,25,295,0,0,5,5,10,8,16,7,0,52,0,3,9,55,44,40,17,12,0,184,0,22,86,376,36,6,5,4,0,530,0,4,0,0,0,7,23,18,9,69,7,76,151,292,141,111,51,5,0,845,0,0,0,0,4,7,11,10,0,29,5,30,66,271,40,59,27,6,0,504,0,0,4,7,8,4,3,0,0,22,13,115,260,1077,511,476,373,103,15,2936,0,0,0,20,10,19,49,21,22,143,0,6,12,45,32,25,18,4,0,143,0,0,0,3,6,7,23,16,6,66
