SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED10011,0,0,0,11,0,0,0,0,0,13,0,3,0,33,33,34,37,22,5,165,0,0,0,14,6,20,29,9,10,83,0,0,8,5,6,4,5,0,0,25,0,0,3,3,4,11,0,4,0,28,0,0,0,8,3,7,3,7,0,28,0,0,0,13,18,5,16,3,0,62,0,0,0,0,3,3,15,6,0,33,0,0,0,3,3,5,7,0,0,25,0,0,0,0,0,0,5,0,0,5,0,0,3,18,0,0,0,0,0,27,0,6,5,6,13,22,56,37,13,152,0,12,13,105,115,142,109,30,6,534,0,0,0,0,0,3,3,0,0,3,0,0,0,3,4,3,0,0,0,18,0,0,0,11,6,9,5,0,3,31,0,12,6,47,18,10,8,0,0,101,0,0,0,13,10,19,27,3,0,80,0,0,0,5,4,6,0,0,0,12,0,7,6,25,28,58,79,32,12,241
SED10012,4,237,371,979,507,408,237,98,25,2863,0,0,0,8,0,4,5,0,0,23,0,0,0,17,24,69,131,147,81,476,0,0,0,0,0,0,3,0,0,14,0,0,0,7,5,0,0,0,0,16,7,16,20,76,74,62,70,18,7,357,0,5,26,135,43,28,19,4,0,264,0,0,0,0,0,7,32,22,8,73,0,0,4,4,3,9,16,3,0,44,0,0,0,10,4,7,0,0,0,32,0,0,9,14,0,0,0,0,0,22,0,0,0,0,0,0,10,0,0,16,5,78,126,198,34,28,19,3,0,488,0,0,0,14,14,29,46,24,10,144,0,0,10,23,3,4,5,0,0,51,0,0,0,0,0,0,0,0,0,5,0,9,33,109,46,66,70,22,0,352,0,0,0,5,11,9,23,18,0,77,0,17,24,59,50,50,21,7,0,231,0,0,0,0,0,3,3,6,0,23
SED10013,0,18,51,355,145,82,49,27,4,733,0,18,0,91,38,31,16,19,4,228,0,4,8,37,43,118,174,152,123,642,0,0,0,0,0,0,0,0,0,4,0,0,4,23,3,6,4,0,0,39,0,10,10,116,85,77,53,19,3,377,3,0,10,46,13,16,11,9,0,109,0,0,0,14,8,35,112,72,14,258,0,0,0,25,21,35,16,8,0,115,0,0,0,12,5,0,4,0,0,18,0,5,41,458,30,8,4,0,0,546,0,0,0,6,11,12,26,12,4,79,8,78,140,405,169,132,58,23,0,1012,0,0,3,21,23,22,19,0,0,81,0,41,34,192,74,31,9,3,0,387,0,0,0,12,7,0,0,0,0,20,3,44,49,362,123,67,39,8,4,696,0,0,0,28,17,6,17,12,0,93,0,5,22,56,42,50,10,4,0,197,0,5,11,34,49,41,68,30,7,254
SED10014,0,11,29,121,57,51,13,7,4,291,0,3,0,19,13,10,14,10,0,84,0,0,0,5,12,24,30,32,6,115,0,4,0,0,0,4,3,0,0,8,0,0,3,27,0,5,0,6,0,43,0,4,17,108,67,71,44,19,6,339,0,7,9,27,12,14,16,3,0,98,0,0,0,0,0,3,27,11,4,53,0,0,5,11,11,17,23,11,0,79,0,0,0,17,3,5,3,5,4,35,6,12,40,223,32,11,7,0,0,329,0,0,0,5,0,4,31,8,9,50,9,101,168,369,149,120,60,18,0,1000,0,0,0,13,10,21,13,8,0,55,0,42,36,178,48,40,14,6,0,351,0,4,4,7,8,0,9,0,0,29,7,32,103,338,149,128,91,22,5,877,0,0,0,21,21,24,30,15,3,114,0,23,50,116,95,98,40,16,0,436,0,0,3,12,14,39,69,36,6,189
SED10015,0,0,4,20,15,9,0,7,0,60,0,5,0,58,18,20,12,13,6,126,0,6,6,92,35,93,150,178,95,653,0,0,4,21,17,6,3,0,0,50,4,18,42,165,103,141,93,62,21,642,4,12,28,206,239,340,335,233,55,1457,0,10,101,547,206,75,41,19,6,1009,0,0,0,0,0,3,13,20,6,52,0,0,0,15,10,12,17,7,5,63,0,0,6,19,8,17,6,0,0,62,5,18,516,1078,58,14,6,0,0,1699,0,0,0,0,4,3,0,5,0,11,3,10,60,183,105,81,39,11,0,492,0,0,0,14,11,25,25,13,11,93,4,24,54,185,38,32,7,0,0,344,0,0,6,8,7,0,3,4,0,24,8,26,48,355,109,81,62,13,0,701,0,0,0,17,5,7,8,3,5,40,0,0,0,12,6,8,7,0,0,39,0,0,0,17,8,16,0,4,0,49
SED10016,0,0,0,30,5,10,3,0,0,57,3,6,20,66,37,26,17,14,3,192,0,0,6,28,26,60,108,64,31,317,0,14,12,6,9,4,0,0,0,45,3,48,94,224,213,94,45,22,5,749,0,0,4,44,41,72,53,26,6,251,0,35,35,140,73,74,73,33,9,472,0,0,0,6,7,25,60,40,15,157,0,0,0,12,11,9,9,3,0,55,0,0,0,18,14,7,9,6,0,57,0,4,19,131,28,5,10,0,0,195,4,3,7,6,13,22,25,15,5,90,7,69,97,169,130,111,53,24,6,660,0,0,0,3,6,3,4,0,0,12,5,97,46,285,81,60,26,11,5,607,0,0,0,6,10,5,0,0,0,26,0,49,89,356,205,186,120,28,9,1043,0,0,0,15,17,27,41,5,0,108,0,0,0,3,3,4,0,0,0,16,0,8,8,23,29,30,38,20,8,172
SED10017,0,0,0,13,0,0,0,0,0,17,0,3,3,18,8,6,6,6,0,44,0,0,3,0,4,8,16,13,6,51,0,0,0,0,0,0,5,0,0,7,0,0,0,19,7,3,0,0,0,33,0,0,0,3,16,3,7,0,0,30,0,0,0,21,4,3,3,0,0,41,0,0,0,0,0,7,8,8,0,16,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,9,47,0,0,0,0,0,57,0,0,0,3,4,12,25,12,6,66,0,11,21,121,95,90,64,30,3,437,0,0,0,0,0,3,0,4,0,7,0,4,3,34,8,0,0,0,0,48,0,0,0,0,3,0,0,0,0,7,3,15,20,69,18,4,3,0,0,128,0,0,0,3,3,4,6,4,0,27,0,0,0,6,3,0,3,0,0,18,0,0,5,4,14,42,44,25,5,148
SED10018,0,0,0,8,0,0,0,0,0,9,0,0,8,20,17,13,8,4,0,79,0,0,5,6,5,12,27,33,23,109,0,3,9,5,0,0,5,0,0,19,0,0,8,21,7,0,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,5,25,16,18,18,8,0,81,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,3,0,0,7,0,0,0,5,0,0,0,0,0,5,0,0,12,60,0,0,0,0,0,78,0,0,3,6,6,4,19,21,10,75,3,18,31,115,102,62,46,15,0,398,0,0,0,4,11,17,45,28,11,115,0,3,3,18,0,0,0,0,0,30,0,0,0,3,12,5,0,0,0,28,5,6,7,24,8,3,0,0,0,58,0,0,0,6,0,8,11,3,0,27,0,0,0,3,4,0,9,0,0,15,0,9,9,22,32,30,34,32,8,175
SED10019,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,5,17,0,0,36,0,0,5,7,4,5,13,3,4,45,0,3,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,0,6,3,3,0,0,0,19,0,0,0,0,4,0,8,4,0,18,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,3,0,3,8,9,43,33,13,103,0,12,13,78,94,110,104,34,7,451,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,10,8,8,4,0,0,34,0,18,9,23,8,5,0,0,0,63,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,7,0,0,0,3,14,27,25,24,0,90
SED10020,3,77,28,59,3,3,8,0,0,184,0,5,0,20,22,6,9,3,0,70,0,0,0,14,7,9,27,21,8,77,0,12,4,17,5,0,0,3,0,38,0,0,3,23,0,0,0,0,0,30,0,0,0,3,5,0,0,0,0,10,8,35,17,87,27,10,4,0,0,196,0,0,0,0,0,0,7,5,0,17,0,0,0,0,4,0,0,0,0,8,0,11,39,112,31,11,9,0,0,222,0,0,3,41,0,0,0,0,0,47,0,0,0,7,3,12,49,32,14,116,5,13,19,112,85,103,93,45,18,494,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,17,0,0,5,5,13,9,0,0,0,40,0,19,18,45,13,0,3,0,0,99,0,0,0,8,8,3,9,0,5,27,0,0,0,0,0,0,0,0,0,0,0,5,3,14,22,33,37,22,12,140
SED10021,0,0,0,3,9,11,9,4,4,41,0,11,32,979,122,63,28,9,7,1256,4,4,14,223,34,34,31,46,34,422,0,5,3,25,18,13,11,0,0,77,0,4,8,33,7,3,0,5,0,55,0,3,0,13,16,19,12,6,14,75,0,6,31,43,38,28,31,20,7,198,0,0,0,0,0,4,16,7,10,36,0,0,0,7,0,0,0,0,0,18,0,0,0,6,0,7,0,0,0,9,0,0,17,40,0,0,0,0,0,58,0,8,4,46,18,6,6,8,4,98,4,16,39,398,200,162,90,28,11,952,0,0,0,8,0,0,0,0,0,10,0,3,0,18,4,7,0,0,0,30,0,0,0,4,11,8,0,0,0,32,3,8,12,107,38,24,7,5,0,209,0,0,0,43,22,19,24,9,13,130,0,0,0,0,0,0,0,0,0,5,0,4,3,154,65,55,40,23,4,349
SED10022,0,0,0,7,0,0,0,0,0,9,0,0,0,12,4,10,4,4,0,29,0,0,0,0,0,6,14,9,7,37,0,0,5,5,0,0,0,0,0,4,0,0,3,6,0,6,0,0,0,16,0,0,4,13,18,11,13,4,0,54,0,3,0,24,4,7,0,0,0,46,0,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,28,0,0,3,5,0,9,24,24,5,65,5,9,18,71,39,54,62,16,3,271,0,0,0,0,0,4,0,0,0,4,0,3,4,13,0,0,0,0,0,22,0,0,6,4,9,3,3,0,0,25,3,21,21,60,20,4,0,0,0,128,0,0,0,0,0,0,0,5,0,9,0,0,0,8,7,0,4,0,0,21,0,0,0,10,3,18,16,11,4,67
SED10023,0,0,0,9,0,0,0,0,0,11,0,12,4,65,35,18,16,7,4,159,0,0,0,36,12,38,48,36,27,195,0,0,4,0,5,3,7,0,0,22,0,0,3,7,6,3,0,0,3,25,0,0,0,14,15,13,13,10,4,68,0,4,6,6,10,4,9,7,0,43,0,0,0,3,0,3,21,16,6,50,0,0,0,4,4,10,6,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,0,0,0,0,14,0,0,3,10,10,10,20,13,3,70,3,20,36,185,127,90,66,26,6,553,0,0,0,7,10,15,9,5,0,51,0,3,0,0,0,0,3,0,0,12,0,0,0,0,12,3,4,3,3,26,0,6,7,43,12,12,8,4,0,89,0,5,0,22,20,8,13,4,10,75,0,0,0,3,0,0,0,0,0,6,0,4,10,25,36,31,26,22,8,158
