SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED55306,24,190,919,5161,6975,766,150,180,14357,4,133,452,467,99,9,4,27,1193,0,23,27,93,55,12,0,7,205,4,149,478,555,154,21,4,35,1394,0,0,22,8,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,6,6,7,7,0,0,0,26,0,11,40,16,9,0,0,0,79,29,93,115,30,15,0,0,14,298,0,3,9,7,3,0,0,15,44,56,448,1557,5768,7162,787,154,241,16174
SED55405,17,217,1489,5808,2943,555,201,118,11348,30,318,864,2078,303,46,52,68,3759,15,155,370,814,136,32,47,35,1618,46,479,1235,2890,440,79,110,100,5375,7,346,356,214,59,9,3,16,1011,10,224,410,56,0,0,0,10,709,12,454,423,54,0,0,0,11,966,0,4,116,0,0,0,0,0,116,0,0,0,0,0,0,0,0,4,26,1025,1315,331,66,9,7,41,2811,0,0,3,0,0,0,0,0,3,0,4,6,7,9,0,0,12,27,94,1723,4042,9035,3455,636,312,269,19568
SED55504,9,106,656,4054,9600,982,217,170,15796,0,83,330,447,30,0,3,22,920,0,0,36,13,0,0,0,0,50,0,83,368,455,30,0,3,26,966,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,0,3,4,0,33,0,24,34,0,0,3,4,0,67,10,52,46,6,8,0,0,6,132,0,0,7,5,0,0,0,0,5,19,266,1099,4526,9644,986,226,207,16967
SED55605,6,43,238,3358,10628,1221,166,196,15860,0,38,196,214,21,0,0,13,488,0,9,24,21,4,0,0,0,52,0,45,219,235,28,0,0,13,537,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,15,0,0,3,11,3,0,0,0,22,0,0,0,0,0,0,0,0,4,0,0,0,3,17,0,0,3,28,7,86,462,3608,10677,1223,166,219,16452
SED55706,79,488,2167,6720,4638,691,202,242,15226,4,110,292,135,59,6,0,20,622,0,24,43,36,4,0,0,3,105,4,138,330,166,58,11,0,22,729,0,26,23,24,3,0,3,5,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,27,26,24,3,0,3,3,100,23,46,33,26,17,0,0,6,157,6,5,26,12,15,10,8,6,86,113,708,2582,6950,4739,708,216,288,16300
SED55802,5,29,272,5455,9200,955,144,170,16235,0,53,348,467,70,4,4,10,956,0,22,87,93,20,0,0,0,227,3,69,437,562,91,4,0,12,1183,0,0,11,3,0,0,0,0,12,0,4,98,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,3,0,0,0,20,0,11,116,7,3,0,0,0,142,3,8,12,0,0,0,0,10,26,0,0,3,11,3,0,0,5,22,9,126,840,6033,9297,955,153,190,17602
SED55905,18,85,631,5357,5744,716,111,152,12812,0,215,778,760,79,8,3,39,1882,3,16,85,72,25,0,0,3,202,6,227,863,827,104,9,3,46,2088,4,76,236,65,0,0,0,6,390,0,38,173,115,0,0,0,4,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,4,4,0,0,34,4,111,421,185,8,4,0,12,752,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,21,28,434,1925,6368,5858,730,118,207,15669
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SED60105,10,105,1283,4099,1737,330,71,104,7743,0,134,321,70,15,0,0,6,544,0,22,117,168,74,19,0,4,409,4,151,436,245,87,20,0,12,954,16,277,562,82,16,4,0,19,976,0,19,63,0,4,0,0,3,88,7,5,10,0,0,0,0,0,22,0,0,6,9,0,0,0,0,9,0,27,23,9,5,0,0,0,64,18,326,657,102,21,8,0,16,1158,0,18,27,8,9,0,0,0,58,0,3,5,3,3,0,3,0,20,31,604,2412,4452,1851,359,78,142,9933
