SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED60106,18,84,496,1654,565,108,38,73,3039,0,46,21,6,0,0,0,0,75,0,0,0,4,0,0,0,0,0,0,46,25,6,0,0,0,0,79,0,5,15,4,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,4,4,0,0,0,27,4,8,0,3,0,0,0,0,21,0,3,5,3,0,0,0,4,9,26,139,548,1676,566,104,43,79,3181
SED60113,33,247,2181,6769,3341,668,109,143,13495,5,69,148,50,10,4,0,11,295,0,8,81,112,30,9,3,0,242,5,78,231,158,38,8,3,6,533,5,190,495,76,7,0,0,18,795,0,3,4,0,0,0,0,0,14,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,18,8,0,0,0,0,40,5,215,518,83,11,0,0,23,850,0,22,20,10,0,0,0,24,79,0,4,5,3,4,0,0,6,23,43,568,2955,7022,3395,688,115,202,14980
SED60115,27,225,1712,8105,2202,409,116,211,13002,4,286,926,175,10,4,0,180,1596,0,29,103,53,11,6,5,4,207,4,315,1026,232,23,10,3,181,1804,6,209,271,62,9,0,0,16,577,0,7,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,6,220,279,67,10,0,0,16,594,5,3,21,16,6,0,0,17,65,3,14,5,8,7,0,0,0,35,42,777,3043,8427,2239,421,120,427,15497
SED60207,20,196,2121,8333,2572,437,95,174,13945,9,301,792,142,12,5,0,53,1309,3,19,123,20,4,0,0,4,175,7,325,921,169,10,6,0,54,1486,0,0,31,10,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,3,30,18,0,0,0,0,54,17,65,33,19,5,4,0,11,154,0,3,4,6,3,0,0,0,27,51,594,3113,8532,2591,441,97,237,15664
SED60208,14,149,1483,7225,2500,377,77,167,11992,3,289,545,69,4,0,0,33,946,0,4,55,3,0,0,0,0,60,3,297,597,73,5,0,0,33,1012,0,3,17,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,8,24,5,0,0,0,0,34,15,55,23,22,0,0,0,28,145,0,5,0,5,8,0,0,6,16,30,516,2118,7327,2509,381,74,236,13192
SED60209,36,312,2378,8136,2695,460,108,209,14324,6,205,426,57,4,0,0,31,725,5,15,96,20,0,4,0,4,148,11,225,518,76,4,3,0,38,871,8,46,44,20,0,0,0,6,117,17,21,5,0,0,0,0,0,43,0,12,19,11,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,84,65,28,9,0,0,3,211,12,40,20,30,5,0,0,9,110,9,8,6,18,6,4,4,0,47,81,660,2994,8287,2710,464,115,260,15567
SED60301,6,47,520,3414,897,183,46,68,5180,4,77,146,15,0,0,0,6,254,0,3,24,12,6,0,0,0,44,4,77,173,27,0,0,0,11,293,4,183,629,93,12,0,3,44,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,184,628,93,12,0,3,44,966,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,13,308,1320,3540,914,183,51,123,6457
SED60302,23,170,2621,6570,1955,423,95,170,12031,3,180,348,41,7,0,0,16,606,0,34,180,35,16,0,0,4,267,3,214,530,72,18,0,4,20,871,13,472,810,179,30,7,0,41,1554,0,16,27,8,0,0,0,3,54,0,15,3,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,7,4,5,0,0,0,0,14,16,503,838,190,30,14,0,46,1642,3,19,23,28,10,0,0,0,80,6,3,19,5,6,0,0,4,35,51,912,4026,6870,2013,437,94,251,14652
SED60303,23,266,1884,4422,2254,580,141,70,9636,3,139,291,129,27,3,0,5,595,4,92,471,323,55,10,4,10,978,9,232,764,449,85,21,3,11,1576,51,691,798,249,58,14,7,29,1901,38,244,263,79,13,8,3,12,661,9,90,280,43,3,0,0,15,438,0,0,22,6,0,0,0,0,31,0,42,24,10,5,4,0,0,87,103,1068,1386,392,77,24,10,52,3116,5,14,22,18,4,0,0,0,66,4,13,25,8,5,0,8,5,57,145,1595,4076,5284,2423,628,163,137,14448
SED60304,0,9,20,59,19,3,3,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,59,24,4,3,0,124
SED60310,14,140,829,2475,1966,615,137,35,6221,0,71,145,51,9,5,0,3,291,7,101,257,118,27,6,0,8,515,12,165,400,169,41,8,0,12,805,19,145,211,46,9,6,0,3,442,4,52,164,25,6,0,0,7,248,4,29,86,17,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,222,464,81,17,6,0,8,826,6,14,16,3,6,0,0,5,47,3,9,3,4,0,0,0,0,19,57,551,1720,2733,2025,632,140,58,7911
SED60404,94,471,2257,6375,2922,588,161,152,13016,5,24,125,20,3,0,0,3,188,0,0,34,13,3,0,0,0,50,5,24,161,37,11,3,0,3,237,0,16,34,21,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,0,26,35,21,0,0,0,0,83,30,64,38,18,0,5,0,9,161,4,6,5,4,4,0,4,0,28,125,585,2496,6453,2936,593,168,161,13526
SED60410,4,37,1009,2839,1256,261,59,49,5503,0,104,207,39,0,0,0,7,352,0,4,114,96,8,0,0,3,227,0,104,321,134,14,0,0,6,584,0,25,89,23,3,0,0,9,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,89,23,10,0,0,9,158,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,7,8,172,1423,2998,1275,266,59,62,6255
SED60411,0,127,1773,6450,2681,535,75,105,11749,7,170,281,40,10,0,0,19,520,0,59,237,61,3,0,0,7,366,3,226,520,93,14,0,0,22,888,0,57,98,20,4,0,0,3,183,0,9,56,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,70,160,23,9,0,0,3,261,3,3,10,3,0,0,0,0,25,0,4,4,0,3,0,0,6,17,16,434,2465,6571,2707,536,73,140,12936
SED60414,4,123,1162,5491,2140,476,111,103,9598,11,55,157,39,3,0,0,8,273,0,0,4,4,0,5,0,0,14,11,55,162,45,7,5,0,8,282,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,13,0,3,0,6,6,0,0,0,15,4,29,6,3,0,0,0,0,44,0,4,3,8,3,0,0,0,19,22,207,1338,5545,2152,477,106,107,9957
SED60501,34,160,1185,4686,1129,217,76,135,7625,5,55,80,10,9,0,0,5,160,0,6,35,7,0,6,0,0,51,5,60,116,23,8,6,0,13,219,7,84,132,20,6,0,0,5,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,7,87,134,20,6,0,0,5,262,10,19,11,11,0,3,5,7,62,3,0,6,7,0,0,0,0,17,53,324,1447,4741,1148,229,83,163,8181
SED60505,0,25,407,1772,1079,175,34,26,3525,0,11,103,13,4,0,0,4,128,0,0,11,54,25,11,0,0,99,0,11,116,61,29,11,0,4,227,0,28,264,33,0,4,0,13,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,29,264,36,11,4,0,13,356,0,6,11,0,0,0,0,0,23,0,0,0,3,0,0,0,0,5,6,76,796,1873,1112,190,34,47,4129
SED60506,68,391,2187,6043,2124,425,113,198,11544,4,96,159,40,11,4,3,8,317,0,3,0,20,10,7,0,0,46,4,101,156,59,17,8,3,8,366,3,58,289,58,3,0,0,8,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,58,291,56,3,0,0,8,424,28,53,18,21,5,4,3,3,135,0,5,5,5,8,0,7,0,26,103,607,2653,6191,2165,437,122,221,12495
SED60508,14,68,271,936,410,71,23,27,1828,0,26,20,18,0,6,0,0,77,0,0,0,0,0,0,0,0,0,0,26,20,20,0,6,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,8,17,98,296,963,416,76,29,28,1917
SED60512,80,463,2530,6595,2415,458,150,205,12899,4,37,36,41,4,0,0,5,134,0,0,10,9,0,0,0,5,26,4,41,46,53,8,0,0,5,158,0,11,318,44,0,0,0,6,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,15,322,44,0,0,0,6,395,9,25,13,21,8,0,0,0,79,0,5,5,6,10,0,0,4,38,94,554,2914,6720,2441,465,156,229,13563
SED60514,3,37,409,2032,833,161,22,37,3545,3,9,45,15,0,0,0,5,74,0,0,5,3,0,0,0,0,4,3,9,46,18,0,0,0,5,79,0,0,80,57,6,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,80,61,3,0,0,0,144,9,12,3,0,0,0,0,0,34,0,3,6,13,6,0,0,0,20,16,70,535,2127,843,168,21,41,3826
SED69494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,3,53,348,790,229,16,6,21,1466,0,46,58,15,14,0,0,12,140,0,0,0,4,0,0,0,0,5,0,45,56,15,14,0,0,11,148,0,18,51,12,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,12,0,0,0,0,92,28,20,10,7,5,0,0,7,71,0,4,6,6,0,0,0,5,36,35,150,477,829,248,17,5,40,1807
SED70002,7,18,92,1125,680,114,35,35,2108,3,85,391,105,7,0,0,7,598,0,83,325,107,3,0,0,14,531,3,168,713,211,6,0,0,17,1127,8,38,55,8,0,0,0,0,108,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,36,63,8,0,0,0,0,116,0,0,0,3,0,0,0,0,8,7,14,7,0,0,0,0,4,39,32,237,887,1349,688,115,33,54,3403
SED70003,0,32,212,867,233,21,12,22,1389,8,35,170,54,0,0,0,0,263,0,0,0,0,0,0,0,0,3,8,35,170,51,0,0,0,0,265,0,3,23,10,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,10,0,3,0,0,40,13,20,5,6,3,0,0,8,58,5,8,12,14,3,0,0,3,37,24,94,421,950,237,22,12,33,1792
SED70004,5,95,299,948,240,27,20,58,1692,0,35,51,8,0,0,0,3,98,3,18,6,3,0,0,0,0,36,3,57,59,13,0,0,0,3,139,0,18,16,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,0,0,0,0,4,57,34,63,14,17,0,0,4,13,136,0,9,12,3,4,0,4,9,39,49,242,404,977,247,30,27,89,2064
SED70005,4,20,88,999,847,97,19,21,2097,0,48,168,130,0,0,0,17,366,0,3,48,31,0,0,0,0,84,0,49,218,164,0,0,0,13,447,0,16,47,42,0,0,0,0,105,0,5,12,0,0,0,0,0,16,0,4,142,11,0,0,0,6,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,200,51,0,0,0,12,287,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,10,93,511,1212,851,97,19,43,2840
SED70006,8,41,97,1205,554,102,11,43,2063,3,141,268,154,23,5,0,13,601,0,4,144,64,0,0,0,14,232,4,147,409,219,21,5,0,34,836,3,38,71,4,0,0,0,4,111,3,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,52,69,4,0,0,0,3,133,7,18,8,0,0,0,0,0,28,0,13,19,0,3,0,3,17,51,17,268,600,1432,584,107,13,94,3119
SED70007,3,11,38,1049,961,125,3,35,2224,0,14,142,124,8,0,0,5,295,0,0,10,42,9,0,0,0,67,0,10,155,169,18,0,0,5,355,0,6,120,148,3,3,0,4,289,0,0,25,15,0,0,0,0,43,0,0,30,15,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,175,177,3,3,0,8,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,371,1390,983,132,3,45,2961
SED70008,3,26,45,1011,846,205,45,32,2213,0,0,123,8,0,0,0,0,133,0,0,43,44,0,0,0,6,89,0,0,165,50,0,0,0,3,217,0,17,101,133,3,0,0,8,268,0,30,81,6,0,0,0,3,120,0,0,6,11,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,192,149,3,0,0,10,420,12,17,0,3,0,0,0,4,38,3,5,0,0,0,0,0,0,12,23,94,408,1217,855,205,48,55,2896
SED70009,54,249,539,910,327,78,38,48,2249,0,20,97,14,7,0,0,0,142,0,0,0,4,0,0,0,0,5,0,20,103,16,7,0,0,0,145,0,0,18,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,4,0,0,0,0,20,40,62,8,18,8,0,5,10,149,4,18,12,4,7,3,0,6,61,100,350,674,951,353,81,41,74,2625
SED70010,0,14,86,1331,362,64,4,40,1907,0,0,53,42,0,0,0,0,94,0,0,20,8,0,0,0,0,23,0,0,66,49,0,0,0,0,116,0,159,440,114,7,0,0,34,767,0,0,21,18,0,0,0,0,38,0,0,33,9,0,0,0,0,41,0,22,33,15,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,182,534,151,7,0,0,39,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,198,688,1530,371,66,4,83,2938
SED70011,0,14,59,507,409,144,43,10,1194,0,21,222,68,0,0,0,7,324,0,22,253,305,45,0,0,3,635,3,44,479,372,45,0,0,9,959,5,68,166,3,0,0,0,6,246,0,14,35,17,0,0,0,0,75,9,77,278,127,0,0,0,7,500,0,38,63,64,0,0,0,5,175,0,0,0,0,0,0,0,0,0,14,195,546,218,0,0,0,16,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,250,1076,1099,459,149,44,36,3146
SED70012,7,33,44,343,399,103,22,16,972,0,23,119,28,6,0,0,4,178,4,29,181,126,21,0,0,4,367,6,55,304,151,27,0,0,7,546,0,8,106,309,40,0,3,10,475,0,3,187,225,0,0,0,8,420,0,41,232,207,0,0,0,6,492,0,0,16,34,0,0,0,5,54,0,0,0,0,0,0,0,0,0,3,54,541,777,44,0,3,19,1444,14,26,3,4,0,0,0,9,63,0,7,3,0,0,0,0,7,23,28,183,897,1278,468,109,28,70,3056
SED70013,45,176,475,1024,664,250,95,76,2801,0,0,16,18,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,6,41,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,4,23,46,7,4,6,4,0,21,105,0,8,12,9,3,0,0,0,33,69,233,515,1056,680,252,101,105,2994
SED70014,3,69,232,676,200,32,5,27,1251,22,175,63,34,8,0,0,6,308,0,0,0,0,0,0,0,0,0,22,175,63,36,8,0,0,6,308,3,101,15,5,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,101,15,5,0,0,0,0,125,17,15,8,0,7,0,0,7,56,4,21,8,10,5,3,0,7,59,50,380,325,724,217,35,9,48,1794
SED70015,3,11,75,1178,531,132,34,32,2000,0,79,186,27,0,0,0,8,297,0,15,221,50,4,0,0,7,294,0,89,406,75,4,0,0,11,593,0,18,166,14,3,0,0,10,213,0,14,141,13,0,0,0,8,176,0,0,102,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,409,34,7,0,0,11,494,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,10,3,141,901,1289,538,131,35,55,3098
SED70016,7,20,72,1279,440,114,20,41,1996,0,44,300,122,0,6,0,21,494,0,10,126,3,0,0,0,9,143,0,51,423,129,0,6,0,30,639,0,0,5,0,0,0,0,0,5,0,0,13,0,0,0,0,0,12,0,20,38,0,0,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,55,0,0,0,0,3,80,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,12,102,555,1408,440,115,20,73,2720
SED70017,11,69,150,1134,454,93,24,44,1982,4,87,156,30,4,0,0,33,308,0,17,68,38,0,0,0,4,126,4,101,224,64,7,0,0,31,432,0,13,22,0,0,0,0,13,51,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,0,0,0,13,53,8,28,13,8,6,0,0,4,73,13,29,11,9,8,6,0,15,84,32,242,422,1216,475,95,24,116,2622
SED70018,0,44,271,896,291,44,30,40,1625,0,19,33,22,0,0,0,3,74,0,0,0,0,0,0,0,0,0,0,19,33,22,0,0,0,3,74,0,18,28,7,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,7,0,0,0,0,50,0,7,4,0,0,0,0,4,16,0,0,6,6,0,0,0,3,24,3,87,334,927,296,45,30,56,1779
SED70019,8,95,254,1050,482,92,32,49,2066,0,42,269,142,3,0,0,8,471,0,10,51,9,0,0,0,0,73,0,49,317,150,4,0,0,4,541,30,70,3,21,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,5,21,0,0,0,0,134,42,74,17,9,9,0,0,15,172,11,27,20,10,4,0,0,4,71,102,324,610,1242,508,97,37,71,2983
SED70020,13,136,281,841,708,210,104,40,2340,0,6,11,32,14,0,0,0,60,0,0,0,0,5,0,0,0,6,0,6,11,33,10,0,0,0,66,0,5,0,0,0,0,0,0,9,0,27,72,0,0,0,0,4,99,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,77,0,0,0,0,4,113,28,49,5,10,0,0,0,6,98,0,7,0,0,0,0,0,9,22,43,233,367,895,723,210,104,56,2634
SED70021,0,11,84,502,465,153,31,18,1282,0,54,65,16,0,0,0,6,139,0,20,143,46,6,0,0,0,207,0,71,204,55,0,0,0,6,348,8,130,461,75,12,4,0,14,696,40,95,299,30,0,0,0,7,468,0,28,391,205,8,0,0,7,637,0,0,13,0,0,0,0,0,10,0,4,0,0,0,0,0,0,8,41,254,1168,310,17,4,3,30,1825,0,4,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,6,47,341,1463,872,492,158,38,54,3470
SED70022,0,4,18,74,177,32,15,4,333,3,45,13,0,0,0,0,0,65,0,0,40,57,8,0,0,0,105,3,45,50,58,8,0,0,6,171,4,17,57,52,0,0,0,5,136,8,102,272,32,0,0,0,15,435,10,132,487,362,10,0,3,18,1020,36,411,949,820,46,5,0,26,2288,0,0,0,0,0,0,0,0,0,64,659,1771,1268,63,3,4,58,3887,0,0,0,0,0,0,0,0,10,3,9,3,3,0,0,0,10,28,66,720,1841,1409,254,46,18,75,4423
SED70023,5,8,46,1499,514,93,33,33,2233,0,3,18,11,0,0,0,0,33,0,0,102,3,0,0,0,0,107,0,0,121,10,3,0,0,0,135,0,14,186,44,5,0,0,0,254,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,199,49,6,0,0,0,266,18,31,11,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,22,59,376,1559,524,93,37,40,2700
SED70024,8,35,96,1357,1475,151,43,33,3203,4,0,46,144,11,0,0,3,195,0,0,12,19,9,0,0,0,41,4,0,55,163,17,0,0,3,240,0,0,20,27,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,4,94,52,3,0,0,6,162,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,11,117,75,3,0,0,5,210,0,14,5,0,0,0,0,0,22,0,0,0,0,5,0,0,0,5,11,60,271,1599,1502,151,43,47,3683
