SED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED10001,28,17,116,191,189,397,748,783,496,2962,5,11,49,60,107,90,68,56,23,475,296,331,689,703,689,761,786,670,337,5265,2198,4609,9883,9817,10191,11226,10356,5949,2204,66431
SED10002,17,68,388,573,798,978,1023,703,278,4819,8,88,586,554,658,753,601,398,192,3846,376,958,2578,1807,1125,883,588,342,199,8860,2493,10468,27546,18242,12508,11375,7253,3357,1282,94533
SED10003,13,9,69,79,98,235,430,468,380,1782,5,4,28,20,24,36,26,8,21,167,272,309,885,888,815,838,825,546,425,5794,1700,3362,9131,10396,11102,11698,11204,5596,2417,66599
SED10004,3,8,32,47,67,147,300,337,207,1150,4,12,34,29,39,55,78,82,64,398,149,344,879,709,550,481,434,346,225,4112,1347,5538,15416,14315,11945,9050,6944,3232,1073,68873
SED10005,6,33,172,420,620,955,1016,818,451,4493,12,43,183,240,367,678,541,372,226,2657,472,626,1430,1309,987,823,684,495,392,7224,2825,6734,14597,12356,10950,10303,7128,3753,1914,70563
SED10006,43,35,117,157,283,714,1198,902,448,3904,7,5,13,11,38,47,71,67,24,277,533,506,1146,1114,1203,1372,1243,914,472,8507,2147,3585,8814,7754,8836,10719,8893,5200,2039,57974
SED10007,35,25,77,108,176,444,788,655,394,2700,6,8,23,19,26,33,50,40,16,226,291,467,1049,931,862,761,815,660,264,6096,2196,4560,9483,8907,10133,10936,9653,5439,1941,63243
SED10008,8,6,20,28,63,158,343,340,181,1143,8,8,21,38,42,76,102,82,69,445,90,109,288,387,247,242,285,286,233,2160,1980,5143,8583,13955,11991,10403,8876,4908,1555,67401
SED10009,38,21,57,124,173,370,793,741,400,2720,3,7,13,16,16,31,46,34,22,183,296,223,509,535,710,970,1056,766,468,5533,1662,2623,6200,6887,9104,13263,14043,7102,2579,63468
SED10010,19,39,114,193,275,527,845,678,355,3051,6,29,124,122,215,217,235,166,88,1200,324,506,1192,954,701,590,531,395,187,5387,2278,6820,15366,14449,10628,9578,7232,3542,1397,71286
SED10011,16,0,37,43,83,153,281,245,182,1049,6,3,24,27,25,18,23,10,14,146,137,93,246,310,332,342,369,376,248,2449,1597,3108,6702,8911,10060,10337,9807,4874,1647,57043
SED10012,15,42,230,553,927,1593,1424,879,477,6149,11,56,313,401,944,1601,1186,618,463,5586,330,308,734,650,665,731,571,420,326,4736,2570,6158,11056,9977,11136,11633,8251,3686,1740,66215
SED10013,22,18,100,172,256,532,841,601,295,2839,4,8,69,97,105,162,192,139,72,854,242,298,786,768,491,428,422,376,315,4141,3675,7752,21166,20481,15754,11533,8176,3924,1443,93898
SED10014,24,25,132,199,279,522,723,469,191,2567,4,9,66,62,96,153,148,105,41,684,333,381,825,823,615,554,543,479,193,4752,2525,5712,12201,11612,9581,9289,7641,3659,962,63187
SED10015,4,23,95,178,383,675,1329,1553,704,4943,3,30,141,143,233,381,476,559,356,2326,199,486,1223,953,753,647,551,523,410,5731,1973,6380,15035,13632,12854,10989,7719,5133,2349,76065
SED10016,4,11,19,35,68,127,373,334,187,1156,0,9,31,38,51,62,63,55,54,366,143,167,324,416,335,241,245,244,170,2282,2783,6324,10838,17086,14952,10728,8057,4108,1285,76153
SED10017,37,44,118,131,210,539,984,556,329,2938,6,8,30,21,32,47,46,29,19,249,239,390,1025,868,750,578,634,580,362,5424,2614,5241,12541,11363,10759,10161,8719,4148,1561,67094
