STE_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
1,262031,1096761,989258,321310,187380,2856740,43732,2900468
2,179348,856243,880945,280276,159812,2356621,33611,2390232
3,106309,658705,701752,239394,134558,1840725,28738,1869462
4,49186,248514,251206,84951,48534,682393,8916,691313
5,47107,327859,376783,127894,71915,951561,13179,964734
6,13015,75697,77289,30239,18802,215047,3365,218412
7,7624,23957,24345,8412,4554,68895,1769,70660
8,9273,65446,64634,18290,9278,166921,1484,168400
9,62,558,524,208,115,1469,61,1533
