STE_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
1,24,38,614,4781,21942,18473,21251,16340,3881,3891,4777,6282,2033,479,2111,106930,665,548,758,1212,4889,1488,1633,1115,265,270,261,247,87,28,376,13830,53,219,576,1498,2170,1845,3437,1885,545,561,545,508,392,160,265,14665,64,263,1106,4141,7418,9480,13813,5145,1556,1373,1474,1784,1032,397,699,49740,31,139,585,1332,5427,6561,8174,4579,849,791,838,1006,409,166,544,31427,0,3,39,205,2360,2996,2593,2358,649,702,851,1073,322,47,351,14544,9,21,127,665,2839,3731,9167,6909,2053,1436,1347,1556,576,162,1049,31633,6621,20830,56804,36783,30190,24657,43485,25355,4821,4552,4669,5113,2499,899,8079,275351,133,281,1542,2911,3234,4408,7738,5505,1358,1414,1583,1974,1410,537,797,34832,21,48,207,13080,27186,16926,13287,10646,2718,2737,2607,2933,1472,411,3702,97995,5148,12974,29637,46612,49042,52208,61059,43615,16141,15454,15666,17597,6427,1877,9910,383346,22421,76446,168616,191168,293664,318404,483109,314780,86485,91007,98050,109085,41706,12146,59864,2366948
2,13,39,201,2173,10553,7966,16540,12583,3241,3110,3699,5043,1639,453,1205,68463,882,1034,1286,1304,5407,1746,1070,598,131,126,103,103,32,16,343,14202,34,106,332,1077,2015,1999,5962,2925,726,734,670,633,382,142,210,17954,31,184,633,2666,4799,4882,9485,3635,881,995,912,1109,485,210,357,31274,66,384,1792,3003,7910,9011,19513,11547,2479,2790,3259,3705,1405,288,915,68066,0,4,12,108,1180,1772,2175,2135,537,593,832,861,265,56,198,10719,6,7,61,366,1690,1921,5980,4433,1421,1181,1329,1455,510,110,597,21059,5367,20378,47739,29328,23633,14723,32922,18175,3017,3131,3049,3237,1367,603,6053,212739,93,205,828,2038,2113,2904,5528,4160,904,1087,1107,1295,782,357,551,23964,10,18,147,9740,26148,16167,14658,10809,2533,2578,2496,3043,1461,361,3440,93598,4054,14209,25944,34095,40368,45403,63362,39777,11695,11064,11867,13766,4914,1587,7915,330023,19207,91311,158901,136223,200445,200058,431251,291871,73261,77382,84452,96642,35450,10802,44602,1951837
3,13,34,193,1343,7325,6121,13131,10442,2207,2075,2578,3365,1086,373,1262,51529,235,189,266,516,1900,705,827,496,110,111,92,114,50,16,120,5740,20,86,328,826,844,919,1903,964,253,277,288,342,210,92,181,7536,38,165,604,2073,3403,6816,20549,7194,1473,1697,1559,2040,930,449,710,49699,37,133,429,591,1174,1358,3501,2312,355,421,453,640,312,96,187,12009,0,0,22,80,1686,3971,3569,2724,677,694,1040,1257,499,50,343,16600,0,8,47,270,1091,1377,4211,2901,753,666,698,898,407,82,458,13870,4547,15385,42617,30025,25647,19695,48124,19836,3323,2993,2807,3287,1803,709,6387,227177,98,249,1115,1906,1899,2461,4860,3120,698,716,743,936,803,250,409,20271,4,22,59,2679,5708,3310,4281,3288,786,875,790,1017,564,127,942,24455,1712,4964,11483,16095,19639,22167,43655,27824,7629,7613,8838,12003,4823,1521,5015,194987,11325,38417,78730,91394,131215,133703,290642,168168,35931,36591,41648,52255,22157,7759,30388,1170334
4,0,11,29,342,1895,1722,3951,3475,686,715,737,1083,372,108,377,15503,217,228,337,331,2080,738,431,162,48,31,32,29,15,3,95,4777,8,30,121,279,304,266,659,387,133,146,137,167,89,24,38,2789,16,50,216,477,511,879,2857,1131,286,242,475,561,318,59,125,8212,3,41,69,203,264,273,1146,1260,251,373,466,557,277,23,103,5311,0,0,3,11,103,180,345,484,107,115,134,144,65,7,34,1739,0,4,3,98,587,441,999,611,144,125,154,192,95,41,118,3604,1894,11087,37576,18474,9347,5792,15207,5971,697,659,682,809,463,215,3336,112206,17,57,306,580,578,653,1173,753,173,159,199,184,199,70,128,5233,0,9,38,1920,4701,2466,2384,1915,568,562,652,756,428,69,577,17033,1358,2809,4287,3953,5742,7417,13324,8718,2931,2339,2738,3281,1464,384,1515,62245,6412,32210,58395,35181,36393,31226,82968,56481,14163,14874,17372,21110,9184,2019,10518,428503
5,3,7,51,477,2436,2106,11021,12496,2186,1581,1583,1963,700,219,679,37524,234,110,192,397,2392,690,618,546,70,66,71,59,36,11,115,5608,72,162,508,1571,2484,2400,4745,1835,360,386,390,435,321,59,273,15995,28,109,521,1826,4017,5724,19122,7933,1008,883,1003,1196,648,336,537,44889,53,94,198,381,865,855,2508,2110,287,275,320,726,306,40,142,9158,0,0,3,25,245,366,741,1352,177,176,301,436,93,15,88,4008,4,4,46,226,809,978,3244,2124,550,432,450,487,257,85,303,10003,2863,8429,44663,34124,33911,21753,49530,25171,2379,1923,1991,2248,1254,451,5410,236098,42,107,584,1039,1162,1259,2303,1612,325,307,357,490,368,152,253,10366,5,3,27,1681,4775,2853,2979,2339,546,562,476,631,342,87,769,18080,1001,1678,7756,8346,12383,15235,35428,20026,4380,4179,4704,6385,2762,879,2864,128007,7999,24413,71894,69884,102075,87673,218801,142279,22559,20490,23054,29252,13493,4301,19483,857643
6,0,0,12,62,335,266,494,484,162,122,181,139,73,8,99,2441,36,49,56,53,194,81,60,35,7,4,5,7,0,0,13,584,6,26,40,44,42,54,105,99,26,33,40,30,14,3,11,583,3,40,94,199,251,291,644,183,54,39,88,88,43,35,28,2089,0,3,13,19,54,34,154,430,187,150,135,107,42,11,20,1361,0,0,0,0,9,16,77,295,35,68,84,66,16,0,22,696,0,0,0,19,51,76,292,174,59,39,42,34,21,8,35,862,712,2771,6644,4301,2453,1303,2163,836,151,124,134,163,75,38,844,22706,5,25,129,274,228,269,500,293,55,44,65,70,43,17,40,2056,0,3,3,34,40,33,158,486,145,111,102,156,68,6,58,1390,192,497,880,872,890,789,1950,1695,587,561,585,708,342,95,268,10915,1474,5674,9947,8037,7243,5323,11869,13848,4737,4617,4380,4179,1579,378,2385,85669
7,0,4,5,134,610,432,1737,1722,385,338,326,396,120,35,147,6391,4,0,7,11,35,13,19,11,9,12,0,0,0,0,5,131,0,5,27,52,44,33,36,27,5,22,12,17,12,0,5,306,3,3,13,28,44,73,340,175,49,38,48,81,29,8,18,949,0,0,13,31,72,52,161,303,154,138,143,118,34,10,24,1259,0,0,0,6,12,27,108,221,46,35,22,20,3,0,15,510,0,0,9,53,113,121,324,201,58,41,50,59,28,6,43,1101,63,323,1213,841,559,462,960,726,118,93,120,196,96,36,192,5998,0,0,42,69,59,96,125,188,42,64,100,140,134,110,21,1195,0,0,0,76,179,118,188,274,92,93,86,121,57,9,52,1350,24,113,385,916,887,716,1861,1331,436,319,334,525,249,64,253,8412,186,906,2655,3585,4226,3676,10295,10256,2905,2785,2803,3290,1332,420,1415,50738
8,0,3,32,158,608,564,1106,1201,277,250,290,305,125,48,86,5058,42,39,71,84,430,121,103,62,10,11,15,8,5,0,18,1009,8,24,61,135,160,126,272,156,47,43,37,22,17,17,28,1165,0,38,57,183,217,330,688,453,56,84,62,100,28,17,23,2338,0,15,55,122,518,566,931,634,91,109,94,89,35,14,24,3304,0,0,6,15,60,90,161,183,47,36,38,23,13,3,15,693,0,6,14,85,166,219,477,308,53,71,65,71,25,8,44,1619,454,1570,3824,2551,1836,1219,2210,1224,180,157,164,151,99,54,316,16011,19,29,163,333,349,432,712,518,92,140,139,180,157,67,44,3371,0,5,21,552,844,592,745,559,153,154,134,126,68,4,127,4082,298,701,1840,2144,2362,2551,4452,3126,797,953,1100,1201,545,134,433,22629,1456,4610,9415,9488,12410,13103,28236,22112,5457,6487,6316,5710,2605,755,2489,130659
9,0,0,0,0,5,3,19,23,9,0,0,0,0,0,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,12,0,6,0,0,0,0,0,0,0,4,44,0,0,0,0,5,0,4,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,0,0,0,0,0,0,16,0,11,31,25,19,8,12,7,3,0,0,0,0,3,8,122,0,0,0,3,0,3,5,6,0,0,0,6,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,5,0,9,6,10,3,21,14,0,3,3,4,3,0,104,190,8,28,91,195,232,100,168,128,38,18,17,14,21,8,308,1382
