STE_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
1,52720,186849,400636,380648,289760,218038,168014,72247,19126,1788032,11586,17948,29458,27163,26890,23371,15859,8203,2228,162707,22350,25959,72232,76045,117201,148375,98649,52368,14059,627231,4778,4259,10438,12870,18157,26098,36482,25983,8419,147484,1097,1214,5188,7350,10342,18281,29903,26533,12755,112664,208,854,3905,3957,4514,6160,5851,4523,2440,32400,12025,17040,41646,35674,29754,27860,25844,21258,11985,223094,104766,254127,563502,543702,496614,468184,380608,211115,71007,3093614,59041,194678,454677,431177,331756,236445,152634,63993,20401,1944810,7884,12517,23549,23043,26681,24552,16674,9514,3167,147571,12809,16209,49577,55183,106107,153593,128700,72835,26026,621049,2767,2388,7861,9822,15482,26580,42031,30257,15392,152577,640,756,3412,5454,8818,18510,32304,29974,20246,120109,155,576,3130,3611,5361,7893,8293,7294,5041,41357,10729,13694,35141,30203,25052,24944,26555,26073,22444,214841,94026,240816,577341,558492,519258,492517,407191,239940,112724,3242308,111760,381532,855306,811827,621516,454485,320654,136241,39526,3732846,19464,30461,53009,50202,53567,47916,32533,17718,5401,310274,35164,42169,121804,131223,223309,301968,227350,125201,40088,1248274,7546,6644,18303,22697,33636,52677,78515,56241,23805,300066
2,41732,163340,359307,330259,237724,165692,125635,52751,14030,1490486,8795,15624,34209,31859,57000,65351,38735,13683,3422,268683,9972,13557,39365,42084,55800,68668,52730,27937,7513,317619,3097,3054,10079,11845,16977,23311,25470,17849,5405,117081,1371,1535,5489,7169,8308,12911,22613,28097,14262,101752,247,1018,3973,4133,4419,4985,4604,4059,2139,29580,8395,11894,30070,24945,21727,20015,18988,15411,8205,159650,73614,210033,482492,452284,401947,360922,288781,159801,54982,2484850,46128,168528,405021,377224,287050,194422,122999,47434,16196,1664996,5057,9538,23347,22470,50829,70262,46450,19327,5853,253132,5122,7800,23668,25775,41142,59708,62230,35777,12877,274106,1657,1733,5806,7366,12507,21374,28122,19483,9197,107250,744,964,3885,5715,8123,13976,29530,37164,23632,123735,162,699,3290,4205,5247,6531,6641,6592,4399,37760,7699,10096,27118,22894,19271,18664,20260,18961,15244,160207,66572,199347,492138,465653,424175,384940,316226,184741,87392,2621192,87860,331867,764330,707481,524774,360115,248638,100181,30225,3155481,13856,25164,57554,54328,107827,135612,85185,33009,9276,521814,15092,21357,63035,67856,96940,128377,114963,63720,20384,591725,4751,4787,15889,19216,29484,44691,53589,37328,14597,224328
3,43405,126438,240823,224912,183495,120449,92896,41715,9469,1083603,6225,8650,21654,22386,26805,25537,15424,6308,1380,134367,10806,12022,41993,47867,74769,103169,81124,35054,7898,414700,3244,2193,6781,8925,12392,17545,17494,10033,3026,81631,1022,871,2828,3977,5738,9514,19265,23846,9324,76385,174,415,1732,1633,1821,1963,1705,1219,613,11270,8515,12052,28036,24513,23652,20817,17371,12812,6276,154041,73391,162640,343840,334212,328667,298996,245276,130986,37990,1955994,45802,132747,276570,266767,217269,137416,85349,36370,10395,1208685,4355,6401,18379,19662,26707,26573,16495,7234,1877,127682,7236,8812,30117,35548,66679,109673,100810,46439,14520,419829,2081,1489,4870,6301,9460,15233,17855,11256,4643,73192,582,559,2010,2986,4471,7644,18817,25777,15154,78002,134,357,1502,1818,2099,2158,1918,1458,992,12443,7846,10273,23992,20139,18402,17268,16652,15302,11505,141385,68032,160635,357448,353229,345091,315967,257888,143831,59091,2061218,89213,259188,517390,491677,400759,257866,178237,78082,19867,2292284,10579,15048,40031,42049,53515,52111,31913,13543,3253,262046,18039,20837,72113,83417,141448,212838,181937,81490,22418,834531,5324,3684,11649,15225,21849,32783,35350,21282,7670,154819
4,12705,42427,79755,70942,60043,44292,35687,15828,4337,366016,3160,6392,15715,15977,22646,28189,19142,6428,1543,119204,2114,3315,11472,13254,15635,21824,19950,11400,3230,102189,610,573,2401,3067,3758,6144,6275,4567,1781,29179,278,348,1210,1680,1876,3240,6842,8669,4636,28784,52,191,711,979,1153,1137,955,767,474,6424,1995,2669,6274,5885,5845,5869,5346,4254,2204,40350,20927,55914,117546,111789,110964,110700,94207,51900,18214,692147,13622,43705,90744,84076,70514,51630,33874,14696,5122,407987,1792,3965,10471,11992,20301,30161,21661,7362,2459,110157,1254,2146,7765,9277,12317,20483,25966,15406,5593,100208,374,421,1597,2181,2750,5047,6633,6124,3178,28303,148,186,926,1384,1568,2727,7047,10335,7799,32110,34,103,688,1062,1400,1324,1173,1204,992,7974,1852,2204,5307,4726,4697,4964,5683,5561,3938,38931,19086,52728,117493,114699,113546,116334,102030,60683,29090,725680,26329,86136,170500,155020,130559,95923,69560,30518,9457,774006,4955,10356,26186,27974,42945,58347,40800,13790,4005,229363,3369,5461,19235,22533,27948,42305,45919,26807,8829,202399,988,991,3998,5252,6511,11190,12907,10688,4955,57484
5,21173,59606,121096,121439,94937,69909,52580,22763,5602,569105,4146,6405,17042,17761,18329,15256,8415,3577,761,91689,5307,7714,24676,27525,38131,46695,36069,15760,3832,205698,1463,1054,2964,3741,4697,6556,7804,5759,2042,36072,410,403,1253,1706,2210,3372,6089,7302,3698,26431,82,182,857,1075,1261,1163,965,791,447,6811,3751,5618,15935,15351,14068,11565,8276,6092,3264,83916,36325,80971,183819,188601,173632,154507,120198,62033,19633,1019731,22215,61825,142029,140546,107543,78298,49964,21271,6661,630357,2594,4481,13276,14178,18263,19875,11217,4406,1181,89466,3746,5609,17587,20333,32707,42308,42523,20403,7068,192281,1089,776,1978,2663,3415,5260,7607,6412,3248,32446,324,272,1009,1644,2262,3338,6302,7908,5466,28522,60,122,720,1094,1256,1388,1272,1085,907,7900,3399,4484,11677,10190,8965,8258,8143,7494,5902,68519,33428,77570,188277,190643,174402,158728,127019,68983,30429,1049486,43388,121430,263124,261984,202479,148215,102544,44035,12263,1199462,6739,10887,30321,31936,36589,35131,19627,7987,1944,181156,9058,13319,42267,47860,70835,89007,78591,36157,10896,397978,2550,1827,4938,6408,8115,11813,15411,12168,5292,68513
6,2855,10403,24524,18405,13742,11668,11022,4703,1238,98563,1160,1609,3254,3207,2903,2205,1578,765,186,16871,1821,2590,7235,7268,12697,16056,10978,4680,1038,64354,215,173,600,616,1317,2984,4508,3127,561,14102,103,112,317,346,514,1060,2009,2118,1204,7785,19,32,180,162,191,197,184,108,59,1128,761,871,2238,1872,1950,2175,2363,1731,771,14734,6931,15783,38344,31876,33318,36348,32636,17225,5060,217533,3154,11069,26828,22323,17491,14668,10752,4488,1408,112184,931,1389,3314,3158,3514,3211,2145,857,229,18753,1034,1703,5303,6078,11653,15755,12791,6345,2066,62722,158,139,411,409,994,2433,4623,3500,936,13590,76,77,256,279,353,746,1490,1892,1998,7167,17,35,163,164,221,177,146,117,71,1106,659,788,1998,1630,1636,2026,2384,2192,1219,14542,6032,15198,38270,34045,35857,39012,34326,19399,7926,230063,6009,21477,51350,40726,31234,26332,21770,9196,2644,210747,2098,3001,6571,6363,6417,5416,3718,1618,416,35615,2848,4290,12534,13337,24342,31812,23774,11025,3107,127077,375,312,1006,1027,2306,5418,9131,6626,1499,27694
7,1271,4531,11801,9343,6428,4201,2637,855,121,41195,559,951,2122,1833,2008,1839,749,176,17,10250,854,1169,3030,2947,3080,3128,1748,497,84,16541,382,339,769,781,762,748,533,209,39,4558,312,269,597,640,714,685,767,412,108,4497,36,73,151,150,188,195,189,104,37,1129,638,959,2446,1951,1856,1491,938,379,98,10760,4060,8290,20908,17650,15034,12287,7559,2637,499,88932,1423,4548,14337,11094,7608,4778,2341,736,135,46989,419,774,1853,1667,1830,1785,716,184,36,9268,562,833,2265,2217,2453,2553,1612,529,105,13119,290,286,693,702,676,603,441,176,44,3912,241,227,513,560,638,709,736,422,152,4192,32,45,97,148,184,231,280,146,65,1237,617,742,2186,1758,1513,1266,794,320,123,9316,3580,7446,21943,18142,14911,11926,6920,2514,665,88030,2698,9079,26135,20443,14034,8981,4977,1591,254,88188,979,1719,3974,3494,3837,3626,1470,362,51,19519,1412,1999,5298,5159,5529,5678,3364,1025,184,29662,674,625,1456,1476,1436,1351,970,389,82,8465
8,4195,14485,32434,28861,21650,15123,11032,5144,1436,134363,325,548,1170,1158,1164,1088,683,313,98,6557,618,856,2389,2164,3157,3878,2693,1420,453,17633,131,94,320,331,399,466,691,502,180,3112,39,39,177,221,236,359,640,696,361,2769,12,26,169,144,130,107,105,88,34,820,581,1013,2016,1442,1078,880,792,604,298,8700,5904,17055,38670,34322,27819,21892,16637,8778,2867,173955,4508,15245,34225,30740,22877,16016,10653,4694,1420,140390,269,361,849,884,992,1127,843,484,183,5994,398,540,1745,1709,2888,4388,4513,2688,1047,19903,91,72,260,256,333,555,1038,777,400,3777,38,34,119,171,238,493,911,992,634,3635,10,26,107,90,134,183,165,195,118,1018,561,877,1715,1181,900,721,895,730,516,8109,5877,17156,39029,35032,28359,23486,19019,10557,4311,182827,8709,29732,66658,59598,44527,31137,21689,9843,2854,274747,593,917,2019,2038,2161,2217,1527,792,286,12551,1011,1396,4133,3876,6042,8269,7207,4107,1501,37539,220,162,575,585,733,1024,1727,1284,584,6888
9,22,53,129,169,122,117,87,28,4,738,0,7,9,23,29,35,11,3,0,119,12,4,28,21,85,130,76,23,15,396,4,5,0,3,13,12,11,13,3,67,0,0,6,5,6,12,48,16,3,88,0,0,0,0,0,13,22,14,3,56,10,39,164,104,89,66,59,28,0,556,46,108,336,325,347,382,319,120,31,2024,20,89,163,214,158,139,81,38,10,902,4,0,13,13,32,33,10,7,0,119,7,3,10,23,69,106,83,26,9,325,0,0,3,0,7,10,22,7,0,50,0,0,3,5,12,20,21,5,0,58,0,0,0,0,0,13,20,19,7,63,14,14,52,49,46,62,30,26,3,304,43,104,240,310,313,386,266,135,34,1823,44,136,293,382,272,258,172,64,16,1638,8,7,28,33,59,63,26,17,0,237,13,8,35,46,150,230,163,54,25,725,6,3,10,11,16,21,33,19,4,120
