STE_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1,1470001,954084,1142026,1103170,1016948,961784,788725,451521,183895,8072163
2,1169456,773536,975493,918738,826885,746547,605557,344801,142475,6503491
3,964322,637250,701724,687817,674132,615299,503466,274997,97140,5156138
4,303138,208326,235287,226660,224641,227147,196344,112656,47325,1781516
5,505783,312079,372352,379492,348256,313444,247382,131131,50106,2660026
6,92635,61089,76661,65959,69206,75393,66998,36649,12995,557571
7,48897,29968,42894,35817,29970,24236,14499,5157,1157,232605
8,82936,60606,77747,69387,56207,45406,35673,19350,7181,454499
9,825,410,583,642,665,772,586,257,66,4788
